JobID,QualificationType,FieldOfStudy,MinimumGrade,OtherDetails
258,Bachelor's Degree,Technology,Pass,
258,Master's Degree,Commerce,Pass,
259,O/L,Arts,,
259,Master's Degree,,Distinction,
260,Bachelor's Degree,General,,
260,A/L,Commerce,Distinction,
260,Master's Degree,Science,Merit,
261,Master's Degree,Commerce,,
262,O/L,Technology,Pass,
263,O/L,,Merit,
263,Bachelor's Degree,Science,Merit,
264,Bachelor's Degree,Arts,,
264,A/L,Science,Distinction,
265,A/L,,Merit,
265,Master's Degree,General,Distinction,
265,O/L,,Merit,
266,O/L,Arts,Distinction,
266,Bachelor's Degree,Science,,
266,A/L,Arts,,
267,Bachelor's Degree,Technology,,
267,A/L,Commerce,Distinction,
268,Master's Degree,,,
268,O/L,,Distinction,
268,A/L,,Pass,
269,Master's Degree,Science,,
269,Bachelor's Degree,General,Pass,
269,A/L,,Distinction,
270,A/L,General,Pass,
271,O/L,,,
271,Master's Degree,,Pass,
272,O/L,,,
272,A/L,General,,
273,A/L,,Distinction,
273,Bachelor's Degree,Science,Merit,
274,Bachelor's Degree,Technology,Merit,
275,A/L,General,Pass,
275,Bachelor's Degree,Technology,Pass,
275,Master's Degree,General,,
276,O/L,Commerce,,
276,Master's Degree,Technology,Pass,
276,Bachelor's Degree,Technology,Pass,
277,A/L,Arts,Merit,
277,Bachelor's Degree,,Pass,
278,Master's Degree,,Distinction,
278,O/L,,Pass,
278,A/L,Technology,,
279,A/L,,,
279,Bachelor's Degree,General,Pass,
279,Master's Degree,,Distinction,
280,O/L,Science,,
281,A/L,Technology,Distinction,
281,Master's Degree,,Distinction,
281,Bachelor's Degree,General,Distinction,
282,A/L,Commerce,Merit,
282,Master's Degree,Commerce,Distinction,
282,O/L,Commerce,Merit,
283,Bachelor's Degree,Technology,Distinction,
284,Bachelor's Degree,General,Pass,
284,O/L,Science,Pass,
284,Master's Degree,General,Merit,
285,Bachelor's Degree,,Distinction,
286,Master's Degree,Commerce,Merit,
287,O/L,Technology,,
287,A/L,General,Merit,
287,Bachelor's Degree,,Merit,
288,Bachelor's Degree,Commerce,Distinction,
288,Master's Degree,,,
289,O/L,Commerce,,
289,Master's Degree,General,Merit,
289,Bachelor's Degree,Science,Merit,
290,A/L,Science,,
290,Master's Degree,Arts,,
291,A/L,Technology,Pass,
291,Bachelor's Degree,Commerce,Distinction,
291,Master's Degree,Arts,Distinction,
292,O/L,Science,,
292,Bachelor's Degree,Technology,Merit,
292,Master's Degree,Arts,,
293,Master's Degree,Commerce,Merit,
294,O/L,Science,Merit,
294,Bachelor's Degree,Commerce,Merit,
295,O/L,Commerce,Merit,
295,Master's Degree,General,Pass,
295,A/L,General,,
296,Master's Degree,Commerce,Pass,
296,O/L,Commerce,Merit,
297,A/L,,Distinction,
297,O/L,,,
297,Bachelor's Degree,General,Merit,
298,O/L,Technology,,
298,Bachelor's Degree,Science,Distinction,
299,Bachelor's Degree,Commerce,Pass,
299,O/L,Science,Pass,
300,O/L,Science,Distinction,
301,A/L,Arts,,
301,O/L,Science,,
302,A/L,Technology,Merit,
302,Bachelor's Degree,Technology,Pass,
302,O/L,Commerce,,
303,A/L,Science,Distinction,
304,A/L,Technology,,
304,Master's Degree,Science,Distinction,
305,Master's Degree,General,,
305,Bachelor's Degree,,Pass,
305,O/L,General,,
306,Master's Degree,Technology,Pass,
307,Bachelor's Degree,Commerce,,
308,O/L,General,,
309,O/L,Science,Distinction,
310,Master's Degree,,Pass,
311,O/L,Technology,,
311,Bachelor's Degree,Science,Distinction,
312,Master's Degree,Arts,Merit,
313,O/L,Commerce,Distinction,
314,Master's Degree,Commerce,Merit,
315,Master's Degree,Technology,,
316,Bachelor's Degree,Technology,Pass,
316,Master's Degree,Commerce,Merit,
316,O/L,Arts,Distinction,
317,O/L,General,Pass,
317,A/L,,Pass,
317,Bachelor's Degree,General,Pass,
318,O/L,Technology,,
318,A/L,Commerce,Pass,
319,O/L,Commerce,Pass,
320,A/L,,Distinction,
320,Bachelor's Degree,Science,Pass,
321,Master's Degree,Science,,
322,Bachelor's Degree,General,,
322,O/L,Science,,
322,A/L,Arts,Pass,
323,A/L,Arts,Pass,
323,O/L,Science,,
324,Bachelor's Degree,General,,
324,A/L,Science,,
325,Master's Degree,Science,Merit,
325,A/L,Science,Distinction,
326,Master's Degree,Commerce,,
326,A/L,,Pass,
326,O/L,Technology,Pass,
327,Master's Degree,Arts,Pass,
327,O/L,General,Pass,
327,Bachelor's Degree,,,
328,O/L,Arts,Pass,
329,O/L,Arts,Distinction,
330,O/L,,Pass,
331,A/L,Commerce,Distinction,
332,A/L,Science,Distinction,
333,Bachelor's Degree,Technology,Distinction,
333,A/L,Arts,Distinction,
333,O/L,General,Pass,
334,Bachelor's Degree,Arts,Merit,
334,Master's Degree,Science,Pass,
335,O/L,Commerce,Pass,
335,Bachelor's Degree,Science,,
336,A/L,Technology,,
337,Bachelor's Degree,,Merit,
338,O/L,General,Pass,
338,Master's Degree,,,
338,A/L,Technology,,
339,Master's Degree,,,
340,A/L,Arts,Merit,
340,O/L,General,Pass,
341,Bachelor's Degree,General,,
341,Master's Degree,Arts,,
342,A/L,,Pass,
343,Master's Degree,Technology,Distinction,
343,O/L,Commerce,Pass,
343,Bachelor's Degree,,,
344,A/L,,,
344,O/L,General,Pass,
344,Master's Degree,,Distinction,
345,Master's Degree,General,Merit,
345,A/L,General,,
345,O/L,Arts,Pass,
346,Master's Degree,Science,Pass,
346,O/L,,Merit,
347,Master's Degree,,,
347,Bachelor's Degree,Technology,Pass,
348,Master's Degree,,Merit,
349,A/L,Technology,,
350,Master's Degree,Commerce,Merit,
350,O/L,Arts,Distinction,
351,O/L,Arts,Distinction,
351,A/L,Technology,,
351,Master's Degree,Commerce,Pass,
352,O/L,Science,Pass,
352,A/L,Science,Distinction,
353,A/L,General,,
353,O/L,,Pass,
354,A/L,Commerce,,
354,Master's Degree,General,Pass,
355,A/L,Science,Merit,
355,O/L,Technology,Distinction,
355,Bachelor's Degree,General,Distinction,
356,Bachelor's Degree,General,Pass,
356,Master's Degree,Arts,,
356,O/L,Commerce,Pass,
357,Bachelor's Degree,Arts,,
357,A/L,Arts,Pass,
358,A/L,Arts,Merit,
358,O/L,Science,Merit,
359,O/L,Technology,Distinction,
359,A/L,Arts,Pass,
359,Master's Degree,,Distinction,
360,O/L,,Pass,
360,A/L,Science,Merit,
361,Master's Degree,General,Merit,
361,Bachelor's Degree,General,Distinction,
362,A/L,Arts,Pass,
363,A/L,General,Pass,
363,Bachelor's Degree,Arts,Merit,
364,Bachelor's Degree,Science,Distinction,
365,O/L,,Merit,
365,A/L,Science,Distinction,
365,Bachelor's Degree,Technology,Pass,
366,Bachelor's Degree,,Distinction,
366,Master's Degree,General,Pass,
367,Master's Degree,Arts,Pass,
367,Bachelor's Degree,General,Merit,
368,Bachelor's Degree,Commerce,Pass,
369,Bachelor's Degree,Technology,Pass,
369,Master's Degree,General,Merit,
370,O/L,Arts,Pass,
370,Master's Degree,General,Merit,
371,Bachelor's Degree,,Pass,
372,Master's Degree,Technology,,
372,O/L,Arts,Merit,
373,O/L,Technology,Pass,
373,Master's Degree,Science,Distinction,
373,A/L,Technology,Pass,
374,Bachelor's Degree,Science,Pass,
374,O/L,Science,,
375,O/L,,Distinction,
375,Master's Degree,,Pass,
375,A/L,,Pass,
376,Bachelor's Degree,General,,
376,Master's Degree,Science,Merit,
377,Master's Degree,Technology,Distinction,
377,A/L,General,,
378,O/L,Arts,Pass,
379,O/L,Arts,,
380,O/L,Science,Merit,
380,A/L,Technology,,
381,Master's Degree,,,
382,Master's Degree,Commerce,Merit,
383,Bachelor's Degree,,Merit,
384,O/L,Science,Pass,
384,Bachelor's Degree,Arts,,
385,A/L,,Distinction,
385,Master's Degree,,Distinction,
385,O/L,Technology,Merit,
386,Bachelor's Degree,Science,Distinction,
386,Master's Degree,General,,
387,Bachelor's Degree,Arts,Distinction,
387,O/L,General,Distinction,
388,O/L,General,Pass,
388,Bachelor's Degree,Science,Merit,
388,A/L,General,Pass,
389,Master's Degree,Arts,Distinction,
389,A/L,,Distinction,
390,Master's Degree,General,,
390,Bachelor's Degree,Arts,Pass,
390,A/L,Science,,
391,O/L,,,
391,Master's Degree,General,,
392,Bachelor's Degree,Technology,,
393,Master's Degree,Arts,Distinction,
393,Bachelor's Degree,Commerce,,
393,A/L,Technology,Pass,
394,O/L,Technology,,
394,Bachelor's Degree,Arts,,
394,A/L,General,Pass,
395,A/L,Commerce,,
396,Bachelor's Degree,Science,Merit,
397,O/L,,Merit,
397,A/L,Science,Distinction,
397,Bachelor's Degree,Commerce,Merit,
398,A/L,Science,Distinction,
398,Master's Degree,General,,
399,Bachelor's Degree,Commerce,Distinction,
399,Master's Degree,,Pass,
400,Bachelor's Degree,,Pass,
400,A/L,Technology,Pass,
401,A/L,General,,
401,Master's Degree,General,,
402,O/L,Arts,Pass,
403,O/L,Arts,Pass,
403,Bachelor's Degree,Science,Distinction,
403,A/L,Arts,,
404,A/L,Technology,Pass,
405,O/L,General,Pass,
405,Bachelor's Degree,General,Merit,
405,Master's Degree,Arts,Distinction,
406,O/L,General,Merit,
406,Master's Degree,General,Pass,
406,Bachelor's Degree,Arts,Distinction,
407,O/L,Technology,Distinction,
407,A/L,General,Pass,
407,Bachelor's Degree,Technology,Pass,
408,O/L,,Distinction,
408,Master's Degree,,Pass,
409,Bachelor's Degree,Commerce,Distinction,
409,A/L,Science,Pass,
409,Master's Degree,Arts,Merit,
410,Bachelor's Degree,Arts,Merit,
411,Master's Degree,Commerce,,
412,Master's Degree,Commerce,Pass,
413,Bachelor's Degree,,Pass,
413,A/L,Arts,Pass,
413,O/L,Arts,Pass,
414,Bachelor's Degree,Technology,Pass,
414,O/L,,Merit,
414,Master's Degree,General,Pass,
415,Master's Degree,,Pass,
416,Bachelor's Degree,Arts,Merit,
417,A/L,Science,,
418,A/L,,Pass,
419,A/L,Science,Merit,
419,Master's Degree,Arts,Pass,
419,O/L,Science,,
420,A/L,Arts,Merit,
420,Master's Degree,Science,Distinction,
421,A/L,Arts,Pass,
422,O/L,Technology,Pass,
422,A/L,Commerce,,
422,Bachelor's Degree,Arts,Merit,
423,O/L,Arts,,
423,Master's Degree,Arts,Pass,
423,Bachelor's Degree,Science,Merit,
424,O/L,Technology,Pass,
424,Master's Degree,Arts,Pass,
424,Bachelor's Degree,Technology,Merit,
425,Bachelor's Degree,General,Pass,
425,O/L,Technology,Distinction,
425,Master's Degree,General,Merit,
426,A/L,Commerce,Pass,
426,O/L,General,,
427,O/L,Science,,
427,A/L,,Pass,
427,Master's Degree,General,Distinction,
428,Master's Degree,,Pass,
428,O/L,Arts,Pass,
428,Bachelor's Degree,,,
429,Bachelor's Degree,Technology,,
429,Master's Degree,Arts,Pass,
429,A/L,Science,,
430,A/L,,,
431,Master's Degree,Technology,Merit,
432,Master's Degree,Technology,Pass,
432,O/L,Arts,,
432,A/L,Commerce,Distinction,
433,A/L,Science,Pass,
433,Master's Degree,Arts,,
434,Master's Degree,Technology,,
434,Bachelor's Degree,Technology,Pass,
434,O/L,Science,Merit,
435,A/L,Science,Distinction,
435,Bachelor's Degree,Commerce,Pass,
436,Bachelor's Degree,,Pass,
436,A/L,Technology,Pass,
436,O/L,Commerce,,
437,O/L,General,Distinction,
438,Master's Degree,Technology,Pass,
438,A/L,Science,Merit,
438,O/L,Arts,Merit,
439,Master's Degree,General,,
440,Master's Degree,Technology,Distinction,
440,A/L,General,Pass,
441,A/L,Technology,Distinction,
441,Master's Degree,Arts,Distinction,
442,Bachelor's Degree,Commerce,,
442,A/L,General,Distinction,
443,A/L,Science,Distinction,
444,O/L,Commerce,Merit,
