PersonalID,SkillName,ProficiencyLevel
77,Forklift Operation,Basic
77,Nursing,Basic
77,Retail Sales,Intermediate
78,Painting,Basic
78,Logistics Coordination,Basic
78,Inventory Management,Advanced
79,Inventory Management,Advanced
79,Sewing,Basic
80,IT Skills,Intermediate
81,Home Cleaning,Intermediate
82,Caregiving,Advanced
82,Inventory Management,Intermediate
82,Front Desk Operations,Advanced
82,Security Guarding,Intermediate
82,Horticulture,Intermediate
83,Painting,Advanced
83,Textile Machine Operation,Advanced
83,Janitorial Skills,Intermediate
84,Barista Skills,Basic
85,Sewing,Intermediate
85,Nursing,Basic
86,Scaffolding,Advanced
86,Garment Quality Control,Basic
86,Driving,Basic
87,Housekeeping,Basic
87,Childcare,Advanced
87,Kitchen Assistance,Advanced
88,Beauty Therapy,Intermediate
88,Electrical,Advanced
89,Food Preparation,Advanced
89,Laundry,Intermediate
89,Masonry,Advanced
90,Delivery Driving,Intermediate
90,Serving,Advanced
90,Front Desk Operations,Basic
91,Laundry,Basic
92,Packing,Basic
93,Plumbing,Advanced
93,Barista Skills,Advanced
94,Inventory Management,Basic
94,Bookkeeping,Advanced
94,Elderly Care,Intermediate
94,Accounting,Advanced
95,Nursing,Intermediate
95,Driving,Basic
96,Barista Skills,Basic
96,Logistics Coordination,Intermediate
96,Quality Inspection,Intermediate
97,Nursing,Basic
98,Nursing,Basic
99,Driving,Intermediate
99,Laundry,Advanced
101,Nursing,Advanced
102,Data Entry,Basic
102,Sewing,Basic
102,Guest Relations,Basic
103,Serving,Advanced
103,Food Preparation,Intermediate
104,Nursing,Basic
104,Vehicle Maintenance,Intermediate
104,Horticulture,Advanced
105,Vehicle Maintenance,Intermediate
105,Hairdressing,Intermediate
106,Laundry,Basic
107,Driving,Intermediate
107,Forklift Operation,Advanced
107,Guest Relations,Advanced
108,Packing,Advanced
108,Elderly Care,Advanced
109,Sewing,Intermediate
109,Facility Maintenance,Intermediate
109,Beauty Therapy,Advanced
110,Carpentry,Advanced
110,Hotel Housekeeping,Advanced
110,Sewing,Advanced
110,Welding,Intermediate
111,Sewing,Basic
112,Nursing,Intermediate
112,Farming,Basic
113,Driving,Advanced
114,Packing,Advanced
115,Driving,Basic
116,Carpentry,Basic
116,Livestock Management,Basic
117,Nursing,Basic
118,Administrative Support,Basic
118,Tailoring,Intermediate
118,Livestock Management,Advanced
119,Bar Bending,Intermediate
120,Accounting,Intermediate
120,Nursing,Basic
120,Driving,Intermediate
121,Scaffolding,Intermediate
121,Patient Care,Intermediate
121,Janitorial Skills,Basic
122,Driving,Intermediate
122,Hairdressing,Intermediate
123,Excel,Basic
123,CCTV Monitoring,Basic
123,Nursing,Advanced
123,Customer Service,Basic
123,Fishing,Basic
124,Teaching Assistance,Intermediate
124,IT Skills,Advanced
125,Food Preparation,Intermediate
125,Health Aide,Advanced
125,Teaching Assistance,Intermediate
125,Plumbing,Intermediate
126,Excel,Intermediate
126,Horticulture,Basic
126,Sewing,Basic
127,Bar Bending,Intermediate
127,Patient Care,Advanced
128,Electrical,Intermediate
128,Sewing,Intermediate
129,Carpentry,Basic
130,Hotel Housekeeping,Intermediate
131,Vehicle Maintenance,Advanced
131,Driving,Intermediate
131,Administrative Support,Advanced
131,Teaching Assistance,Basic
132,Garment Quality Control,Advanced
132,Elderly Care,Intermediate
132,Bar Bending,Basic
132,Sewing,Advanced
133,Driving,Advanced
133,Fishing,Advanced
133,Heavy Vehicle Driving,Advanced
134,Scaffolding,Intermediate
134,Driving,Basic
134,Nursing,Basic
136,Customer Service,Basic
136,Electrical,Intermediate
136,MS Office,Basic
137,Elderly Care,Basic
137,Driving,Advanced
137,Logistics Coordination,Advanced
137,Janitorial Skills,Basic
137,Excel,Basic
138,Driving,Intermediate
138,Childcare,Basic
139,Forklift Operation,Advanced
140,Textile Machine Operation,Advanced
140,Childcare,Intermediate
140,Shuttering Carpentry,Intermediate
140,Bookkeeping,Basic
141,Driving,Advanced
141,Hotel Housekeeping,Intermediate
142,Health Aide,Basic
142,Nursing,Basic
143,Retail Sales,Basic
143,Plumbing,Basic
143,Nursing,Intermediate
144,Driving,Advanced
144,Serving,Basic
145,IT Skills,Basic
145,Childcare,Intermediate
145,Home Cleaning,Advanced
145,Delivery Driving,Basic
146,Security Guarding,Basic
146,Driving,Advanced
147,Childcare,Advanced
147,Home Cleaning,Advanced
147,Nursing,Basic
147,Electrical,Intermediate
148,Painting,Advanced
148,Health Aide,Advanced
148,Barista Skills,Advanced
148,Administrative Support,Intermediate
149,Food Preparation,Advanced
150,Makeup Artistry,Advanced
150,Tiling,Intermediate
151,Livestock Management,Basic
151,Cooking,Advanced
151,Serving,Advanced
151,Tiling,Basic
151,Bookkeeping,Intermediate
152,Nursing,Basic
153,Childcare,Intermediate
154,Nursing,Advanced
155,Tailoring,Advanced
156,Medical Assistance,Basic
156,Construction Supervision,Basic
158,Tailoring,Basic
159,Driving,Intermediate
159,Nursing,Basic
159,Laundry,Intermediate
160,Serving,Intermediate
160,Nursing,Intermediate
160,Livestock Management,Intermediate
161,Nursing,Intermediate
161,Horticulture,Intermediate
162,Horticulture,Intermediate
162,Accounting,Basic
163,Front Desk Operations,Advanced
164,Construction Supervision,Advanced
165,Nursing,Advanced
166,Painting,Basic
166,Driving,Intermediate
166,Tailoring,Intermediate
166,Shuttering Carpentry,Basic
167,Driving,Basic
167,Sewing,Advanced
168,MS Office,Basic
169,Tiling,Advanced
169,Food Preparation,Intermediate
169,Administrative Support,Advanced
170,Food Preparation,Basic
170,Hairdressing,Advanced
171,Fishing,Basic
172,Kitchen Assistance,Advanced
172,Front Desk Operations,Advanced
172,Farming,Intermediate
173,Serving,Basic
173,Customer Service,Advanced
174,Garment Quality Control,Intermediate
174,Retail Sales,Advanced
174,Scaffolding,Intermediate
174,MS Office,Basic
174,IT Skills,Basic
175,Fishing,Basic
176,Front Desk Operations,Intermediate
176,Caregiving,Advanced
176,Elderly Care,Advanced
176,Data Entry,Basic
177,Nursing,Advanced
178,Administrative Support,Basic
178,Barista Skills,Basic
178,IT Skills,Basic
178,Teaching Assistance,Intermediate
179,Packing,Advanced
180,Shuttering Carpentry,Basic
180,Bar Bending,Intermediate
181,Accounting,Intermediate
181,Packing,Basic
182,CCTV Monitoring,Basic
183,Serving,Basic
183,Facility Maintenance,Basic
183,Cooking,Intermediate
183,Logistics Coordination,Intermediate
184,Quality Inspection,Intermediate
184,Bar Bending,Advanced
185,Kitchen Assistance,Advanced
185,Hairdressing,Basic
185,Elderly Care,Advanced
185,Carpentry,Advanced
186,Quality Inspection,Intermediate
186,Sewing,Advanced
187,Scaffolding,Advanced
187,IT Skills,Basic
187,Livestock Management,Advanced
188,Sewing,Advanced
188,Facility Maintenance,Basic
189,Cooking,Advanced
189,IT Skills,Advanced
190,Front Desk Operations,Advanced
190,Guest Relations,Intermediate
191,Delivery Driving,Basic
192,Childcare,Basic
192,Caregiving,Basic
192,Front Desk Operations,Advanced
193,Vehicle Maintenance,Basic
193,Health Aide,Intermediate
194,Accounting,Basic
195,Serving,Basic
195,Plumbing,Basic
195,Food Preparation,Intermediate
196,Plumbing,Basic
196,CCTV Monitoring,Intermediate
197,Barista Skills,Intermediate
198,Tailoring,Advanced
199,Excel,Basic
200,First Aid,Basic
201,Barista Skills,Advanced
201,Farming,Intermediate
201,Facility Maintenance,Advanced
202,Guest Relations,Basic
202,Serving,Basic
203,Construction Supervision,Intermediate
203,Security Guarding,Advanced
204,Medical Assistance,Basic
204,Livestock Management,Advanced
205,Heavy Vehicle Driving,Intermediate
206,First Aid,Intermediate
206,Logistics Coordination,Intermediate
206,Vehicle Maintenance,Intermediate
207,Masonry,Advanced
208,Home Cleaning,Advanced
208,Concrete Mixing,Intermediate
210,Sewing,Basic
210,Horticulture,Advanced
210,Fishing,Advanced
211,Beauty Therapy,Advanced
211,Laundry,Advanced
212,Excel,Basic
213,Cooking,Basic
213,Delivery Driving,Intermediate
213,Accounting,Basic
214,Plumbing,Basic
215,Scaffolding,Advanced
215,Painting,Intermediate
215,Plumbing,Advanced
216,Packing,Advanced
216,Vehicle Maintenance,Intermediate
216,Textile Machine Operation,Intermediate
217,Bar Bending,Advanced
217,IT Skills,Advanced
217,Beauty Therapy,Advanced
218,Vehicle Maintenance,Basic
218,Driving,Advanced
218,Food Preparation,Advanced
219,Nursing,Advanced
219,Cooking,Basic
219,Laundry,Intermediate
220,Bar Bending,Intermediate
220,Livestock Management,Intermediate
220,CCTV Monitoring,Intermediate
220,Barista Skills,Intermediate
221,Logistics Coordination,Advanced
221,Hairdressing,Advanced
221,Fishing,Basic
221,Teaching Assistance,Basic
222,Administrative Support,Intermediate
222,Garment Quality Control,Basic
223,Facility Maintenance,Intermediate
223,Packing,Basic
223,Heavy Vehicle Driving,Intermediate
224,Nursing,Basic
225,Laundry,Intermediate
226,Hairdressing,Basic
226,Teaching Assistance,Basic
226,Cooking,Intermediate
227,Textile Machine Operation,Intermediate
227,Serving,Basic
227,Electrical,Advanced
228,Patient Care,Intermediate
228,Retail Sales,Intermediate
229,Livestock Management,Basic
229,Retail Sales,Basic
229,Facility Maintenance,Basic
229,Quality Inspection,Intermediate
230,Driving,Basic
231,Laundry,Intermediate
231,Electrical,Basic
231,Logistics Coordination,Basic
231,Sewing,Advanced
232,Nursing,Intermediate
233,Sewing,Intermediate
234,MS Office,Advanced
234,Bar Bending,Advanced
234,Tailoring,Advanced
234,Housekeeping,Advanced
235,Housekeeping,Advanced
235,Home Cleaning,Intermediate
236,Delivery Driving,Intermediate
237,Housekeeping,Intermediate
237,Bookkeeping,Advanced
238,Housekeeping,Intermediate
239,Administrative Support,Intermediate
239,Front Desk Operations,Intermediate
239,Packing,Advanced
239,Farming,Advanced
240,Nursing,Advanced
240,Accounting,Basic
241,Garment Quality Control,Intermediate
242,Plumbing,Intermediate
243,Serving,Advanced
243,Hotel Housekeeping,Intermediate
243,Garment Quality Control,Advanced
244,Garment Quality Control,Basic
245,Data Entry,Basic
245,Horticulture,Advanced
245,Retail Sales,Advanced
245,Security Guarding,Basic
246,Nursing,Intermediate
246,Masonry,Basic
247,Fishing,Basic
247,MS Office,Basic
248,Shuttering Carpentry,Basic
248,Patient Care,Basic
248,Guest Relations,Basic
249,Welding,Basic
249,First Aid,Intermediate
250,CCTV Monitoring,Intermediate
250,Kitchen Assistance,Advanced
251,Tiling,Basic
251,Driving,Basic
251,Caregiving,Intermediate
252,Sewing,Advanced
253,Packing,Basic
253,Nursing,Intermediate
254,Housekeeping,Basic
254,Patient Care,Basic
254,Livestock Management,Intermediate
254,Cooking,Basic
255,Farming,Basic
255,Masonry,Intermediate
256,Nursing,Intermediate
256,Front Desk Operations,Intermediate
257,Fishing,Advanced
257,Beauty Therapy,Advanced
257,Sewing,Basic
258,Sewing,Basic
259,Painting,Basic
259,Food Preparation,Advanced
260,Driving,Advanced
260,Home Cleaning,Advanced
260,Vehicle Maintenance,Intermediate
260,Medical Assistance,Intermediate
261,Food Preparation,Basic
261,Janitorial Skills,Intermediate
261,Makeup Artistry,Basic
262,Packing,Intermediate
263,Tiling,Advanced
263,Carpentry,Basic
264,Facility Maintenance,Basic
265,Fishing,Advanced
265,Packing,Intermediate
265,Facility Maintenance,Intermediate
266,Nursing,Advanced
267,MS Office,Intermediate
267,Cooking,Intermediate
267,Scaffolding,Advanced
269,Elderly Care,Advanced
269,Masonry,Advanced
269,Childcare,Basic
270,IT Skills,Basic
271,Laundry,Intermediate
272,Sewing,Advanced
273,Excel,Intermediate
274,Delivery Driving,Advanced
274,IT Skills,Advanced
274,Medical Assistance,Basic
274,Security Guarding,Advanced
275,Heavy Vehicle Driving,Advanced
275,Retail Sales,Intermediate
276,First Aid,Intermediate
277,Bar Bending,Intermediate
278,Sewing,Basic
279,Electrical,Intermediate
280,Farming,Basic
281,Laundry,Advanced
282,Sewing,Basic
283,Beauty Therapy,Advanced
283,Laundry,Intermediate
284,Masonry,Basic
285,Bookkeeping,Basic
285,Logistics Coordination,Intermediate
285,Data Entry,Advanced
285,Delivery Driving,Intermediate
286,Carpentry,Intermediate
286,Plumbing,Basic
286,Laundry,Advanced
286,Retail Sales,Basic
286,Barista Skills,Basic
287,Retail Sales,Intermediate
287,Bar Bending,Advanced
288,Scaffolding,Advanced
288,Heavy Vehicle Driving,Basic
288,Sewing,Basic
289,Vehicle Maintenance,Intermediate
289,Welding,Advanced
289,Food Preparation,Advanced
289,Barista Skills,Intermediate
290,Facility Maintenance,Intermediate
290,Administrative Support,Advanced
291,Front Desk Operations,Intermediate
292,Bar Bending,Intermediate
293,Masonry,Basic
293,Carpentry,Advanced
293,Hotel Housekeeping,Intermediate
294,Hairdressing,Intermediate
294,Nursing,Advanced
295,Excel,Intermediate
295,Laundry,Basic
296,Fishing,Advanced
296,Security Guarding,Intermediate
297,Patient Care,Basic
297,Logistics Coordination,Intermediate
297,Nursing,Basic
298,Welding,Basic
299,CCTV Monitoring,Intermediate
299,Health Aide,Intermediate
299,Housekeeping,Basic
299,Welding,Advanced
299,Medical Assistance,Basic
300,Vehicle Maintenance,Intermediate
300,Front Desk Operations,Basic
301,Driving,Intermediate
301,Bookkeeping,Advanced
301,Concrete Mixing,Intermediate
302,Elderly Care,Basic
302,Garment Quality Control,Advanced
302,Electrical,Basic
302,Facility Maintenance,Intermediate
303,Janitorial Skills,Advanced
303,Nursing,Advanced
303,Hairdressing,Basic
304,Driving,Basic
304,IT Skills,Intermediate
305,Janitorial Skills,Intermediate
305,Carpentry,Basic
305,Delivery Driving,Basic
305,Shuttering Carpentry,Advanced
306,Bar Bending,Intermediate
306,Home Cleaning,Advanced
306,Tailoring,Advanced
307,Packing,Advanced
308,Nursing,Advanced
309,Masonry,Advanced
309,Nursing,Advanced
309,Administrative Support,Intermediate
310,Packing,Intermediate
311,Kitchen Assistance,Basic
311,Patient Care,Advanced
311,Packing,Intermediate
311,Masonry,Basic
311,Janitorial Skills,Intermediate
312,Cooking,Intermediate
313,Driving,Basic
313,Laundry,Basic
313,Accounting,Basic
313,Inventory Management,Basic
314,Elderly Care,Intermediate
314,CCTV Monitoring,Intermediate
315,CCTV Monitoring,Advanced
316,Sewing,Intermediate
316,Kitchen Assistance,Advanced
317,Food Preparation,Intermediate
317,Bar Bending,Advanced
318,Laundry,Advanced
318,Forklift Operation,Advanced
318,Inventory Management,Basic
319,Data Entry,Advanced
319,Hairdressing,Intermediate
320,Serving,Advanced
320,Cooking,Basic
320,Nursing,Intermediate
320,Concrete Mixing,Advanced
321,Retail Sales,Intermediate
322,Driving,Intermediate
322,Nursing,Intermediate
323,MS Office,Basic
323,Electrical,Advanced
324,Construction Supervision,Basic
324,Nursing,Intermediate
325,Scaffolding,Basic
325,Security Guarding,Intermediate
325,Nursing,Intermediate
325,Guest Relations,Advanced
326,Plumbing,Advanced
326,Front Desk Operations,Basic
327,Heavy Vehicle Driving,Intermediate
328,Laundry,Advanced
329,Elderly Care,Advanced
329,MS Office,Intermediate
329,Janitorial Skills,Intermediate
329,Welding,Intermediate
330,Welding,Basic
330,Childcare,Intermediate
331,Serving,Basic
331,Makeup Artistry,Basic
331,Textile Machine Operation,Advanced
332,MS Office,Basic
332,Administrative Support,Advanced
332,CCTV Monitoring,Intermediate
333,Laundry,Intermediate
334,Home Cleaning,Intermediate
334,Elderly Care,Intermediate
334,First Aid,Basic
335,Nursing,Advanced
335,Heavy Vehicle Driving,Advanced
336,Excel,Intermediate
336,Farming,Basic
336,Forklift Operation,Advanced
337,Makeup Artistry,Advanced
337,Food Preparation,Basic
338,Sewing,Advanced
339,CCTV Monitoring,Intermediate
339,Tiling,Intermediate
339,Heavy Vehicle Driving,Intermediate
339,Vehicle Maintenance,Intermediate
339,IT Skills,Basic
340,Nursing,Advanced
340,CCTV Monitoring,Basic
341,Electrical,Advanced
341,Kitchen Assistance,Intermediate
341,Patient Care,Intermediate
341,Nursing,Advanced
342,Caregiving,Intermediate
343,Makeup Artistry,Advanced
343,Banquet Service,Basic
344,Bookkeeping,Basic
344,Patient Care,Intermediate
345,Nursing,Intermediate
346,Customer Service,Advanced
346,Shuttering Carpentry,Intermediate
346,Serving,Intermediate
347,Nursing,Advanced
347,Accounting,Advanced
348,Forklift Operation,Intermediate
348,Tiling,Intermediate
348,Concrete Mixing,Basic
348,Laundry,Advanced
349,Laundry,Intermediate
349,Nursing,Intermediate
350,Livestock Management,Basic
350,Concrete Mixing,Intermediate
351,Beauty Therapy,Intermediate
351,Heavy Vehicle Driving,Basic
351,Food Preparation,Basic
351,Bookkeeping,Intermediate
352,Sewing,Advanced
353,Food Preparation,Advanced
354,Forklift Operation,Advanced
354,Driving,Intermediate
354,Administrative Support,Advanced
354,Banquet Service,Intermediate
355,Construction Supervision,Advanced
356,Elderly Care,Basic
357,Childcare,Advanced
358,Serving,Advanced
358,Makeup Artistry,Intermediate
358,Tailoring,Basic
359,Nursing,Intermediate
359,Administrative Support,Basic
359,Laundry,Advanced
359,Makeup Artistry,Basic
359,Patient Care,Basic
360,Food Preparation,Basic
360,Home Cleaning,Intermediate
360,Bookkeeping,Intermediate
360,Retail Sales,Advanced
361,First Aid,Intermediate
362,Food Preparation,Basic
363,Driving,Intermediate
364,Sewing,Advanced
364,Packing,Advanced
365,Inventory Management,Basic
365,Tailoring,Advanced
365,Shuttering Carpentry,Advanced
365,MS Office,Advanced
365,Facility Maintenance,Basic
366,Nursing,Advanced
367,Textile Machine Operation,Advanced
368,Laundry,Intermediate
369,Laundry,Intermediate
369,Nursing,Basic
370,Sewing,Basic
371,Nursing,Advanced
372,Farming,Basic
372,Facility Maintenance,Basic
372,Administrative Support,Intermediate
373,Banquet Service,Advanced
373,Driving,Intermediate
373,Facility Maintenance,Advanced
373,Farming,Intermediate
374,Sewing,Basic
374,Driving,Basic
375,Janitorial Skills,Intermediate
375,Painting,Intermediate
376,Farming,Advanced
376,Driving,Intermediate
376,Banquet Service,Advanced
377,Hotel Housekeeping,Advanced
377,Security Guarding,Advanced
377,Beauty Therapy,Intermediate
377,Painting,Advanced
378,Front Desk Operations,Advanced
379,Nursing,Advanced
380,Front Desk Operations,Basic
380,Nursing,Advanced
380,Vehicle Maintenance,Advanced
381,Front Desk Operations,Intermediate
381,Garment Quality Control,Basic
381,Administrative Support,Basic
381,Health Aide,Intermediate
382,Driving,Advanced
382,Food Preparation,Basic
382,Health Aide,Basic
383,Shuttering Carpentry,Basic
383,CCTV Monitoring,Advanced
384,Security Guarding,Intermediate
385,Tiling,Basic
386,Caregiving,Basic
386,Hairdressing,Basic
387,Serving,Basic
387,Carpentry,Basic
388,Masonry,Advanced
389,Bookkeeping,Intermediate
389,Farming,Basic
389,Horticulture,Basic
390,Caregiving,Advanced
391,Laundry,Advanced
392,Livestock Management,Advanced
393,Cooking,Advanced
393,Medical Assistance,Advanced
394,Masonry,Advanced
394,Barista Skills,Advanced
394,Nursing,Advanced
395,Bookkeeping,Basic
395,Tailoring,Advanced
395,Front Desk Operations,Advanced
396,Sewing,Basic
397,Garment Quality Control,Intermediate
397,Nursing,Advanced
397,Kitchen Assistance,Intermediate
398,Vehicle Maintenance,Basic
399,Caregiving,Intermediate
400,Painting,Intermediate
400,Data Entry,Intermediate
400,Tiling,Basic
401,Banquet Service,Intermediate
401,Inventory Management,Intermediate
402,Laundry,Intermediate
402,Janitorial Skills,Advanced
403,Hairdressing,Basic
403,Concrete Mixing,Advanced
403,Nursing,Basic
403,Horticulture,Intermediate
404,Home Cleaning,Intermediate
404,Kitchen Assistance,Intermediate
404,Makeup Artistry,Basic
405,MS Office,Basic
405,Banquet Service,Basic
405,Front Desk Operations,Advanced
405,Bar Bending,Basic
406,Heavy Vehicle Driving,Advanced
406,Farming,Intermediate
406,Plumbing,Basic
406,Home Cleaning,Basic
407,Textile Machine Operation,Basic
408,Forklift Operation,Basic
408,Facility Maintenance,Advanced
408,Driving,Basic
408,Front Desk Operations,Advanced
409,Teaching Assistance,Intermediate
409,Laundry,Intermediate
409,Farming,Intermediate
410,Nursing,Advanced
411,Excel,Basic
411,Caregiving,Advanced
411,Construction Supervision,Basic
412,Plumbing,Advanced
412,MS Office,Intermediate
413,Data Entry,Basic
414,Quality Inspection,Advanced
414,Shuttering Carpentry,Advanced
414,Carpentry,Intermediate
415,Accounting,Advanced
415,Fishing,Advanced
415,Guest Relations,Intermediate
416,Tailoring,Intermediate
416,Beauty Therapy,Intermediate
416,MS Office,Advanced
417,Medical Assistance,Basic
418,Fishing,Advanced
419,Laundry,Intermediate
420,Electrical,Basic
420,Cooking,Basic
420,Health Aide,Intermediate
420,Fishing,Intermediate
421,Sewing,Advanced
421,Nursing,Intermediate
422,Shuttering Carpentry,Basic
422,Masonry,Advanced
423,Security Guarding,Intermediate
423,First Aid,Basic
423,Laundry,Basic
423,Masonry,Basic
424,Laundry,Intermediate
425,Fishing,Advanced
426,Banquet Service,Advanced
426,Delivery Driving,Intermediate
426,Logistics Coordination,Intermediate
426,Hairdressing,Advanced
427,Hotel Housekeeping,Intermediate
427,Facility Maintenance,Intermediate
427,Shuttering Carpentry,Intermediate
428,Sewing,Intermediate
429,Medical Assistance,Basic
429,Excel,Intermediate
429,Banquet Service,Basic
429,CCTV Monitoring,Advanced
430,Nursing,Advanced
431,MS Office,Basic
431,First Aid,Intermediate
432,Painting,Basic
432,Farming,Basic
433,Elderly Care,Advanced
434,Painting,Advanced
435,Administrative Support,Intermediate
436,Garment Quality Control,Advanced
437,Shuttering Carpentry,Advanced
437,Laundry,Intermediate
438,Hairdressing,Basic
439,Patient Care,Basic
439,Data Entry,Basic
439,MS Office,Advanced
440,Concrete Mixing,Basic
441,Driving,Basic
441,Nursing,Basic
441,Sewing,Basic
442,IT Skills,Basic
443,Fishing,Advanced
443,Driving,Intermediate
444,Livestock Management,Advanced
444,Textile Machine Operation,Advanced
445,Bar Bending,Basic
445,MS Office,Basic
446,Tiling,Advanced
447,Plumbing,Intermediate
448,Elderly Care,Basic
448,Horticulture,Advanced
448,Hotel Housekeeping,Intermediate
449,Elderly Care,Basic
449,Sewing,Advanced
449,Heavy Vehicle Driving,Intermediate
450,Nursing,Intermediate
451,Administrative Support,Basic
451,Hotel Housekeeping,Advanced
451,Fishing,Basic
452,Tailoring,Basic
453,Plumbing,Advanced
453,Forklift Operation,Basic
454,Sewing,Intermediate
454,Construction Supervision,Advanced
455,CCTV Monitoring,Basic
455,Carpentry,Advanced
455,Masonry,Advanced
456,Tiling,Basic
456,Customer Service,Basic
457,Medical Assistance,Basic
457,Health Aide,Basic
457,Fishing,Advanced
458,Facility Maintenance,Advanced
458,Concrete Mixing,Advanced
458,Shuttering Carpentry,Intermediate
459,Serving,Advanced
459,Quality Inspection,Basic
460,Sewing,Intermediate
460,Caregiving,Advanced
460,CCTV Monitoring,Intermediate
460,Banquet Service,Basic
460,Teaching Assistance,Advanced
461,Driving,Basic
461,Kitchen Assistance,Advanced
461,Construction Supervision,Basic
461,Livestock Management,Basic
462,Home Cleaning,Basic
462,Horticulture,Basic
462,Nursing,Basic
463,Sewing,Basic
464,Bar Bending,Intermediate
464,Security Guarding,Advanced
464,Logistics Coordination,Intermediate
465,Sewing,Advanced
465,Livestock Management,Intermediate
465,Painting,Basic
465,Elderly Care,Advanced
466,Accounting,Intermediate
466,Vehicle Maintenance,Basic
466,Administrative Support,Intermediate
467,Administrative Support,Advanced
467,Patient Care,Intermediate
468,Delivery Driving,Intermediate
468,Security Guarding,Basic
469,Barista Skills,Advanced
469,Cooking,Intermediate
