PersonalID,QualificationType,CourseName,University,Year,Result
332,Higher Diploma,Nursing International,Eastern University,2020,Pass
339,BA,Nursing International,University of Ruhuna,2020,
354,Diploma,Nursing Premier,NSBM Green University,2013,Second Lower
359,Higher Diploma,Business International,University of Colombo,2003,Second Upper
373,BSc,Accounting Tech,SLIIT,1994,Second Lower
376,BSc,Hospitality Elite,SLIIT,2014,First Class
376,BA,Accounting Tech,University of Kelaniya,2023,Second Lower
378,BA,Hospitality Premier,University of Kelaniya,2017,Pass
382,Diploma,Engineering Elite,University of Ruhuna,2022,Second Lower
384,BA,Engineering International,Eastern University,2019,Second Lower
396,Diploma,Engineering Premier,University of Moratuwa,1993,Merit
398,Diploma,Business Global,University of Colombo,2014,Second Lower
422,Diploma,Hospitality National,SLIIT,1984,First Class
422,BA,Accounting Advanced,University of Moratuwa,2004,Second Upper
429,BA,Engineering Advanced,University of Peradeniya,2018,Second Lower
429,Higher Diploma,Computer Science Elite,NSBM Green University,1989,Second Upper
434,BSc,Nursing International,University of Sri Jayewardenepura,1999,Second Upper
443,BA,Hospitality Advanced,University of Sri Jayewardenepura,2023,Second Lower
444,Diploma,Business Tech,University of Peradeniya,1987,Merit
448,Diploma,Nursing International,Eastern University,2001,First Class
448,BSc,Business Tech,University of Sri Jayewardenepura,1999,First Class
455,BSc,Engineering Global,University of Moratuwa,1985,Second Upper
455,BA,Computer Science International,Open University of Sri Lanka,2003,Second Upper
458,BSc,Business International,NSBM Green University,2001,Pass
469,Higher Diploma,Hospitality Premier,NSBM Green University,2023,First Class
469,Higher Diploma,Hospitality Tech,University of Peradeniya,1991,
469,Higher Diploma,Accounting Global,Eastern University,2012,
470,BSc,Business Elite,Open University of Sri Lanka,1985,First Class
471,BA,Computer Science Premier,University of Peradeniya,1983,Pass
473,Diploma,Business Premier,University of Moratuwa,1997,Pass
475,Higher Diploma,Business International,University of Peradeniya,2023,Second Upper
476,BSc,Business Elite,NSBM Green University,1992,Second Lower
477,BA,Hospitality International,University of Sri Jayewardenepura,2004,
478,BA,Computer Science Premier,University of Peradeniya,2007,First Class
481,BSc,Business Premier,University of Kelaniya,2007,Second Lower
486,Higher Diploma,Accounting Elite,Eastern University,2002,Second Lower
487,BA,Hospitality Global,University of Sri Jayewardenepura,1999,Second Lower
490,Higher Diploma,Computer Science Premier,University of Kelaniya,2001,Merit
490,BSc,Accounting Elite,University of Sri Jayewardenepura,1996,Second Upper
490,Higher Diploma,Computer Science Advanced,NSBM Green University,2014,
495,BSc,Hospitality Premier,University of Kelaniya,1981,Second Lower
499,Diploma,Computer Science International,University of Peradeniya,2010,Merit
511,Higher Diploma,Hospitality Advanced,University of Colombo,1989,Second Lower
521,MSc,Nursing Tech,NSBM Green University,2020,Pass
528,MSc,Business Elite,University of Kelaniya,1993,First Class
529,BA,Engineering International,University of Kelaniya,1983,First Class
532,BSc,Business Tech,University of Peradeniya,1981,Pass
533,Diploma,Nursing Advanced,Open University of Sri Lanka,1999,Pass
537,Diploma,Business Advanced,NSBM Green University,2020,Merit
537,BSc,Nursing International,University of Moratuwa,2011,Second Lower
541,Higher Diploma,Business National,University of Peradeniya,1997,Pass
552,MSc,Nursing National,University of Peradeniya,2018,Pass
553,Higher Diploma,Business Elite,NSBM Green University,2021,Pass
575,BSc,Hospitality Global,Open University of Sri Lanka,2015,Pass
577,Diploma,Nursing International,SLIIT,2020,Second Lower
586,MSc,Business Tech,University of Sri Jayewardenepura,2003,Pass
587,MSc,Business Elite,University of Sri Jayewardenepura,1987,Second Lower
591,Higher Diploma,Business Premier,University of Moratuwa,2014,Pass
591,BSc,Engineering International,University of Kelaniya,1993,Pass
595,BSc,Nursing Tech,University of Sri Jayewardenepura,1991,Second Lower
602,Diploma,Accounting Tech,NSBM Green University,1985,Pass
604,Higher Diploma,Computer Science National,University of Sri Jayewardenepura,2015,Pass
605,Diploma,Hospitality Global,University of Peradeniya,1991,
607,Diploma,Business Elite,SLIIT,2007,Second Upper
615,Higher Diploma,Nursing International,Eastern University,1991,Pass
619,MSc,Computer Science Tech,University of Ruhuna,2004,First Class
627,BA,Accounting Tech,SLIIT,1999,
635,BA,Nursing Tech,University of Kelaniya,2008,Second Upper
643,BSc,Computer Science International,University of Kelaniya,2003,Pass
643,BSc,Engineering Tech,University of Colombo,1998,Merit
643,BSc,Accounting Premier,University of Colombo,1997,
648,BA,Nursing National,Open University of Sri Lanka,1981,First Class
661,BSc,Nursing Elite,University of Peradeniya,2010,Pass
664,BA,Computer Science International,NSBM Green University,1995,First Class
665,Diploma,Computer Science Elite,University of Peradeniya,2020,Second Lower
672,BSc,Engineering Tech,Open University of Sri Lanka,2004,Second Upper
674,BA,Accounting Advanced,NSBM Green University,1988,Merit
694,BSc,Accounting Global,Eastern University,1982,Second Upper
694,MSc,Engineering International,SLIIT,1989,Second Lower
696,Diploma,Computer Science Elite,NSBM Green University,1994,Second Upper
696,MSc,Nursing National,University of Kelaniya,1990,Merit
702,Higher Diploma,Computer Science International,University of Sri Jayewardenepura,2013,Second Lower
703,MSc,Business Premier,Open University of Sri Lanka,2008,Second Lower
715,MSc,Engineering Global,University of Sri Jayewardenepura,1994,
720,BSc,Business National,University of Ruhuna,2017,Merit
729,BA,Business Elite,University of Sri Jayewardenepura,2017,Second Upper
732,BSc,Computer Science Elite,University of Peradeniya,2021,First Class
734,BSc,Nursing National,Open University of Sri Lanka,1990,First Class
741,BA,Business Elite,Eastern University,1990,Merit
749,BSc,Nursing Advanced,NSBM Green University,1980,Pass
760,BA,Nursing Tech,University of Peradeniya,1998,Pass
760,Diploma,Nursing Global,University of Kelaniya,2008,Merit
761,MSc,Computer Science Advanced,NSBM Green University,2025,Second Lower
769,Higher Diploma,Nursing Tech,SLIIT,2021,Second Upper
770,MSc,Business National,University of Colombo,1983,Second Lower
773,BSc,Nursing National,University of Ruhuna,2018,
783,BSc,Accounting National,Eastern University,1984,
785,BSc,Accounting International,University of Kelaniya,2025,Second Upper
805,BSc,Accounting Premier,University of Sri Jayewardenepura,2021,Second Lower
805,BA,Nursing International,University of Kelaniya,2008,Second Upper
814,MSc,Accounting Elite,University of Sri Jayewardenepura,1982,First Class
816,Higher Diploma,Computer Science National,SLIIT,2000,Pass
816,Higher Diploma,Computer Science Tech,University of Ruhuna,2022,Merit
819,BSc,Engineering Advanced,University of Peradeniya,2010,
821,Diploma,Engineering National,Open University of Sri Lanka,2018,
822,BA,Accounting Advanced,NSBM Green University,2001,Second Lower
831,BSc,Engineering International,University of Kelaniya,2013,Pass
837,BSc,Computer Science Advanced,Eastern University,1998,First Class
837,Higher Diploma,Hospitality Global,University of Sri Jayewardenepura,2004,Pass
837,BA,Business Advanced,University of Ruhuna,2001,Pass
838,BSc,Computer Science International,University of Moratuwa,2001,Merit
844,Higher Diploma,Hospitality Tech,University of Colombo,1991,First Class
857,Higher Diploma,Business Elite,University of Moratuwa,2016,Merit
861,Higher Diploma,Computer Science Elite,University of Colombo,1990,First Class
861,Higher Diploma,Hospitality International,Open University of Sri Lanka,1997,Pass
866,MSc,Nursing Advanced,SLIIT,2020,Merit
866,Higher Diploma,Hospitality Global,University of Sri Jayewardenepura,2014,Pass
867,BA,Business Elite,University of Colombo,2019,Pass
867,BSc,Nursing Advanced,University of Moratuwa,2010,Second Lower
870,Diploma,Nursing International,University of Sri Jayewardenepura,1989,Second Upper
870,MSc,Nursing National,Open University of Sri Lanka,2005,First Class
870,Higher Diploma,Nursing International,SLIIT,1994,Pass
873,MSc,Engineering Advanced,Open University of Sri Lanka,1999,Second Upper
886,MSc,Engineering National,University of Moratuwa,1981,Pass
893,Diploma,Business Tech,Open University of Sri Lanka,2005,Second Upper
896,MSc,Engineering Advanced,University of Colombo,1985,Second Lower
904,BSc,Computer Science Tech,University of Ruhuna,2014,Second Upper
920,BA,Nursing Tech,University of Kelaniya,1998,Second Lower
920,Diploma,Accounting National,University of Peradeniya,2012,Second Upper
924,Diploma,Nursing Advanced,University of Sri Jayewardenepura,2013,
930,MSc,Nursing Tech,NSBM Green University,1980,
933,MSc,Nursing Advanced,University of Moratuwa,2008,
934,BSc,Business Premier,University of Sri Jayewardenepura,1994,Second Upper
948,Diploma,Business Global,Eastern University,2023,
949,Diploma,Business Premier,Eastern University,2015,
949,BA,Business Global,University of Colombo,2014,Pass
949,BA,Computer Science Global,University of Ruhuna,2019,Pass
952,Diploma,Hospitality Tech,NSBM Green University,1991,Second Lower
956,BA,Hospitality Elite,University of Kelaniya,1994,First Class
960,BA,Accounting National,University of Moratuwa,2025,Second Upper
960,BSc,Nursing International,Eastern University,1983,Second Upper
981,Higher Diploma,Engineering Global,Eastern University,1988,Merit
1001,MSc,Hospitality National,University of Sri Jayewardenepura,1992,First Class
1003,Diploma,Computer Science Advanced,University of Peradeniya,1994,
1003,MSc,Accounting Tech,University of Kelaniya,1993,Merit
1008,MSc,Hospitality Premier,University of Colombo,1997,Second Lower
1014,BA,Engineering International,University of Kelaniya,1985,First Class
1038,Higher Diploma,Business Elite,SLIIT,2024,Second Lower
1039,BA,Hospitality Premier,University of Peradeniya,1994,Merit
1045,BSc,Business Premier,University of Ruhuna,2006,First Class
1052,BA,Computer Science Tech,University of Moratuwa,2023,Second Lower
1054,BSc,Computer Science National,University of Kelaniya,2008,Pass
1061,MSc,Engineering International,Eastern University,2009,
1063,MSc,Accounting Global,SLIIT,1984,Pass
1072,Higher Diploma,Engineering International,NSBM Green University,1984,First Class
1076,BSc,Engineering Global,University of Ruhuna,1994,
1077,BSc,Hospitality Premier,University of Moratuwa,2015,Second Upper
1084,Diploma,Accounting National,University of Colombo,2023,Second Lower
1096,MSc,Accounting International,University of Peradeniya,1995,Second Lower
1102,MSc,Nursing Advanced,University of Sri Jayewardenepura,2002,Second Lower
1102,BA,Hospitality Advanced,University of Sri Jayewardenepura,1988,Pass
1102,MSc,Hospitality Tech,University of Moratuwa,1993,Second Upper
1104,BSc,Engineering International,University of Moratuwa,2024,
1104,Diploma,Nursing Global,University of Sri Jayewardenepura,1995,
1104,Diploma,Engineering Premier,University of Kelaniya,1983,Merit
1115,Higher Diploma,Hospitality National,University of Ruhuna,1983,Second Upper
1118,Higher Diploma,Computer Science Advanced,Open University of Sri Lanka,2025,Merit
1119,BA,Engineering Advanced,Eastern University,1990,
1122,BA,Computer Science Advanced,University of Peradeniya,2018,Second Upper
1123,Diploma,Computer Science Advanced,SLIIT,1985,Merit
1126,Diploma,Nursing Elite,Eastern University,1982,Merit
1126,Higher Diploma,Computer Science National,SLIIT,1991,Second Lower
1143,MSc,Nursing National,University of Ruhuna,1990,
1152,BSc,Computer Science Elite,University of Sri Jayewardenepura,1987,
1159,Diploma,Business Advanced,SLIIT,1981,Merit
1162,BA,Hospitality Advanced,SLIIT,2021,Pass
1166,BA,Hospitality Advanced,University of Colombo,1981,Second Lower
1168,Diploma,Nursing Advanced,University of Moratuwa,1987,Pass
1175,MSc,Business Advanced,Open University of Sri Lanka,2020,Second Upper
1176,BSc,Engineering International,University of Moratuwa,2000,Second Lower
1179,BA,Hospitality Advanced,NSBM Green University,2018,Merit
1184,Higher Diploma,Engineering Premier,University of Kelaniya,2024,
1185,BSc,Business Elite,University of Moratuwa,1998,Second Upper
1193,Diploma,Business International,University of Moratuwa,2018,Second Lower
1193,BSc,Hospitality Global,SLIIT,2006,Second Lower
1193,Diploma,Computer Science Tech,Eastern University,1987,Second Lower
1201,MSc,Hospitality Global,University of Moratuwa,1990,Pass
1215,BSc,Engineering Advanced,University of Sri Jayewardenepura,1997,Merit
1216,Diploma,Business Global,University of Colombo,2009,Second Upper
1232,Higher Diploma,Computer Science Global,NSBM Green University,2005,
1234,BSc,Engineering Advanced,SLIIT,2020,
1237,BSc,Engineering Global,University of Peradeniya,1996,
1264,Diploma,Accounting Tech,University of Moratuwa,2018,Pass
1266,BA,Nursing Advanced,University of Moratuwa,2022,Second Lower
1286,BA,Engineering Premier,Open University of Sri Lanka,2002,Second Lower
1294,BA,Computer Science Elite,Eastern University,2000,Pass
1294,MSc,Nursing Advanced,University of Ruhuna,1982,Second Lower
1296,Diploma,Computer Science Premier,University of Moratuwa,1980,Pass
1304,BSc,Engineering National,Open University of Sri Lanka,2009,First Class
1304,MSc,Engineering Premier,University of Peradeniya,1990,
1307,Higher Diploma,Accounting Elite,University of Moratuwa,2020,Second Lower
1320,MSc,Nursing Tech,SLIIT,2001,First Class
1322,BA,Computer Science National,University of Ruhuna,1999,Second Upper
1323,Higher Diploma,Engineering International,Eastern University,2013,Second Upper
1324,Higher Diploma,Nursing Global,University of Kelaniya,2015,Pass
1326,MSc,Business Elite,NSBM Green University,1980,Second Lower
1334,Diploma,Business National,University of Peradeniya,1995,
1342,MSc,Hospitality Tech,University of Colombo,2009,
1342,MSc,Engineering Tech,University of Moratuwa,1990,Pass
1342,BA,Hospitality Tech,University of Colombo,2016,First Class
1346,Higher Diploma,Business Advanced,NSBM Green University,2012,Second Upper
1348,BA,Nursing Global,Eastern University,1987,
1365,Higher Diploma,Accounting National,Eastern University,1997,
1395,BSc,Computer Science Global,University of Colombo,2016,
1426,BA,Engineering Elite,University of Colombo,2005,
1427,MSc,Accounting Global,University of Ruhuna,1981,Second Upper
1432,MSc,Nursing Premier,University of Moratuwa,2006,First Class
1447,MSc,Hospitality Global,NSBM Green University,1988,Pass
1460,BSc,Computer Science International,University of Ruhuna,1989,Second Upper
1466,BA,Engineering Tech,University of Kelaniya,2000,Second Upper
1471,BA,Computer Science Tech,University of Moratuwa,2011,
1507,BA,Accounting Tech,University of Colombo,2025,First Class
1508,Diploma,Accounting Tech,University of Sri Jayewardenepura,2019,First Class
1524,Higher Diploma,Computer Science Premier,NSBM Green University,2005,
1526,MSc,Computer Science Elite,University of Colombo,2000,Second Lower
1526,Higher Diploma,Accounting National,Eastern University,2021,Second Lower
1526,Higher Diploma,Engineering Premier,Eastern University,1996,Merit
1534,BSc,Business International,University of Sri Jayewardenepura,2013,Pass
1534,Diploma,Accounting National,University of Peradeniya,2003,
1540,BA,Accounting Elite,Eastern University,2020,Second Upper
1543,Diploma,Engineering National,Eastern University,1988,Second Lower
1544,BA,Computer Science Global,University of Sri Jayewardenepura,2012,Merit
1546,Diploma,Nursing International,Eastern University,1990,First Class
1557,Diploma,Hospitality International,University of Sri Jayewardenepura,2004,Merit
1558,Higher Diploma,Engineering National,University of Ruhuna,2021,Merit
1563,BA,Nursing Elite,University of Ruhuna,1995,
1568,BSc,Nursing Global,University of Colombo,1990,
1575,MSc,Business National,Open University of Sri Lanka,1993,Pass
1575,BA,Accounting Advanced,University of Sri Jayewardenepura,1980,
1585,BA,Business Tech,University of Kelaniya,1983,Second Lower
1594,BSc,Accounting Global,University of Colombo,2015,Second Lower
1596,BA,Computer Science Advanced,University of Peradeniya,1990,Pass
1596,MSc,Computer Science International,Open University of Sri Lanka,1997,
1596,Higher Diploma,Hospitality National,SLIIT,2004,Pass
1597,BSc,Computer Science Elite,University of Peradeniya,1991,Second Lower
1597,MSc,Hospitality Elite,Eastern University,1980,Second Lower
1608,BSc,Hospitality Tech,University of Moratuwa,1996,Pass
1612,Diploma,Business National,University of Peradeniya,2012,Merit
1621,Diploma,Business Global,University of Kelaniya,2004,
1621,Higher Diploma,Computer Science International,University of Ruhuna,2004,Merit
1630,BA,Hospitality International,SLIIT,2017,
1633,MSc,Accounting National,University of Peradeniya,2016,First Class
1634,BA,Hospitality Advanced,University of Kelaniya,1983,Second Upper
1634,MSc,Business National,SLIIT,2023,Second Upper
1639,Diploma,Engineering Premier,University of Moratuwa,2004,Merit
1644,Diploma,Accounting International,University of Moratuwa,1998,Second Upper
1647,BSc,Business International,University of Peradeniya,2003,Second Upper
1647,BSc,Hospitality Advanced,Eastern University,2000,Second Upper
1658,Diploma,Hospitality International,University of Peradeniya,1995,
1658,BSc,Hospitality Elite,University of Moratuwa,1996,Second Upper
1658,MSc,Computer Science National,University of Peradeniya,1985,Pass
1660,BSc,Business International,Eastern University,1998,Second Lower
1662,Higher Diploma,Hospitality Elite,SLIIT,1992,Second Upper
1662,Diploma,Engineering International,University of Sri Jayewardenepura,1999,First Class
1670,BA,Hospitality Advanced,Eastern University,1985,Second Upper
1674,BSc,Accounting Premier,University of Sri Jayewardenepura,2024,First Class
1676,BSc,Business International,University of Peradeniya,2014,First Class
1679,BSc,Nursing Advanced,University of Sri Jayewardenepura,2005,Merit
1688,BA,Computer Science International,Open University of Sri Lanka,1994,Merit
1690,MSc,Business International,University of Kelaniya,2012,Merit
1692,Higher Diploma,Nursing Elite,University of Sri Jayewardenepura,1982,Merit
1698,Higher Diploma,Accounting Tech,SLIIT,2017,
1698,Diploma,Nursing Global,SLIIT,2010,Pass
1708,BA,Accounting International,University of Kelaniya,2014,
1710,MSc,Nursing Premier,University of Colombo,2020,First Class
1728,Diploma,Hospitality Premier,University of Colombo,2022,Second Lower
1728,BSc,Engineering National,Eastern University,1985,Merit
1738,BSc,Business International,University of Colombo,2020,Second Lower
1745,Higher Diploma,Hospitality Tech,University of Colombo,2002,First Class
1745,MSc,Accounting Global,University of Sri Jayewardenepura,2023,First Class
1758,Higher Diploma,Nursing Global,University of Colombo,1990,Second Upper
1758,Higher Diploma,Computer Science Premier,University of Colombo,1984,Second Upper
1759,BA,Accounting Advanced,Eastern University,2009,Pass
1783,Diploma,Hospitality Elite,University of Moratuwa,1989,
1786,BSc,Business Elite,University of Peradeniya,2020,Pass
1793,Higher Diploma,Business Advanced,University of Peradeniya,2008,First Class
1798,BSc,Nursing Global,University of Moratuwa,2022,First Class
1798,BSc,Engineering Elite,University of Colombo,1996,Second Upper
1798,Higher Diploma,Accounting International,University of Peradeniya,2018,
1800,Higher Diploma,Business International,University of Colombo,2004,Pass
1800,Higher Diploma,Engineering Elite,Open University of Sri Lanka,1995,First Class
1800,BSc,Hospitality Premier,Eastern University,2025,Second Lower
1805,BA,Nursing International,University of Ruhuna,2005,Merit
1805,BA,Business Elite,University of Kelaniya,1984,Second Upper
1806,Diploma,Nursing Advanced,Eastern University,2025,Second Upper
1825,Diploma,Engineering National,Eastern University,1994,
1838,MSc,Computer Science Premier,NSBM Green University,1982,Merit
1838,Higher Diploma,Hospitality National,Open University of Sri Lanka,2018,First Class
1842,BSc,Computer Science National,Open University of Sri Lanka,2022,Second Upper
1844,MSc,Hospitality Advanced,NSBM Green University,1986,
1848,BA,Nursing Tech,NSBM Green University,1985,Second Upper
1854,MSc,Engineering Tech,University of Peradeniya,1983,Merit
1861,BSc,Business National,University of Moratuwa,1999,
1863,BSc,Accounting National,University of Peradeniya,2025,Merit
1864,BSc,Business National,University of Moratuwa,2007,
1867,Diploma,Business Premier,University of Peradeniya,1988,Second Upper
1880,Higher Diploma,Accounting Elite,University of Moratuwa,2018,Second Lower
1884,Higher Diploma,Accounting Advanced,University of Ruhuna,2020,
1884,BSc,Business Global,Eastern University,2022,Second Lower
1887,MSc,Nursing Elite,Open University of Sri Lanka,2008,Second Upper
1887,Diploma,Business Tech,University of Sri Jayewardenepura,2021,Second Lower
1890,BSc,Business Tech,University of Colombo,1997,Second Lower
1892,BSc,Hospitality International,University of Moratuwa,2018,Second Upper
1895,BA,Hospitality Global,SLIIT,1987,Merit
1906,MSc,Computer Science Advanced,University of Kelaniya,1980,Second Upper
1910,MSc,Nursing Elite,University of Peradeniya,2011,Merit
1911,BA,Accounting National,SLIIT,2013,First Class
1921,Higher Diploma,Business Global,Eastern University,2013,
1927,BA,Nursing Tech,University of Moratuwa,1997,
1927,BA,Business Elite,NSBM Green University,2002,
1930,Higher Diploma,Business Premier,Eastern University,1982,
1936,MSc,Engineering National,University of Ruhuna,1993,Second Lower
1937,BA,Computer Science Elite,University of Ruhuna,2003,Merit
1942,Higher Diploma,Hospitality Elite,Open University of Sri Lanka,1992,
1947,MSc,Accounting Global,SLIIT,1984,
1956,MSc,Engineering Tech,University of Sri Jayewardenepura,2015,First Class
1964,BSc,Engineering Global,Eastern University,1984,Pass
1964,Higher Diploma,Hospitality National,University of Colombo,2022,
1964,MSc,Computer Science Tech,Eastern University,1996,First Class
1967,BSc,Accounting National,NSBM Green University,2014,Second Lower
1981,BSc,Hospitality National,SLIIT,2019,
1983,Diploma,Accounting Premier,NSBM Green University,2004,Second Upper
1983,BSc,Nursing Elite,University of Kelaniya,2003,Merit
1986,Higher Diploma,Business Elite,Open University of Sri Lanka,1992,
1991,BSc,Computer Science Advanced,University of Moratuwa,2022,Second Upper
2011,BA,Business Advanced,University of Sri Jayewardenepura,1998,Merit
2013,MSc,Accounting Elite,University of Peradeniya,1986,Merit
2013,BSc,Nursing Elite,University of Colombo,1993,First Class
2022,Higher Diploma,Hospitality Global,University of Ruhuna,2020,Second Lower
2032,Diploma,Nursing International,University of Sri Jayewardenepura,1981,
2038,BSc,Nursing National,Eastern University,1991,Pass
2040,MSc,Computer Science International,NSBM Green University,1999,
2056,Higher Diploma,Hospitality National,SLIIT,1992,Merit
2061,MSc,Engineering Elite,NSBM Green University,2025,Second Upper
2067,Diploma,Computer Science National,NSBM Green University,1987,Merit
2067,BSc,Computer Science Global,University of Peradeniya,1980,Second Lower
2077,BSc,Hospitality Tech,SLIIT,1980,First Class
2080,Higher Diploma,Accounting Global,University of Kelaniya,2020,
2081,Diploma,Nursing Premier,Open University of Sri Lanka,1983,First Class
2084,BA,Hospitality Advanced,NSBM Green University,1988,First Class
2090,MSc,Nursing Tech,Open University of Sri Lanka,1984,
2090,BSc,Hospitality Advanced,University of Ruhuna,1998,Pass
2091,Higher Diploma,Hospitality Elite,University of Colombo,1991,
2124,Higher Diploma,Nursing Elite,University of Kelaniya,1980,Merit
2128,BA,Nursing Global,University of Colombo,2003,Second Lower
2145,BSc,Computer Science Advanced,NSBM Green University,1998,Pass
2145,BSc,Engineering Premier,University of Ruhuna,2021,Second Lower
2145,Higher Diploma,Business Global,University of Moratuwa,2002,Pass
2156,MSc,Accounting Premier,University of Peradeniya,1992,First Class
2156,BSc,Computer Science National,SLIIT,1991,Second Lower
2166,BA,Nursing Tech,SLIIT,2006,Second Upper
2169,Higher Diploma,Hospitality National,University of Colombo,2018,
2172,BA,Nursing Tech,University of Colombo,1988,First Class
2173,Higher Diploma,Computer Science International,NSBM Green University,2003,Second Upper
2182,Higher Diploma,Accounting National,University of Sri Jayewardenepura,2006,Second Upper
2207,Diploma,Hospitality Advanced,SLIIT,2010,Merit
2211,MSc,Engineering International,SLIIT,2006,Second Upper
2211,Higher Diploma,Engineering Premier,University of Peradeniya,2011,First Class
2218,BA,Business Tech,University of Kelaniya,1983,Pass
2218,Diploma,Hospitality National,University of Kelaniya,2015,Second Lower
2221,Higher Diploma,Nursing National,Eastern University,1982,Second Lower
2221,Diploma,Accounting Premier,University of Colombo,1995,Second Upper
2221,Higher Diploma,Hospitality Tech,University of Moratuwa,2014,Second Lower
2223,Higher Diploma,Computer Science Elite,University of Sri Jayewardenepura,2007,
2224,BSc,Nursing Elite,University of Moratuwa,2008,
2228,BA,Engineering Global,SLIIT,1987,First Class
2235,Diploma,Accounting Tech,University of Moratuwa,1997,
2240,Diploma,Accounting National,University of Kelaniya,2024,
2241,BA,Accounting Global,NSBM Green University,1997,First Class
2244,BSc,Accounting Advanced,University of Peradeniya,1987,
2253,MSc,Hospitality Premier,University of Sri Jayewardenepura,2016,Second Lower
2267,BSc,Nursing International,University of Ruhuna,2010,Pass
2278,BA,Computer Science Elite,University of Sri Jayewardenepura,1987,Second Upper
2285,BSc,Engineering National,University of Peradeniya,1992,Second Upper
2287,BA,Hospitality Advanced,University of Colombo,2012,Second Lower
2293,Diploma,Engineering Advanced,University of Moratuwa,1992,Merit
2294,MSc,Computer Science Tech,University of Kelaniya,2022,First Class
2302,BA,Engineering International,University of Ruhuna,2004,Second Lower
2307,MSc,Computer Science Global,University of Peradeniya,1992,Second Lower
2313,MSc,Accounting Advanced,University of Moratuwa,2000,
2313,BSc,Nursing Advanced,University of Ruhuna,2003,
