ContractID,ApplicationID,JobID,PersonalID,ContractNumber,ContractStartDate,ContractEndDate,RenewalEligible,ContractStatus,SignedDate,Remarks
29,75,3811,27,C0000029,2025-11-07,2026-08-23,0,Active,2025-11-07,SLBFE Standard Contract
30,78,2080,28,C0000030,2026-04-01,2026-05-27,1,Active,2026-04-01,Fixed-Term
31,84,486,32,C0000031,2026-01-20,2026-05-18,1,Active,2026-01-20,Travel Allowance
32,90,1454,34,C0000032,2025-07-24,2026-05-19,0,Active,2025-07-24,Fixed-Term
33,95,3191,35,C0000033,2025-06-25,2025-09-20,1,Active,2025-06-25,Housing Provided
34,97,73,37,C0000034,2025-12-05,2026-02-07,0,Active,2025-12-05,SLBFE Standard Contract
35,99,333,37,C0000035,2026-06-24,2027-02-07,0,Active,2026-06-24,Housing Provided
36,106,1623,42,C0000036,2024-12-14,2026-09-27,0,Active,2024-12-14,SLBFE Standard Contract
37,107,4620,42,C0000037,2024-06-17,2027-01-02,0,Active,2024-06-17,Housing Provided
38,112,2498,43,C0000038,2026-04-25,2026-07-19,1,Active,2026-04-25,SLBFE Standard Contract
39,114,3450,45,C0000039,2025-10-31,2026-03-04,1,Active,2025-10-31,Housing Provided
40,123,4685,48,C0000040,2024-09-02,2027-08-18,0,Active,2024-09-02,Housing Provided
41,125,2136,49,C0000041,2024-12-21,2026-12-16,0,Active,2024-12-21,Housing Provided
42,130,3166,52,C0000042,2024-12-12,2027-02-27,0,Active,2024-12-12,Housing Provided
43,133,1515,52,C0000043,2026-02-27,2026-12-24,1,Active,2026-02-27,Housing Provided
44,134,1300,52,C0000044,2026-06-19,2026-11-11,0,Active,2026-06-19,Fixed-Term
45,144,1517,55,C0000045,2026-07-30,2027-07-01,0,Active,2026-07-30,Housing Provided
46,148,1934,57,C0000046,2025-12-07,2027-04-16,0,Active,2025-12-07,SLBFE Standard Contract
47,159,745,60,C0000047,2025-03-01,2026-04-17,1,Active,2025-03-01,Housing Provided
48,162,2151,61,C0000048,2024-02-12,2025-02-22,1,Active,2024-02-12,Fixed-Term
49,169,4208,64,C0000049,2026-03-25,2027-03-14,1,Active,2026-03-25,Housing Provided
50,172,671,64,C0000050,2025-09-09,2027-01-07,0,Active,2025-09-09,Housing Provided
51,173,4280,64,C0000051,2024-08-24,2024-09-30,0,Active,2024-08-24,SLBFE Standard Contract
52,175,3158,64,C0000052,2024-11-10,2025-01-13,1,Active,2024-11-10,Fixed-Term
53,177,4871,65,C0000053,2025-02-12,2026-04-02,0,Active,2025-02-12,Fixed-Term
54,178,922,65,C0000054,2025-12-31,2026-12-20,1,Active,2025-12-31,Fixed-Term
55,181,705,66,C0000055,2024-04-14,2024-10-03,0,Active,2024-04-14,Housing Provided
56,186,2446,67,C0000056,2025-02-01,2025-08-14,1,Active,2025-02-01,SLBFE Standard Contract
57,196,261,70,C0000057,2025-12-09,2027-07-18,0,Active,2025-12-09,Housing Provided
58,198,3826,70,C0000058,2025-08-27,2027-03-29,1,Active,2025-08-27,Travel Allowance
59,199,2260,70,C0000059,2024-05-12,2024-07-31,0,Active,2024-05-12,Fixed-Term
60,202,1192,71,C0000060,2026-03-01,2027-08-14,1,Active,2026-03-01,Travel Allowance
61,203,2932,71,C0000061,2026-02-07,2026-06-26,0,Active,2026-02-07,Housing Provided
62,205,2221,71,C0000062,2026-04-16,2026-06-22,1,Active,2026-04-16,Housing Provided
63,211,1060,72,C0000063,2025-09-12,2026-11-28,1,Active,2025-09-12,Housing Provided
64,213,683,73,C0000064,2025-11-11,2025-12-27,1,Active,2025-11-11,Fixed-Term
65,214,4344,73,C0000065,2025-10-27,2027-04-21,1,Active,2025-10-27,Housing Provided
66,219,681,75,C0000066,2024-12-11,2026-10-16,1,Active,2024-12-11,Fixed-Term
67,220,896,75,C0000067,2025-09-23,2027-01-02,0,Active,2025-09-23,Travel Allowance
68,222,1120,75,C0000068,2025-10-03,2027-03-11,0,Active,2025-10-03,Housing Provided
69,230,3013,78,C0000069,2025-06-15,2026-07-11,1,Active,2025-06-15,Travel Allowance
70,233,3204,79,C0000070,2026-07-10,2027-02-08,0,Active,2026-07-10,Travel Allowance
71,236,933,81,C0000071,2026-02-19,2027-05-07,1,Active,2026-02-19,Fixed-Term
72,246,214,84,C0000072,2025-07-09,2026-11-13,1,Active,2025-07-09,Travel Allowance
73,249,1029,85,C0000073,2024-12-22,2027-04-16,1,Active,2024-12-22,SLBFE Standard Contract
74,252,4739,85,C0000074,2026-06-15,2027-06-04,0,Active,2026-06-15,Housing Provided
75,256,4027,86,C0000075,2026-02-17,2026-10-16,0,Active,2026-02-17,Travel Allowance
76,260,1327,88,C0000076,2025-08-27,2027-05-18,1,Active,2025-08-27,Housing Provided
77,267,1283,91,C0000077,2026-02-24,2026-11-06,0,Active,2026-02-24,SLBFE Standard Contract
78,269,1097,92,C0000078,2026-02-04,2027-03-13,0,Active,2026-02-04,Travel Allowance
79,270,4088,92,C0000079,2025-09-25,2027-05-19,1,Active,2025-09-25,SLBFE Standard Contract
80,272,169,93,C0000080,2026-04-13,2027-08-04,1,Active,2026-04-13,Fixed-Term
81,275,817,94,C0000081,2025-07-08,2026-05-10,1,Active,2025-07-08,Fixed-Term
82,278,3428,95,C0000082,2024-04-29,2026-07-18,0,Active,2024-04-29,Housing Provided
83,282,1873,97,C0000083,2026-02-21,2026-07-14,1,Active,2026-02-21,Travel Allowance
84,288,2071,100,C0000084,2026-03-09,2027-01-14,0,Active,2026-03-09,Fixed-Term
85,290,4195,100,C0000085,2026-01-21,2026-08-15,1,Active,2026-01-21,Fixed-Term
86,291,2332,100,C0000086,2025-01-04,2026-08-26,1,Active,2025-01-04,Fixed-Term
87,293,717,101,C0000087,2024-11-26,2025-11-22,1,Active,2024-11-26,Travel Allowance
88,300,730,102,C0000088,2026-04-20,2027-06-08,0,Active,2026-04-20,Travel Allowance
89,304,4,103,C0000089,2024-11-15,2026-08-21,0,Active,2024-11-15,Fixed-Term
90,305,2259,104,C0000090,2024-03-28,2025-03-27,1,Active,2024-03-28,Travel Allowance
91,313,2279,106,C0000091,2025-08-10,2026-05-29,0,Active,2025-08-10,SLBFE Standard Contract
92,314,2627,108,C0000092,2024-01-22,2027-04-09,0,Active,2024-01-22,Travel Allowance
93,316,354,108,C0000093,2026-06-07,2026-08-20,0,Active,2026-06-07,SLBFE Standard Contract
94,322,3316,109,C0000094,2026-08-14,2027-05-30,0,Active,2026-08-14,Travel Allowance
95,324,431,111,C0000095,2025-02-17,2026-08-04,1,Active,2025-02-17,Fixed-Term
96,332,1752,113,C0000096,2025-05-23,2026-08-18,1,Active,2025-05-23,SLBFE Standard Contract
97,336,4665,116,C0000097,2025-07-08,2025-10-25,1,Active,2025-07-08,SLBFE Standard Contract
98,338,118,116,C0000098,2025-05-20,2027-06-30,0,Active,2025-05-20,Housing Provided
99,339,2277,117,C0000099,2026-04-01,2026-12-17,1,Active,2026-04-01,Housing Provided
100,346,721,121,C0000100,2026-01-21,2026-03-10,1,Active,2026-01-21,Travel Allowance
101,347,4125,121,C0000101,2025-05-10,2027-05-07,0,Active,2025-05-10,Housing Provided
102,349,4866,122,C0000102,2026-02-06,2026-11-06,1,Active,2026-02-06,SLBFE Standard Contract
103,358,328,126,C0000103,2025-07-09,2026-01-14,1,Active,2025-07-09,Fixed-Term
104,362,3431,127,C0000104,2025-05-26,2027-04-22,0,Active,2025-05-26,Fixed-Term
105,365,2496,127,C0000105,2026-07-20,2027-03-30,0,Active,2026-07-20,SLBFE Standard Contract
106,369,1292,128,C0000106,2026-03-03,2027-08-05,0,Active,2026-03-03,Travel Allowance
107,384,2047,134,C0000107,2025-07-21,2027-06-26,0,Active,2025-07-21,SLBFE Standard Contract
108,387,3979,135,C0000108,2025-10-08,2027-05-07,0,Active,2025-10-08,Housing Provided
109,389,1507,136,C0000109,2026-05-21,2027-07-29,1,Active,2026-05-21,Fixed-Term
110,392,783,137,C0000110,2026-03-22,2026-04-28,0,Active,2026-03-22,Housing Provided
111,395,1060,138,C0000111,2025-06-01,2027-05-14,1,Active,2025-06-01,Housing Provided
112,397,3719,140,C0000112,2024-09-16,2025-09-23,0,Active,2024-09-16,Fixed-Term
113,400,4942,140,C0000113,2025-03-13,2027-02-21,0,Active,2025-03-13,Housing Provided
114,403,517,141,C0000114,2026-02-07,2027-01-25,1,Active,2026-02-07,SLBFE Standard Contract
115,405,1403,142,C0000115,2025-10-27,2026-08-22,0,Active,2025-10-27,Fixed-Term
116,409,1998,143,C0000116,2025-09-13,2027-02-04,0,Active,2025-09-13,Housing Provided
117,423,3541,150,C0000117,2026-05-15,2026-12-27,1,Active,2026-05-15,Travel Allowance
118,428,367,151,C0000118,2026-08-01,2027-04-04,0,Active,2026-08-01,Fixed-Term
119,430,1976,151,C0000119,2025-12-06,2026-06-18,0,Active,2025-12-06,Housing Provided
120,433,1893,152,C0000120,2025-05-02,2025-08-19,1,Active,2025-05-02,Fixed-Term
121,434,2440,152,C0000121,2025-03-07,2026-01-12,0,Active,2025-03-07,SLBFE Standard Contract
122,435,3339,152,C0000122,2026-07-05,2027-02-19,1,Active,2026-07-05,Fixed-Term
123,436,64,153,C0000123,2025-10-16,2027-07-25,1,Active,2025-10-16,Travel Allowance
124,442,337,153,C0000124,2026-03-05,2026-03-25,0,Active,2026-03-05,SLBFE Standard Contract
125,443,1676,153,C0000125,2024-06-09,2025-08-30,1,Active,2024-06-09,Housing Provided
126,444,2375,154,C0000126,2025-08-12,2026-04-04,1,Active,2025-08-12,SLBFE Standard Contract
127,445,656,155,C0000127,2024-02-18,2027-05-20,0,Active,2024-02-18,Fixed-Term
128,448,4417,155,C0000128,2024-05-14,2025-08-03,0,Active,2024-05-14,SLBFE Standard Contract
129,452,2581,158,C0000129,2026-02-07,2027-07-13,1,Active,2026-02-07,SLBFE Standard Contract
130,454,2628,158,C0000130,2025-04-09,2025-11-14,1,Active,2025-04-09,Travel Allowance
131,456,472,158,C0000131,2026-01-23,2027-08-14,1,Active,2026-01-23,Fixed-Term
132,458,1998,159,C0000132,2024-08-27,2027-06-27,0,Active,2024-08-27,Fixed-Term
133,460,214,159,C0000133,2024-06-23,2027-02-08,0,Active,2024-06-23,SLBFE Standard Contract
134,462,2124,159,C0000134,2025-10-24,2027-04-30,0,Active,2025-10-24,Housing Provided
135,463,980,160,C0000135,2026-03-02,2027-01-01,0,Active,2026-03-02,Fixed-Term
136,466,1079,160,C0000136,2025-01-11,2026-05-31,0,Active,2025-01-11,Travel Allowance
137,467,3331,160,C0000137,2023-11-15,2025-10-16,0,Active,2023-11-15,SLBFE Standard Contract
138,470,384,161,C0000138,2026-01-19,2027-07-13,0,Active,2026-01-19,Housing Provided
139,472,407,161,C0000139,2025-06-13,2025-06-24,0,Active,2025-06-13,SLBFE Standard Contract
140,477,61,162,C0000140,2024-11-29,2027-06-01,0,Active,2024-11-29,Housing Provided
141,479,1533,163,C0000141,2025-12-28,2027-07-28,1,Active,2025-12-28,SLBFE Standard Contract
142,484,1037,165,C0000142,2026-02-02,2027-01-20,0,Active,2026-02-02,SLBFE Standard Contract
143,485,2730,165,C0000143,2024-11-02,2025-09-03,0,Active,2024-11-02,Fixed-Term
144,486,298,165,C0000144,2025-05-04,2027-01-04,0,Active,2025-05-04,SLBFE Standard Contract
145,487,2650,165,C0000145,2025-12-26,2027-07-09,0,Active,2025-12-26,SLBFE Standard Contract
146,491,866,168,C0000146,2026-05-13,2026-11-03,1,Active,2026-05-13,Housing Provided
147,499,46,171,C0000147,2026-05-31,2026-10-15,0,Active,2026-05-31,Travel Allowance
148,500,1998,171,C0000148,2025-11-04,2026-03-16,0,Active,2025-11-04,Travel Allowance
149,501,1019,171,C0000149,2026-04-01,2026-04-20,0,Active,2026-04-01,Fixed-Term
150,503,2627,171,C0000150,2025-06-11,2026-12-27,0,Active,2025-06-11,Travel Allowance
151,504,1223,171,C0000151,2025-03-27,2027-04-15,0,Active,2025-03-27,Fixed-Term
152,506,1465,172,C0000152,2025-11-15,2025-12-06,1,Active,2025-11-15,Fixed-Term
153,510,3611,173,C0000153,2024-08-31,2025-01-28,1,Active,2024-08-31,Travel Allowance
154,515,1273,175,C0000154,2025-04-12,2026-12-22,1,Active,2025-04-12,Fixed-Term
155,516,2397,176,C0000155,2025-09-21,2027-04-10,0,Active,2025-09-21,Travel Allowance
156,525,3015,178,C0000156,2026-01-03,2026-04-28,1,Active,2026-01-03,Fixed-Term
157,526,1757,178,C0000157,2026-03-14,2027-06-25,1,Active,2026-03-14,SLBFE Standard Contract
158,527,3828,178,C0000158,2026-03-12,2026-09-19,0,Active,2026-03-12,SLBFE Standard Contract
159,530,1927,180,C0000159,2025-10-09,2026-06-29,0,Active,2025-10-09,Housing Provided
160,534,1656,181,C0000160,2025-08-16,2027-02-20,0,Active,2025-08-16,SLBFE Standard Contract
161,537,1558,182,C0000161,2024-12-28,2026-05-05,0,Active,2024-12-28,Fixed-Term
162,539,1064,182,C0000162,2025-10-02,2026-02-01,0,Active,2025-10-02,Fixed-Term
163,545,1646,184,C0000163,2026-07-01,2026-11-13,0,Active,2026-07-01,Fixed-Term
164,551,1050,186,C0000164,2024-06-15,2024-12-07,1,Active,2024-06-15,SLBFE Standard Contract
165,553,4396,187,C0000165,2024-08-31,2024-09-07,1,Active,2024-08-31,Travel Allowance
166,555,4260,189,C0000166,2026-05-06,2027-04-10,0,Active,2026-05-06,Travel Allowance
167,565,2896,192,C0000167,2025-03-16,2025-08-22,0,Active,2025-03-16,Travel Allowance
168,571,829,196,C0000168,2025-12-05,2026-08-16,0,Active,2025-12-05,SLBFE Standard Contract
169,579,1394,198,C0000169,2024-08-11,2025-08-08,1,Active,2024-08-11,SLBFE Standard Contract
170,581,1515,198,C0000170,2026-06-01,2027-03-30,0,Active,2026-06-01,SLBFE Standard Contract
171,588,2415,199,C0000171,2026-03-31,2026-09-11,0,Active,2026-03-31,Fixed-Term
172,592,3271,200,C0000172,2026-01-11,2027-03-23,1,Active,2026-01-11,Travel Allowance
173,596,2385,201,C0000173,2026-02-26,2026-11-23,0,Active,2026-02-26,Housing Provided
174,598,4722,201,C0000174,2025-08-24,2026-04-28,0,Active,2025-08-24,Fixed-Term
175,602,2720,204,C0000175,2025-10-18,2026-08-24,1,Active,2025-10-18,Travel Allowance
176,603,1314,204,C0000176,2025-04-09,2027-06-30,1,Active,2025-04-09,Fixed-Term
177,606,1347,205,C0000177,2025-12-24,2027-01-26,1,Active,2025-12-24,Fixed-Term
178,609,1410,206,C0000178,2026-08-19,2026-12-28,0,Active,2026-08-19,Fixed-Term
179,620,553,210,C0000179,2026-01-03,2026-02-03,0,Active,2026-01-03,Fixed-Term
180,626,1514,211,C0000180,2026-05-24,2026-08-17,0,Active,2026-05-24,Housing Provided
181,632,2593,213,C0000181,2025-06-16,2025-06-21,0,Active,2025-06-16,Housing Provided
182,635,207,214,C0000182,2026-02-09,2026-05-09,1,Active,2026-02-09,Travel Allowance
183,637,2840,214,C0000183,2024-08-01,2026-02-05,1,Active,2024-08-01,SLBFE Standard Contract
184,643,2293,216,C0000184,2026-01-09,2026-12-23,0,Active,2026-01-09,SLBFE Standard Contract
185,644,2258,218,C0000185,2026-02-14,2027-08-12,0,Active,2026-02-14,Housing Provided
186,646,248,218,C0000186,2025-08-02,2027-04-01,1,Active,2025-08-02,SLBFE Standard Contract
187,648,717,219,C0000187,2025-12-31,2026-03-09,0,Active,2025-12-31,SLBFE Standard Contract
188,649,1137,220,C0000188,2026-06-05,2027-03-21,1,Active,2026-06-05,Travel Allowance
189,651,1608,220,C0000189,2025-11-02,2027-04-09,0,Active,2025-11-02,Housing Provided
190,656,3001,221,C0000190,2025-05-20,2026-08-17,0,Active,2025-05-20,Housing Provided
191,670,1408,227,C0000191,2025-12-13,2027-03-20,1,Active,2025-12-13,Travel Allowance
192,677,3756,229,C0000192,2024-07-17,2026-06-24,1,Active,2024-07-17,Fixed-Term
193,681,4077,230,C0000193,2024-12-23,2026-05-23,0,Active,2024-12-23,SLBFE Standard Contract
194,682,4296,230,C0000194,2025-08-25,2026-12-02,0,Active,2025-08-25,Travel Allowance
195,683,1551,231,C0000195,2026-08-16,2027-07-28,1,Active,2026-08-16,Housing Provided
196,684,3313,231,C0000196,2026-07-03,2027-05-14,0,Active,2026-07-03,Travel Allowance
197,686,3379,231,C0000197,2026-01-10,2026-12-16,0,Active,2026-01-10,SLBFE Standard Contract
198,690,1929,233,C0000198,2024-03-08,2025-10-31,1,Active,2024-03-08,Fixed-Term
199,693,4671,235,C0000199,2026-01-02,2027-05-20,1,Active,2026-01-02,Housing Provided
200,696,3012,236,C0000200,2025-10-30,2026-05-24,1,Active,2025-10-30,Fixed-Term
201,697,2221,236,C0000201,2026-01-04,2026-01-27,0,Active,2026-01-04,Travel Allowance
202,699,1840,236,C0000202,2025-12-10,2027-05-26,0,Active,2025-12-10,Fixed-Term
203,712,4873,241,C0000203,2026-07-07,2026-07-09,1,Active,2026-07-07,Fixed-Term
204,714,68,242,C0000204,2026-07-31,2027-04-21,1,Active,2026-07-31,SLBFE Standard Contract
205,716,4977,243,C0000205,2025-06-10,2027-03-10,1,Active,2025-06-10,Travel Allowance
206,718,170,244,C0000206,2024-02-08,2027-02-14,1,Active,2024-02-08,Fixed-Term
207,719,1762,244,C0000207,2025-11-11,2026-11-27,0,Active,2025-11-11,Travel Allowance
208,722,1192,245,C0000208,2024-09-15,2026-04-09,0,Active,2024-09-15,Fixed-Term
209,723,1996,245,C0000209,2025-03-29,2026-08-11,1,Active,2025-03-29,Housing Provided
210,726,2865,246,C0000210,2026-06-08,2027-08-11,1,Active,2026-06-08,Housing Provided
211,727,2108,247,C0000211,2025-06-23,2025-07-21,0,Active,2025-06-23,Fixed-Term
212,733,868,248,C0000212,2026-07-13,2026-08-09,0,Active,2026-07-13,Fixed-Term
213,738,1899,252,C0000213,2024-03-30,2024-06-13,1,Active,2024-03-30,SLBFE Standard Contract
214,742,10,253,C0000214,2025-12-07,2027-03-04,0,Active,2025-12-07,Travel Allowance
215,743,4065,254,C0000215,2024-12-29,2027-07-21,0,Active,2024-12-29,Fixed-Term
216,747,1147,255,C0000216,2024-08-18,2027-05-08,0,Active,2024-08-18,Housing Provided
217,748,2478,255,C0000217,2024-01-04,2026-06-11,1,Active,2024-01-04,Travel Allowance
218,750,1684,256,C0000218,2025-08-08,2027-06-01,0,Active,2025-08-08,Travel Allowance
219,753,424,256,C0000219,2025-08-15,2027-05-26,1,Active,2025-08-15,Housing Provided
220,758,669,258,C0000220,2025-03-04,2027-04-16,1,Active,2025-03-04,Housing Provided
221,763,806,259,C0000221,2025-07-03,2025-09-13,1,Active,2025-07-03,Travel Allowance
222,764,4919,260,C0000222,2026-03-24,2027-03-14,1,Active,2026-03-24,Fixed-Term
223,768,1987,261,C0000223,2025-10-20,2027-02-23,1,Active,2025-10-20,Housing Provided
224,770,2384,261,C0000224,2026-06-28,2027-02-24,0,Active,2026-06-28,Housing Provided
225,771,3021,263,C0000225,2025-09-27,2026-02-18,1,Active,2025-09-27,Housing Provided
226,773,2547,263,C0000226,2026-04-22,2026-12-04,1,Active,2026-04-22,Travel Allowance
227,778,3175,264,C0000227,2026-02-03,2026-10-07,1,Active,2026-02-03,Travel Allowance
228,781,4540,264,C0000228,2025-11-26,2026-07-29,1,Active,2025-11-26,SLBFE Standard Contract
229,782,2399,264,C0000229,2026-08-08,2026-12-04,1,Active,2026-08-08,SLBFE Standard Contract
230,787,2046,269,C0000230,2026-05-30,2026-10-02,0,Active,2026-05-30,SLBFE Standard Contract
231,793,2535,273,C0000231,2025-04-20,2025-10-26,1,Active,2025-04-20,Travel Allowance
232,794,2359,273,C0000232,2026-02-06,2026-03-12,1,Active,2026-02-06,Fixed-Term
233,798,1408,274,C0000233,2025-03-15,2025-11-07,0,Active,2025-03-15,Fixed-Term
234,799,491,275,C0000234,2026-02-01,2026-07-08,1,Active,2026-02-01,Housing Provided
235,800,574,275,C0000235,2025-08-17,2025-08-17,0,Active,2025-08-17,Fixed-Term
236,806,273,278,C0000236,2026-04-20,2027-04-21,0,Active,2026-04-20,Travel Allowance
237,809,1274,279,C0000237,2025-12-14,2026-02-07,0,Active,2025-12-14,Travel Allowance
238,813,339,279,C0000238,2024-07-11,2026-10-28,0,Active,2024-07-11,Travel Allowance
239,817,416,281,C0000239,2025-07-18,2026-10-21,0,Active,2025-07-18,SLBFE Standard Contract
240,819,3096,281,C0000240,2026-02-17,2027-05-21,1,Active,2026-02-17,Travel Allowance
241,823,3821,284,C0000241,2025-02-21,2026-09-25,1,Active,2025-02-21,Travel Allowance
242,831,746,285,C0000242,2025-04-21,2027-06-08,0,Active,2025-04-21,Travel Allowance
243,838,3869,287,C0000243,2026-02-01,2026-07-10,1,Active,2026-02-01,Travel Allowance
244,840,669,288,C0000244,2025-10-24,2025-11-08,1,Active,2025-10-24,Housing Provided
245,844,185,290,C0000245,2025-11-18,2026-12-15,0,Active,2025-11-18,Housing Provided
246,845,2275,290,C0000246,2025-05-24,2027-03-18,0,Active,2025-05-24,Travel Allowance
247,861,1739,294,C0000247,2025-04-23,2026-02-26,1,Active,2025-04-23,Housing Provided
248,864,1596,295,C0000248,2026-08-14,2026-08-30,0,Active,2026-08-14,Travel Allowance
249,869,2140,297,C0000249,2025-11-24,2026-02-14,0,Active,2025-11-24,Fixed-Term
250,870,1379,297,C0000250,2024-08-18,2026-08-28,0,Active,2024-08-18,Housing Provided
251,878,1336,300,C0000251,2025-10-09,2027-08-10,1,Active,2025-10-09,SLBFE Standard Contract
252,885,580,303,C0000252,2026-06-17,2027-07-18,1,Active,2026-06-17,Fixed-Term
253,888,1815,303,C0000253,2026-05-08,2026-11-03,0,Active,2026-05-08,Housing Provided
254,893,3603,305,C0000254,2024-11-03,2024-11-07,0,Active,2024-11-03,Travel Allowance
255,898,2340,306,C0000255,2025-03-18,2027-03-26,1,Active,2025-03-18,Fixed-Term
256,903,1590,308,C0000256,2025-09-02,2026-10-13,1,Active,2025-09-02,Housing Provided
257,904,2140,308,C0000257,2024-06-18,2027-03-13,0,Active,2024-06-18,Housing Provided
258,905,1357,308,C0000258,2025-10-24,2027-05-24,1,Active,2025-10-24,Housing Provided
259,907,3791,308,C0000259,2025-05-10,2026-08-13,0,Active,2025-05-10,Fixed-Term
260,911,4534,311,C0000260,2026-03-14,2027-08-05,1,Active,2026-03-14,Housing Provided
261,912,535,311,C0000261,2026-04-07,2026-06-30,0,Active,2026-04-07,Travel Allowance
262,915,445,312,C0000262,2026-01-21,2026-10-09,1,Active,2026-01-21,Travel Allowance
263,916,3556,313,C0000263,2025-10-16,2026-07-06,1,Active,2025-10-16,SLBFE Standard Contract
264,917,1678,314,C0000264,2024-04-26,2025-11-05,1,Active,2024-04-26,Travel Allowance
265,919,873,314,C0000265,2026-04-15,2026-05-02,1,Active,2026-04-15,Travel Allowance
266,923,4494,315,C0000266,2026-01-31,2026-02-24,0,Active,2026-01-31,Fixed-Term
267,924,4338,315,C0000267,2025-10-17,2026-03-14,1,Active,2025-10-17,Travel Allowance
268,926,4094,315,C0000268,2025-09-14,2026-09-22,1,Active,2025-09-14,SLBFE Standard Contract
269,929,2125,316,C0000269,2026-02-02,2026-05-11,0,Active,2026-02-02,SLBFE Standard Contract
270,932,4183,317,C0000270,2025-11-17,2027-07-20,1,Active,2025-11-17,Travel Allowance
271,937,1328,319,C0000271,2025-08-02,2027-04-04,0,Active,2025-08-02,Travel Allowance
272,938,2462,319,C0000272,2026-03-02,2026-07-30,1,Active,2026-03-02,SLBFE Standard Contract
273,942,2331,322,C0000273,2025-02-16,2027-04-08,1,Active,2025-02-16,Fixed-Term
274,945,2767,322,C0000274,2026-03-17,2027-05-10,0,Active,2026-03-17,Fixed-Term
275,947,32,322,C0000275,2025-08-05,2026-05-20,0,Active,2025-08-05,Housing Provided
276,949,3641,323,C0000276,2025-08-08,2026-08-28,1,Active,2025-08-08,Travel Allowance
277,951,1463,324,C0000277,2025-10-26,2027-01-21,0,Active,2025-10-26,Travel Allowance
278,952,4750,324,C0000278,2025-05-11,2026-02-17,1,Active,2025-05-11,SLBFE Standard Contract
279,960,2039,331,C0000279,2025-04-09,2025-12-08,0,Active,2025-04-09,Travel Allowance
280,965,3707,333,C0000280,2024-05-09,2027-08-04,0,Active,2024-05-09,Travel Allowance
281,966,1067,333,C0000281,2026-04-18,2027-02-23,1,Active,2026-04-18,Housing Provided
282,968,4439,334,C0000282,2025-06-28,2026-08-13,1,Active,2025-06-28,Fixed-Term
283,970,1729,334,C0000283,2026-01-22,2027-07-31,1,Active,2026-01-22,Housing Provided
284,971,1918,334,C0000284,2025-08-15,2025-09-04,0,Active,2025-08-15,Housing Provided
285,972,3767,334,C0000285,2025-12-28,2026-11-29,0,Active,2025-12-28,SLBFE Standard Contract
286,973,1255,334,C0000286,2026-03-12,2026-06-04,0,Active,2026-03-12,Fixed-Term
