PersonalID,ExamName,SubjectStream,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4
175,ALevel,Science,1986,Science Subject 1,B,Science Subject 3,W,Science Subject 2,C,Science Subject 4,S
177,ALevel,Technology,2003,Technology Subject 3,S,Technology Subject 4,B,Technology Subject 2,W,,
180,ALevel,Commerce,1989,Commerce Subject 1,B,Commerce Subject 2,S,Commerce Subject 3,A,Commerce Subject 4,A
181,ALevel,Technology,2001,Technology Subject 4,W,Technology Subject 2,C,Technology Subject 3,S,,
184,ALevel,Arts,1985,Arts Subject 2,A,Arts Subject 3,F,Arts Subject 1,S,Arts Subject 4,F
188,ALevel,Commerce,2021,Commerce Subject 2,A,Commerce Subject 1,F,Commerce Subject 3,C,Commerce Subject 4,S
189,ALevel,Science,1995,Science Subject 4,S,Science Subject 1,S,Science Subject 3,F,,
192,ALevel,Commerce,2007,Commerce Subject 4,S,Commerce Subject 1,W,Commerce Subject 3,W,Commerce Subject 2,A
195,ALevel,Technology,2015,Technology Subject 2,S,Technology Subject 4,C,Technology Subject 3,F,Technology Subject 1,F
197,ALevel,Science,1991,Science Subject 2,C,Science Subject 3,B,Science Subject 4,A,,
199,ALevel,Technology,1997,Technology Subject 1,F,Technology Subject 3,S,Technology Subject 4,S,Technology Subject 2,B
203,ALevel,Arts,2005,Arts Subject 1,F,Arts Subject 4,C,Arts Subject 2,S,Arts Subject 3,W
205,ALevel,Arts,2008,Arts Subject 1,S,Arts Subject 4,S,Arts Subject 3,C,,
207,ALevel,Science,1991,Science Subject 1,F,Science Subject 4,A,Science Subject 3,A,,
208,ALevel,Commerce,2015,Commerce Subject 2,F,Commerce Subject 4,A,Commerce Subject 1,W,,
213,ALevel,Arts,1991,Arts Subject 1,F,Arts Subject 3,B,Arts Subject 2,B,,
215,ALevel,Technology,2024,Technology Subject 1,F,Technology Subject 2,A,Technology Subject 3,W,,
216,ALevel,Arts,2017,Arts Subject 4,B,Arts Subject 1,B,Arts Subject 3,S,Arts Subject 2,F
217,ALevel,Arts,2024,Arts Subject 3,C,Arts Subject 4,S,Arts Subject 2,S,Arts Subject 1,W
220,ALevel,Science,2022,Science Subject 1,S,Science Subject 3,C,Science Subject 2,A,Science Subject 4,A
222,ALevel,Science,2001,Science Subject 3,A,Science Subject 1,F,Science Subject 2,C,,
223,ALevel,Technology,1989,Technology Subject 4,B,Technology Subject 3,C,Technology Subject 2,S,Technology Subject 1,W
224,ALevel,Technology,1980,Technology Subject 3,B,Technology Subject 4,B,Technology Subject 2,B,,
225,ALevel,Arts,1982,Arts Subject 3,F,Arts Subject 2,S,Arts Subject 4,S,,
226,ALevel,Arts,1992,Arts Subject 1,B,Arts Subject 3,F,Arts Subject 4,W,,
227,ALevel,Science,2022,Science Subject 1,A,Science Subject 2,W,Science Subject 3,B,Science Subject 4,A
229,ALevel,Arts,1998,Arts Subject 2,A,Arts Subject 1,F,Arts Subject 4,A,Arts Subject 3,W
234,ALevel,Commerce,2002,Commerce Subject 2,A,Commerce Subject 3,B,Commerce Subject 1,A,,
235,ALevel,Science,2004,Science Subject 4,F,Science Subject 3,S,Science Subject 2,W,,
239,ALevel,Commerce,1994,Commerce Subject 3,F,Commerce Subject 2,S,Commerce Subject 1,S,Commerce Subject 4,F
241,ALevel,Arts,1984,Arts Subject 4,S,Arts Subject 2,F,Arts Subject 1,S,Arts Subject 3,A
242,ALevel,Commerce,1984,Commerce Subject 3,S,Commerce Subject 4,F,Commerce Subject 2,B,,
243,ALevel,Science,1988,Science Subject 4,B,Science Subject 3,B,Science Subject 1,C,Science Subject 2,W
244,ALevel,Technology,2020,Technology Subject 1,B,Technology Subject 3,W,Technology Subject 2,W,Technology Subject 4,W
245,ALevel,Commerce,1981,Commerce Subject 4,A,Commerce Subject 1,B,Commerce Subject 3,F,,
246,ALevel,Science,2002,Science Subject 1,F,Science Subject 4,A,Science Subject 3,A,Science Subject 2,F
247,ALevel,Science,1984,Science Subject 2,S,Science Subject 3,F,Science Subject 4,A,,
252,ALevel,Arts,2013,Arts Subject 4,S,Arts Subject 1,A,Arts Subject 3,F,,
257,ALevel,Arts,1984,Arts Subject 3,C,Arts Subject 1,W,Arts Subject 2,S,,
259,ALevel,Science,2014,Science Subject 2,B,Science Subject 3,B,Science Subject 1,S,,
260,ALevel,Arts,1980,Arts Subject 4,B,Arts Subject 3,S,Arts Subject 1,B,Arts Subject 2,C
261,ALevel,Technology,1983,Technology Subject 1,A,Technology Subject 2,B,Technology Subject 3,F,,
263,ALevel,Arts,2020,Arts Subject 3,W,Arts Subject 1,S,Arts Subject 4,F,Arts Subject 2,F
264,ALevel,Arts,1990,Arts Subject 3,W,Arts Subject 4,F,Arts Subject 2,C,,
265,ALevel,Arts,1998,Arts Subject 2,S,Arts Subject 1,C,Arts Subject 4,F,Arts Subject 3,W
266,ALevel,Science,2006,Science Subject 3,F,Science Subject 4,B,Science Subject 2,B,Science Subject 1,W
273,ALevel,Technology,2024,Technology Subject 4,F,Technology Subject 2,A,Technology Subject 1,C,Technology Subject 3,F
274,ALevel,Science,1999,Science Subject 1,B,Science Subject 3,A,Science Subject 2,W,,
275,ALevel,Science,2017,Science Subject 2,F,Science Subject 3,W,Science Subject 4,B,,
276,ALevel,Commerce,2002,Commerce Subject 3,A,Commerce Subject 2,S,Commerce Subject 4,B,,
277,ALevel,Technology,2014,Technology Subject 2,B,Technology Subject 1,W,Technology Subject 4,F,,
285,ALevel,Science,2016,Science Subject 3,F,Science Subject 4,W,Science Subject 1,S,Science Subject 2,C
289,ALevel,Science,2015,Science Subject 4,B,Science Subject 3,A,Science Subject 1,F,,
297,ALevel,Arts,1981,Arts Subject 4,A,Arts Subject 3,S,Arts Subject 2,F,,
302,ALevel,Science,2010,Science Subject 4,C,Science Subject 1,W,Science Subject 3,A,,
304,ALevel,Commerce,1985,Commerce Subject 4,W,Commerce Subject 2,A,Commerce Subject 3,C,Commerce Subject 1,F
306,ALevel,Technology,2010,Technology Subject 1,C,Technology Subject 4,A,Technology Subject 3,B,,
310,ALevel,Arts,2023,Arts Subject 3,B,Arts Subject 2,F,Arts Subject 1,B,Arts Subject 4,B
311,ALevel,Arts,2000,Arts Subject 2,C,Arts Subject 4,A,Arts Subject 1,B,Arts Subject 3,W
312,ALevel,Science,2022,Science Subject 4,S,Science Subject 1,F,Science Subject 3,C,,
313,ALevel,Arts,1981,Arts Subject 4,W,Arts Subject 1,B,Arts Subject 3,C,,
314,ALevel,Science,1981,Science Subject 4,C,Science Subject 3,C,Science Subject 1,A,Science Subject 2,F
315,ALevel,Technology,1980,Technology Subject 4,W,Technology Subject 2,A,Technology Subject 1,F,,
317,ALevel,Technology,1988,Technology Subject 4,A,Technology Subject 3,F,Technology Subject 2,S,Technology Subject 1,C
320,ALevel,Arts,2010,Arts Subject 2,B,Arts Subject 3,C,Arts Subject 4,F,Arts Subject 1,S
321,ALevel,Technology,2025,Technology Subject 1,B,Technology Subject 3,W,Technology Subject 4,F,Technology Subject 2,A
322,ALevel,Technology,2011,Technology Subject 3,F,Technology Subject 1,F,Technology Subject 2,F,Technology Subject 4,F
325,ALevel,Commerce,2005,Commerce Subject 4,S,Commerce Subject 1,S,Commerce Subject 3,F,,
326,ALevel,Arts,2010,Arts Subject 2,C,Arts Subject 3,S,Arts Subject 1,C,Arts Subject 4,C
328,ALevel,Science,2011,Science Subject 3,W,Science Subject 4,A,Science Subject 2,C,,
329,ALevel,Technology,2016,Technology Subject 3,W,Technology Subject 1,A,Technology Subject 4,B,Technology Subject 2,B
332,ALevel,Science,2019,Science Subject 3,A,Science Subject 4,A,Science Subject 2,W,,
336,ALevel,Science,1995,Science Subject 3,C,Science Subject 2,C,Science Subject 4,S,,
338,ALevel,Science,2008,Science Subject 2,B,Science Subject 1,S,Science Subject 4,C,,
339,ALevel,Science,2010,Science Subject 3,W,Science Subject 2,F,Science Subject 1,S,,
340,ALevel,Science,2012,Science Subject 3,A,Science Subject 2,C,Science Subject 4,S,Science Subject 1,C
342,ALevel,Commerce,2006,Commerce Subject 2,W,Commerce Subject 4,C,Commerce Subject 3,S,,
343,ALevel,Science,2018,Science Subject 4,C,Science Subject 2,A,Science Subject 1,F,,
344,ALevel,Arts,1982,Arts Subject 1,F,Arts Subject 4,F,Arts Subject 3,F,,
346,ALevel,Commerce,1986,Commerce Subject 1,C,Commerce Subject 3,W,Commerce Subject 2,A,,
347,ALevel,Technology,1992,Technology Subject 1,F,Technology Subject 4,B,Technology Subject 3,F,,
349,ALevel,Science,1998,Science Subject 3,F,Science Subject 2,C,Science Subject 4,C,,
351,ALevel,Arts,2010,Arts Subject 4,W,Arts Subject 2,W,Arts Subject 3,F,Arts Subject 1,A
352,ALevel,Arts,2007,Arts Subject 2,A,Arts Subject 4,W,Arts Subject 3,C,,
353,ALevel,Technology,1987,Technology Subject 1,C,Technology Subject 2,W,Technology Subject 4,W,,
354,ALevel,Commerce,2008,Commerce Subject 3,W,Commerce Subject 4,C,Commerce Subject 2,A,,
356,ALevel,Technology,1999,Technology Subject 3,C,Technology Subject 1,C,Technology Subject 4,A,Technology Subject 2,A
357,ALevel,Arts,2025,Arts Subject 3,F,Arts Subject 4,C,Arts Subject 1,A,Arts Subject 2,A
359,ALevel,Technology,2008,Technology Subject 4,A,Technology Subject 2,F,Technology Subject 3,B,Technology Subject 1,S
360,ALevel,Science,1995,Science Subject 3,S,Science Subject 2,A,Science Subject 1,S,Science Subject 4,S
363,ALevel,Arts,2005,Arts Subject 1,B,Arts Subject 3,B,Arts Subject 2,W,Arts Subject 4,S
366,ALevel,Arts,2025,Arts Subject 1,C,Arts Subject 2,A,Arts Subject 3,S,,
367,ALevel,Commerce,1996,Commerce Subject 1,A,Commerce Subject 3,S,Commerce Subject 4,S,Commerce Subject 2,S
370,ALevel,Commerce,1981,Commerce Subject 2,F,Commerce Subject 1,F,Commerce Subject 3,S,,
371,ALevel,Technology,2015,Technology Subject 1,F,Technology Subject 3,F,Technology Subject 2,A,Technology Subject 4,F
373,ALevel,Arts,2016,Arts Subject 4,B,Arts Subject 1,W,Arts Subject 3,C,Arts Subject 2,A
374,ALevel,Technology,2012,Technology Subject 4,B,Technology Subject 2,B,Technology Subject 3,C,,
375,ALevel,Commerce,1983,Commerce Subject 4,W,Commerce Subject 1,C,Commerce Subject 3,B,,
376,ALevel,Technology,1983,Technology Subject 4,C,Technology Subject 2,B,Technology Subject 1,S,,
378,ALevel,Commerce,2007,Commerce Subject 2,W,Commerce Subject 4,B,Commerce Subject 3,B,Commerce Subject 1,C
379,ALevel,Commerce,1996,Commerce Subject 4,S,Commerce Subject 2,W,Commerce Subject 3,S,,
380,ALevel,Commerce,2010,Commerce Subject 3,A,Commerce Subject 1,S,Commerce Subject 4,B,,
382,ALevel,Commerce,1999,Commerce Subject 4,W,Commerce Subject 1,C,Commerce Subject 3,A,,
384,ALevel,Technology,1981,Technology Subject 3,W,Technology Subject 4,F,Technology Subject 1,A,Technology Subject 2,F
387,ALevel,Commerce,2018,Commerce Subject 2,W,Commerce Subject 3,C,Commerce Subject 4,B,,
389,ALevel,Arts,2006,Arts Subject 2,S,Arts Subject 3,F,Arts Subject 1,C,,
392,ALevel,Science,1980,Science Subject 2,A,Science Subject 4,C,Science Subject 1,S,,
396,ALevel,Technology,1996,Technology Subject 3,W,Technology Subject 4,B,Technology Subject 2,C,,
398,ALevel,Commerce,2001,Commerce Subject 3,A,Commerce Subject 4,C,Commerce Subject 2,W,Commerce Subject 1,B
399,ALevel,Science,1991,Science Subject 3,C,Science Subject 1,F,Science Subject 2,S,,
400,ALevel,Arts,1981,Arts Subject 3,C,Arts Subject 2,W,Arts Subject 1,W,,
405,ALevel,Arts,1988,Arts Subject 1,W,Arts Subject 3,S,Arts Subject 4,F,Arts Subject 2,F
406,ALevel,Arts,2010,Arts Subject 1,S,Arts Subject 4,W,Arts Subject 2,C,Arts Subject 3,A
412,ALevel,Technology,1985,Technology Subject 2,S,Technology Subject 4,F,Technology Subject 3,F,Technology Subject 1,S
417,ALevel,Technology,1998,Technology Subject 2,B,Technology Subject 3,F,Technology Subject 1,C,,
419,ALevel,Arts,2018,Arts Subject 3,F,Arts Subject 2,A,Arts Subject 1,C,,
420,ALevel,Technology,1990,Technology Subject 1,S,Technology Subject 4,F,Technology Subject 3,S,Technology Subject 2,W
421,ALevel,Science,2003,Science Subject 1,F,Science Subject 4,A,Science Subject 3,W,Science Subject 2,F
422,ALevel,Commerce,2018,Commerce Subject 4,C,Commerce Subject 3,C,Commerce Subject 2,W,,
425,ALevel,Technology,2012,Technology Subject 1,W,Technology Subject 2,A,Technology Subject 4,S,Technology Subject 3,C
426,ALevel,Arts,1984,Arts Subject 2,F,Arts Subject 4,W,Arts Subject 3,F,,
428,ALevel,Science,1993,Science Subject 3,C,Science Subject 4,S,Science Subject 1,W,,
429,ALevel,Arts,2003,Arts Subject 4,F,Arts Subject 2,B,Arts Subject 3,C,,
430,ALevel,Science,1983,Science Subject 4,A,Science Subject 1,A,Science Subject 2,B,Science Subject 3,B
434,ALevel,Technology,1991,Technology Subject 1,W,Technology Subject 3,C,Technology Subject 4,A,,
437,ALevel,Technology,2010,Technology Subject 3,B,Technology Subject 2,C,Technology Subject 4,S,,
438,ALevel,Commerce,1990,Commerce Subject 1,W,Commerce Subject 4,C,Commerce Subject 2,C,,
439,ALevel,Arts,2002,Arts Subject 1,B,Arts Subject 3,W,Arts Subject 4,A,,
444,ALevel,Commerce,2012,Commerce Subject 2,W,Commerce Subject 3,S,Commerce Subject 4,C,Commerce Subject 1,W
446,ALevel,Commerce,2012,Commerce Subject 3,A,Commerce Subject 4,A,Commerce Subject 1,A,,
447,ALevel,Arts,1982,Arts Subject 3,C,Arts Subject 4,B,Arts Subject 1,A,,
450,ALevel,Commerce,2019,Commerce Subject 1,S,Commerce Subject 3,B,Commerce Subject 4,W,,
452,ALevel,Science,1987,Science Subject 2,F,Science Subject 3,A,Science Subject 4,F,,
455,ALevel,Technology,2022,Technology Subject 4,B,Technology Subject 1,B,Technology Subject 3,W,,
458,ALevel,Arts,2002,Arts Subject 1,S,Arts Subject 4,C,Arts Subject 3,F,,
462,ALevel,Commerce,1993,Commerce Subject 4,W,Commerce Subject 2,F,Commerce Subject 3,W,,
465,ALevel,Arts,1996,Arts Subject 4,C,Arts Subject 1,C,Arts Subject 3,S,,
466,ALevel,Arts,2020,Arts Subject 4,S,Arts Subject 3,F,Arts Subject 1,S,,
469,ALevel,Science,2025,Science Subject 3,W,Science Subject 1,A,Science Subject 4,B,Science Subject 2,S
470,ALevel,Technology,1998,Technology Subject 1,F,Technology Subject 4,C,Technology Subject 3,C,,
471,ALevel,Arts,1991,Arts Subject 2,A,Arts Subject 3,B,Arts Subject 1,A,Arts Subject 4,A
472,ALevel,Commerce,2007,Commerce Subject 1,S,Commerce Subject 2,F,Commerce Subject 4,F,Commerce Subject 3,F
473,ALevel,Technology,2017,Technology Subject 4,C,Technology Subject 2,B,Technology Subject 1,A,Technology Subject 3,F
474,ALevel,Science,2007,Science Subject 3,W,Science Subject 2,B,Science Subject 1,F,,
475,ALevel,Commerce,1980,Commerce Subject 1,W,Commerce Subject 2,C,Commerce Subject 4,B,,
476,ALevel,Technology,2000,Technology Subject 3,F,Technology Subject 1,W,Technology Subject 4,S,Technology Subject 2,S
477,ALevel,Technology,2017,Technology Subject 1,A,Technology Subject 3,W,Technology Subject 2,F,,
479,ALevel,Technology,1982,Technology Subject 4,W,Technology Subject 3,B,Technology Subject 2,A,Technology Subject 1,C
482,ALevel,Commerce,2015,Commerce Subject 4,B,Commerce Subject 2,W,Commerce Subject 1,C,Commerce Subject 3,C
483,ALevel,Arts,2007,Arts Subject 4,A,Arts Subject 3,C,Arts Subject 2,F,Arts Subject 1,W
484,ALevel,Commerce,2025,Commerce Subject 3,C,Commerce Subject 2,F,Commerce Subject 4,B,,
486,ALevel,Technology,2006,Technology Subject 4,F,Technology Subject 1,S,Technology Subject 2,C,Technology Subject 3,C
487,ALevel,Technology,1990,Technology Subject 2,C,Technology Subject 1,B,Technology Subject 4,F,,
490,ALevel,Arts,2007,Arts Subject 1,A,Arts Subject 2,B,Arts Subject 4,A,Arts Subject 3,B
491,ALevel,Technology,1996,Technology Subject 1,S,Technology Subject 4,W,Technology Subject 3,C,Technology Subject 2,A
492,ALevel,Arts,2014,Arts Subject 2,A,Arts Subject 1,S,Arts Subject 3,A,,
495,ALevel,Technology,2021,Technology Subject 1,S,Technology Subject 2,A,Technology Subject 4,B,,
497,ALevel,Technology,2012,Technology Subject 3,F,Technology Subject 1,F,Technology Subject 4,F,Technology Subject 2,S
498,ALevel,Technology,1996,Technology Subject 3,C,Technology Subject 2,W,Technology Subject 4,W,,
499,ALevel,Technology,2002,Technology Subject 1,C,Technology Subject 3,F,Technology Subject 4,S,Technology Subject 2,S
500,ALevel,Commerce,1997,Commerce Subject 2,C,Commerce Subject 1,S,Commerce Subject 4,W,Commerce Subject 3,W
508,ALevel,Commerce,1995,Commerce Subject 2,F,Commerce Subject 1,C,Commerce Subject 4,W,Commerce Subject 3,F
509,ALevel,Technology,2001,Technology Subject 1,C,Technology Subject 2,A,Technology Subject 3,S,,
510,ALevel,Technology,2008,Technology Subject 3,B,Technology Subject 1,W,Technology Subject 2,S,,
511,ALevel,Technology,2009,Technology Subject 1,S,Technology Subject 2,W,Technology Subject 3,F,Technology Subject 4,F
514,ALevel,Commerce,1983,Commerce Subject 2,A,Commerce Subject 1,F,Commerce Subject 4,F,Commerce Subject 3,F
517,ALevel,Science,2004,Science Subject 4,A,Science Subject 3,C,Science Subject 1,C,,
519,ALevel,Science,1995,Science Subject 2,S,Science Subject 4,S,Science Subject 1,S,,
521,ALevel,Science,2012,Science Subject 4,C,Science Subject 2,B,Science Subject 3,C,Science Subject 1,A
527,ALevel,Science,1993,Science Subject 3,S,Science Subject 4,F,Science Subject 2,F,Science Subject 1,A
528,ALevel,Arts,1999,Arts Subject 2,A,Arts Subject 1,F,Arts Subject 3,A,Arts Subject 4,B
529,ALevel,Arts,1983,Arts Subject 4,W,Arts Subject 1,C,Arts Subject 3,W,,
530,ALevel,Science,1982,Science Subject 2,B,Science Subject 3,F,Science Subject 1,B,Science Subject 4,S
531,ALevel,Technology,1989,Technology Subject 4,B,Technology Subject 1,C,Technology Subject 2,B,Technology Subject 3,S
533,ALevel,Technology,1996,Technology Subject 4,S,Technology Subject 3,S,Technology Subject 2,S,Technology Subject 1,W
534,ALevel,Science,1986,Science Subject 3,W,Science Subject 2,B,Science Subject 4,A,,
537,ALevel,Science,1982,Science Subject 4,B,Science Subject 3,F,Science Subject 1,B,Science Subject 2,W
538,ALevel,Arts,2001,Arts Subject 3,B,Arts Subject 4,B,Arts Subject 1,S,Arts Subject 2,S
541,ALevel,Technology,2012,Technology Subject 3,S,Technology Subject 4,F,Technology Subject 2,A,,
542,ALevel,Commerce,2007,Commerce Subject 1,C,Commerce Subject 3,F,Commerce Subject 4,W,,
545,ALevel,Technology,1981,Technology Subject 2,A,Technology Subject 3,C,Technology Subject 4,W,Technology Subject 1,S
550,ALevel,Arts,2019,Arts Subject 2,S,Arts Subject 3,W,Arts Subject 4,A,,
552,ALevel,Science,2021,Science Subject 4,S,Science Subject 2,W,Science Subject 3,W,,
556,ALevel,Technology,1993,Technology Subject 2,W,Technology Subject 3,C,Technology Subject 1,W,Technology Subject 4,C
559,ALevel,Technology,2014,Technology Subject 1,C,Technology Subject 2,F,Technology Subject 4,A,Technology Subject 3,C
560,ALevel,Arts,1983,Arts Subject 4,W,Arts Subject 2,W,Arts Subject 3,A,Arts Subject 1,S
563,ALevel,Commerce,2015,Commerce Subject 2,W,Commerce Subject 3,B,Commerce Subject 4,B,,
564,ALevel,Arts,2004,Arts Subject 1,C,Arts Subject 3,S,Arts Subject 4,B,,
565,ALevel,Science,2004,Science Subject 4,C,Science Subject 3,F,Science Subject 1,S,Science Subject 2,C
566,ALevel,Arts,1985,Arts Subject 3,A,Arts Subject 4,C,Arts Subject 2,F,,
