JobID,SkillName,ProficiencyLevel
65,Childcare,Intermediate
65,Makeup Artistry,Intermediate
65,Farming,Intermediate
66,Excel,Advanced
66,IT Skills,Intermediate
66,Plumbing,Advanced
67,Livestock Management,Basic
67,Garment Quality Control,Advanced
67,Teaching Assistance,Advanced
68,Delivery Driving,Intermediate
68,Caregiving,Advanced
68,Accounting,Basic
69,Hotel Housekeeping,Advanced
69,Nursing,Basic
69,Kitchen Assistance,Advanced
70,First Aid,Intermediate
70,Plumbing,Intermediate
70,Customer Service,Advanced
70,Scaffolding,Intermediate
70,Vehicle Maintenance,Basic
71,Sewing,Basic
71,Fishing,Advanced
71,Excel,Basic
71,Bookkeeping,Basic
71,Quality Inspection,Advanced
72,Carpentry,Basic
72,Inventory Management,Basic
72,Laundry,Advanced
72,Bookkeeping,Basic
73,Guest Relations,Intermediate
73,Caregiving,Advanced
74,Nursing,Advanced
74,Hotel Housekeeping,Intermediate
75,First Aid,Advanced
75,Driving,Intermediate
75,Cooking,Intermediate
75,Caregiving,Basic
75,Farming,Basic
76,Nursing,Intermediate
77,First Aid,Intermediate
78,Nursing,Basic
79,Excel,Advanced
79,Cooking,Intermediate
79,Garment Quality Control,Intermediate
79,Data Entry,Basic
80,Accounting,Intermediate
80,Livestock Management,Basic
81,Childcare,Basic
81,Carpentry,Basic
81,Masonry,Basic
81,Delivery Driving,Intermediate
82,Hotel Housekeeping,Intermediate
82,Nursing,Intermediate
82,Makeup Artistry,Basic
83,Teaching Assistance,Intermediate
83,First Aid,Intermediate
83,Tiling,Basic
83,Logistics Coordination,Intermediate
83,Cooking,Advanced
84,Health Aide,Basic
85,Food Preparation,Advanced
85,Bar Bending,Advanced
85,Logistics Coordination,Advanced
85,Painting,Basic
86,Horticulture,Advanced
86,Sewing,Advanced
86,Kitchen Assistance,Advanced
86,Carpentry,Advanced
87,Plumbing,Basic
87,Hairdressing,Basic
87,Inventory Management,Intermediate
88,Electrical,Advanced
88,Retail Sales,Advanced
89,Nursing,Intermediate
90,Forklift Operation,Intermediate
91,Nursing,Advanced
92,Sewing,Advanced
93,Sewing,Basic
94,Garment Quality Control,Intermediate
94,Shuttering Carpentry,Intermediate
95,First Aid,Basic
96,Inventory Management,Advanced
96,Serving,Basic
96,Textile Machine Operation,Intermediate
96,Kitchen Assistance,Advanced
97,Livestock Management,Basic
97,Inventory Management,Basic
97,Quality Inspection,Advanced
98,Patient Care,Advanced
98,Scaffolding,Intermediate
98,Fishing,Advanced
98,Painting,Basic
99,Garment Quality Control,Advanced
99,Security Guarding,Advanced
99,Elderly Care,Intermediate
100,Kitchen Assistance,Basic
101,Patient Care,Intermediate
101,Forklift Operation,Intermediate
101,Guest Relations,Intermediate
101,Front Desk Operations,Basic
102,Heavy Vehicle Driving,Intermediate
102,Guest Relations,Advanced
102,Administrative Support,Basic
102,Housekeeping,Intermediate
102,First Aid,Intermediate
103,Beauty Therapy,Advanced
103,First Aid,Basic
103,Barista Skills,Basic
103,Plumbing,Intermediate
104,Administrative Support,Intermediate
104,Data Entry,Basic
104,Concrete Mixing,Intermediate
104,CCTV Monitoring,Basic
105,Hotel Housekeeping,Basic
105,Inventory Management,Intermediate
106,Fishing,Advanced
106,First Aid,Advanced
106,Bar Bending,Advanced
106,Customer Service,Basic
107,Fishing,Advanced
107,Driving,Basic
107,Masonry,Basic
107,Front Desk Operations,Basic
108,Nursing,Advanced
109,Teaching Assistance,Basic
110,Cooking,Advanced
111,Elderly Care,Intermediate
112,Guest Relations,Advanced
112,Sewing,Advanced
112,Barista Skills,Advanced
112,Logistics Coordination,Basic
112,Livestock Management,Basic
113,First Aid,Advanced
114,Laundry,Intermediate
115,Fishing,Intermediate
115,Garment Quality Control,Basic
115,Tiling,Intermediate
115,Plumbing,Intermediate
115,Carpentry,Advanced
116,Laundry,Basic
116,Bookkeeping,Intermediate
117,Teaching Assistance,Advanced
117,Sewing,Advanced
117,Data Entry,Intermediate
118,Childcare,Intermediate
118,Electrical,Advanced
118,Barista Skills,Advanced
118,Health Aide,Advanced
118,First Aid,Intermediate
119,Carpentry,Advanced
119,Accounting,Intermediate
120,Laundry,Basic
120,Plumbing,Advanced
120,Barista Skills,Advanced
121,Horticulture,Intermediate
122,Vehicle Maintenance,Intermediate
122,CCTV Monitoring,Basic
122,Customer Service,Intermediate
123,Retail Sales,Basic
123,Security Guarding,Advanced
124,Fishing,Advanced
124,Vehicle Maintenance,Advanced
124,Hotel Housekeeping,Basic
124,Scaffolding,Basic
124,Horticulture,Basic
125,Retail Sales,Advanced
126,Health Aide,Advanced
126,Hotel Housekeeping,Basic
126,MS Office,Basic
127,Masonry,Basic
127,Customer Service,Basic
127,Hairdressing,Basic
128,Caregiving,Intermediate
128,IT Skills,Advanced
128,Concrete Mixing,Basic
129,Bar Bending,Intermediate
129,Front Desk Operations,Advanced
129,Elderly Care,Basic
129,Patient Care,Advanced
129,Excel,Advanced
130,Nursing,Intermediate
131,Sewing,Intermediate
132,Sewing,Advanced
132,Data Entry,Basic
132,Administrative Support,Intermediate
133,Teaching Assistance,Basic
133,Beauty Therapy,Advanced
133,Elderly Care,Basic
133,Childcare,Advanced
133,Makeup Artistry,Advanced
134,Inventory Management,Advanced
134,Janitorial Skills,Advanced
135,Banquet Service,Basic
135,Logistics Coordination,Basic
135,Excel,Advanced
135,First Aid,Intermediate
136,Electrical,Basic
137,Farming,Advanced
137,First Aid,Advanced
137,Food Preparation,Advanced
138,Bookkeeping,Intermediate
138,Plumbing,Intermediate
139,Sewing,Advanced
140,Laundry,Intermediate
141,Front Desk Operations,Basic
141,Banquet Service,Basic
141,Serving,Intermediate
142,Packing,Intermediate
142,Vehicle Maintenance,Advanced
142,Delivery Driving,Advanced
143,Food Preparation,Basic
143,Electrical,Intermediate
143,Bar Bending,Advanced
143,Nursing,Intermediate
143,Logistics Coordination,Intermediate
144,Serving,Advanced
144,Administrative Support,Basic
144,Childcare,Intermediate
144,Bookkeeping,Advanced
144,Inventory Management,Advanced
145,Welding,Basic
146,Hairdressing,Intermediate
147,Livestock Management,Advanced
148,First Aid,Basic
148,Sewing,Basic
148,Electrical,Intermediate
149,First Aid,Intermediate
149,Health Aide,Advanced
149,Retail Sales,Intermediate
149,Driving,Basic
149,Farming,Advanced
150,Excel,Advanced
151,Sewing,Intermediate
151,Facility Maintenance,Intermediate
151,Farming,Basic
151,Carpentry,Advanced
152,Logistics Coordination,Advanced
152,Farming,Basic
152,Elderly Care,Basic
152,Hotel Housekeeping,Intermediate
153,Childcare,Intermediate
154,Elderly Care,Intermediate
155,Facility Maintenance,Advanced
155,Cooking,Intermediate
155,Nursing,Basic
155,Garment Quality Control,Advanced
155,Customer Service,Advanced
156,Concrete Mixing,Intermediate
156,Shuttering Carpentry,Intermediate
156,Bookkeeping,Advanced
157,Horticulture,Basic
157,Garment Quality Control,Intermediate
157,Excel,Intermediate
157,Hairdressing,Intermediate
157,Farming,Intermediate
158,Logistics Coordination,Intermediate
159,Barista Skills,Advanced
159,Hairdressing,Basic
160,Security Guarding,Advanced
160,Carpentry,Intermediate
160,Heavy Vehicle Driving,Intermediate
161,Quality Inspection,Advanced
161,Garment Quality Control,Basic
161,Nursing,Basic
161,Laundry,Advanced
162,Driving,Intermediate
163,IT Skills,Basic
164,Cooking,Basic
164,Sewing,Intermediate
165,Excel,Intermediate
165,Data Entry,Advanced
166,Barista Skills,Advanced
166,Packing,Advanced
166,Hotel Housekeeping,Basic
166,Delivery Driving,Intermediate
167,Housekeeping,Intermediate
167,Horticulture,Basic
167,Administrative Support,Basic
167,Bar Bending,Intermediate
168,Kitchen Assistance,Advanced
168,Delivery Driving,Basic
169,Laundry,Basic
169,Nursing,Basic
170,Driving,Basic
171,Accounting,Intermediate
172,Beauty Therapy,Intermediate
172,Carpentry,Intermediate
172,Retail Sales,Advanced
172,Electrical,Advanced
172,Inventory Management,Advanced
173,Construction Supervision,Intermediate
173,Garment Quality Control,Basic
173,Heavy Vehicle Driving,Basic
173,CCTV Monitoring,Basic
174,Hairdressing,Advanced
174,Fishing,Advanced
174,Makeup Artistry,Intermediate
174,Bookkeeping,Intermediate
174,Security Guarding,Basic
175,Sewing,Intermediate
175,Nursing,Advanced
176,Delivery Driving,Basic
176,Textile Machine Operation,Basic
176,Data Entry,Advanced
176,Electrical,Advanced
177,Serving,Intermediate
178,Nursing,Basic
179,MS Office,Basic
179,Health Aide,Advanced
179,Scaffolding,Basic
179,IT Skills,Basic
180,Nursing,Advanced
181,Horticulture,Advanced
181,Masonry,Advanced
181,Hotel Housekeeping,Advanced
182,Elderly Care,Intermediate
183,Facility Maintenance,Basic
183,Construction Supervision,Basic
183,Childcare,Advanced
183,Bar Bending,Intermediate
184,Guest Relations,Advanced
184,Home Cleaning,Basic
184,Vehicle Maintenance,Intermediate
184,Textile Machine Operation,Advanced
185,Kitchen Assistance,Advanced
185,Logistics Coordination,Advanced
185,Bookkeeping,Intermediate
185,Masonry,Intermediate
186,CCTV Monitoring,Advanced
187,Excel,Intermediate
187,Tailoring,Basic
187,Cooking,Basic
187,Textile Machine Operation,Intermediate
188,Food Preparation,Advanced
188,Plumbing,Basic
189,Customer Service,Basic
189,Front Desk Operations,Intermediate
190,Kitchen Assistance,Intermediate
190,Caregiving,Intermediate
190,Barista Skills,Intermediate
190,Cooking,Basic
191,Facility Maintenance,Advanced
191,Housekeeping,Advanced
192,CCTV Monitoring,Advanced
192,Farming,Basic
193,Housekeeping,Intermediate
193,Caregiving,Advanced
193,Teaching Assistance,Basic
193,Excel,Intermediate
193,Carpentry,Basic
194,Quality Inspection,Intermediate
194,Driving,Basic
194,Laundry,Intermediate
195,Packing,Intermediate
196,Childcare,Intermediate
197,Barista Skills,Intermediate
198,Childcare,Advanced
198,Horticulture,Intermediate
199,Tailoring,Basic
199,Medical Assistance,Intermediate
199,Delivery Driving,Advanced
199,Data Entry,Basic
199,Inventory Management,Advanced
200,Nursing,Advanced
201,Scaffolding,Basic
201,Delivery Driving,Intermediate
201,Teaching Assistance,Advanced
201,Barista Skills,Basic
201,Quality Inspection,Advanced
202,Health Aide,Basic
202,Sewing,Intermediate
202,Horticulture,Advanced
202,IT Skills,Basic
202,Excel,Advanced
203,Barista Skills,Intermediate
204,Driving,Advanced
205,Facility Maintenance,Intermediate
205,Carpentry,Basic
206,Barista Skills,Basic
206,Welding,Basic
206,Concrete Mixing,Intermediate
206,Beauty Therapy,Advanced
207,Barista Skills,Intermediate
208,Excel,Intermediate
208,Cooking,Advanced
208,Concrete Mixing,Advanced
208,Teaching Assistance,Intermediate
208,Packing,Basic
209,Shuttering Carpentry,Advanced
209,Security Guarding,Basic
210,Welding,Intermediate
210,Retail Sales,Intermediate
210,Home Cleaning,Advanced
210,Driving,Advanced
211,CCTV Monitoring,Intermediate
211,Banquet Service,Advanced
212,Plumbing,Intermediate
212,Medical Assistance,Intermediate
212,Nursing,Basic
212,Serving,Intermediate
213,Painting,Basic
213,Plumbing,Basic
214,Laundry,Advanced
215,Barista Skills,Intermediate
215,Vehicle Maintenance,Basic
215,Heavy Vehicle Driving,Basic
215,Scaffolding,Basic
215,Retail Sales,Basic
216,Serving,Basic
217,Nursing,Intermediate
218,Packing,Advanced
218,Plumbing,Basic
218,Bookkeeping,Advanced
219,Scaffolding,Advanced
219,Beauty Therapy,Basic
219,Barista Skills,Basic
219,Painting,Advanced
219,Janitorial Skills,Intermediate
220,Heavy Vehicle Driving,Advanced
220,Patient Care,Advanced
220,CCTV Monitoring,Intermediate
220,Retail Sales,Basic
220,Driving,Intermediate
221,Guest Relations,Intermediate
222,IT Skills,Advanced
222,Painting,Advanced
222,Data Entry,Basic
222,Logistics Coordination,Basic
222,Sewing,Basic
223,Nursing,Intermediate
223,Scaffolding,Basic
223,Banquet Service,Intermediate
223,Makeup Artistry,Advanced
224,Concrete Mixing,Basic
224,Tiling,Advanced
224,Makeup Artistry,Advanced
224,Plumbing,Advanced
225,Childcare,Basic
226,Retail Sales,Intermediate
226,Food Preparation,Advanced
226,Banquet Service,Intermediate
226,Customer Service,Intermediate
226,Fishing,Advanced
227,Driving,Intermediate
227,Hairdressing,Advanced
227,Home Cleaning,Advanced
227,Livestock Management,Intermediate
227,Food Preparation,Basic
228,Inventory Management,Basic
228,Tailoring,Advanced
228,Cooking,Advanced
229,Painting,Basic
229,Housekeeping,Advanced
229,Teaching Assistance,Intermediate
230,Front Desk Operations,Intermediate
231,Garment Quality Control,Intermediate
231,Vehicle Maintenance,Intermediate
231,Elderly Care,Advanced
232,Caregiving,Intermediate
233,Construction Supervision,Advanced
233,Masonry,Advanced
234,Janitorial Skills,Advanced
234,Bar Bending,Advanced
234,Nursing,Advanced
235,Nursing,Intermediate
236,Sewing,Basic
237,Barista Skills,Advanced
237,First Aid,Basic
237,Beauty Therapy,Advanced
237,Front Desk Operations,Intermediate
238,Sewing,Basic
238,Welding,Basic
239,Garment Quality Control,Intermediate
239,Horticulture,Basic
239,Health Aide,Intermediate
240,Administrative Support,Basic
240,Housekeeping,Advanced
240,Beauty Therapy,Basic
241,Laundry,Intermediate
242,Garment Quality Control,Intermediate
242,Patient Care,Advanced
242,Housekeeping,Advanced
242,Inventory Management,Advanced
243,Scaffolding,Basic
243,Tailoring,Intermediate
243,Cooking,Advanced
243,Bar Bending,Intermediate
244,Customer Service,Intermediate
244,IT Skills,Advanced
244,Administrative Support,Intermediate
245,Caregiving,Advanced
245,Sewing,Advanced
245,Vehicle Maintenance,Advanced
246,Food Preparation,Advanced
246,Welding,Basic
247,Kitchen Assistance,Basic
248,Driving,Basic
249,Nursing,Basic
250,Guest Relations,Basic
250,IT Skills,Advanced
250,Inventory Management,Advanced
251,Nursing,Advanced
252,Cooking,Basic
252,Bar Bending,Intermediate
252,Patient Care,Intermediate
252,Elderly Care,Intermediate
252,Housekeeping,Intermediate
253,Quality Inspection,Basic
254,Front Desk Operations,Intermediate
254,Food Preparation,Intermediate
254,Administrative Support,Basic
254,Sewing,Basic
254,Tailoring,Intermediate
255,Sewing,Advanced
256,Data Entry,Basic
256,Fishing,Intermediate
256,Cooking,Intermediate
257,Laundry,Intermediate
258,Nursing,Advanced
258,Concrete Mixing,Basic
258,Bookkeeping,Advanced
258,Driving,Intermediate
259,Forklift Operation,Advanced
259,Serving,Advanced
259,Housekeeping,Intermediate
260,Garment Quality Control,Intermediate
260,Construction Supervision,Intermediate
261,Horticulture,Intermediate
261,Barista Skills,Advanced
261,Retail Sales,Advanced
262,Childcare,Advanced
262,Plumbing,Basic
262,Excel,Basic
262,Carpentry,Advanced
262,Security Guarding,Intermediate
263,Driving,Advanced
264,IT Skills,Advanced
264,Cooking,Intermediate
265,Masonry,Intermediate
265,Home Cleaning,Intermediate
266,Housekeeping,Basic
266,Scaffolding,Advanced
266,Barista Skills,Basic
266,Masonry,Basic
266,Medical Assistance,Advanced
267,Hairdressing,Basic
268,Scaffolding,Advanced
268,Livestock Management,Basic
268,IT Skills,Basic
268,Makeup Artistry,Basic
269,CCTV Monitoring,Intermediate
269,Horticulture,Basic
269,Tailoring,Intermediate
270,Nursing,Advanced
270,Driving,Basic
271,IT Skills,Advanced
271,Laundry,Advanced
271,Textile Machine Operation,Advanced
272,Garment Quality Control,Intermediate
273,Sewing,Basic
274,Security Guarding,Basic
274,Medical Assistance,Basic
274,Caregiving,Advanced
274,Heavy Vehicle Driving,Advanced
275,Hotel Housekeeping,Advanced
275,Administrative Support,Advanced
275,Barista Skills,Basic
276,Kitchen Assistance,Advanced
276,Livestock Management,Basic
276,Medical Assistance,Basic
276,Quality Inspection,Intermediate
277,Logistics Coordination,Basic
277,Construction Supervision,Basic
277,Bar Bending,Advanced
277,Garment Quality Control,Advanced
278,Nursing,Basic
279,Administrative Support,Advanced
279,Bookkeeping,Advanced
279,Farming,Intermediate
279,Laundry,Basic
279,Bar Bending,Basic
280,Elderly Care,Basic
280,Welding,Intermediate
281,Plumbing,Intermediate
281,Painting,Advanced
282,Logistics Coordination,Basic
282,Quality Inspection,Advanced
283,Nursing,Advanced
284,Hotel Housekeeping,Advanced
284,Concrete Mixing,Basic
284,Data Entry,Basic
285,Shuttering Carpentry,Intermediate
285,Painting,Basic
285,Serving,Basic
285,Home Cleaning,Basic
286,Sewing,Intermediate
287,Home Cleaning,Basic
287,Quality Inspection,Advanced
287,Health Aide,Basic
288,Hotel Housekeeping,Intermediate
288,Cooking,Basic
288,Banquet Service,Basic
288,Tiling,Basic
289,Childcare,Advanced
289,Heavy Vehicle Driving,Basic
289,Serving,Advanced
289,Kitchen Assistance,Basic
290,Tiling,Basic
290,Beauty Therapy,Basic
290,Hairdressing,Basic
291,Medical Assistance,Advanced
291,IT Skills,Basic
291,Caregiving,Basic
291,Kitchen Assistance,Advanced
291,Janitorial Skills,Advanced
292,Welding,Advanced
293,MS Office,Intermediate
293,Data Entry,Intermediate
293,Electrical,Intermediate
293,Teaching Assistance,Basic
293,Inventory Management,Intermediate
294,Concrete Mixing,Basic
294,Shuttering Carpentry,Intermediate
294,Farming,Basic
294,Home Cleaning,Basic
295,Nursing,Advanced
296,Nursing,Basic
296,Logistics Coordination,Basic
296,Painting,Basic
296,Guest Relations,Advanced
296,IT Skills,Intermediate
297,Caregiving,Basic
297,Elderly Care,Advanced
297,Janitorial Skills,Basic
298,Nursing,Advanced
299,IT Skills,Intermediate
299,Caregiving,Advanced
299,Fishing,Intermediate
300,Hairdressing,Basic
300,Cooking,Intermediate
300,Security Guarding,Intermediate
300,Construction Supervision,Intermediate
301,Heavy Vehicle Driving,Intermediate
301,MS Office,Intermediate
301,Security Guarding,Intermediate
301,Nursing,Intermediate
301,Beauty Therapy,Intermediate
302,Nursing,Advanced
303,Bookkeeping,Basic
304,Accounting,Basic
305,Nursing,Basic
306,Laundry,Basic
307,Driving,Advanced
307,Security Guarding,Intermediate
307,Elderly Care,Advanced
307,Facility Maintenance,Basic
307,Customer Service,Advanced
308,Retail Sales,Advanced
308,Home Cleaning,Intermediate
308,Cooking,Intermediate
308,Health Aide,Intermediate
308,Masonry,Intermediate
309,Nursing,Basic
310,Accounting,Intermediate
310,Excel,Basic
310,Data Entry,Basic
311,Nursing,Advanced
312,Bookkeeping,Basic
313,Nursing,Basic
314,Driving,Intermediate
315,Farming,Advanced
315,Caregiving,Intermediate
316,Sewing,Intermediate
317,Excel,Basic
317,Heavy Vehicle Driving,Advanced
317,Quality Inspection,Intermediate
317,Serving,Advanced
317,Facility Maintenance,Basic
318,Nursing,Basic
318,Childcare,Advanced
319,CCTV Monitoring,Advanced
319,Front Desk Operations,Basic
319,Farming,Advanced
320,Concrete Mixing,Basic
320,Inventory Management,Advanced
320,Food Preparation,Basic
321,Heavy Vehicle Driving,Intermediate
321,Housekeeping,Basic
321,Logistics Coordination,Advanced
321,Makeup Artistry,Advanced
322,Nursing,Basic
323,MS Office,Basic
323,Facility Maintenance,Basic
323,Security Guarding,Intermediate
323,Janitorial Skills,Basic
323,Inventory Management,Advanced
324,First Aid,Intermediate
324,Retail Sales,Intermediate
325,Laundry,Intermediate
325,Fishing,Intermediate
325,Home Cleaning,Basic
325,Logistics Coordination,Advanced
325,Welding,Advanced
326,Kitchen Assistance,Intermediate
326,Health Aide,Advanced
326,Plumbing,Basic
326,Retail Sales,Advanced
327,Data Entry,Basic
327,Inventory Management,Intermediate
327,Customer Service,Basic
327,Home Cleaning,Intermediate
328,Sewing,Intermediate
329,Accounting,Advanced
330,Construction Supervision,Intermediate
330,Medical Assistance,Advanced
330,Laundry,Intermediate
330,Bookkeeping,Basic
331,Concrete Mixing,Basic
331,Fishing,Intermediate
331,Shuttering Carpentry,Basic
331,Facility Maintenance,Basic
331,Home Cleaning,Advanced
332,Packing,Basic
332,Shuttering Carpentry,Intermediate
332,Tiling,Advanced
333,Housekeeping,Advanced
333,Tailoring,Basic
334,Bar Bending,Intermediate
335,Packing,Basic
335,Delivery Driving,Basic
335,Administrative Support,Intermediate
335,Accounting,Intermediate
336,Teaching Assistance,Advanced
337,Laundry,Advanced
338,Heavy Vehicle Driving,Basic
338,Cooking,Intermediate
338,Tailoring,Advanced
339,Tailoring,Basic
339,Kitchen Assistance,Intermediate
340,Hairdressing,Basic
340,Horticulture,Basic
341,Kitchen Assistance,Basic
341,Welding,Advanced
341,Security Guarding,Intermediate
341,Food Preparation,Basic
342,Packing,Advanced
342,Childcare,Basic
342,Garment Quality Control,Intermediate
342,Accounting,Advanced
342,Elderly Care,Intermediate
343,Elderly Care,Intermediate
343,Concrete Mixing,Basic
344,Nursing,Intermediate
345,Driving,Intermediate
346,Welding,Basic
347,Inventory Management,Advanced
348,Sewing,Advanced
349,Patient Care,Advanced
349,Logistics Coordination,Basic
349,Garment Quality Control,Intermediate
349,Masonry,Intermediate
350,Nursing,Advanced
351,Livestock Management,Intermediate
351,CCTV Monitoring,Advanced
351,Elderly Care,Intermediate
351,Caregiving,Basic
352,Masonry,Basic
352,Tiling,Basic
352,Barista Skills,Advanced
352,Construction Supervision,Basic
352,Logistics Coordination,Basic
353,Patient Care,Advanced
353,Retail Sales,Advanced
354,Packing,Advanced
355,Beauty Therapy,Advanced
355,Delivery Driving,Basic
355,Shuttering Carpentry,Intermediate
355,Carpentry,Advanced
356,Scaffolding,Basic
356,Heavy Vehicle Driving,Advanced
356,Bar Bending,Basic
356,MS Office,Advanced
357,Packing,Advanced
358,Home Cleaning,Advanced
358,Heavy Vehicle Driving,Intermediate
358,Makeup Artistry,Advanced
358,Excel,Intermediate
359,Administrative Support,Intermediate
359,Farming,Intermediate
360,Security Guarding,Intermediate
360,Excel,Intermediate
360,Sewing,Intermediate
360,First Aid,Advanced
361,Garment Quality Control,Basic
362,Driving,Basic
362,Caregiving,Intermediate
362,Carpentry,Basic
363,Sewing,Intermediate
364,Customer Service,Advanced
364,Childcare,Advanced
364,Plumbing,Advanced
364,Cooking,Intermediate
365,Makeup Artistry,Basic
366,First Aid,Advanced
366,Barista Skills,Advanced
366,Beauty Therapy,Basic
366,Health Aide,Basic
367,Packing,Basic
367,Construction Supervision,Advanced
368,Nursing,Intermediate
369,Nursing,Intermediate
370,Nursing,Advanced
371,Nursing,Basic
372,Textile Machine Operation,Basic
372,Forklift Operation,Advanced
372,Caregiving,Intermediate
373,Farming,Basic
373,Forklift Operation,Intermediate
373,Teaching Assistance,Advanced
373,Packing,Basic
373,Serving,Advanced
374,Nursing,Intermediate
375,Laundry,Basic
375,IT Skills,Basic
376,Childcare,Basic
377,Serving,Advanced
377,Logistics Coordination,Advanced
378,Nursing,Intermediate
378,MS Office,Basic
378,IT Skills,Advanced
378,Laundry,Intermediate
379,Heavy Vehicle Driving,Intermediate
379,Shuttering Carpentry,Advanced
379,Food Preparation,Basic
380,Sewing,Intermediate
381,Sewing,Intermediate
382,Nursing,Intermediate
382,Elderly Care,Basic
383,Makeup Artistry,Intermediate
383,Tailoring,Advanced
