JobID,EmployerName,Country,EmploymentSector,JobTitle,PostedDate
40,Tea Co,Romania,Garment & Apparel,Welder,2025-01-09
41,Apparel Pvt,Serbia,Construction,Construction Helper,2025-05-05
42,Tea Pvt,Singapore,Security Services,Salesperson,2025-04-02
43,Tea Co,United Kingdom,Security Services,Barista,2024-05-20
44,Construction Co,Australia,Construction,Construction Helper,2024-10-07
45,Gem Inc,Malaysia,Construction,Construction Helper,2025-01-19
46,Lanka Enterprises,United Arab Emirates,Garment & Apparel,Forklift Operator,2025-02-20
47,Sri Pvt,United Kingdom,Hospitality & Tourism,Security Guard,2024-06-11
48,Ceylon Group,Qatar,Construction,Construction Supervisor,2025-03-11
49,Island Plantations,Malaysia,Domestic Services,Warehouse Worker,2024-11-23
50,Apparel Corp,Saudi Arabia,Domestic Services,Welder,2024-02-10
51,Construction Solutions,Sri Lanka,Driving & Transportation,Plumber,2023-10-16
52,Island Inc,United Arab Emirates,Construction,Construction Supervisor,2023-08-25
53,Gem Plantations,United Arab Emirates,Beauty & Personal Care,Engineer,2025-07-09
54,Apparel Corp,Saudi Arabia,Textile & Sewing,Welder,2023-09-02
55,Ceylon Group,Kuwait,Hospitality & Tourism,Factory Worker,2024-12-10
56,Gem Corp,Kuwait,Hospitality & Tourism,Mason,2024-04-09
57,Sri Co,Singapore,Hospitality & Tourism,Factory Worker,2024-10-17
58,Ceylon Inc,Qatar,Domestic Services,Hotel Housekeeper,2024-08-25
59,Tea Plantations,Saudi Arabia,Construction,Construction Supervisor,2024-09-10
60,Apparel Ltd,Qatar,Garment & Apparel,Forklift Operator,2024-10-13
61,Hotel Group,Saudi Arabia,Construction,Construction Helper,2024-10-17
62,Island Enterprises,Saudi Arabia,Hospitality & Tourism,Barista,2024-11-13
63,Construction Solutions,Qatar,Garment & Apparel,Nursing Assistant,2023-10-03
64,Tea Group,Turkey,Security Services,General Labourer,2025-06-12
65,Lanka Group,Japan,Hospitality & Tourism,Engineer,2025-03-02
66,Tech Inc,Kuwait,Garment & Apparel,Construction Helper,2025-06-28
67,Lanka Co,United Kingdom,Construction,Construction Supervisor,2024-06-22
68,Lanka Plantations,Kuwait,Retail & Sales,Forklift Operator,2024-01-08
69,Construction Solutions,United Arab Emirates,Engineering & Technical,Receptionist,2025-04-10
70,Hotel Solutions,Japan,Construction,Construction Supervisor,2024-07-04
71,Island Co,Qatar,Education & Training,Barista,2024-09-24
72,Gem Enterprises,Jordan,Construction,Construction Helper,2024-06-09
73,Tech Ltd,United Arab Emirates,Facility Management,Barista,2024-07-06
74,Tea Inc,Kuwait,Construction,Construction Supervisor,2024-03-07
75,Gem Enterprises,Qatar,Hospitality & Tourism,Engineer,2024-01-11
76,Island Group,Jordan,Healthcare & Nursing,Administrative Assistant,2024-03-21
77,Tea Ltd,United Arab Emirates,Construction,Construction Supervisor,2024-02-17
78,Tech Plantations,United Arab Emirates,Healthcare & Nursing,Housemaid,2024-01-01
79,Tea Corp,Kuwait,Domestic Services,Construction Supervisor,2024-07-05
80,Tech Inc,Kuwait,Domestic Services,Logistics Coordinator,2024-12-13
81,Construction Enterprises,Saudi Arabia,Construction,Construction Helper,2024-01-19
82,Lanka Pvt,South Korea,Engineering & Technical,Technician,2025-01-29
83,Sri Ltd,Saudi Arabia,Cleaning Services,Salesperson,2023-09-01
84,Construction Plantations,Saudi Arabia,Domestic Services,Kitchen Helper,2024-05-23
85,Tech Solutions,Kuwait,Garment & Apparel,Hotel Housekeeper,2024-06-02
86,Lanka Inc,South Korea,Construction,Construction Helper,2025-06-11
87,Hotel Inc,United Arab Emirates,Hospitality & Tourism,Logistics Coordinator,2024-06-23
88,Hotel Ltd,United Arab Emirates,Domestic Services,Construction Helper,2025-05-27
89,Tea Solutions,Romania,Healthcare & Nursing,Hairdresser,2024-11-07
90,Ceylon Co,United Arab Emirates,Domestic Services,Receptionist,2024-11-03
91,Sri Group,Saudi Arabia,Healthcare & Nursing,Construction Helper,2025-02-07
92,Island Solutions,Hong Kong,Domestic Services,Sewing Machine Operator,2023-12-18
93,Gem Plantations,Saudi Arabia,Construction,Construction Supervisor,2024-05-22
94,Ceylon Plantations,Qatar,Domestic Services,Room Attendant,2023-11-18
95,Hotel Group,United Arab Emirates,Cleaning Services,Hotel Housekeeper,2024-06-06
96,Sri Pvt,South Korea,Domestic Services,Domestic Worker,2025-03-13
97,Sri Pvt,Serbia,Hospitality & Tourism,Mason,2024-03-10
98,Island Corp,Saudi Arabia,Hospitality & Tourism,Tailor,2025-08-09
99,Ceylon Co,South Korea,Garment & Apparel,Barista,2024-10-24
100,Sri Corp,Sri Lanka,Domestic Services,Domestic Worker,2024-04-08
101,Ceylon Corp,Japan,Construction,Construction Helper,2023-09-12
102,Tea Plantations,United Arab Emirates,Hospitality & Tourism,Maintenance Worker,2025-06-24
103,Apparel Group,Malaysia,Hospitality & Tourism,Cleaner,2024-07-18
104,Hotel Inc,Maldives,Garment & Apparel,Warehouse Worker,2025-05-25
105,Tea Corp,Saudi Arabia,Domestic Services,Nurse,2023-12-17
106,Gem Ltd,Bahrain,Cleaning Services,Welder,2024-07-09
107,Gem Solutions,United Arab Emirates,Construction,Construction Supervisor,2024-02-25
108,Lanka Inc,Malaysia,Healthcare & Nursing,Mason,2025-02-15
109,Ceylon Plantations,Canada,Construction,Construction Helper,2023-09-21
110,Lanka Inc,Saudi Arabia,Domestic Services,Hairdresser,2024-08-18
111,Construction Inc,South Korea,Construction,Construction Supervisor,2024-08-02
112,Hotel Enterprises,Saudi Arabia,Manufacturing,Machine Operator,2025-01-30
113,Tech Group,United Arab Emirates,Domestic Services,Logistics Coordinator,2024-02-25
114,Tea Enterprises,Bahrain,Hospitality & Tourism,Laundry Worker,2023-12-12
115,Ceylon Group,Qatar,Garment & Apparel,Delivery Driver,2025-05-12
116,Island Corp,Saudi Arabia,Domestic Services,Logistics Coordinator,2024-06-21
117,Hotel Solutions,Saudi Arabia,Construction,Construction Helper,2025-05-07
118,Tech Ltd,Saudi Arabia,Beauty & Personal Care,Janitor,2025-07-27
119,Tea Enterprises,United Arab Emirates,Garment & Apparel,Accountant,2025-06-04
120,Hotel Ltd,Maldives,Garment & Apparel,Logistics Coordinator,2025-05-02
121,Sri Co,Maldives,Domestic Services,Beautician,2025-07-22
122,Construction Corp,Saudi Arabia,Agriculture & Fishery,Machine Operator,2023-11-10
123,Island Solutions,Kuwait,Education & Training,Factory Worker,2024-11-25
124,Sri Corp,Saudi Arabia,Domestic Services,Security Guard,2024-11-09
125,Gem Enterprises,Romania,Manufacturing,Agricultural Worker,2023-09-27
126,Tea Plantations,United Arab Emirates,Construction,Construction Helper,2024-12-30
127,Island Plantations,United Arab Emirates,Domestic Services,Waiter,2024-01-26
128,Ceylon Inc,Jordan,Security Services,Receptionist,2024-07-29
129,Sri Plantations,South Korea,Logistics & Warehousing,Housemaid,2024-06-27
130,Apparel Group,United Arab Emirates,Healthcare & Nursing,Logistics Coordinator,2025-07-27
131,Island Corp,Saudi Arabia,Textile & Sewing,Construction Supervisor,2024-12-13
132,Lanka Ltd,Oman,Hospitality & Tourism,Factory Worker,2024-03-29
133,Ceylon Co,Kuwait,Construction,Construction Supervisor,2024-08-13
134,Apparel Plantations,Qatar,Manufacturing,Engineer,2023-11-20
135,Hotel Group,Sri Lanka,Garment & Apparel,Plumber,2025-06-16
136,Lanka Inc,Sri Lanka,Hospitality & Tourism,Nurse,2025-07-29
137,Sri Co,United Kingdom,Agriculture & Fishery,Engineer,2025-05-14
138,Island Pvt,Maldives,Construction,Construction Helper,2025-06-01
139,Tea Ltd,Lebanon,Textile & Sewing,Shuttering Carpenter,2025-02-13
140,Construction Pvt,Saudi Arabia,Agriculture & Fishery,Laundry Worker,2024-10-31
141,Island Solutions,Bahrain,Domestic Services,Janitor,2024-12-11
142,Island Inc,Jordan,Domestic Services,Warehouse Worker,2023-12-30
143,Hotel Ltd,Kuwait,Construction,Construction Supervisor,2023-11-09
144,Island Plantations,United Arab Emirates,Engineering & Technical,Domestic Worker,2024-05-10
145,Sri Inc,Saudi Arabia,Agriculture & Fishery,Tailor,2023-09-19
146,Hotel Co,Kuwait,Construction,Construction Supervisor,2024-09-05
147,Gem Pvt,United Arab Emirates,Logistics & Warehousing,Waiter,2024-04-02
148,Construction Solutions,Kuwait,Garment & Apparel,Security Guard,2024-11-23
149,Tech Plantations,Qatar,Security Services,Carpenter,2025-06-15
150,Tea Enterprises,Maldives,Domestic Services,Maintenance Worker,2023-09-16
151,Ceylon Co,Turkey,Agriculture & Fishery,Forklift Operator,2025-07-21
152,Tech Ltd,Saudi Arabia,Hospitality & Tourism,Housemaid,2025-04-20
153,Ceylon Enterprises,United Arab Emirates,Facility Management,Machine Operator,2023-11-24
154,Island Enterprises,Kuwait,Domestic Services,Delivery Driver,2024-07-01
155,Ceylon Plantations,Kuwait,Agriculture & Fishery,Technician,2024-11-25
156,Gem Co,United Arab Emirates,Hospitality & Tourism,Barista,2025-05-07
157,Tech Ltd,United Arab Emirates,Hospitality & Tourism,Heavy Vehicle Operator,2023-09-08
158,Ceylon Corp,Kuwait,Garment & Apparel,Construction Supervisor,2025-07-07
159,Lanka Solutions,Sri Lanka,Hospitality & Tourism,Janitor,2023-12-13
160,Tech Inc,Maldives,Domestic Services,Plumber,2024-01-23
161,Ceylon Group,Qatar,Education & Training,Janitor,2024-11-02
162,Apparel Ltd,Jordan,Driving & Transportation,Hotel Housekeeper,2023-10-10
163,Tech Co,Saudi Arabia,Domestic Services,Carpenter,2023-08-22
164,Sri Solutions,United Arab Emirates,Agriculture & Fishery,Construction Helper,2024-01-18
165,Tech Inc,Kuwait,Hospitality & Tourism,Carpenter,2024-04-18
166,Island Inc,Qatar,Garment & Apparel,Construction Helper,2024-06-27
167,Tech Pvt,Qatar,Domestic Services,Hotel Housekeeper,2024-04-19
168,Lanka Group,Seychelles,Manufacturing,Nurse,2025-06-24
169,Sri Co,United Arab Emirates,Healthcare & Nursing,Laundry Worker,2025-08-16
170,Tech Pvt,Oman,Driving & Transportation,Forklift Operator,2023-11-14
171,Island Solutions,Seychelles,Domestic Services,Driver,2024-06-04
172,Construction Pvt,Maldives,Domestic Services,Security Guard,2024-05-26
173,Tea Inc,Saudi Arabia,Construction,Construction Supervisor,2024-02-13
174,Ceylon Solutions,Romania,Engineering & Technical,Domestic Worker,2024-01-25
175,Sri Plantations,Saudi Arabia,Textile & Sewing,Nursing Assistant,2023-09-26
176,Sri Enterprises,Saudi Arabia,Construction,Construction Helper,2025-05-01
177,Tea Solutions,New Zealand,Construction,Construction Supervisor,2024-03-30
178,Tech Ltd,Maldives,Healthcare & Nursing,Cook,2024-12-06
179,Apparel Group,Seychelles,Engineering & Technical,Tailor,2024-05-12
180,Sri Pvt,United Kingdom,Healthcare & Nursing,Waiter,2025-07-30
181,Ceylon Solutions,Romania,Garment & Apparel,Waiter,2023-11-18
182,Gem Corp,Japan,Engineering & Technical,Tailor,2024-02-17
183,Ceylon Inc,United Arab Emirates,Garment & Apparel,Beautician,2024-03-23
184,Gem Inc,South Korea,Engineering & Technical,Electrician,2023-12-15
185,Gem Solutions,Saudi Arabia,Construction,Construction Helper,2025-06-04
186,Tea Pvt,Bahrain,Construction,Construction Supervisor,2024-11-29
187,Tech Enterprises,United Arab Emirates,Construction,Construction Helper,2024-06-01
188,Ceylon Enterprises,United Arab Emirates,Retail & Sales,Agricultural Worker,2024-05-16
189,Hotel Corp,United Arab Emirates,Facility Management,Logistics Coordinator,2025-07-31
190,Tea Ltd,Saudi Arabia,Garment & Apparel,Plumber,2025-02-28
191,Tech Solutions,Romania,Construction,Construction Helper,2024-10-05
192,Gem Plantations,Qatar,Manufacturing,Construction Helper,2025-06-25
193,Tea Enterprises,Romania,Hospitality & Tourism,Welder,2024-01-15
194,Ceylon Co,United Kingdom,Agriculture & Fishery,Salesperson,2023-11-24
195,Island Co,Bahrain,Engineering & Technical,Packing Worker,2025-02-17
196,Tech Corp,Kuwait,Domestic Services,Maintenance Worker,2025-06-10
197,Construction Solutions,Turkey,Domestic Services,Delivery Driver,2024-10-29
198,Construction Inc,Saudi Arabia,Construction,Construction Helper,2024-03-05
199,Tea Pvt,Saudi Arabia,Construction,Construction Supervisor,2025-06-23
200,Lanka Solutions,Kuwait,Healthcare & Nursing,Delivery Driver,2024-07-03
201,Hotel Enterprises,Cyprus,Domestic Services,Construction Supervisor,2024-04-20
202,Apparel Ltd,Qatar,Domestic Services,Tailor,2024-02-15
203,Apparel Group,Qatar,Domestic Services,Warehouse Worker,2024-01-11
204,Lanka Plantations,Bahrain,Driving & Transportation,House Driver,2025-08-03
205,Tea Plantations,Australia,Domestic Services,Engineer,2024-08-21
206,Gem Pvt,United Arab Emirates,Hospitality & Tourism,Carpenter,2024-03-25
207,Hotel Plantations,United Arab Emirates,Domestic Services,Welder,2025-07-10
208,Sri Solutions,Saudi Arabia,Garment & Apparel,Tailor,2025-04-19
209,Island Plantations,Qatar,Hospitality & Tourism,Fishery Worker,2024-07-12
210,Apparel Pvt,Saudi Arabia,Domestic Services,Hotel Housekeeper,2024-01-15
211,Tea Group,Saudi Arabia,Hospitality & Tourism,Cook,2025-08-04
212,Apparel Corp,Romania,Construction,Construction Supervisor,2024-09-01
213,Apparel Co,United Arab Emirates,Domestic Services,Machine Operator,2024-03-04
214,Tech Inc,Kuwait,Retail & Sales,Laundry Worker,2025-04-14
215,Sri Plantations,United Arab Emirates,Construction,Construction Supervisor,2024-11-09
216,Apparel Plantations,Saudi Arabia,Construction,Construction Supervisor,2025-03-24
217,Sri Co,Serbia,Healthcare & Nursing,Room Attendant,2025-02-08
218,Construction Plantations,Saudi Arabia,Garment & Apparel,Machine Operator,2023-08-25
219,Island Co,Maldives,Domestic Services,Carpenter,2025-04-14
220,Island Enterprises,Saudi Arabia,Domestic Services,Barista,2024-11-02
221,Ceylon Pvt,Saudi Arabia,Domestic Services,Quality Control Inspector,2024-02-03
222,Tech Plantations,United Arab Emirates,IT & Professional Services,Kitchen Helper,2023-11-27
223,Lanka Solutions,Qatar,Construction,Construction Helper,2024-08-13
224,Sri Enterprises,Saudi Arabia,Beauty & Personal Care,Kitchen Helper,2024-12-23
225,Sri Solutions,Saudi Arabia,Garment & Apparel,Beautician,2025-07-10
226,Tech Co,Saudi Arabia,Domestic Services,Bar Bender,2025-07-13
227,Island Solutions,Saudi Arabia,Construction,Construction Supervisor,2025-01-01
228,Sri Enterprises,Jordan,Garment & Apparel,Machine Operator,2024-01-05
229,Tech Solutions,South Korea,Domestic Services,Technician,2024-05-05
230,Ceylon Inc,United Arab Emirates,Domestic Services,Gardener,2025-02-16
231,Sri Pvt,United Arab Emirates,Garment & Apparel,Technician,2024-12-05
232,Island Enterprises,Saudi Arabia,Hospitality & Tourism,Cook,2024-12-21
233,Hotel Inc,Kuwait,Logistics & Warehousing,Quality Control Inspector,2025-07-12
234,Sri Ltd,Kuwait,Construction,Construction Helper,2024-09-01
235,Tech Plantations,Qatar,Healthcare & Nursing,Cook,2024-11-24
236,Sri Corp,Maldives,Engineering & Technical,Sewing Machine Operator,2024-11-08
237,Tea Inc,United Arab Emirates,Domestic Services,Teacher Assistant,2024-07-12
238,Tech Plantations,Saudi Arabia,Garment & Apparel,Hotel Housekeeper,2023-12-23
239,Ceylon Corp,Qatar,Construction,Construction Supervisor,2024-04-07
240,Tea Co,Saudi Arabia,Cleaning Services,Mason,2024-04-27
241,Construction Ltd,Romania,Logistics & Warehousing,Laundry Worker,2023-09-26
242,Island Enterprises,Saudi Arabia,Security Services,Barista,2024-11-03
243,Construction Enterprises,Qatar,Retail & Sales,Electrician,2024-01-07
244,Island Ltd,Malaysia,Garment & Apparel,Driver,2024-05-30
245,Sri Pvt,Qatar,Construction,Construction Supervisor,2025-07-26
246,Apparel Pvt,United Kingdom,Domestic Services,Construction Supervisor,2024-02-24
247,Gem Ltd,Qatar,Construction,Construction Helper,2023-11-02
248,Apparel Ltd,United Kingdom,Driving & Transportation,Technician,2023-11-30
249,Ceylon Inc,New Zealand,Healthcare & Nursing,Driver,2024-11-02
250,Ceylon Ltd,Saudi Arabia,Hospitality & Tourism,Nurse,2024-01-23
251,Hotel Plantations,Saudi Arabia,Beauty & Personal Care,Nursing Assistant,2025-07-27
252,Ceylon Inc,Qatar,Construction,Construction Supervisor,2024-06-02
253,Gem Plantations,Maldives,Manufacturing,Shuttering Carpenter,2024-12-01
254,Lanka Enterprises,Qatar,IT & Professional Services,Heavy Vehicle Operator,2024-05-07
255,Sri Co,Saudi Arabia,Textile & Sewing,Fishery Worker,2025-04-13
256,Hotel Group,Kuwait,Domestic Services,Logistics Coordinator,2024-02-02
257,Ceylon Pvt,Sri Lanka,Domestic Services,Laundry Worker,2024-04-05
258,Gem Plantations,United Arab Emirates,Domestic Services,Kitchen Helper,2023-10-15
259,Tech Ltd,Maldives,Domestic Services,Caregiver,2023-12-13
260,Hotel Co,Qatar,Construction,Construction Supervisor,2024-05-30
261,Hotel Ltd,Qatar,Garment & Apparel,Electrician,2024-10-14
262,Construction Pvt,Cyprus,Domestic Services,Mason,2024-05-19
263,Sri Group,United Arab Emirates,Driving & Transportation,Caregiver,2023-12-09
264,Lanka Inc,Seychelles,Domestic Services,Shuttering Carpenter,2023-11-20
265,Sri Co,Kuwait,Education & Training,Domestic Worker,2025-03-12
266,Apparel Solutions,Saudi Arabia,Agriculture & Fishery,Heavy Vehicle Operator,2024-11-17
267,Lanka Corp,Saudi Arabia,Construction,Construction Helper,2025-07-20
268,Tech Inc,Kuwait,Construction,Construction Supervisor,2025-01-13
269,Ceylon Corp,Oman,Security Services,Logistics Coordinator,2024-07-08
270,Lanka Solutions,Kuwait,Driving & Transportation,Nursing Assistant,2024-11-11
271,Hotel Group,United Arab Emirates,Agriculture & Fishery,Barista,2024-08-19
272,Sri Plantations,Qatar,Garment & Apparel,Heavy Vehicle Operator,2023-11-05
273,Tech Enterprises,United Kingdom,Logistics & Warehousing,Sewing Machine Operator,2025-04-23
274,Hotel Inc,Kuwait,Garment & Apparel,Construction Helper,2023-09-18
275,Sri Solutions,Japan,Hospitality & Tourism,Shuttering Carpenter,2024-04-21
276,Sri Enterprises,United Arab Emirates,Agriculture & Fishery,Shuttering Carpenter,2024-12-28
277,Ceylon Group,Saudi Arabia,Engineering & Technical,Construction Helper,2024-03-06
278,Island Corp,Kuwait,Hospitality & Tourism,Nursing Assistant,2024-02-16
279,Tea Inc,Russia,Domestic Services,Factory Worker,2025-07-22
280,Hotel Inc,Qatar,Construction,Construction Supervisor,2024-10-28
281,Apparel Co,Malaysia,Domestic Services,General Labourer,2024-01-19
282,Hotel Solutions,Kuwait,Garment & Apparel,Driver,2025-06-06
283,Tech Ltd,Turkey,Healthcare & Nursing,Mason,2024-07-16
284,Sri Co,Kuwait,Construction,Construction Helper,2025-05-16
285,Construction Inc,Saudi Arabia,Retail & Sales,Hairdresser,2025-07-02
286,Island Corp,South Korea,Domestic Services,Sewing Machine Operator,2023-10-09
287,Construction Plantations,Kuwait,Domestic Services,Tailor,2023-11-05
288,Island Corp,Saudi Arabia,Agriculture & Fishery,Janitor,2025-08-08
289,Hotel Ltd,Saudi Arabia,Construction,Construction Supervisor,2025-04-05
290,Apparel Pvt,United Arab Emirates,Garment & Apparel,Waiter,2025-01-05
291,Ceylon Corp,Oman,Construction,Construction Supervisor,2024-02-25
292,Ceylon Pvt,Jordan,Hospitality & Tourism,Nurse,2024-09-05
293,Hotel Group,Kuwait,Retail & Sales,Heavy Vehicle Operator,2023-09-27
294,Hotel Pvt,Russia,Domestic Services,Maintenance Worker,2023-11-30
295,Lanka Co,Qatar,Domestic Services,Nursing Assistant,2025-03-02
296,Tech Co,Japan,Hospitality & Tourism,Room Attendant,2025-01-20
297,Sri Inc,Kuwait,Domestic Services,Agricultural Worker,2024-12-18
298,Apparel Group,United Arab Emirates,Healthcare & Nursing,Gardener,2025-03-28
299,Tea Inc,Qatar,Construction,Construction Helper,2024-07-12
300,Hotel Enterprises,Australia,Logistics & Warehousing,Electrician,2024-12-09
301,Island Ltd,Kuwait,Education & Training,Domestic Worker,2024-11-26
302,Apparel Enterprises,United Arab Emirates,Healthcare & Nursing,Domestic Worker,2024-06-08
303,Hotel Corp,Saudi Arabia,Domestic Services,Warehouse Worker,2024-05-04
304,Tech Pvt,Saudi Arabia,Domestic Services,Receptionist,2023-12-20
305,Sri Solutions,Saudi Arabia,Healthcare & Nursing,Tailor,2024-08-16
306,Tech Enterprises,Maldives,Domestic Services,Barista,2025-02-09
307,Sri Group,Saudi Arabia,Garment & Apparel,Domestic Worker,2025-04-07
308,Construction Enterprises,Qatar,Logistics & Warehousing,Janitor,2024-07-27
309,Gem Enterprises,South Korea,Healthcare & Nursing,Security Guard,2024-01-16
310,Tech Co,Oman,Manufacturing,Cleaner,2024-07-14
311,Hotel Inc,Qatar,Healthcare & Nursing,Machine Operator,2024-07-09
312,Tech Enterprises,Saudi Arabia,Engineering & Technical,Room Attendant,2024-10-04
313,Gem Group,Qatar,Healthcare & Nursing,General Labourer,2024-07-25
314,Construction Corp,United Arab Emirates,Driving & Transportation,Receptionist,2024-08-16
315,Hotel Ltd,United Kingdom,Domestic Services,Barista,2025-04-28
316,Tea Group,Saudi Arabia,Textile & Sewing,Fishery Worker,2025-02-15
317,Apparel Ltd,United Arab Emirates,Logistics & Warehousing,Technician,2024-08-22
318,Ceylon Plantations,United Arab Emirates,Construction,Construction Supervisor,2025-02-16
319,Tea Group,Maldives,Domestic Services,Shuttering Carpenter,2024-06-07
320,Apparel Corp,Saudi Arabia,Domestic Services,Fishery Worker,2023-12-30
321,Tech Corp,Qatar,Domestic Services,Technician,2025-03-05
322,Hotel Corp,Qatar,Healthcare & Nursing,Salesperson,2025-02-21
323,Lanka Solutions,Japan,Cleaning Services,General Labourer,2024-04-21
324,Island Pvt,Romania,Construction,Construction Supervisor,2023-10-07
325,Sri Corp,United Arab Emirates,Construction,Construction Helper,2024-10-21
326,Construction Group,Canada,Hospitality & Tourism,Driver,2024-04-24
327,Lanka Group,United Arab Emirates,Security Services,Gardener,2025-02-17
328,Island Solutions,Hong Kong,Textile & Sewing,Teacher Assistant,2025-07-12
329,Ceylon Ltd,Qatar,Facility Management,Driver,2023-09-18
330,Tech Inc,Saudi Arabia,Domestic Services,Hotel Housekeeper,2025-02-20
331,Lanka Group,Saudi Arabia,Domestic Services,Caregiver,2025-07-06
332,Construction Ltd,Maldives,Engineering & Technical,Factory Worker,2024-10-13
333,Lanka Group,United Arab Emirates,Garment & Apparel,Bar Bender,2024-06-16
334,Hotel Solutions,Oman,Garment & Apparel,Technician,2024-05-26
335,Hotel Plantations,Qatar,Garment & Apparel,Accountant,2023-10-23
336,Lanka Enterprises,Kuwait,Domestic Services,Plumber,2024-12-09
337,Construction Solutions,Malaysia,Domestic Services,Laundry Worker,2025-07-21
338,Lanka Ltd,Saudi Arabia,Garment & Apparel,Quality Control Inspector,2025-04-13
339,Gem Plantations,United Arab Emirates,IT & Professional Services,Fishery Worker,2024-01-24
340,Ceylon Plantations,Canada,Construction,Construction Supervisor,2025-08-04
341,Gem Pvt,Romania,Construction,Construction Supervisor,2023-09-30
342,Apparel Enterprises,Saudi Arabia,Agriculture & Fishery,Beautician,2024-06-29
343,Gem Ltd,Saudi Arabia,Hospitality & Tourism,Kitchen Helper,2024-08-11
344,Gem Co,United Arab Emirates,Healthcare & Nursing,Logistics Coordinator,2024-02-06
345,Apparel Group,United Arab Emirates,Driving & Transportation,Technician,2025-08-04
346,Hotel Solutions,United Kingdom,Manufacturing,Carpenter,2025-07-31
347,Tea Ltd,Qatar,Garment & Apparel,Kitchen Helper,2025-01-22
348,Apparel Plantations,United Arab Emirates,Retail & Sales,Sewing Machine Operator,2024-02-04
349,Apparel Enterprises,Kuwait,Security Services,Waiter,2025-05-24
350,Sri Group,Malaysia,Healthcare & Nursing,Beautician,2023-11-27
351,Sri Plantations,New Zealand,Construction,Construction Helper,2025-04-22
352,Construction Enterprises,Kuwait,Facility Management,Room Attendant,2025-05-04
353,Tea Solutions,Russia,Hospitality & Tourism,Quality Control Inspector,2023-12-18
354,Sri Solutions,Saudi Arabia,Agriculture & Fishery,Packing Worker,2024-05-26
355,Sri Ltd,Bahrain,Domestic Services,Cook,2025-05-21
356,Sri Group,United Arab Emirates,Facility Management,Barista,2024-03-29
357,Tea Plantations,Kuwait,Garment & Apparel,Packing Worker,2025-05-02
358,Sri Enterprises,Saudi Arabia,Retail & Sales,Cook,2025-05-19
359,Gem Pvt,Oman,Domestic Services,Security Guard,2024-06-11
360,Hotel Solutions,Saudi Arabia,Construction,Construction Supervisor,2025-01-24
361,Hotel Solutions,Serbia,Garment & Apparel,Housemaid,2024-10-20
