PersonalID,ExamName,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4,Subject5,Result5,Subject6,Result6,Subject7,Result7,Subject8,Result8,Subject9,Result9,Subject10,Result10
20,OLevel,1999,IT,C,Music,F,Art,B,Commerce,C,English,C,Sinhala,A,History,S,Science,A,Tamil,B,Geography,W
21,OLevel,1980,English,F,Commerce,S,Sinhala,W,Science,S,Mathematics,W,History,F,,,,,,,,
22,OLevel,2004,Mathematics,C,Geography,F,IT,A,English,C,Tamil,A,Science,B,,,,,,,,
23,OLevel,1994,Art,W,Music,F,Science,C,Commerce,B,Geography,S,Tamil,S,English,A,History,C,,,,
24,OLevel,2025,English,S,Science,W,Mathematics,A,Art,B,Commerce,W,Music,C,Tamil,C,Geography,A,,,,
25,OLevel,2021,Sinhala,A,Science,S,Art,B,English,C,Tamil,W,History,A,Music,F,Commerce,W,Geography,C,,
26,OLevel,2017,Music,B,History,W,Tamil,W,Science,S,Sinhala,B,Mathematics,S,,,,,,,,
27,OLevel,1993,Commerce,B,Tamil,F,Art,B,Sinhala,A,Geography,W,IT,C,Music,A,Mathematics,F,History,F,,
29,OLevel,2002,Tamil,W,History,B,English,A,Music,W,Science,F,Art,S,,,,,,,,
30,OLevel,1990,Tamil,F,Science,B,Mathematics,S,English,C,Art,S,Geography,B,Music,F,IT,C,Sinhala,A,,
31,OLevel,2014,Commerce,A,Art,F,IT,S,Geography,W,English,A,History,C,Sinhala,F,Music,A,,,,
32,OLevel,2023,Commerce,C,History,W,IT,W,Geography,S,Sinhala,C,Science,S,Mathematics,S,Art,A,,,,
33,OLevel,1980,Commerce,A,IT,S,Art,F,Sinhala,C,Science,B,History,W,Mathematics,S,Music,S,Tamil,W,Geography,A
35,OLevel,2001,Mathematics,B,Science,F,Commerce,B,Tamil,W,English,S,History,C,Art,A,IT,F,Geography,F,Sinhala,W
36,OLevel,2004,Commerce,W,English,W,Geography,F,Music,W,Mathematics,A,Science,A,Tamil,F,Art,W,History,F,,
37,OLevel,1989,Tamil,C,History,F,Geography,C,English,W,Art,W,Science,F,Mathematics,S,Music,W,IT,F,Commerce,C
39,OLevel,1994,English,B,IT,A,Mathematics,S,Commerce,S,Music,F,History,A,Art,A,,,,,,
41,OLevel,1995,IT,S,History,B,Art,C,Science,S,Geography,B,English,W,,,,,,,,
45,OLevel,2006,English,S,Science,B,Geography,B,Commerce,W,Mathematics,C,Tamil,F,Sinhala,C,,,,,,
46,OLevel,1999,Art,A,Science,F,Sinhala,A,English,B,IT,C,Mathematics,W,Tamil,A,Commerce,W,Geography,F,,
47,OLevel,2024,IT,W,History,F,Science,S,Geography,W,Tamil,F,Commerce,B,,,,,,,,
48,OLevel,1993,Geography,S,Music,F,Commerce,W,Mathematics,C,English,F,Sinhala,F,Science,F,,,,,,
49,OLevel,1983,English,S,Mathematics,B,Geography,F,Tamil,A,Music,F,Science,A,History,S,Art,A,Commerce,S,Sinhala,W
50,OLevel,2000,Geography,W,Commerce,S,Mathematics,A,Science,F,History,S,English,W,Sinhala,B,Art,A,Tamil,F,,
52,OLevel,1993,Tamil,W,Sinhala,W,Mathematics,A,Commerce,F,IT,B,Science,B,Music,F,,,,,,
54,OLevel,1981,Sinhala,B,Mathematics,C,Geography,B,Science,S,Commerce,A,Tamil,W,Art,W,,,,,,
55,OLevel,2014,Commerce,B,Tamil,W,Art,A,History,W,English,A,Mathematics,C,Music,A,Science,A,IT,B,,
56,OLevel,2016,IT,S,Geography,B,Art,A,Science,W,English,C,Mathematics,B,History,F,Tamil,S,Commerce,S,Sinhala,W
59,OLevel,2018,IT,W,Geography,W,Tamil,S,Art,B,History,C,Music,S,English,A,Mathematics,A,Sinhala,W,Science,F
60,OLevel,2005,IT,B,Commerce,S,Art,A,History,B,English,W,Sinhala,B,Mathematics,S,Music,S,,,,
61,OLevel,1999,Tamil,B,English,C,Sinhala,S,Commerce,A,Art,A,Music,S,History,W,IT,C,Mathematics,B,,
62,OLevel,2023,Music,S,Sinhala,W,English,F,Commerce,S,IT,F,Tamil,A,,,,,,,,
63,OLevel,1994,History,B,Tamil,F,IT,B,Music,C,Science,F,Geography,A,English,B,,,,,,
64,OLevel,1994,Geography,F,Mathematics,F,Science,A,Tamil,W,Commerce,S,IT,A,Sinhala,W,Art,S,History,F,English,A
65,OLevel,1998,IT,F,Sinhala,F,Science,C,Tamil,B,Art,S,Commerce,A,Mathematics,C,History,B,,,,
66,OLevel,2017,IT,C,Tamil,F,Sinhala,B,Commerce,F,Mathematics,C,Art,A,English,W,Music,A,Geography,A,Science,A
67,OLevel,2012,Geography,F,Commerce,B,Sinhala,S,Science,S,History,F,Mathematics,A,Music,A,Art,F,Tamil,A,English,C
68,OLevel,2012,IT,S,Art,F,Geography,B,Tamil,S,English,A,Music,W,Mathematics,C,Sinhala,S,Commerce,S,,
69,OLevel,2013,Music,A,Sinhala,A,Science,C,Tamil,C,IT,F,Commerce,C,History,C,Art,B,English,B,,
71,OLevel,2020,Music,B,Science,F,Art,W,Mathematics,W,Tamil,W,English,A,Geography,W,Commerce,A,History,B,IT,A
73,OLevel,2014,English,B,Music,A,Science,A,Sinhala,B,Tamil,A,Geography,B,Mathematics,W,,,,,,
74,OLevel,2012,Sinhala,A,English,B,Art,C,Geography,A,Music,A,History,F,Science,C,Tamil,W,,,,
76,OLevel,2018,Music,C,Art,W,IT,A,Sinhala,W,Science,B,Mathematics,F,Geography,B,Commerce,A,Tamil,F,History,C
77,OLevel,1990,History,S,IT,A,Commerce,W,Science,W,English,W,Mathematics,W,Tamil,F,Sinhala,S,Music,W,Geography,W
78,OLevel,2024,History,B,Mathematics,B,IT,F,Sinhala,S,Science,B,Art,W,Commerce,W,Music,S,Geography,S,,
79,OLevel,2002,History,S,Music,B,Art,S,Mathematics,S,IT,B,Tamil,F,English,F,Geography,F,Sinhala,C,,
80,OLevel,2023,Art,F,Mathematics,A,English,S,IT,S,History,W,Music,C,Geography,A,Sinhala,A,Commerce,S,,
81,OLevel,2021,Tamil,F,Sinhala,A,Music,B,Commerce,A,Science,A,IT,B,Geography,S,History,W,English,S,Mathematics,C
84,OLevel,2002,Tamil,A,Art,A,English,C,Mathematics,B,Sinhala,W,Science,W,Geography,S,Music,S,IT,S,History,S
85,OLevel,1988,Tamil,S,Art,B,History,A,Music,C,Geography,F,Science,S,Commerce,S,Mathematics,F,,,,
86,OLevel,2008,Commerce,F,Art,C,Geography,W,Tamil,A,Mathematics,C,IT,S,,,,,,,,
87,OLevel,2021,Commerce,C,History,A,IT,F,Music,S,English,A,Mathematics,A,Art,F,Sinhala,W,,,,
88,OLevel,1988,History,C,English,F,Music,F,Sinhala,A,Art,B,Science,W,Geography,S,,,,,,
90,OLevel,1986,History,A,Commerce,A,Sinhala,W,IT,A,Tamil,B,English,S,Music,B,Science,B,,,,
91,OLevel,1984,Tamil,S,Commerce,W,Music,C,Mathematics,S,Sinhala,C,Geography,A,IT,W,Science,B,History,B,English,B
93,OLevel,1997,English,W,Art,F,Geography,A,IT,A,Tamil,W,History,S,Music,B,Science,W,Sinhala,B,Mathematics,B
94,OLevel,2015,Science,S,Commerce,F,IT,F,Art,F,Tamil,C,Sinhala,C,English,B,Music,A,,,,
95,OLevel,2018,Science,A,Geography,A,Commerce,C,History,F,Music,W,Sinhala,S,Mathematics,B,Tamil,C,,,,
96,OLevel,2020,IT,C,Tamil,A,Commerce,A,Science,F,History,S,English,W,Mathematics,A,Geography,B,Art,C,,
97,OLevel,2013,Science,C,Commerce,W,Music,S,IT,F,Geography,S,Sinhala,A,English,C,,,,,,
98,OLevel,1993,English,C,Geography,F,Tamil,W,IT,F,Mathematics,C,Music,A,Commerce,F,Science,B,History,F,,
99,OLevel,2023,Sinhala,C,Tamil,F,Geography,C,Mathematics,F,Science,F,IT,B,History,C,Music,B,Art,W,,
103,OLevel,1981,Commerce,S,Science,C,Tamil,W,Geography,W,Sinhala,A,History,F,English,A,,,,,,
105,OLevel,2004,English,A,Tamil,S,Music,F,IT,F,Sinhala,C,Science,S,Art,S,Mathematics,A,Geography,A,History,A
106,OLevel,2022,Mathematics,S,Sinhala,S,Geography,S,IT,W,Music,F,Science,A,Commerce,A,Tamil,C,History,B,,
107,OLevel,2016,Tamil,B,IT,W,Music,W,Art,F,Mathematics,A,Sinhala,S,Science,C,,,,,,
108,OLevel,1992,Tamil,C,Sinhala,A,Commerce,W,Art,S,Mathematics,C,History,F,English,F,IT,B,,,,
110,OLevel,1983,Sinhala,C,Tamil,A,Art,C,Commerce,B,English,C,Music,W,Geography,A,Science,S,,,,
111,OLevel,2021,Art,S,Tamil,A,IT,C,Sinhala,F,Music,B,Science,F,Mathematics,B,Commerce,C,Geography,A,History,W
113,OLevel,2001,English,C,Tamil,C,History,C,IT,C,Music,B,Sinhala,A,,,,,,,,
114,OLevel,2015,Geography,A,English,C,Tamil,S,IT,S,Commerce,F,Music,B,,,,,,,,
116,OLevel,2001,Art,S,Geography,F,Commerce,B,Science,B,English,A,Tamil,A,Sinhala,C,IT,B,History,B,,
117,OLevel,1985,Mathematics,S,Geography,W,English,B,Commerce,A,Art,B,Tamil,S,Music,W,,,,,,
118,OLevel,2020,English,W,Geography,B,Sinhala,W,Science,F,Commerce,S,Art,A,Music,C,Mathematics,C,,,,
119,OLevel,1981,English,S,IT,B,Music,C,Commerce,W,Geography,B,Sinhala,S,History,S,Science,S,Art,C,,
120,OLevel,2025,Geography,F,Music,F,History,F,Art,W,Sinhala,B,Mathematics,A,English,W,IT,S,Commerce,C,Science,S
121,OLevel,2013,Sinhala,W,Science,B,Commerce,C,Art,B,Tamil,W,Music,F,English,A,IT,F,Mathematics,B,,
122,OLevel,1987,Science,C,IT,F,Geography,A,History,A,Sinhala,C,Mathematics,W,Tamil,A,Commerce,B,,,,
125,OLevel,2025,English,B,Music,S,Commerce,B,History,A,Art,B,IT,S,,,,,,,,
127,OLevel,2020,History,A,Tamil,W,English,S,Art,F,IT,F,Commerce,A,Music,A,Mathematics,B,Science,S,,
128,OLevel,1985,Science,W,English,S,Sinhala,W,Mathematics,F,Tamil,W,Commerce,F,History,W,,,,,,
129,OLevel,2017,Geography,F,History,B,English,F,Art,F,Tamil,F,Science,F,Sinhala,S,IT,A,Commerce,B,,
130,OLevel,2015,Geography,S,Art,A,Commerce,F,English,B,Tamil,B,History,B,,,,,,,,
132,OLevel,1992,Science,A,Commerce,A,English,S,Music,W,Geography,A,Mathematics,A,Art,F,,,,,,
133,OLevel,2025,Geography,F,Commerce,S,Mathematics,A,Science,F,Sinhala,W,IT,C,Art,C,Tamil,B,History,W,,
134,OLevel,1996,Music,W,Tamil,C,Science,F,English,F,History,S,Art,W,Sinhala,S,Mathematics,B,,,,
135,OLevel,2017,History,A,IT,C,Tamil,F,Sinhala,S,Music,W,English,C,Mathematics,B,Geography,W,,,,
136,OLevel,1990,Tamil,B,Geography,W,History,C,English,C,Music,F,Commerce,B,IT,B,Sinhala,W,Mathematics,B,,
137,OLevel,1992,Science,W,Art,S,Sinhala,F,Geography,W,History,B,Mathematics,S,Tamil,W,,,,,,
138,OLevel,2009,IT,A,History,C,Mathematics,C,Art,F,Commerce,W,English,B,Tamil,S,Science,C,Music,F,Sinhala,C
140,OLevel,1982,Music,B,Science,A,Mathematics,S,History,F,Tamil,B,IT,F,Art,A,,,,,,
141,OLevel,1983,Commerce,W,Sinhala,W,English,F,Science,S,IT,A,Art,C,Music,W,Geography,S,,,,
142,OLevel,1982,Science,C,Commerce,W,Mathematics,W,Tamil,F,IT,C,History,A,Music,S,Art,C,Geography,W,English,W
144,OLevel,2011,Art,A,IT,W,Tamil,A,Music,S,Mathematics,W,History,W,Sinhala,B,,,,,,
145,OLevel,2000,IT,W,History,S,Music,C,Mathematics,S,Sinhala,W,English,B,Geography,C,Art,S,Tamil,C,,
146,OLevel,1984,Science,A,Mathematics,B,Tamil,A,Sinhala,C,English,C,History,W,Geography,S,Music,A,Art,C,,
148,OLevel,2003,Mathematics,S,English,B,Art,W,Geography,C,Science,S,Music,S,Commerce,B,History,B,IT,A,,
157,OLevel,2006,Sinhala,C,Music,W,Mathematics,F,Geography,F,History,S,English,S,Tamil,C,Art,C,,,,
158,OLevel,2017,Geography,C,Commerce,B,Art,S,Sinhala,B,Science,C,IT,B,Tamil,S,English,S,Mathematics,B,Music,S
159,OLevel,2006,Music,A,History,B,Tamil,F,Geography,S,English,B,Art,S,Sinhala,C,Science,F,Mathematics,F,IT,W
160,OLevel,2018,History,F,Geography,F,English,C,Sinhala,S,IT,C,Science,A,,,,,,,,
161,OLevel,1985,Mathematics,F,English,S,Tamil,S,Geography,A,Music,B,Sinhala,A,Science,S,,,,,,
162,OLevel,2014,Mathematics,B,History,A,Commerce,F,Music,W,Science,F,Tamil,F,,,,,,,,
163,OLevel,2017,Sinhala,B,Art,F,English,C,IT,W,Geography,F,Science,S,Mathematics,C,Tamil,C,,,,
164,OLevel,1988,Science,A,Sinhala,W,IT,F,Commerce,C,Geography,C,History,B,Music,B,Art,A,Tamil,A,,
165,OLevel,2014,Commerce,F,Art,C,Science,A,Sinhala,C,IT,F,Mathematics,S,English,B,History,F,Tamil,A,,
166,OLevel,2007,Mathematics,C,Sinhala,C,English,B,Commerce,C,Science,W,Art,C,Tamil,W,Music,A,History,B,,
167,OLevel,1983,History,W,Sinhala,B,Science,S,Mathematics,B,IT,A,Commerce,A,English,B,Music,A,Tamil,A,Art,C
168,OLevel,1981,Geography,S,Commerce,C,Tamil,A,IT,S,Mathematics,F,Music,C,History,S,Art,F,English,W,Sinhala,F
169,OLevel,2004,IT,A,Tamil,W,Art,W,English,B,Music,W,Sinhala,B,History,C,Science,S,Mathematics,S,,
170,OLevel,2017,IT,C,Music,F,Art,S,Mathematics,C,History,S,English,C,Tamil,W,Geography,B,,,,
172,OLevel,2001,Tamil,F,Commerce,F,History,S,Sinhala,S,IT,W,Science,C,English,F,Art,C,Mathematics,C,Music,F
173,OLevel,2015,Geography,W,Music,W,Sinhala,A,IT,F,English,A,Science,B,Commerce,C,History,B,Mathematics,F,,
174,OLevel,2010,Sinhala,S,Mathematics,A,Tamil,S,Art,B,Music,S,English,B,,,,,,,,
175,OLevel,2010,IT,A,Music,B,Commerce,A,History,C,Sinhala,A,Mathematics,S,English,B,,,,,,
176,OLevel,2025,Mathematics,S,IT,S,Science,C,Commerce,A,History,B,Tamil,C,Geography,F,Sinhala,A,English,W,,
177,OLevel,1984,IT,C,English,W,Music,C,Science,B,Geography,W,Commerce,A,Sinhala,S,Mathematics,B,,,,
178,OLevel,1993,IT,F,Mathematics,C,Art,W,Sinhala,S,Science,B,Music,C,Geography,C,English,S,,,,
180,OLevel,1984,Tamil,F,IT,W,Science,W,Art,S,Sinhala,C,Geography,S,English,W,Mathematics,W,Commerce,A,,
182,OLevel,2000,English,C,Commerce,S,Sinhala,B,Art,S,Geography,A,Music,A,Science,C,,,,,,
183,OLevel,1988,English,S,Music,W,Tamil,A,Geography,S,Science,C,Mathematics,C,Commerce,F,Sinhala,S,IT,A,History,W
185,OLevel,2003,Mathematics,B,Geography,C,Sinhala,A,English,F,History,C,Commerce,S,Art,F,,,,,,
186,OLevel,2014,Geography,S,Music,A,English,C,Sinhala,A,Science,S,Mathematics,S,Commerce,B,Tamil,C,History,S,,
187,OLevel,1988,Tamil,C,Music,B,IT,F,History,A,Geography,F,English,F,Mathematics,C,Sinhala,C,Commerce,B,Science,W
188,OLevel,1996,Tamil,W,English,A,Art,F,Geography,W,Music,B,Science,S,IT,W,History,C,,,,
189,OLevel,2016,History,C,Geography,W,Science,S,Commerce,W,Sinhala,A,Tamil,A,Art,F,Mathematics,B,English,A,,
192,OLevel,1993,Geography,A,Sinhala,C,IT,W,Mathematics,C,History,C,Science,W,Tamil,B,,,,,,
194,OLevel,2006,Geography,F,Music,B,Sinhala,W,Commerce,W,English,S,Tamil,C,IT,F,Art,F,Mathematics,S,,
195,OLevel,2002,Mathematics,B,Music,F,Geography,S,Sinhala,B,English,A,Commerce,A,Art,A,,,,,,
196,OLevel,2021,Mathematics,F,Science,F,IT,S,Sinhala,B,Tamil,W,English,S,,,,,,,,
197,OLevel,2013,History,C,Tamil,S,Science,F,English,F,Music,S,Sinhala,B,,,,,,,,
198,OLevel,2009,Science,B,Sinhala,A,Commerce,B,Art,W,IT,B,Geography,C,Music,A,,,,,,
199,OLevel,2000,IT,B,History,F,Art,C,Sinhala,A,Tamil,S,Music,B,English,C,,,,,,
201,OLevel,1995,Geography,B,Art,C,English,F,History,W,Music,S,Commerce,B,,,,,,,,
203,OLevel,1987,Mathematics,W,Art,S,History,C,Sinhala,S,English,C,Commerce,B,IT,F,Geography,C,Tamil,A,Music,S
204,OLevel,2011,Sinhala,S,English,C,History,F,Science,S,Geography,F,Commerce,C,Music,S,Tamil,S,IT,F,,
205,OLevel,1980,Commerce,B,Geography,F,English,S,History,W,Music,C,Mathematics,B,Sinhala,S,IT,S,Science,B,Tamil,W
207,OLevel,1993,Sinhala,S,Commerce,S,English,F,IT,S,Art,C,Tamil,B,History,C,,,,,,
208,OLevel,1983,Tamil,W,English,B,Science,S,Mathematics,A,Sinhala,A,Geography,F,IT,C,Commerce,B,Music,C,History,W
211,OLevel,2020,Music,A,Tamil,S,Commerce,F,English,S,Science,B,Mathematics,S,,,,,,,,
212,OLevel,2006,Music,W,IT,C,Science,S,English,A,Mathematics,F,Art,F,,,,,,,,
213,OLevel,2011,Science,C,Commerce,A,Tamil,B,Mathematics,W,English,C,History,W,Music,S,,,,,,
214,OLevel,2025,Geography,W,Science,W,History,F,Commerce,B,Music,B,English,A,Mathematics,F,IT,B,,,,
215,OLevel,1986,English,C,IT,W,Commerce,F,Sinhala,B,Geography,A,Science,S,Mathematics,C,History,C,Music,W,Art,B
216,OLevel,1994,Science,A,English,F,Geography,F,Commerce,S,Art,W,History,C,Music,B,IT,W,,,,
217,OLevel,2018,Commerce,A,Geography,C,Tamil,S,IT,F,Mathematics,S,English,A,,,,,,,,
218,OLevel,2009,History,B,Tamil,F,Science,C,Art,B,Mathematics,F,Geography,F,English,S,,,,,,
219,OLevel,1999,Commerce,C,Music,W,Art,B,History,A,Geography,A,Mathematics,F,Sinhala,S,Science,F,,,,
220,OLevel,1982,Mathematics,C,English,B,Geography,B,History,A,Art,W,Commerce,F,,,,,,,,
221,OLevel,1997,Commerce,F,Sinhala,C,IT,S,Art,A,History,S,Tamil,A,Geography,A,Mathematics,S,Science,A,,
222,OLevel,2014,Geography,S,Tamil,A,Commerce,C,Mathematics,S,Sinhala,C,Music,W,Art,W,History,A,,,,
223,OLevel,2017,Geography,A,IT,W,Sinhala,F,Mathematics,S,Science,F,English,B,,,,,,,,
224,OLevel,1989,History,F,IT,C,Music,S,English,S,Tamil,B,Science,B,Sinhala,W,Art,A,Commerce,C,,
225,OLevel,2001,Art,W,Geography,S,Sinhala,A,Mathematics,F,Science,C,History,A,IT,A,,,,,,
226,OLevel,1986,Commerce,S,History,C,Art,C,Mathematics,B,Geography,C,Sinhala,B,,,,,,,,
227,OLevel,2000,Mathematics,C,History,F,Art,A,Tamil,C,Music,A,IT,S,Commerce,B,,,,,,
228,OLevel,2011,Tamil,C,History,F,IT,C,Music,W,Science,A,English,W,Art,B,Mathematics,F,Geography,W,,
229,OLevel,2013,History,C,Sinhala,A,Mathematics,A,Commerce,F,English,F,Art,B,Science,F,Geography,W,Music,W,Tamil,W
230,OLevel,2010,English,C,Commerce,B,History,W,Music,F,Science,F,Geography,S,IT,W,Art,F,Mathematics,A,,
232,OLevel,2023,Tamil,A,Geography,B,Science,F,English,A,Art,W,Mathematics,A,,,,,,,,
233,OLevel,2023,Tamil,F,Art,F,Sinhala,A,Music,A,Mathematics,A,Commerce,F,IT,C,English,B,Science,C,,
234,OLevel,2003,Art,A,Tamil,A,Music,W,Sinhala,F,Science,C,Geography,B,,,,,,,,
235,OLevel,2004,Sinhala,C,Geography,C,Music,F,English,W,Commerce,B,History,F,IT,A,Science,W,Mathematics,S,Tamil,W
236,OLevel,1994,Art,B,Sinhala,B,Tamil,B,IT,A,Mathematics,A,Commerce,F,Science,S,History,A,Music,B,,
238,OLevel,2009,Art,F,IT,W,Science,C,Sinhala,S,Geography,W,History,F,Tamil,F,English,A,Music,C,Commerce,F
239,OLevel,2002,Art,F,Science,W,English,A,History,A,Music,F,Mathematics,W,Commerce,C,,,,,,
241,OLevel,1980,Science,S,English,S,Art,W,History,C,Geography,A,Commerce,F,Mathematics,A,Sinhala,S,,,,
242,OLevel,1992,IT,S,Science,A,Music,W,Tamil,W,Mathematics,S,Commerce,F,English,A,Sinhala,C,History,C,,
244,OLevel,2009,Geography,W,English,B,IT,A,Commerce,A,Science,B,Art,B,History,F,Tamil,W,Music,F,,
245,OLevel,1995,Music,S,Commerce,F,Tamil,F,History,A,Geography,S,Science,A,Art,A,,,,,,
246,OLevel,2010,IT,W,Mathematics,F,Music,F,Art,W,Science,F,Tamil,W,,,,,,,,
247,OLevel,1995,Music,B,Mathematics,B,Art,W,Science,A,IT,C,Geography,A,Sinhala,A,Commerce,F,English,A,,
249,OLevel,2004,Art,W,Sinhala,C,Mathematics,S,Music,B,Geography,B,History,A,IT,S,,,,,,
252,OLevel,1997,Science,B,Geography,S,Tamil,W,Art,W,Commerce,C,IT,C,Mathematics,A,,,,,,
255,OLevel,2009,Tamil,B,History,F,Sinhala,B,Commerce,F,Mathematics,S,Geography,C,Science,C,Art,B,,,,
257,OLevel,1994,English,W,Tamil,B,Mathematics,B,Music,F,Art,B,History,A,,,,,,,,
259,OLevel,1998,Music,W,Geography,F,English,F,Science,A,Mathematics,A,Commerce,A,IT,A,,,,,,
260,OLevel,1993,Mathematics,S,History,A,Sinhala,W,Commerce,B,Science,B,Music,A,IT,F,English,C,Art,F,Geography,B
261,OLevel,1993,English,S,Art,B,Mathematics,C,Geography,C,Sinhala,S,Tamil,F,IT,A,Science,B,,,,
262,OLevel,2022,Sinhala,C,Art,B,IT,S,Commerce,F,English,S,Science,C,Mathematics,W,,,,,,
263,OLevel,2019,Commerce,S,Tamil,F,Art,W,History,W,Sinhala,W,English,F,Geography,S,Science,S,IT,A,Music,A
264,OLevel,1997,Music,W,Commerce,B,Art,A,Sinhala,W,History,A,Mathematics,A,Science,B,English,A,IT,W,Tamil,A
265,OLevel,2015,IT,F,Commerce,B,English,A,Science,A,Geography,F,Sinhala,A,Music,B,Tamil,A,Art,W,,
266,OLevel,2017,Art,A,Science,W,English,C,History,S,Commerce,B,Music,F,Tamil,B,Sinhala,B,Geography,B,,
267,OLevel,1992,Sinhala,B,Art,F,English,B,Geography,S,Music,B,Science,F,IT,F,,,,,,
268,OLevel,2015,English,C,Sinhala,B,Commerce,F,Geography,A,Art,B,Music,S,History,S,Mathematics,A,,,,
269,OLevel,2020,Mathematics,C,Geography,B,Tamil,C,Science,F,Music,S,Commerce,W,IT,F,Sinhala,C,,,,
270,OLevel,2002,Science,S,Mathematics,F,Commerce,S,English,W,History,W,Music,S,Tamil,F,Sinhala,W,Geography,B,IT,F
272,OLevel,2010,History,W,English,B,Sinhala,F,Geography,A,Tamil,B,Commerce,S,IT,W,Science,C,Mathematics,B,Music,F
274,OLevel,2001,Tamil,F,Geography,W,History,W,IT,B,Science,A,English,B,,,,,,,,
275,OLevel,1989,IT,B,History,A,Commerce,A,Tamil,F,Music,A,Art,B,English,A,Geography,S,Sinhala,C,Mathematics,C
276,OLevel,1984,Sinhala,F,Science,W,Mathematics,B,Tamil,F,IT,A,Geography,W,Commerce,B,Music,W,History,C,Art,F
277,OLevel,2001,History,B,Geography,W,IT,B,Mathematics,A,English,F,Music,B,Commerce,A,Tamil,S,Sinhala,A,,
278,OLevel,2008,Music,C,Art,B,Science,A,Commerce,F,English,A,Mathematics,C,IT,C,Geography,S,Tamil,S,,
279,OLevel,2007,Sinhala,A,IT,W,Tamil,W,History,A,Art,B,English,C,,,,,,,,
283,OLevel,1981,Geography,C,English,C,Art,C,IT,S,Tamil,F,History,A,Music,C,Mathematics,A,Commerce,B,,
284,OLevel,1999,Art,C,Sinhala,S,History,F,Mathematics,C,Geography,S,Commerce,S,Music,W,English,A,Tamil,A,IT,W
285,OLevel,2001,Commerce,A,Science,F,IT,B,Sinhala,W,Geography,W,Art,B,,,,,,,,
286,OLevel,1998,Mathematics,B,Tamil,C,Art,A,IT,W,History,S,Science,A,Commerce,A,English,C,,,,
287,OLevel,2017,Commerce,B,Mathematics,F,Science,C,Sinhala,B,Art,A,Geography,S,IT,A,Music,A,English,B,Tamil,A
288,OLevel,1984,History,W,Art,F,Sinhala,A,Tamil,C,Science,S,IT,C,,,,,,,,
289,OLevel,1995,Science,S,Mathematics,C,Geography,C,Sinhala,B,Music,C,Commerce,W,IT,W,,,,,,
291,OLevel,2004,Tamil,C,History,F,Science,S,English,W,Commerce,B,Mathematics,W,IT,C,Music,B,Art,S,Geography,A
294,OLevel,2016,English,W,IT,A,History,F,Mathematics,B,Commerce,C,Geography,C,Music,F,Science,C,Art,C,,
295,OLevel,1997,Geography,F,Science,A,Tamil,A,Mathematics,B,English,B,Art,S,IT,S,Commerce,W,Music,B,Sinhala,W
296,OLevel,2017,Music,W,History,W,Mathematics,S,Geography,B,Commerce,B,Tamil,C,English,B,Sinhala,B,,,,
297,OLevel,2005,IT,W,Art,C,Mathematics,A,English,C,Science,A,Music,S,History,W,Geography,W,Commerce,W,,
299,OLevel,1999,Tamil,S,Science,B,Mathematics,B,Geography,W,IT,F,History,A,,,,,,,,
300,OLevel,2009,Commerce,B,Music,F,IT,S,English,S,Geography,F,Mathematics,B,Tamil,F,,,,,,
