PersonalID,NVQLevel,CourseName,Institution,CompletionDate
147,NVQ Level 2,,NAITA,2024-05-09
148,,Certificate in Accounting,Island Enterprises,2016-05-18
148,,Certificate in Nursing,NAITA,2018-03-26
148,NVQ Level 2,,VTA,2017-07-07
148,,Certificate in Plumbing,VTA,2017-10-18
151,,Certificate in Accounting,Hotel Inc,2016-07-18
151,,Certificate in Hospitality,Island Corp,2024-12-30
151,,Diploma in Hospitality,VTA,2021-08-27
151,,Bachelor's Degree,SLBFE Training Center,2016-08-02
159,,Certificate in Domestic Work,VTA,2021-10-11
160,,Certificate in Carpentry,NAITA,2023-01-19
160,,Certificate in IT,VTA,2022-12-20
160,,Certificate in Sewing,TVEC,2021-08-19
160,,Certificate in Masonry,Ceylon Ltd,2020-05-23
163,,Certificate in Hospitality,Ceylon Inc,2016-04-30
164,NVQ Level 3,,VTA,2018-09-23
165,,Master's Degree,TVEC,2021-06-14
165,,Certificate in Driving,Tech Co,2017-10-17
165,,O/L,NAITA,2023-04-07
168,,Certificate in IT,NAITA,2020-05-01
168,NVQ Level 4,,SLBFE Training Center,2020-05-26
169,,O/L,NAITA,2016-12-20
169,,Certificate in Caregiving,TVEC,2021-01-11
173,,Diploma in IT,Construction Ltd,2024-12-19
176,,Certificate in Electrical Work,Lanka Corp,2020-10-02
176,,A/L,TVEC,2019-09-23
178,,Bachelor's Degree,VTA,2015-10-08
178,,Certificate in Sewing,VTA,2016-07-05
178,NVQ Level 5,,SLBFE Training Center,2017-08-26
180,,Certificate in Electrical Work,SLBFE Training Center,2017-10-19
180,,Certificate in Heavy Vehicle Operation,NAITA,2020-06-17
180,NVQ Level 4,,VTA,2022-03-17
183,,Bachelor's Degree,VTA,2019-08-25
185,,Certificate in Plumbing,Sri Inc,2023-03-04
192,NVQ Level 1,,VTA,2017-01-14
196,,Certificate in Plumbing,SLBFE Training Center,2020-10-03
196,,Diploma in Nursing,Sri Co,2024-06-02
196,,Certificate in Masonry,VTA,2017-07-07
196,,Certificate in Electrical Work,TVEC,2020-12-10
197,,Diploma in Hospitality,TVEC,2019-03-04
197,,Certificate in Masonry,SLBFE Training Center,2021-06-28
198,NVQ Level 1,,Sri Ltd,2020-09-16
199,,Diploma in Hospitality,TVEC,2018-12-10
199,NVQ Level 5,,Gem Group,2023-05-18
199,NVQ Level 1,,VTA,2017-03-15
199,,Certificate in IT,SLBFE Training Center,2023-02-01
201,,Certificate in Masonry,VTA,2024-11-07
201,,Certificate in Nursing,NAITA,2017-07-11
201,,Certificate in Plumbing,Gem Pvt,2018-04-01
202,,Certificate in Hospitality,SLBFE Training Center,2025-07-26
204,,Certificate in Accounting,Sri Enterprises,2023-08-06
207,,Certificate in Domestic Work,NAITA,2018-07-25
207,,O/L,Gem Plantations,2024-08-06
207,,Certificate in Welding,Island Plantations,2017-06-11
207,,Certificate in Hospitality,VTA,2019-07-15
214,,Master's Degree,VTA,2020-10-08
218,NVQ Level 5,,SLBFE Training Center,2018-08-20
218,,Certificate in Hospitality,TVEC,2022-03-29
218,,Certificate in Masonry,SLBFE Training Center,2024-04-05
218,,Diploma in IT,NAITA,2018-04-23
220,,A/L,Ceylon Solutions,2018-03-18
220,NVQ Level 5,,NAITA,2020-04-15
221,,Certificate in Sewing,VTA,2021-09-27
221,,Diploma in IT,TVEC,2022-12-19
221,,Certificate in Caregiving,VTA,2019-03-21
222,,Certificate in Hospitality,Gem Enterprises,2016-11-24
222,,Diploma in Hospitality,TVEC,2018-08-05
223,NVQ Level 5,,SLBFE Training Center,2016-10-24
223,,Certificate in Masonry,TVEC,2022-09-11
223,,Certificate in Carpentry,SLBFE Training Center,2017-02-08
225,,Certificate in Cooking,Ceylon Corp,2023-05-02
226,,Certificate in IT,VTA,2021-01-12
226,NVQ Level 3,,Lanka Co,2022-10-11
226,,Certificate in Masonry,Sri Pvt,2019-05-08
226,NVQ Level 4,,TVEC,2025-03-02
227,,Certificate in Cooking,VTA,2021-03-11
227,,Certificate in Cooking,VTA,2024-11-12
229,,Master's Degree,NAITA,2018-10-02
229,NVQ Level 4,,VTA,2020-09-30
231,,O/L,TVEC,2022-04-07
231,,Bachelor's Degree,SLBFE Training Center,2022-08-20
233,,O/L,TVEC,2025-06-23
234,,Diploma in IT,SLBFE Training Center,2021-12-15
236,,Certificate in Carpentry,NAITA,2018-04-07
236,,Certificate in Domestic Work,VTA,2021-04-02
236,,Certificate in Welding,TVEC,2017-03-09
239,,Certificate in Heavy Vehicle Operation,Tea Solutions,2023-04-26
243,,Certificate in Hospitality,Gem Plantations,2023-07-07
243,NVQ Level 5,,VTA,2018-03-15
244,,Bachelor's Degree,SLBFE Training Center,2023-11-30
251,,Certificate in Driving,TVEC,2018-12-13
251,,Certificate in Sewing,NAITA,2023-05-10
251,,Certificate in Accounting,VTA,2021-09-05
252,,Certificate in Welding,Ceylon Group,2022-03-11
253,,A/L,Ceylon Ltd,2023-03-19
253,,Master's Degree,SLBFE Training Center,2020-06-02
254,,Certificate in Nursing,Gem Group,2024-01-19
254,,O/L,VTA,2018-05-02
256,,Diploma in IT,NAITA,2024-03-12
256,NVQ Level 4,,SLBFE Training Center,2023-06-07
256,,Diploma in IT,VTA,2017-05-31
256,,Certificate in Carpentry,Lanka Co,2017-06-22
257,,Certificate in Nursing,VTA,2024-05-25
258,,A/L,SLBFE Training Center,2017-04-11
260,NVQ Level 1,,Construction Pvt,2017-06-20
261,NVQ Level 5,,Hotel Pvt,2022-11-09
261,,Certificate in Domestic Work,Tech Plantations,2021-09-23
261,,Certificate in Masonry,TVEC,2021-04-05
262,NVQ Level 3,,NAITA,2022-05-12
262,,Certificate in IT,Ceylon Corp,2025-04-17
262,,Certificate in Driving,SLBFE Training Center,2025-06-17
264,,Certificate in Caregiving,SLBFE Training Center,2018-05-21
264,,Certificate in Sewing,TVEC,2020-01-18
266,,Diploma in Hospitality,NAITA,2020-01-31
266,,Certificate in Hospitality,NAITA,2024-06-07
266,,O/L,NAITA,2024-06-15
267,,Certificate in Electrical Work,NAITA,2022-03-26
270,,Certificate in Plumbing,TVEC,2016-12-16
270,NVQ Level 1,,SLBFE Training Center,2018-07-21
270,,O/L,TVEC,2019-08-06
271,,Diploma in Nursing,Apparel Co,2024-09-04
272,,Bachelor's Degree,SLBFE Training Center,2017-11-19
274,,Certificate in Accounting,VTA,2018-03-17
285,,Diploma in IT,SLBFE Training Center,2019-07-05
286,,Certificate in Accounting,Lanka Solutions,2016-09-07
286,,Diploma in IT,VTA,2021-07-05
286,,Certificate in Nursing,Lanka Plantations,2019-04-25
288,,Certificate in Cooking,SLBFE Training Center,2020-01-04
288,,Certificate in Nursing,TVEC,2021-10-07
289,,Diploma in Nursing,VTA,2017-11-09
290,NVQ Level 2,,Ceylon Co,2020-10-25
293,,Certificate in Welding,TVEC,2020-07-11
293,,Certificate in Masonry,SLBFE Training Center,2024-09-15
295,,Certificate in Plumbing,NAITA,2025-03-30
295,,Diploma in Business,SLBFE Training Center,2024-01-07
296,,Certificate in Plumbing,Ceylon Inc,2018-04-24
296,,Certificate in IT,VTA,2018-09-09
296,,Certificate in Hospitality,Island Solutions,2017-04-23
297,,Certificate in Caregiving,VTA,2017-11-04
297,,Diploma in IT,TVEC,2023-08-26
299,,Certificate in Sewing,TVEC,2024-04-20
301,,Certificate in Nursing,NAITA,2018-11-29
301,,Certificate in Sewing,NAITA,2021-07-20
301,,Diploma in Business,Construction Corp,2023-08-07
301,,Diploma in Nursing,TVEC,2021-02-09
302,,Certificate in Caregiving,TVEC,2015-11-10
303,,Certificate in Cooking,SLBFE Training Center,2016-08-09
303,,Certificate in Domestic Work,VTA,2021-11-17
303,,Certificate in Caregiving,VTA,2025-05-19
303,,Certificate in Sewing,Sri Inc,2022-05-25
304,,Master's Degree,VTA,2025-03-04
304,NVQ Level 3,,SLBFE Training Center,2020-09-02
304,,Certificate in IT,NAITA,2024-02-26
304,,Diploma in IT,VTA,2025-08-05
305,,Certificate in Masonry,VTA,2017-10-20
307,,Certificate in Nursing,Construction Solutions,2016-04-01
308,,Certificate in Caregiving,Sri Inc,2023-11-15
311,,Diploma in IT,TVEC,2017-07-11
313,,Certificate in Cooking,TVEC,2023-09-13
314,,A/L,NAITA,2022-03-31
315,,Diploma in IT,SLBFE Training Center,2021-12-26
315,,Certificate in Masonry,NAITA,2015-09-03
315,,Diploma in Business,NAITA,2022-11-30
315,,Certificate in Electrical Work,SLBFE Training Center,2018-01-05
316,,Certificate in Plumbing,SLBFE Training Center,2018-03-09
316,NVQ Level 2,,NAITA,2020-01-08
316,,Certificate in Masonry,VTA,2022-11-03
316,,Certificate in Masonry,VTA,2024-07-21
319,NVQ Level 5,,SLBFE Training Center,2021-04-03
319,,Diploma in Business,VTA,2022-09-16
319,,Certificate in Carpentry,NAITA,2018-05-21
320,,Master's Degree,VTA,2018-05-29
320,,Diploma in Nursing,Apparel Corp,2016-12-23
320,,Certificate in Caregiving,Hotel Solutions,2016-12-08
322,,Certificate in Caregiving,VTA,2022-08-14
322,,Certificate in Caregiving,VTA,2023-03-29
322,,Certificate in Caregiving,Hotel Corp,2017-03-13
322,,Certificate in Caregiving,Gem Plantations,2021-11-10
323,,Bachelor's Degree,Tea Ltd,2020-05-04
324,,Certificate in Masonry,TVEC,2021-01-22
324,,Diploma in Business,TVEC,2017-05-04
325,,Certificate in Electrical Work,SLBFE Training Center,2020-04-04
329,,Certificate in Nursing,Island Plantations,2022-08-14
331,,Certificate in Heavy Vehicle Operation,TVEC,2022-05-28
331,NVQ Level 3,,TVEC,2024-05-20
331,,Certificate in Nursing,Sri Solutions,2021-01-27
332,,Certificate in IT,SLBFE Training Center,2023-10-31
333,,Certificate in Cooking,Tech Solutions,2016-03-13
333,,Certificate in Cooking,Gem Corp,2017-09-11
333,,Certificate in Cooking,NAITA,2024-11-24
333,,Certificate in Cooking,Sri Solutions,2017-12-18
334,,Diploma in Business,Tech Enterprises,2021-04-06
334,NVQ Level 5,,SLBFE Training Center,2016-03-16
334,,Certificate in Heavy Vehicle Operation,TVEC,2017-10-28
337,NVQ Level 4,,TVEC,2017-05-12
337,,Certificate in Carpentry,SLBFE Training Center,2024-03-04
337,,Certificate in Plumbing,TVEC,2022-03-03
337,NVQ Level 5,,NAITA,2019-11-28
338,,Certificate in Plumbing,VTA,2021-05-16
338,,Certificate in Driving,Apparel Ltd,2021-03-13
339,,Diploma in Nursing,SLBFE Training Center,2017-12-19
341,,Master's Degree,VTA,2019-07-06
342,,Certificate in Accounting,TVEC,2015-10-16
346,,Certificate in Nursing,VTA,2025-02-23
346,,Certificate in Carpentry,NAITA,2019-01-11
346,,Diploma in Nursing,SLBFE Training Center,2017-07-31
348,,Certificate in Accounting,NAITA,2022-08-19
351,,Certificate in IT,Tech Plantations,2019-03-25
352,,Certificate in Welding,TVEC,2025-08-09
358,,A/L,TVEC,2019-01-08
358,,Certificate in Heavy Vehicle Operation,Lanka Enterprises,2016-05-27
358,NVQ Level 2,,NAITA,2019-02-03
360,,Certificate in Caregiving,NAITA,2018-09-09
360,,Certificate in Caregiving,NAITA,2021-07-08
363,,Certificate in Carpentry,TVEC,2019-11-28
364,NVQ Level 4,,VTA,2024-07-06
364,,Certificate in Plumbing,TVEC,2023-08-18
365,,Certificate in Masonry,VTA,2016-05-12
365,,Certificate in Carpentry,VTA,2018-03-24
365,NVQ Level 1,,Island Ltd,2017-06-25
365,,Certificate in Nursing,SLBFE Training Center,2024-09-08
366,,Certificate in Hospitality,TVEC,2016-12-12
370,,Bachelor's Degree,NAITA,2023-01-06
370,,Diploma in Nursing,TVEC,2018-08-18
371,NVQ Level 1,,NAITA,2024-08-04
371,,Master's Degree,NAITA,2018-08-20
371,,Certificate in Accounting,Gem Ltd,2020-02-26
372,,O/L,Construction Enterprises,2016-10-05
373,NVQ Level 5,,VTA,2016-06-26
376,,Certificate in Heavy Vehicle Operation,VTA,2021-09-26
376,NVQ Level 2,,Ceylon Plantations,2018-11-12
377,,Diploma in Business,TVEC,2019-01-03
377,,O/L,VTA,2018-04-13
377,,Diploma in Nursing,SLBFE Training Center,2019-01-08
377,,Certificate in Accounting,Gem Plantations,2020-06-29
379,,Diploma in IT,VTA,2017-05-02
380,,Certificate in Heavy Vehicle Operation,Hotel Enterprises,2019-08-03
381,,Certificate in IT,VTA,2021-05-24
381,NVQ Level 3,,Hotel Pvt,2021-12-07
381,,Certificate in Accounting,SLBFE Training Center,2018-09-25
381,,Diploma in Nursing,NAITA,2017-11-07
383,,Certificate in Sewing,SLBFE Training Center,2015-09-04
384,,Certificate in Carpentry,SLBFE Training Center,2019-10-17
384,NVQ Level 3,,TVEC,2022-09-24
384,,Certificate in Cooking,TVEC,2023-03-17
386,,Certificate in Accounting,VTA,2025-03-18
386,,Certificate in IT,VTA,2018-10-24
386,,Certificate in Welding,SLBFE Training Center,2022-12-24
388,,Certificate in Heavy Vehicle Operation,NAITA,2015-11-05
389,,Diploma in Business,TVEC,2023-04-13
389,NVQ Level 1,,VTA,2024-08-21
389,,Diploma in Business,Lanka Pvt,2018-08-15
390,NVQ Level 2,,SLBFE Training Center,2018-03-10
390,,Certificate in Caregiving,VTA,2023-06-21
390,,Diploma in Nursing,SLBFE Training Center,2023-05-12
390,,Certificate in Sewing,VTA,2017-08-11
394,,Diploma in Nursing,SLBFE Training Center,2021-06-24
395,,Diploma in IT,VTA,2016-10-13
397,,Master's Degree,VTA,2017-04-12
398,,Certificate in Plumbing,TVEC,2018-09-18
399,,Certificate in Cooking,NAITA,2017-03-27
400,,Certificate in Accounting,SLBFE Training Center,2024-09-30
400,,Certificate in Masonry,VTA,2017-08-30
400,,Bachelor's Degree,VTA,2022-11-28
400,,Certificate in Sewing,Gem Pvt,2023-06-19
401,,Certificate in Nursing,TVEC,2020-08-13
402,,Certificate in Heavy Vehicle Operation,Apparel Pvt,2017-05-15
403,NVQ Level 1,,TVEC,2024-08-07
403,,Certificate in Masonry,VTA,2023-12-17
403,NVQ Level 5,,VTA,2019-10-12
404,,Certificate in Electrical Work,TVEC,2017-05-28
404,NVQ Level 1,,Sri Ltd,2021-03-17
404,,Certificate in Caregiving,VTA,2018-09-20
404,,O/L,TVEC,2020-04-15
405,,Diploma in Business,Lanka Pvt,2022-12-24
405,,O/L,TVEC,2025-08-12
405,NVQ Level 3,,Tech Plantations,2017-11-06
406,NVQ Level 2,,Tech Inc,2017-01-26
408,,Certificate in Heavy Vehicle Operation,SLBFE Training Center,2020-10-17
408,,Certificate in Welding,TVEC,2016-08-19
408,,Certificate in Masonry,NAITA,2024-06-09
409,,Certificate in Accounting,Hotel Corp,2019-10-20
414,,Certificate in Plumbing,VTA,2020-06-04
415,NVQ Level 1,,SLBFE Training Center,2025-08-17
415,,Certificate in Hospitality,Tech Corp,2018-04-08
416,,Certificate in Nursing,VTA,2020-05-04
418,,Certificate in Plumbing,TVEC,2024-12-22
419,,Certificate in Masonry,Construction Co,2022-03-21
419,,Certificate in Plumbing,VTA,2019-04-22
420,,Certificate in Domestic Work,SLBFE Training Center,2025-06-07
421,,Certificate in Sewing,TVEC,2022-08-01
423,NVQ Level 1,,SLBFE Training Center,2015-12-30
424,,Certificate in Hospitality,NAITA,2016-12-24
424,,O/L,TVEC,2023-08-22
424,,A/L,VTA,2018-02-11
426,,Certificate in Sewing,SLBFE Training Center,2018-06-29
429,,Certificate in Caregiving,Construction Plantations,2021-01-16
429,,Certificate in Driving,Tech Co,2018-11-15
430,,O/L,TVEC,2021-06-28
434,,Certificate in Caregiving,NAITA,2017-04-07
434,,Certificate in Caregiving,NAITA,2019-01-21
434,,Diploma in Nursing,SLBFE Training Center,2021-05-15
435,NVQ Level 5,,VTA,2019-10-19
435,,O/L,NAITA,2018-07-24
435,,Certificate in Domestic Work,SLBFE Training Center,2022-04-24
436,,Diploma in Nursing,TVEC,2021-08-27
439,,Diploma in Hospitality,NAITA,2020-01-06
439,,Certificate in Masonry,SLBFE Training Center,2022-05-12
439,,Bachelor's Degree,NAITA,2019-10-05
439,,Diploma in Business,VTA,2019-03-27
440,,Certificate in Domestic Work,TVEC,2023-02-27
441,,Certificate in Caregiving,VTA,2018-10-12
441,,Certificate in Caregiving,VTA,2018-02-08
442,,Certificate in Cooking,VTA,2022-06-02
443,,Diploma in Nursing,Construction Corp,2020-06-30
444,,Certificate in Domestic Work,NAITA,2024-12-15
444,,Diploma in Hospitality,VTA,2024-05-01
444,,Certificate in Welding,VTA,2021-11-23
448,,Certificate in Electrical Work,NAITA,2021-12-16
454,,Certificate in Caregiving,TVEC,2020-06-14
454,NVQ Level 4,,Ceylon Pvt,2017-12-23
455,,Certificate in Carpentry,Tea Corp,2018-06-14
459,,Diploma in IT,TVEC,2022-06-23
460,NVQ Level 1,,SLBFE Training Center,2019-09-28
461,,O/L,NAITA,2023-07-26
461,NVQ Level 2,,NAITA,2023-01-21
461,,Master's Degree,VTA,2016-06-24
461,NVQ Level 3,,VTA,2021-12-16
464,,Certificate in Sewing,SLBFE Training Center,2018-06-03
465,,Certificate in Masonry,Apparel Plantations,2017-12-18
465,,Certificate in Carpentry,TVEC,2020-01-10
465,,Diploma in IT,SLBFE Training Center,2019-07-03
465,,Bachelor's Degree,TVEC,2021-12-31
466,,Certificate in Driving,TVEC,2017-03-15
468,,Certificate in Masonry,SLBFE Training Center,2021-04-18
468,,Diploma in Hospitality,SLBFE Training Center,2018-12-04
469,,Bachelor's Degree,NAITA,2019-12-15
469,,Certificate in Masonry,VTA,2022-10-31
469,,Certificate in Welding,SLBFE Training Center,2024-07-08
477,,Bachelor's Degree,Construction Enterprises,2023-07-12
479,,Master's Degree,SLBFE Training Center,2019-11-20
479,,Certificate in Hospitality,SLBFE Training Center,2019-09-18
479,,Certificate in Plumbing,SLBFE Training Center,2022-01-26
481,,Certificate in Caregiving,TVEC,2021-10-08
481,,Certificate in Caregiving,TVEC,2022-08-19
482,,Certificate in Cooking,VTA,2019-07-02
482,,Certificate in Sewing,NAITA,2021-08-02
483,,Diploma in Business,NAITA,2022-06-21
483,,Certificate in Nursing,VTA,2023-11-02
483,,Diploma in Hospitality,NAITA,2022-11-10
485,,Certificate in Electrical Work,Tech Co,2021-03-20
485,NVQ Level 2,,SLBFE Training Center,2024-02-09
486,NVQ Level 3,,VTA,2024-06-03
486,,Certificate in IT,TVEC,2017-03-06
489,,Certificate in Caregiving,NAITA,2025-06-11
490,NVQ Level 4,,VTA,2024-11-28
492,,Diploma in Nursing,TVEC,2022-05-10
496,,Certificate in Hospitality,VTA,2016-12-05
496,,Certificate in Sewing,NAITA,2023-05-17
500,,Diploma in IT,NAITA,2019-08-27
501,,Certificate in Nursing,VTA,2021-01-09
501,NVQ Level 3,,TVEC,2015-11-11
503,,Certificate in Heavy Vehicle Operation,TVEC,2025-08-07
505,,Master's Degree,SLBFE Training Center,2024-09-13
506,,A/L,SLBFE Training Center,2021-03-10
506,,Diploma in Business,SLBFE Training Center,2015-12-03
508,,Diploma in Hospitality,SLBFE Training Center,2016-03-12
514,,Certificate in Domestic Work,VTA,2024-04-03
515,,Diploma in Business,TVEC,2020-08-09
515,NVQ Level 2,,VTA,2018-04-14
515,,Bachelor's Degree,Construction Corp,2022-01-21
516,,Certificate in Welding,SLBFE Training Center,2018-07-24
516,,Certificate in Sewing,VTA,2024-06-11
516,NVQ Level 2,,Tea Ltd,2017-06-10
516,,Certificate in Nursing,TVEC,2024-01-03
519,,Bachelor's Degree,VTA,2025-03-15
519,,Bachelor's Degree,SLBFE Training Center,2016-09-09
519,,Bachelor's Degree,SLBFE Training Center,2025-07-24
