EmploymentID,PersonalID,EmploymentType,EmploymentSector,Employer,Country,Occupation,SkillsUsed,StartDate,EndDate,DurationMonths
20,16,Previous,Beauty & Personal Care,Sri Co,United Arab Emirates,Delivery Driver,Kitchen Assistance;Textile Machine Operation,2010-12-17,2020-07-17,115.0
21,17,Previous,Agriculture & Fishery,Tech Co,Japan,Mason,Guest Relations,2013-08-09,2024-04-16,128.0
22,18,Previous,Construction,Hotel Solutions,Bahrain,Construction Supervisor,Customer Service;Livestock Management;Medical Assistance,2012-08-02,2025-03-30,151.0
23,19,Previous,Domestic Services,Apparel Enterprises,Kuwait,Construction Helper,Serving;Logistics Coordination;Guest Relations,2018-04-20,2024-12-01,80.0
24,19,Previous,Security Services,Lanka Co,Japan,Construction Helper,Medical Assistance;Nursing,2019-05-17,2019-07-28,2.0
25,20,Current,Driving & Transportation,Hotel Solutions,Qatar,Factory Worker,Driving,2015-08-14,,
26,21,Previous,Domestic Services,Gem Co,Canada,Nurse,Bar Bending,2016-10-29,2019-06-04,32.0
27,22,Previous,Security Services,Hotel Solutions,Kuwait,General Labourer,Guest Relations;Textile Machine Operation;Driving,2022-05-09,2023-08-17,15.0
28,22,Previous,Healthcare & Nursing,Ceylon Solutions,Lebanon,General Labourer,Nursing,2016-10-07,2024-07-03,93.0
29,24,Previous,Domestic Services,Sri Solutions,United Arab Emirates,Fishery Worker,Home Cleaning,2012-06-10,2016-01-12,43.0
30,24,Current,Beauty & Personal Care,Construction Corp,Qatar,Fishery Worker,Fishing,2012-01-23,,
31,24,Previous,Textile & Sewing,Tech Enterprises,Qatar,Fishery Worker,Sewing,2023-03-19,2024-02-10,11.0
32,25,Previous,Construction,Hotel Solutions,United Arab Emirates,Maintenance Worker,Patient Care,2011-02-19,2023-02-27,144.0
33,25,Previous,Garment & Apparel,Sri Ltd,United Arab Emirates,Maintenance Worker,Accounting,2023-04-22,2025-04-28,24.0
34,27,Current,Engineering & Technical,Tea Inc,United Arab Emirates,Nurse,Retail Sales,2022-06-08,,
35,27,Current,Logistics & Warehousing,Gem Co,Kuwait,Nurse,Childcare;Bar Bending;Excel,2024-05-24,,
36,27,Previous,Domestic Services,Hotel Solutions,Jordan,Nurse,Front Desk Operations,2016-10-01,2022-04-26,66.0
37,27,Previous,Textile & Sewing,Apparel Co,Qatar,Nurse,Sewing,2024-06-05,2024-10-19,4.0
38,28,Current,Domestic Services,Ceylon Co,Qatar,Security Guard,Electrical,2012-08-06,,
39,29,Previous,Textile & Sewing,Gem Co,Qatar,House Driver,Sewing,2021-04-14,2022-04-14,12.0
40,29,Previous,Construction,Hotel Enterprises,Kuwait,Construction Supervisor,Plumbing,2021-06-24,2022-12-10,18.0
41,30,Previous,IT & Professional Services,Ceylon Group,Jordan,Sewing Machine Operator,Sewing,2017-10-29,2025-03-16,89.0
42,30,Previous,Garment & Apparel,Ceylon Solutions,Sri Lanka,Sewing Machine Operator,Sewing,2018-06-14,2025-04-16,82.0
43,31,Previous,Cleaning Services,Island Co,South Korea,Nurse,Makeup Artistry,2017-02-23,2018-06-24,16.0
44,31,Previous,Driving & Transportation,Island Inc,Russia,Nurse,Driving,2011-07-14,2024-12-24,161.0
45,31,Previous,Healthcare & Nursing,Tech Inc,Kuwait,Nurse,Nursing,2014-02-27,2018-09-02,55.0
46,32,Previous,IT & Professional Services,Construction Ltd,Saudi Arabia,Cleaner,Medical Assistance;Garment Quality Control,2012-02-25,2016-09-18,55.0
47,33,Previous,Beauty & Personal Care,Lanka Inc,Malaysia,Administrative Assistant,Hairdressing;Hotel Housekeeping,2024-02-17,2024-05-25,3.0
48,35,Current,IT & Professional Services,Hotel Plantations,United Arab Emirates,Warehouse Worker,Food Preparation,2019-11-06,,
49,36,Previous,Healthcare & Nursing,Tech Plantations,Saudi Arabia,Caregiver,Nursing,2022-03-08,2024-04-28,25.0
50,36,Previous,Healthcare & Nursing,Island Corp,Saudi Arabia,Caregiver,Nursing,2017-06-22,2021-11-14,53.0
51,36,Previous,Healthcare & Nursing,Apparel Ltd,Maldives,Caregiver,Nursing,2024-07-22,2024-09-16,2.0
52,37,Previous,Hospitality & Tourism,Tech Enterprises,United Kingdom,Driver,Plumbing;Administrative Support,2012-05-26,2017-04-16,59.0
53,38,Current,Garment & Apparel,Tea Pvt,United Kingdom,Cleaner,Housekeeping,2021-06-14,,
54,39,Previous,Manufacturing,Tech Ltd,Bahrain,Accountant,Horticulture;Painting;CCTV Monitoring,2020-08-25,2022-01-30,17.0
55,41,Previous,Domestic Services,Sri Plantations,Bahrain,Domestic Worker,Livestock Management,2014-04-23,2023-04-11,108.0
56,42,Current,Retail & Sales,Lanka Co,Cyprus,Hairdresser,IT Skills;Retail Sales,2023-01-24,,
57,42,Previous,Facility Management,Lanka Enterprises,Kuwait,Hairdresser,Electrical;Delivery Driving,2014-10-16,2017-01-05,27.0
58,43,Current,Textile & Sewing,Sri Pvt,Saudi Arabia,Delivery Driver,Sewing,2018-03-27,,
59,44,Previous,Construction,Tea Enterprises,Oman,Construction Supervisor,Cooking;Guest Relations;Tailoring,2014-05-24,2021-09-11,88.0
60,44,Previous,Manufacturing,Ceylon Enterprises,Saudi Arabia,Salesperson,Childcare,2012-07-27,2013-10-02,15.0
61,45,Previous,IT & Professional Services,Construction Inc,Kuwait,Accountant,Kitchen Assistance;Facility Maintenance;Banquet Service,2015-11-04,2023-06-10,91.0
62,45,Current,Driving & Transportation,Lanka Solutions,Lebanon,Accountant,Driving,2023-12-08,,
63,45,Previous,Manufacturing,Lanka Plantations,Seychelles,Accountant,Medical Assistance;CCTV Monitoring;Barista Skills,2014-09-29,2017-09-08,36.0
64,46,Previous,Logistics & Warehousing,Tech Plantations,Kuwait,Packing Worker,Packing,2010-09-14,2022-12-17,147.0
65,46,Current,Cleaning Services,Apparel Solutions,Oman,Packing Worker,Packing,2013-03-03,,
66,47,Previous,Cleaning Services,Hotel Plantations,Serbia,General Labourer,Laundry;Excel,2016-10-08,2018-10-05,24.0
67,47,Previous,IT & Professional Services,Lanka Group,Saudi Arabia,General Labourer,Inventory Management;Accounting;Cooking,2017-02-14,2024-07-10,89.0
68,49,Previous,IT & Professional Services,Ceylon Plantations,Kuwait,Technician,Packing;Hairdressing,2012-03-23,2016-04-26,49.0
69,49,Previous,Healthcare & Nursing,Sri Ltd,Hong Kong,Technician,Nursing,2012-05-22,2021-02-14,105.0
70,49,Previous,Agriculture & Fishery,Tea Group,United Arab Emirates,Technician,First Aid;Logistics Coordination,2016-12-07,2020-06-10,42.0
71,50,Current,Garment & Apparel,Tech Plantations,United Arab Emirates,Domestic Worker,Nursing;Driving,2023-08-08,,
72,50,Current,Domestic Services,Apparel Plantations,Qatar,Domestic Worker,Concrete Mixing;Textile Machine Operation,2021-12-27,,
73,52,Previous,Beauty & Personal Care,Gem Inc,United Kingdom,Carpenter,Medical Assistance;Housekeeping;Farming,2022-03-06,2022-10-11,7.0
74,52,Current,Logistics & Warehousing,Tea Corp,United Arab Emirates,Carpenter,Beauty Therapy;Nursing;Farming,2018-05-07,,
75,53,Previous,Domestic Services,Lanka Pvt,Saudi Arabia,Nurse,Laundry,2014-05-21,2022-02-13,93.0
76,54,Previous,Textile & Sewing,Lanka Group,South Korea,Hotel Housekeeper,Sewing,2011-02-18,2012-11-28,21.0
77,54,Previous,Domestic Services,Tech Ltd,Maldives,Hotel Housekeeper,Accounting;Vehicle Maintenance,2021-10-16,2023-07-18,21.0
78,55,Previous,Engineering & Technical,Island Group,United Arab Emirates,Janitor,Beauty Therapy,2022-07-05,2025-08-13,37.0
79,55,Previous,Driving & Transportation,Gem Ltd,Kuwait,Janitor,Driving,2016-10-05,2024-03-18,89.0
80,55,Previous,Domestic Services,Lanka Pvt,Canada,Janitor,Janitorial Skills;CCTV Monitoring;Excel,2017-11-23,2020-09-18,34.0
81,57,Previous,Textile & Sewing,Tea Plantations,Kuwait,Cook,Sewing,2024-06-12,2024-12-10,6.0
82,57,Current,IT & Professional Services,Lanka Group,Saudi Arabia,Cook,Administrative Support;Cooking,2015-05-21,,
83,57,Previous,Manufacturing,Sri Group,Qatar,Cook,Bar Bending;Banquet Service;Vehicle Maintenance,2022-04-01,2023-08-14,16.0
84,59,Current,Cleaning Services,Island Corp,Maldives,Nurse,Bar Bending;Nursing;Food Preparation,2023-12-25,,
85,60,Current,Manufacturing,Apparel Corp,Saudi Arabia,Construction Supervisor,Quality Inspection;Heavy Vehicle Driving;Housekeeping,2017-04-16,,
86,61,Previous,Domestic Services,Tea Co,Maldives,Domestic Worker,MS Office;Fishing;Caregiving,2023-12-29,2024-11-14,11.0
87,61,Previous,Domestic Services,Tea Inc,Saudi Arabia,Domestic Worker,Housekeeping;Logistics Coordination;Garment Quality Control,2020-10-06,2021-06-15,8.0
88,61,Current,Facility Management,Ceylon Solutions,Saudi Arabia,Domestic Worker,Accounting;Security Guarding,2012-10-30,,
89,61,Previous,Education & Training,Construction Inc,United Arab Emirates,Domestic Worker,Data Entry;Quality Inspection,2017-01-13,2021-11-19,58.0
90,62,Previous,Beauty & Personal Care,Tea Enterprises,Oman,Salesperson,Teaching Assistance,2017-01-20,2020-01-17,36.0
91,63,Previous,Agriculture & Fishery,Gem Corp,Qatar,Barista,First Aid;Beauty Therapy;Tailoring,2016-02-04,2016-02-12,1.0
92,63,Current,Driving & Transportation,Construction Ltd,Saudi Arabia,Barista,Driving,2016-02-26,,
93,64,Previous,Engineering & Technical,Island Pvt,Hong Kong,Engineer,Hairdressing,2019-06-22,2022-03-07,33.0
94,65,Previous,Manufacturing,Tech Corp,Maldives,Machine Operator,Hairdressing;Retail Sales;Fishing,2012-07-15,2014-03-25,20.0
95,65,Current,Garment & Apparel,Hotel Plantations,United Kingdom,Machine Operator,Makeup Artistry;Serving;Heavy Vehicle Driving,2024-05-31,,
96,66,Previous,Retail & Sales,Tea Plantations,Canada,Domestic Worker,Barista Skills;Serving;Welding,2019-09-06,2020-01-04,4.0
97,66,Current,Engineering & Technical,Gem Ltd,South Korea,Domestic Worker,Nursing;Security Guarding,2012-07-27,,
98,66,Previous,Domestic Services,Ceylon Pvt,Sri Lanka,Domestic Worker,Bookkeeping;Elderly Care,2024-06-23,2024-09-14,3.0
99,68,Previous,Beauty & Personal Care,Lanka Plantations,Saudi Arabia,Agricultural Worker,Teaching Assistance,2021-11-09,2025-06-20,43.0
100,69,Previous,Education & Training,Apparel Plantations,Saudi Arabia,Administrative Assistant,Welding;Heavy Vehicle Driving;Tiling,2019-05-19,2021-11-16,30.0
101,72,Previous,Security Services,Island Plantations,Saudi Arabia,Bar Bender,Packing;Logistics Coordination;CCTV Monitoring,2021-04-11,2021-09-02,5.0
102,74,Previous,Driving & Transportation,Ceylon Enterprises,South Korea,Security Guard,Driving,2020-08-12,2023-12-16,40.0
103,74,Current,Manufacturing,Island Solutions,Serbia,Security Guard,Driving;Inventory Management;Beauty Therapy,2024-03-01,,
104,74,Previous,Facility Management,Gem Enterprises,Qatar,Security Guard,Packing,2014-11-15,2014-12-06,1.0
105,75,Previous,Agriculture & Fishery,Gem Solutions,Saudi Arabia,Teacher Assistant,Vehicle Maintenance;Makeup Artistry;Banquet Service,2014-11-29,2016-11-24,24.0
106,75,Previous,Beauty & Personal Care,Island Enterprises,Canada,Teacher Assistant,Home Cleaning;Tiling,2014-08-06,2014-10-08,2.0
107,75,Previous,Healthcare & Nursing,Apparel Inc,Kuwait,Teacher Assistant,Nursing,2022-08-22,2022-08-27,1.0
108,76,Previous,Garment & Apparel,Gem Ltd,Maldives,Housemaid,Delivery Driving;Cooking,2019-04-02,2020-08-11,16.0
109,76,Previous,Beauty & Personal Care,Island Group,Kuwait,Housemaid,Health Aide;Delivery Driving,2012-07-03,2012-11-29,4.0
110,77,Previous,Construction,Ceylon Co,Australia,Delivery Driver,Retail Sales;Forklift Operation;Elderly Care,2022-11-15,2024-07-17,20.0
111,77,Previous,Healthcare & Nursing,Construction Pvt,Qatar,Delivery Driver,Nursing,2022-11-20,2024-01-19,14.0
112,78,Previous,IT & Professional Services,Construction Pvt,United Arab Emirates,Delivery Driver,Logistics Coordination;Customer Service,2021-10-09,2022-02-25,4.0
113,78,Current,Retail & Sales,Island Solutions,Qatar,Delivery Driver,Inventory Management;Driving;Health Aide,2021-03-05,,
114,78,Current,Logistics & Warehousing,Construction Plantations,Oman,Delivery Driver,Painting,2016-10-02,,
115,79,Previous,Textile & Sewing,Apparel Pvt,Maldives,Engineer,Sewing,2017-11-04,2021-01-11,38.0
116,79,Previous,Engineering & Technical,Apparel Solutions,Kuwait,Engineer,Inventory Management,2021-07-31,2024-12-23,41.0
117,80,Current,Domestic Services,Island Co,Seychelles,General Labourer,IT Skills,2020-06-05,,
118,81,Previous,Facility Management,Tech Ltd,Qatar,Room Attendant,Home Cleaning,2021-04-26,2024-12-09,44.0
119,82,Current,Garment & Apparel,Island Group,Qatar,Warehouse Worker,Security Guarding;Inventory Management;Horticulture,2012-10-18,,
120,82,Previous,Construction,Ceylon Inc,Russia,Warehouse Worker,Front Desk Operations;Caregiving,2024-08-10,2024-08-31,1.0
121,83,Previous,Construction,Island Pvt,Kuwait,Construction Helper,Textile Machine Operation;Painting,2020-01-03,2022-09-27,32.0
122,83,Previous,Construction,Gem Ltd,Canada,Construction Helper,Janitorial Skills,2013-01-02,2025-08-03,151.0
123,84,Previous,Healthcare & Nursing,Sri Pvt,Kuwait,Driver,Nursing,2015-05-18,2021-10-08,77.0
124,84,Previous,Manufacturing,Tea Plantations,Maldives,Driver,Barista Skills,2024-07-06,2024-12-06,5.0
125,84,Previous,Logistics & Warehousing,Lanka Pvt,United Arab Emirates,Delivery Driver,Carpentry,2019-06-10,2022-07-25,37.0
126,85,Previous,Healthcare & Nursing,Construction Co,Saudi Arabia,Delivery Driver,Nursing,2024-01-06,2025-04-05,15.0
127,85,Previous,Textile & Sewing,Sri Inc,United Arab Emirates,Delivery Driver,Sewing,2018-02-21,2023-12-10,70.0
128,87,Current,Textile & Sewing,Gem Inc,Kuwait,Shuttering Carpenter,Sewing,2011-03-02,,
129,87,Previous,IT & Professional Services,Sri Corp,Australia,Shuttering Carpenter,Serving;Delivery Driving,2022-01-27,2024-06-15,29.0
130,87,Previous,Garment & Apparel,Tea Group,United Arab Emirates,Shuttering Carpenter,Kitchen Assistance,2024-01-31,2025-06-04,17.0
131,87,Previous,Beauty & Personal Care,Tech Co,Saudi Arabia,Shuttering Carpenter,Childcare;Laundry;Housekeeping,2019-11-14,2020-07-17,8.0
132,88,Previous,Engineering & Technical,Apparel Co,Kuwait,Carpenter,Fishing;Electrical,2023-03-31,2024-10-20,19.0
133,88,Current,Beauty & Personal Care,Gem Pvt,Saudi Arabia,Shuttering Carpenter,Beauty Therapy,2023-09-11,,
134,88,Previous,Agriculture & Fishery,Ceylon Group,Kuwait,Shuttering Carpenter,IT Skills;Bookkeeping,2013-04-28,2020-08-13,88.0
135,90,Previous,Construction,Ceylon Enterprises,Saudi Arabia,Construction Supervisor,Serving,2023-04-20,2024-08-02,16.0
136,90,Previous,Facility Management,Lanka Corp,Australia,Shuttering Carpenter,Delivery Driving,2017-12-17,2023-05-21,65.0
137,90,Previous,Garment & Apparel,Construction Corp,Kuwait,Shuttering Carpenter,Front Desk Operations,2021-08-25,2024-11-09,39.0
138,91,Previous,Manufacturing,Hotel Ltd,Saudi Arabia,Laundry Worker,Laundry,2020-10-22,2025-05-15,55.0
139,91,Current,Domestic Services,Tea Group,Qatar,Laundry Worker,Laundry,2022-11-13,,
140,92,Previous,Hospitality & Tourism,Lanka Corp,Seychelles,Kitchen Helper,Packing,2020-08-09,2024-11-21,51.0
141,94,Previous,Beauty & Personal Care,Sri Solutions,United Arab Emirates,General Labourer,Accounting;Elderly Care;Delivery Driving,2014-03-19,2020-02-25,71.0
142,94,Current,Beauty & Personal Care,Hotel Pvt,Hong Kong,General Labourer,Bookkeeping;Inventory Management,2010-11-24,,
143,95,Previous,Driving & Transportation,Lanka Group,Jordan,Nursing Assistant,Driving;Nursing,2016-05-13,2024-05-19,96.0
144,95,Previous,Domestic Services,Tech Inc,Kuwait,Nursing Assistant,Nursing,2020-06-29,2025-05-20,59.0
145,96,Previous,Engineering & Technical,Gem Group,Romania,Construction Supervisor,Barista Skills;Quality Inspection;Logistics Coordination,2021-12-16,2023-01-20,13.0
146,96,Previous,Engineering & Technical,Construction Inc,Oman,Construction Supervisor,Caregiving;Administrative Support,2015-06-12,2022-08-02,86.0
147,97,Previous,Healthcare & Nursing,Gem Pvt,Saudi Arabia,Domestic Worker,Nursing,2011-04-05,2019-04-29,96.0
148,98,Previous,Retail & Sales,Island Inc,Kuwait,Nursing Assistant,Nursing,2011-07-02,2014-03-13,32.0
149,99,Previous,Driving & Transportation,Tea Pvt,Malaysia,Logistics Coordinator,Driving,2014-08-19,2024-02-10,114.0
150,99,Previous,Agriculture & Fishery,Tea Plantations,Saudi Arabia,Logistics Coordinator,Laundry,2023-04-29,2023-11-16,7.0
151,101,Previous,Healthcare & Nursing,Island Solutions,Cyprus,Caregiver,Nursing,2011-02-28,2022-12-07,142.0
152,101,Previous,Healthcare & Nursing,Ceylon Solutions,Singapore,Caregiver,Nursing,2018-08-29,2019-10-29,14.0
153,102,Previous,Agriculture & Fishery,Gem Corp,United Arab Emirates,Forklift Operator,Textile Machine Operation;Data Entry;Facility Maintenance,2022-01-14,2024-10-01,33.0
154,102,Previous,Agriculture & Fishery,Apparel Corp,Seychelles,Forklift Operator,Home Cleaning;Excel;Guest Relations,2021-05-09,2025-04-11,47.0
155,102,Previous,Textile & Sewing,Tech Co,Japan,Forklift Operator,Sewing,2018-11-26,2023-01-15,50.0
156,103,Current,Facility Management,Gem Group,Bahrain,Gardener,Serving;Food Preparation,2016-03-31,,
157,104,Previous,Healthcare & Nursing,Island Inc,Romania,Construction Helper,Nursing,2019-01-10,2022-03-24,38.0
158,104,Current,Garment & Apparel,Lanka Plantations,Saudi Arabia,Construction Helper,Vehicle Maintenance;Horticulture,2018-02-11,,
159,105,Previous,Garment & Apparel,Lanka Solutions,Qatar,Technician,Vehicle Maintenance;Hairdressing,2012-10-22,2017-08-26,58.0
160,106,Previous,Domestic Services,Lanka Group,Bahrain,Laundry Worker,Laundry,2021-10-31,2023-10-23,24.0
161,106,Previous,Garment & Apparel,Hotel Solutions,Malaysia,Laundry Worker,Laundry,2014-05-26,2016-10-28,29.0
162,108,Previous,Education & Training,Tea Plantations,United Arab Emirates,Mason,Elderly Care;Concrete Mixing;Packing,2018-05-27,2024-03-18,70.0
163,108,Previous,Facility Management,Gem Group,Qatar,Mason,Home Cleaning,2011-08-11,2023-07-21,143.0
164,108,Previous,Healthcare & Nursing,Hotel Group,Qatar,Mason,Nursing,2021-08-02,2024-04-20,32.0
165,109,Previous,Engineering & Technical,Ceylon Inc,Saudi Arabia,Bar Bender,Facility Maintenance;Concrete Mixing,2023-08-30,2024-12-08,16.0
166,109,Previous,Textile & Sewing,Construction Group,Oman,Bar Bender,Sewing,2017-03-29,2017-08-06,5.0
167,109,Current,Retail & Sales,Construction Inc,Saudi Arabia,Bar Bender,Beauty Therapy,2014-09-11,,
168,110,Previous,Hospitality & Tourism,Lanka Plantations,Qatar,Warehouse Worker,Welding;Hotel Housekeeping;Carpentry,2020-03-25,2023-07-08,40.0
169,110,Previous,Textile & Sewing,Ceylon Corp,United Arab Emirates,Warehouse Worker,Sewing,2012-04-07,2013-10-25,18.0
170,111,Previous,Hospitality & Tourism,Tea Enterprises,Qatar,Sewing Machine Operator,Sewing,2022-01-19,2024-12-13,35.0
171,111,Previous,Logistics & Warehousing,Construction Solutions,Saudi Arabia,Sewing Machine Operator,Sewing,2019-11-14,2023-04-18,41.0
172,112,Previous,Healthcare & Nursing,Ceylon Pvt,Qatar,Welder,Nursing,2022-08-01,2024-01-12,17.0
173,112,Previous,Retail & Sales,Apparel Pvt,Saudi Arabia,Welder,CCTV Monitoring;Farming;Administrative Support,2013-10-09,2020-04-14,78.0
174,112,Previous,Education & Training,Ceylon Plantations,Sri Lanka,Welder,Vehicle Maintenance,2018-02-15,2021-01-31,35.0
175,113,Previous,Driving & Transportation,Tea Inc,Saudi Arabia,Construction Supervisor,Driving,2023-08-28,2023-09-06,1.0
176,114,Current,Driving & Transportation,Apparel Solutions,Saudi Arabia,Packing Worker,Packing,2017-03-25,,
177,115,Previous,Driving & Transportation,Hotel Pvt,Bahrain,Janitor,Driving,2011-09-16,2017-05-11,68.0
178,116,Previous,Security Services,Tech Inc,Kuwait,Mason,Livestock Management,2021-09-03,2023-04-24,19.0
179,116,Previous,Facility Management,Hotel Enterprises,United Arab Emirates,Mason,Medical Assistance;Carpentry;Front Desk Operations,2022-07-16,2023-08-15,13.0
180,117,Previous,Healthcare & Nursing,Sri Co,Oman,Caregiver,Nursing,2016-12-20,2020-03-19,39.0
181,118,Previous,Cleaning Services,Sri Pvt,Kuwait,General Labourer,Administrative Support;Livestock Management,2020-03-27,2022-04-16,25.0
182,118,Previous,Retail & Sales,Tea Co,Oman,General Labourer,Tailoring,2016-11-12,2017-05-19,6.0
183,119,Previous,Manufacturing,Lanka Group,Kuwait,Janitor,Excel;Elderly Care,2019-04-09,2020-03-13,11.0
184,119,Previous,Manufacturing,Ceylon Solutions,Saudi Arabia,Janitor,Retail Sales;Bar Bending,2021-07-23,2022-11-07,16.0
185,120,Current,Driving & Transportation,Construction Enterprises,Hong Kong,Accountant,Driving,2015-03-04,,
186,120,Previous,Manufacturing,Lanka Co,Hong Kong,Accountant,Accounting;Nursing,2017-12-24,2019-09-03,21.0
187,121,Previous,IT & Professional Services,Tea Enterprises,Kuwait,Construction Supervisor,Beauty Therapy,2018-02-26,2019-07-25,17.0
188,121,Previous,Domestic Services,Island Co,Japan,Construction Supervisor,MS Office,2018-08-14,2020-02-21,18.0
189,121,Current,Retail & Sales,Tech Pvt,Saudi Arabia,Construction Supervisor,Patient Care;Scaffolding;Janitorial Skills,2018-11-16,,
190,122,Previous,Manufacturing,Sri Corp,Oman,Factory Worker,Scaffolding,2016-05-24,2024-11-12,102.0
191,122,Current,Beauty & Personal Care,Hotel Pvt,Maldives,Factory Worker,Hairdressing;Driving,2012-10-10,,
192,123,Previous,Domestic Services,Tech Inc,Qatar,Beautician,Forklift Operation,2019-08-24,2020-03-30,7.0
193,123,Previous,Healthcare & Nursing,Ceylon Pvt,United Arab Emirates,Beautician,Nursing,2019-02-04,2019-12-20,10.0
194,123,Previous,Construction,Construction Pvt,Oman,Beautician,Customer Service;Excel,2022-04-22,2024-01-28,21.0
195,123,Previous,Security Services,Gem Inc,Romania,Beautician,Fishing;CCTV Monitoring;Plumbing,2013-03-01,2023-12-07,129.0
196,124,Previous,IT & Professional Services,Lanka Co,Israel,Hairdresser,IT Skills,2013-01-14,2018-12-21,71.0
197,124,Previous,Garment & Apparel,Gem Plantations,United Arab Emirates,Hairdresser,Teaching Assistance,2014-10-11,2022-06-12,92.0
198,126,Previous,Textile & Sewing,Tech Co,Israel,Kitchen Helper,Sewing,2014-03-14,2019-01-21,58.0
199,126,Previous,Agriculture & Fishery,Hotel Ltd,Qatar,Kitchen Helper,Horticulture;Excel,2016-12-01,2016-12-28,1.0
200,127,Previous,Construction,Apparel Co,United Arab Emirates,Room Attendant,Patient Care;Bar Bending,2014-11-12,2015-10-10,11.0
201,129,Previous,Hospitality & Tourism,Lanka Co,Australia,Barista,Food Preparation;Carpentry,2016-07-27,2018-05-11,22.0
202,129,Previous,Domestic Services,Sri Ltd,Maldives,Barista,Logistics Coordination,2014-06-18,2016-07-03,25.0
203,130,Previous,Education & Training,Construction Ltd,Saudi Arabia,Construction Helper,Fishing;Hotel Housekeeping,2010-09-10,2014-01-06,40.0
204,130,Previous,IT & Professional Services,Tea Plantations,Saudi Arabia,Construction Helper,Patient Care;Driving,2016-10-23,2024-06-27,92.0
205,132,Current,Manufacturing,Ceylon Plantations,Saudi Arabia,General Labourer,Elderly Care,2013-08-15,,
206,132,Previous,Education & Training,Lanka Pvt,United Arab Emirates,General Labourer,Garment Quality Control;Bar Bending;Sewing,2017-04-05,2018-05-25,13.0
207,134,Previous,Driving & Transportation,Tea Inc,Romania,Teacher Assistant,Driving,2016-11-02,2017-01-24,2.0
208,134,Previous,Garment & Apparel,Sri Co,Saudi Arabia,Teacher Assistant,Nursing,2024-03-25,2024-06-12,3.0
209,134,Previous,Driving & Transportation,Island Inc,Kuwait,Teacher Assistant,Driving,2012-12-24,2017-10-24,58.0
210,134,Previous,Education & Training,Construction Pvt,United Arab Emirates,Teacher Assistant,Health Aide;Forklift Operation;Scaffolding,2023-10-03,2025-06-21,20.0
211,136,Previous,Construction,Hotel Co,Kuwait,Construction Supervisor,Tailoring;Banquet Service;Kitchen Assistance,2017-01-05,2019-04-04,27.0
212,136,Previous,Construction,Tech Group,Romania,Housemaid,Home Cleaning;Electrical,2015-08-13,2019-08-18,48.0
213,136,Current,Retail & Sales,Tea Inc,Lebanon,Housemaid,Caregiving;IT Skills,2016-06-25,,
