PersonalID,LanguageName,ProficiencyLevel,ProofOfProficiency
59,Arabic,Advanced,
60,Korean,Intermediate,
60,Hebrew,Basic,
61,Sinhala,Advanced,Yes
62,English,Intermediate,
63,Arabic,Intermediate,
64,Tamil,Advanced,No
65,Tamil,Fluent,Yes
65,Tamil,Fluent,No
65,Japanese,Intermediate,
66,English,Fluent,
66,Arabic,Basic,
66,Italian,Basic,
67,Sinhala,Advanced,
68,English,Intermediate,
69,Japanese,Basic,
70,Arabic,Basic,
70,Arabic,Basic,
70,Japanese,Advanced,No
71,English,Advanced,No
71,Japanese,Advanced,Yes
71,Japanese,Basic,
72,English,Intermediate,
73,Hebrew,Basic,
73,Sinhala,Intermediate,
74,Arabic,Fluent,Yes
74,English,Intermediate,
75,Tamil,Intermediate,
75,English,Intermediate,
75,English,Intermediate,
76,English,Advanced,
76,Tagalog,Advanced,No
76,English,Basic,
77,English,Basic,
78,Arabic,Advanced,No
78,Korean,Intermediate,
78,Arabic,Basic,
79,English,Basic,
79,English,Intermediate,
79,Arabic,Advanced,Yes
80,Tamil,Basic,
80,Tagalog,Advanced,No
80,French,Advanced,Yes
81,German,Basic,
81,Tamil,Fluent,Yes
81,Sinhala,Basic,
81,Sinhala,Intermediate,
82,English,Advanced,No
82,English,Fluent,No
82,Tamil,Intermediate,
83,English,Intermediate,
84,English,Basic,
84,English,Intermediate,
85,Arabic,Intermediate,
85,Tamil,Intermediate,
86,German,Fluent,Yes
87,Korean,Basic,
87,English,Advanced,Yes
88,Tamil,Advanced,Yes
89,English,Basic,
89,English,Basic,
90,Arabic,Basic,
90,Tamil,Intermediate,
91,Korean,Basic,
91,Arabic,Basic,
91,English,Advanced,
91,Sinhala,Basic,
92,Sinhala,Intermediate,
92,Tamil,Basic,
93,Arabic,Basic,
93,Hebrew,Intermediate,
94,English,Advanced,Yes
94,Hebrew,Basic,
95,English,Intermediate,
95,Tagalog,Basic,
95,English,Advanced,No
95,Japanese,Basic,
96,Arabic,Advanced,Yes
96,English,Basic,
96,Arabic,Intermediate,
96,English,Basic,
97,English,Basic,
97,Arabic,Advanced,No
98,Sinhala,Intermediate,
98,Tamil,Advanced,
98,Korean,Basic,
99,English,Basic,
99,Tamil,Advanced,No
99,English,Basic,
99,Arabic,Intermediate,
100,Italian,Basic,
101,Arabic,Basic,
101,Arabic,Basic,
101,English,Intermediate,
101,English,Advanced,Yes
102,Italian,Intermediate,
102,Tamil,Fluent,Yes
103,Italian,Fluent,No
104,Korean,Advanced,No
105,Arabic,Basic,
106,English,Basic,
106,English,Intermediate,
106,English,Intermediate,
107,Arabic,Intermediate,
107,Korean,Advanced,Yes
108,Tamil,Advanced,
109,Tagalog,Basic,
109,Sinhala,Advanced,No
109,Tamil,Basic,
110,Arabic,Basic,
110,English,Basic,
110,Tamil,Intermediate,
111,Tamil,Fluent,No
111,German,Intermediate,
111,Hebrew,Fluent,Yes
112,Tamil,Advanced,
112,English,Intermediate,
112,Tamil,Basic,
113,English,Basic,
113,English,Advanced,
113,Arabic,Intermediate,
114,Tamil,Intermediate,
114,Japanese,Basic,
115,Arabic,Basic,
115,Arabic,Basic,
116,Arabic,Intermediate,
116,English,Basic,
116,English,Fluent,No
116,Hindi,Basic,
117,Sinhala,Intermediate,
118,Japanese,Fluent,No
119,Hebrew,Basic,
120,Tagalog,Intermediate,
121,Sinhala,Intermediate,
122,English,Fluent,
123,Sinhala,Advanced,Yes
124,Arabic,Basic,
125,Arabic,Basic,
126,English,Basic,
127,English,Basic,
127,English,Basic,
128,Arabic,Advanced,No
129,Tamil,Basic,
129,German,Basic,
130,English,Intermediate,
131,Hebrew,Intermediate,
131,English,Fluent,
132,English,Intermediate,
133,Arabic,Basic,
134,Korean,Intermediate,
134,Arabic,Intermediate,
134,Arabic,Fluent,Yes
134,English,Basic,
135,Arabic,Basic,
135,Arabic,Basic,
135,French,Advanced,
136,Sinhala,Intermediate,
136,Arabic,Fluent,Yes
137,English,Advanced,Yes
138,English,Intermediate,
138,Tamil,Basic,
138,Arabic,Basic,
138,Hindi,Intermediate,
139,Hindi,Advanced,No
139,Hindi,Basic,
140,English,Intermediate,
141,Sinhala,Intermediate,
142,Japanese,Intermediate,
142,Arabic,Basic,
142,Korean,Basic,
143,English,Intermediate,
144,Hindi,Basic,
145,Tamil,Intermediate,
145,Arabic,Intermediate,
146,Sinhala,Basic,
146,Tamil,Basic,
147,Japanese,Intermediate,
147,Hebrew,Intermediate,
147,English,Fluent,No
147,English,Intermediate,
148,Tamil,Advanced,
149,Tamil,Intermediate,
150,Sinhala,Basic,
151,English,Intermediate,
151,English,Intermediate,
151,English,Advanced,No
151,English,Intermediate,
152,Hebrew,Basic,
152,French,Advanced,Yes
152,English,Fluent,No
153,English,Basic,
153,English,Basic,
154,Tamil,Intermediate,
154,Sinhala,Basic,
154,Japanese,Intermediate,
155,Arabic,Intermediate,
156,Korean,Basic,
156,English,Basic,
157,Sinhala,Intermediate,
157,Sinhala,Intermediate,
158,Sinhala,Basic,
159,Korean,Basic,
160,Italian,Basic,
160,German,Basic,
160,Hindi,Basic,
160,Korean,Basic,
161,Japanese,Basic,
161,Tamil,Intermediate,
162,Arabic,Basic,
162,English,Basic,
163,Tamil,Advanced,
164,Arabic,Advanced,Yes
164,Tamil,Fluent,Yes
165,Tamil,Basic,
165,English,Intermediate,
165,Sinhala,Advanced,No
166,Sinhala,Intermediate,
166,Arabic,Basic,
167,Arabic,Basic,
167,Tamil,Intermediate,
167,Tamil,Fluent,Yes
168,Tamil,Advanced,No
168,Sinhala,Basic,
169,Sinhala,Basic,
170,English,Basic,
170,Tamil,Intermediate,
170,Korean,Advanced,
170,Sinhala,Advanced,No
171,Korean,Basic,
171,Hindi,Intermediate,
172,Sinhala,Advanced,
172,French,Intermediate,
172,English,Basic,
173,Tamil,Basic,
174,Italian,Intermediate,
174,Tamil,Basic,
174,Tamil,Intermediate,
175,English,Fluent,
176,Tamil,Intermediate,
176,English,Basic,
176,English,Basic,
177,Sinhala,Basic,
177,Korean,Advanced,No
177,English,Advanced,
178,Arabic,Intermediate,
179,Sinhala,Intermediate,
179,German,Basic,
180,Sinhala,Intermediate,
181,English,Intermediate,
181,German,Advanced,Yes
181,Hindi,Basic,
181,Sinhala,Basic,
182,Arabic,Basic,
182,English,Fluent,No
183,Tamil,Basic,
184,English,Advanced,
185,Japanese,Advanced,Yes
185,Tamil,Intermediate,
186,English,Basic,
186,Arabic,Advanced,
187,English,Basic,
188,Sinhala,Basic,
188,English,Basic,
189,Arabic,Intermediate,
190,Arabic,Intermediate,
190,Hebrew,Basic,
191,Tamil,Fluent,Yes
191,Arabic,Basic,
191,Arabic,Basic,
192,Sinhala,Basic,
192,Arabic,Basic,
192,Tamil,Basic,
193,English,Advanced,
193,Tamil,Intermediate,
193,Tamil,Basic,
193,Sinhala,Fluent,No
194,Sinhala,Intermediate,
195,Japanese,Intermediate,
195,Sinhala,Basic,
195,English,Advanced,
196,Sinhala,Basic,
196,Sinhala,Basic,
196,Arabic,Intermediate,
197,Tamil,Intermediate,
198,Korean,Basic,
199,Sinhala,Advanced,
200,Arabic,Intermediate,
200,Sinhala,Advanced,
200,Japanese,Basic,
201,English,Basic,
201,English,Basic,
202,Korean,Basic,
203,Tamil,Intermediate,
203,Italian,Intermediate,
204,Arabic,Intermediate,
204,English,Basic,
205,English,Intermediate,
206,English,Intermediate,
207,English,Advanced,No
207,Sinhala,Fluent,Yes
207,Hindi,Basic,
208,English,Intermediate,
208,Hindi,Basic,
209,English,Advanced,Yes
210,Tamil,Intermediate,
211,Japanese,Basic,
211,Tamil,Intermediate,
212,Arabic,Intermediate,
213,English,Advanced,Yes
213,Hebrew,Basic,
214,English,Intermediate,
215,Arabic,Basic,
215,English,Fluent,No
216,English,Basic,
216,Sinhala,Basic,
216,Tamil,Basic,
217,English,Basic,
217,Italian,Intermediate,
218,Arabic,Advanced,No
218,French,Intermediate,
218,Arabic,Advanced,Yes
218,Sinhala,Fluent,Yes
219,Tamil,Advanced,Yes
219,Korean,Basic,
219,Sinhala,Intermediate,
220,Arabic,Basic,
220,English,Basic,
221,English,Basic,
221,Korean,Advanced,Yes
221,Hebrew,Basic,
222,Tamil,Basic,
222,Tamil,Intermediate,
223,Arabic,Fluent,Yes
223,Hindi,Fluent,Yes
223,Arabic,Intermediate,
224,Tamil,Basic,
224,Sinhala,Intermediate,
224,Hindi,Advanced,
225,Japanese,Basic,
225,English,Basic,
226,Arabic,Basic,
227,Tamil,Intermediate,
227,Arabic,Basic,
227,Japanese,Fluent,
227,English,Advanced,Yes
228,Hebrew,Fluent,No
228,Arabic,Advanced,No
229,Hebrew,Basic,
229,Sinhala,Advanced,
229,English,Intermediate,
230,Sinhala,Intermediate,
231,Sinhala,Basic,
232,Arabic,Basic,
232,Arabic,Intermediate,
233,English,Fluent,No
234,English,Basic,
234,Arabic,Basic,
234,English,Intermediate,
235,French,Fluent,
235,Sinhala,Basic,
236,English,Advanced,
237,English,Intermediate,
237,Sinhala,Basic,
237,Tamil,Intermediate,
238,English,Advanced,Yes
238,Tamil,Basic,
239,English,Advanced,
240,Japanese,Intermediate,
240,English,Advanced,Yes
241,Tamil,Intermediate,
242,Tamil,Basic,
242,Japanese,Advanced,No
242,English,Advanced,No
242,Arabic,Basic,
243,Hebrew,Basic,
244,Sinhala,Basic,
244,Korean,Basic,
245,English,Basic,
245,Sinhala,Basic,
246,French,Intermediate,
246,English,Advanced,Yes
246,Tamil,Basic,
247,Japanese,Intermediate,
247,English,Intermediate,
248,Sinhala,Advanced,
248,English,Advanced,
248,Sinhala,Intermediate,
248,Arabic,Intermediate,
249,English,Intermediate,
250,Tamil,Basic,
251,Sinhala,Basic,
252,English,Intermediate,
252,German,Basic,
253,Tamil,Intermediate,
253,Tamil,Intermediate,
254,Sinhala,Advanced,Yes
254,Tamil,Advanced,No
255,Hebrew,Advanced,Yes
255,English,Intermediate,
255,English,Basic,
256,Arabic,Basic,
256,Arabic,Intermediate,
256,English,Basic,
256,Tamil,Basic,
257,Sinhala,Basic,
257,Hebrew,Basic,
258,English,Intermediate,
258,Arabic,Basic,
259,Arabic,Intermediate,
259,Sinhala,Intermediate,
260,English,Advanced,Yes
260,Italian,Basic,
260,English,Basic,
260,English,Basic,
261,Sinhala,Intermediate,
262,Hindi,Advanced,
262,Sinhala,Intermediate,
263,Hebrew,Intermediate,
263,English,Basic,
264,Hebrew,Basic,
264,Italian,Basic,
264,Tamil,Basic,
265,Japanese,Basic,
265,English,Basic,
266,English,Fluent,Yes
266,Tamil,Intermediate,
266,English,Basic,
267,English,Basic,
268,Sinhala,Intermediate,
268,English,Intermediate,
268,Arabic,Advanced,
269,Sinhala,Basic,
270,Tamil,Intermediate,
270,Sinhala,Advanced,
271,English,Advanced,
272,Arabic,Basic,
273,English,Intermediate,
273,Sinhala,Intermediate,
273,Korean,Intermediate,
274,Hebrew,Basic,
275,English,Basic,
275,Sinhala,Intermediate,
276,English,Basic,
276,Arabic,Basic,
276,Tamil,Intermediate,
277,English,Intermediate,
277,Tamil,Advanced,Yes
277,Tamil,Basic,
278,Arabic,Basic,
279,Tamil,Advanced,Yes
279,Arabic,Intermediate,
280,English,Intermediate,
280,Korean,Advanced,
280,Japanese,Intermediate,
281,Arabic,Intermediate,
282,English,Advanced,Yes
282,Sinhala,Intermediate,
282,Sinhala,Basic,
283,English,Fluent,No
283,Sinhala,Intermediate,
284,Arabic,Advanced,Yes
285,Sinhala,Basic,
285,Sinhala,Advanced,
285,English,Fluent,
286,Arabic,Basic,
286,Hindi,Intermediate,
287,Sinhala,Basic,
287,Italian,Advanced,No
288,English,Intermediate,
289,Sinhala,Intermediate,
289,Sinhala,Fluent,No
290,English,Basic,
290,Tamil,Basic,
291,Sinhala,Intermediate,
291,Sinhala,Basic,
291,Arabic,Intermediate,
292,Tagalog,Intermediate,
292,Arabic,Basic,
292,English,Basic,
293,Tamil,Advanced,No
294,Arabic,Basic,
294,Japanese,Advanced,
294,Hindi,Basic,
295,Sinhala,Basic,
296,Hindi,Advanced,No
296,English,Intermediate,
297,Arabic,Advanced,Yes
298,Arabic,Advanced,Yes
298,Sinhala,Intermediate,
299,Arabic,Intermediate,
299,Japanese,Intermediate,
300,Tamil,Intermediate,
300,English,Intermediate,
301,English,Basic,
302,Japanese,Intermediate,
302,Tagalog,Basic,
303,Tamil,Intermediate,
304,Tamil,Basic,
305,Sinhala,Intermediate,
305,Tamil,Advanced,
305,Sinhala,Basic,
306,Tamil,Intermediate,
306,Sinhala,Advanced,Yes
307,Tagalog,Basic,
307,Arabic,Basic,
307,Japanese,Intermediate,
308,Arabic,Intermediate,
308,English,Advanced,No
309,Arabic,Basic,
310,Sinhala,Advanced,
310,Hebrew,Advanced,
310,Arabic,Basic,
311,Arabic,Fluent,
311,Sinhala,Intermediate,
311,Tagalog,Intermediate,
311,Sinhala,Fluent,Yes
312,English,Basic,
312,English,Advanced,
313,Arabic,Advanced,Yes
314,English,Basic,
315,Tamil,Intermediate,
316,English,Advanced,No
316,Tagalog,Intermediate,
317,English,Basic,
317,Sinhala,Intermediate,
318,Hebrew,Advanced,
319,English,Intermediate,
320,Sinhala,Intermediate,
320,Tamil,Advanced,
320,Arabic,Intermediate,
320,Tagalog,Basic,
321,Arabic,Intermediate,
321,Sinhala,Intermediate,
322,Italian,Intermediate,
322,English,Intermediate,
323,Tamil,Basic,
323,English,Basic,
324,Tamil,Advanced,
324,English,Basic,
324,Sinhala,Intermediate,
325,Arabic,Intermediate,
326,Arabic,Fluent,No
326,Arabic,Intermediate,
327,English,Intermediate,
328,Arabic,Basic,
329,Tamil,Basic,
329,Arabic,Intermediate,
330,Arabic,Fluent,
331,English,Intermediate,
332,English,Basic,
332,English,Intermediate,
333,Tagalog,Basic,
333,Sinhala,Intermediate,
333,Japanese,Advanced,No
333,Hindi,Basic,
334,French,Fluent,No
335,English,Basic,
336,English,Fluent,Yes
336,Sinhala,Intermediate,
337,Hebrew,Basic,
338,Tagalog,Fluent,
338,Sinhala,Basic,
338,Sinhala,Basic,
339,English,Intermediate,
339,Arabic,Basic,
339,Japanese,Basic,
339,English,Basic,
340,English,Intermediate,
341,English,Basic,
341,Sinhala,Basic,
342,Sinhala,Advanced,Yes
343,Arabic,Fluent,
344,Arabic,Basic,
345,English,Intermediate,
345,English,Fluent,
346,Sinhala,Basic,
346,Arabic,Basic,
347,English,Advanced,
348,Tagalog,Advanced,
349,German,Advanced,Yes
349,Tamil,Basic,
350,Hebrew,Fluent,Yes
351,Korean,Basic,
352,Korean,Advanced,
353,Sinhala,Basic,
353,Arabic,Advanced,Yes
353,Tamil,Advanced,No
354,Sinhala,Intermediate,
354,English,Basic,
355,Tamil,Basic,
355,Hindi,Intermediate,
355,English,Basic,
356,English,Basic,
356,Hindi,Basic,
357,Hebrew,Advanced,Yes
357,English,Intermediate,
357,English,Intermediate,
357,Arabic,Fluent,Yes
358,Korean,Intermediate,
359,Hindi,Advanced,No
360,Arabic,Basic,
360,Sinhala,Basic,
360,English,Intermediate,
361,English,Basic,
361,Arabic,Fluent,Yes
361,Sinhala,Basic,
362,Korean,Basic,
363,Sinhala,Basic,
363,Sinhala,Basic,
363,Arabic,Basic,
364,Arabic,Intermediate,
365,Hindi,Intermediate,
366,English,Intermediate,
366,Sinhala,Basic,
366,English,Advanced,
367,Sinhala,Intermediate,
368,Sinhala,Basic,
368,Tagalog,Advanced,Yes
368,English,Basic,
369,Arabic,Basic,
370,English,Intermediate,
370,English,Advanced,Yes
370,Hindi,Basic,
370,Japanese,Advanced,
371,English,Basic,
371,Hebrew,Intermediate,
372,English,Basic,
373,Arabic,Advanced,Yes
374,Arabic,Basic,
374,Tamil,Advanced,No
375,English,Basic,
376,Arabic,Advanced,No
377,Sinhala,Basic,
378,English,Advanced,No
379,Tamil,Basic,
379,English,Basic,
380,Sinhala,Basic,
381,English,Basic,
382,Arabic,Advanced,Yes
383,Arabic,Advanced,
384,English,Basic,
385,English,Advanced,Yes
386,English,Fluent,No
386,Arabic,Advanced,Yes
387,Tamil,Basic,
387,English,Intermediate,
388,Italian,Intermediate,
388,Tamil,Advanced,Yes
389,Sinhala,Advanced,Yes
389,Arabic,Basic,
390,Sinhala,Basic,
390,German,Fluent,Yes
391,Tamil,Intermediate,
391,Tamil,Intermediate,
392,Arabic,Basic,
393,English,Intermediate,
394,Tamil,Intermediate,
394,English,Intermediate,
395,English,Intermediate,
396,Tamil,Intermediate,
397,Tagalog,Basic,
397,Italian,Advanced,No
397,English,Basic,
397,English,Intermediate,
398,Arabic,Intermediate,
398,English,Intermediate,
398,English,Intermediate,
398,Tamil,Basic,
399,Italian,Basic,
400,English,Fluent,
400,Arabic,Fluent,No
401,English,Advanced,
402,Korean,Advanced,No
403,Sinhala,Intermediate,
404,Tamil,Intermediate,
404,Sinhala,Intermediate,
404,Korean,Basic,
404,Arabic,Basic,
405,French,Basic,
405,Arabic,Intermediate,
406,Sinhala,Basic,
406,Hindi,Intermediate,
407,Arabic,Fluent,No
408,Hebrew,Intermediate,
408,Japanese,Intermediate,
408,English,Advanced,
409,English,Advanced,No
409,Arabic,Intermediate,
409,Tamil,Basic,
410,Sinhala,Advanced,Yes
410,English,Basic,
411,Arabic,Basic,
411,Tamil,Basic,
412,Tagalog,Intermediate,
412,Hebrew,Basic,
413,English,Basic,
413,Arabic,Fluent,No
414,Italian,Basic,
415,Sinhala,Intermediate,
416,Arabic,Basic,
417,Arabic,Intermediate,
417,English,Fluent,No
418,Tagalog,Advanced,
418,Arabic,Basic,
419,Arabic,Advanced,Yes
419,Arabic,Basic,
420,English,Advanced,No
421,English,Basic,
421,Sinhala,Intermediate,
422,Tamil,Basic,
423,German,Basic,
423,Hindi,Basic,
423,French,Basic,
424,Korean,Basic,
424,English,Fluent,
424,Hebrew,Intermediate,
424,Tamil,Basic,
425,Sinhala,Intermediate,
425,English,Fluent,Yes
426,Hebrew,Advanced,No
426,Arabic,Advanced,
426,Korean,Advanced,
427,Tamil,Advanced,Yes
427,Arabic,Basic,
427,Tamil,Fluent,
428,English,Fluent,Yes
429,Tamil,Intermediate,
429,German,Intermediate,
429,Tamil,Basic,
430,English,Basic,
430,Tamil,Intermediate,
430,Tamil,Fluent,Yes
431,English,Basic,
431,Arabic,Basic,
431,Arabic,Intermediate,
432,Arabic,Intermediate,
433,English,Advanced,Yes
433,English,Basic,
434,English,Intermediate,
434,Hindi,Intermediate,
434,English,Intermediate,
435,English,Fluent,No
436,Sinhala,Fluent,
437,Sinhala,Fluent,Yes
437,Tamil,Intermediate,
437,Hindi,Advanced,Yes
437,Tamil,Intermediate,
438,Arabic,Advanced,Yes
438,Tamil,Basic,
439,Tamil,Advanced,Yes
439,English,Intermediate,
439,English,Basic,
439,English,Basic,
440,Arabic,Fluent,No
440,English,Basic,
441,Tamil,Basic,
442,Arabic,Intermediate,
443,Hindi,Basic,
443,Tamil,Intermediate,
443,Arabic,Intermediate,
444,English,Advanced,Yes
444,Japanese,Basic,
445,Japanese,Advanced,
445,Hindi,Basic,
446,Italian,Advanced,
446,Japanese,Basic,
446,Tamil,Basic,
447,Sinhala,Intermediate,
448,Arabic,Intermediate,
449,English,Advanced,
450,Arabic,Intermediate,
450,Arabic,Advanced,Yes
450,English,Basic,
451,Korean,Basic,
451,English,Basic,
451,Arabic,Intermediate,
451,Tamil,Basic,
452,Arabic,Advanced,
452,Hebrew,Basic,
452,Tamil,Basic,
452,English,Basic,
453,Japanese,Advanced,
453,Arabic,Intermediate,
454,Tamil,Basic,
455,Sinhala,Basic,
455,Sinhala,Fluent,Yes
456,Italian,Basic,
456,English,Advanced,No
457,French,Basic,
457,English,Basic,
457,Arabic,Intermediate,
457,Arabic,Basic,
458,Arabic,Intermediate,
458,Tamil,Basic,
459,Arabic,Advanced,No
459,Arabic,Advanced,
460,Arabic,Advanced,Yes
460,Arabic,Intermediate,
461,English,Fluent,Yes
461,Arabic,Intermediate,
462,English,Basic,
463,Sinhala,Intermediate,
464,Hebrew,Intermediate,
464,Japanese,Intermediate,
464,English,Basic,
464,English,Intermediate,
465,Japanese,Basic,
466,Arabic,Intermediate,
466,Hebrew,Fluent,Yes
467,English,Basic,
468,Sinhala,Basic,
468,Italian,Advanced,Yes
469,Tagalog,Intermediate,
469,Sinhala,Basic,
470,Hebrew,Basic,
470,Japanese,Advanced,No
470,Arabic,Intermediate,
471,Sinhala,Fluent,
472,English,Intermediate,
473,Japanese,Fluent,Yes
473,Hindi,Basic,
474,English,Intermediate,
475,Arabic,Basic,
476,Tamil,Intermediate,
477,English,Intermediate,
477,English,Basic,
477,English,Advanced,Yes
478,Korean,Basic,
479,English,Advanced,Yes
479,Japanese,Basic,
479,Tamil,Fluent,Yes
480,Arabic,Basic,
480,English,Intermediate,
480,English,Basic,
480,Hebrew,Fluent,Yes
481,Korean,Intermediate,
482,Italian,Intermediate,
482,Tamil,Basic,
482,Hebrew,Basic,
483,English,Basic,
484,English,Advanced,No
485,Arabic,Basic,
486,Arabic,Advanced,No
486,English,Fluent,No
486,English,Intermediate,
487,Arabic,Intermediate,
487,German,Basic,
487,French,Fluent,
488,Arabic,Intermediate,
488,Arabic,Intermediate,
489,English,Basic,
490,English,Fluent,
491,Tamil,Intermediate,
491,Arabic,Basic,
492,Tamil,Intermediate,
492,French,Basic,
492,Arabic,Intermediate,
493,Hindi,Basic,
494,Arabic,Basic,
494,English,Advanced,Yes
495,Arabic,Advanced,No
495,Tamil,Basic,
495,Japanese,Intermediate,
496,Hebrew,Basic,
496,English,Intermediate,
497,Tamil,Basic,
498,Arabic,Advanced,No
499,English,Intermediate,
499,Tamil,Basic,
500,English,Basic,
500,English,Advanced,
500,Sinhala,Advanced,No
501,English,Intermediate,
502,English,Fluent,No
503,Arabic,Advanced,
503,Arabic,Fluent,Yes
503,Arabic,Intermediate,
504,Sinhala,Basic,
505,Italian,Basic,
505,English,Fluent,Yes
505,Arabic,Intermediate,
506,Sinhala,Basic,
507,Arabic,Intermediate,
507,Arabic,Fluent,
508,English,Advanced,No
508,Hebrew,Basic,
509,Tamil,Basic,
510,English,Basic,
511,Arabic,Basic,
511,Arabic,Fluent,No
512,Arabic,Intermediate,
512,Arabic,Fluent,Yes
512,Arabic,Intermediate,
513,Arabic,Basic,
514,Tagalog,Basic,
515,Tamil,Basic,
515,Sinhala,Basic,
516,English,Basic,
517,English,Fluent,Yes
518,German,Intermediate,
518,Korean,Basic,
519,English,Intermediate,
520,Arabic,Intermediate,
521,Tamil,Basic,
521,Hindi,Intermediate,
521,Tamil,Intermediate,
522,German,Fluent,Yes
522,English,Advanced,No
522,Korean,Advanced,No
522,Tamil,Basic,
523,Tamil,Fluent,Yes
524,Sinhala,Fluent,Yes
525,Arabic,Intermediate,
525,Tamil,Advanced,No
525,Hindi,Advanced,No
526,Japanese,Intermediate,
526,Korean,Basic,
527,Sinhala,Intermediate,
527,English,Intermediate,
527,English,Basic,
528,Arabic,Advanced,Yes
529,Tamil,Intermediate,
530,Tamil,Intermediate,
530,Tamil,Basic,
530,Japanese,Basic,
530,Arabic,Basic,
531,Tamil,Intermediate,
532,Hebrew,Intermediate,
533,Arabic,Intermediate,
534,Sinhala,Intermediate,
534,Arabic,Basic,
535,Sinhala,Intermediate,
536,Hindi,Basic,
537,Tamil,Intermediate,
537,Sinhala,Intermediate,
538,Tamil,Basic,
539,Sinhala,Advanced,Yes
540,Tagalog,Fluent,No
540,Japanese,Basic,
540,Italian,Basic,
541,Tamil,Fluent,
541,Tamil,Basic,
542,Japanese,Intermediate,
542,Korean,Fluent,
543,Arabic,Advanced,Yes
543,Arabic,Advanced,
544,Hebrew,Basic,
545,Italian,Intermediate,
545,Korean,Basic,
546,Sinhala,Intermediate,
547,Tamil,Intermediate,
548,English,Basic,
548,Japanese,Intermediate,
549,Tamil,Intermediate,
549,Arabic,Advanced,
549,English,Intermediate,
550,Arabic,Intermediate,
550,Japanese,Basic,
550,Hindi,Advanced,No
551,French,Advanced,
551,Tamil,Basic,
552,English,Advanced,
552,English,Intermediate,
553,English,Basic,
554,Italian,Advanced,No
554,English,Intermediate,
555,Hebrew,Intermediate,
555,Arabic,Intermediate,
556,Sinhala,Intermediate,
556,Hindi,Advanced,Yes
557,Tamil,Basic,
557,French,Basic,
557,Arabic,Basic,
558,Arabic,Basic,
559,Hebrew,Intermediate,
560,Korean,Basic,
561,Japanese,Advanced,Yes
562,Sinhala,Basic,
562,English,Basic,
563,Korean,Basic,
563,English,Intermediate,
564,Arabic,Intermediate,
565,Arabic,Intermediate,
565,Tamil,Advanced,
565,Sinhala,Intermediate,
565,Italian,Basic,
566,Arabic,Advanced,No
