OLevelID,PersonalID,ExamName,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4,Subject5,Result5,Subject6,Result6,Subject7,Result7,Subject8,Result8,Subject9,Result9,Subject10,Result10
64,81,OLevel,2007,Tamil,W,Science,B,Geography,A,Art,S,History,B,Mathematics,S,Music,B,English,C,IT,B,Sinhala,B
65,82,OLevel,2019,English,W,Science,C,History,C,Mathematics,S,Music,W,Geography,C,Commerce,B,IT,A,Art,C,Tamil,B
66,87,OLevel,1994,Commerce,C,Art,W,Sinhala,S,Science,A,Music,C,Mathematics,B,History,C,,,,,,
67,88,OLevel,2019,Music,S,Commerce,S,Science,W,IT,A,Geography,S,Sinhala,S,English,W,History,A,Tamil,B,Art,B
68,89,OLevel,1986,Mathematics,B,History,S,Geography,B,IT,W,Music,A,Art,W,,,,,,,,
69,90,OLevel,1986,Tamil,C,Science,S,Music,B,Art,B,IT,C,English,B,Commerce,B,Sinhala,B,,,,
70,91,OLevel,1994,History,C,IT,A,Commerce,A,Mathematics,A,Art,B,Music,B,,,,,,,,
71,92,OLevel,2010,English,S,Music,B,Tamil,W,Geography,S,Science,C,Sinhala,S,Commerce,A,Mathematics,A,,,,
72,95,OLevel,2014,IT,S,History,S,Music,B,Science,S,Geography,A,Sinhala,B,,,,,,,,
73,96,OLevel,2019,IT,B,Music,W,Geography,B,Art,C,Mathematics,B,Tamil,B,,,,,,,,
74,97,OLevel,2003,Sinhala,B,English,A,Commerce,C,Music,C,Tamil,A,Mathematics,B,History,A,Science,W,Art,C,,
75,98,OLevel,2020,Science,S,Music,A,IT,A,Tamil,S,Sinhala,B,English,B,,,,,,,,
76,99,OLevel,2014,Geography,C,Tamil,B,Art,S,Mathematics,B,Sinhala,C,IT,S,Science,B,English,C,Music,B,,
77,100,OLevel,2019,Mathematics,W,Music,B,English,A,Commerce,B,Art,W,Tamil,C,IT,S,Geography,B,,,,
78,102,OLevel,1994,English,C,Sinhala,A,Music,W,Commerce,W,Science,S,Mathematics,A,Geography,S,Art,C,,,,
79,103,OLevel,1980,Music,W,Commerce,A,History,S,Science,S,Art,B,Geography,C,IT,A,Tamil,A,Sinhala,B,English,W
80,104,OLevel,2002,History,A,Art,W,English,W,Mathematics,S,Sinhala,B,Commerce,C,,,,,,,,
81,105,OLevel,1983,History,C,English,A,Commerce,A,Tamil,C,Art,B,Geography,S,Music,C,Mathematics,A,Sinhala,A,Science,S
82,106,OLevel,2013,Art,C,Music,B,Tamil,B,IT,A,Mathematics,B,History,C,Commerce,B,English,W,Geography,C,,
83,107,OLevel,2009,Tamil,W,Geography,B,Sinhala,S,History,C,English,B,Art,B,Music,W,IT,S,Mathematics,C,Science,C
84,109,OLevel,1993,History,C,Commerce,A,Tamil,S,English,C,IT,S,Mathematics,A,,,,,,,,
85,110,OLevel,1996,Science,S,Tamil,W,English,C,Mathematics,A,IT,C,Music,C,History,B,Commerce,B,Sinhala,C,,
86,111,OLevel,2021,Commerce,C,Sinhala,A,Music,S,Geography,S,History,C,Science,A,Mathematics,A,English,W,Art,S,IT,W
87,112,OLevel,1984,History,W,Science,A,Commerce,S,Music,C,Tamil,C,Art,S,Sinhala,A,Geography,C,Mathematics,S,IT,B
88,113,OLevel,1989,English,C,Geography,C,History,C,Sinhala,C,Tamil,A,Science,S,Art,W,Mathematics,B,,,,
89,114,OLevel,1992,Science,B,Tamil,S,Music,B,Mathematics,W,IT,A,Commerce,S,Sinhala,A,,,,,,
90,116,OLevel,1997,Geography,A,Commerce,S,English,A,History,A,Sinhala,C,Music,W,Tamil,A,Art,W,,,,
91,117,OLevel,2024,Sinhala,W,Art,B,Geography,B,Commerce,C,English,S,History,W,Tamil,B,IT,C,,,,
92,118,OLevel,1992,Sinhala,W,Art,S,Geography,A,IT,C,Mathematics,S,Tamil,B,Science,S,Commerce,A,English,A,,
93,119,OLevel,1988,Mathematics,A,Geography,A,History,C,Tamil,C,Art,B,Music,B,Sinhala,S,Science,C,,,,
94,120,OLevel,2025,English,W,Tamil,C,Sinhala,C,Art,C,History,B,Mathematics,A,Commerce,B,,,,,,
95,121,OLevel,2019,Art,C,Mathematics,W,Science,A,History,W,Tamil,W,IT,A,,,,,,,,
96,122,OLevel,2024,Mathematics,B,Art,B,Commerce,A,Music,A,History,B,IT,C,Sinhala,S,Geography,S,Tamil,A,Science,B
97,123,OLevel,1999,Art,S,Tamil,B,Mathematics,C,Science,S,Geography,S,Sinhala,C,IT,A,,,,,,
98,124,OLevel,2024,Geography,W,Commerce,W,Music,C,History,B,Art,C,Sinhala,S,,,,,,,,
99,125,OLevel,1980,Music,B,Tamil,A,IT,C,Geography,C,History,C,Mathematics,A,Science,A,,,,,,
100,127,OLevel,2001,IT,S,Geography,S,History,S,Music,S,Tamil,C,Commerce,A,Art,C,Science,S,English,C,Sinhala,S
101,129,OLevel,2004,Art,B,IT,B,Tamil,B,Mathematics,S,Geography,S,Science,S,Sinhala,W,History,B,,,,
102,130,OLevel,2015,Music,C,IT,C,Art,A,Mathematics,S,History,B,English,C,Sinhala,S,Geography,B,,,,
103,131,OLevel,2012,Art,B,IT,A,English,C,Sinhala,S,History,S,Music,B,Geography,B,Tamil,B,Commerce,C,Science,S
104,133,OLevel,2007,Mathematics,B,Geography,A,Tamil,C,Commerce,A,Music,A,English,C,Sinhala,S,Science,A,,,,
105,134,OLevel,2007,Mathematics,C,Art,S,Music,S,English,A,Geography,C,History,C,Sinhala,B,,,,,,
106,136,OLevel,2007,English,B,Commerce,S,Tamil,A,Music,C,Sinhala,B,IT,A,Science,A,Art,W,Mathematics,C,Geography,S
107,137,OLevel,2024,English,B,Sinhala,S,Commerce,C,IT,A,Geography,A,Science,W,Music,A,Mathematics,B,Art,B,Tamil,C
108,138,OLevel,2006,Commerce,C,Sinhala,C,Science,B,Music,S,English,S,IT,A,Mathematics,A,Art,A,,,,
109,139,OLevel,2003,English,A,Commerce,C,IT,W,Sinhala,C,Science,A,History,W,Mathematics,S,Tamil,A,Art,S,Music,C
110,140,OLevel,1998,IT,S,Science,C,History,W,Geography,S,Tamil,B,Sinhala,B,Mathematics,A,English,W,,,,
111,141,OLevel,1980,Art,W,Music,C,English,B,Mathematics,S,Science,C,Geography,B,Commerce,A,,,,,,
112,142,OLevel,1987,Music,C,IT,A,Science,A,Sinhala,C,English,S,History,A,Mathematics,A,Art,A,Commerce,B,Tamil,S
113,143,OLevel,1989,Mathematics,A,English,C,Music,C,IT,S,Commerce,S,Tamil,A,Geography,W,Sinhala,S,Art,B,,
114,144,OLevel,1982,Tamil,C,Geography,C,History,S,IT,A,Sinhala,C,Art,C,Music,C,English,C,,,,
115,145,OLevel,2025,Music,S,Commerce,W,History,S,Mathematics,B,Science,W,Geography,A,Tamil,C,,,,,,
116,148,OLevel,2025,Sinhala,A,English,B,Commerce,C,Science,B,Mathematics,B,Art,B,,,,,,,,
117,149,OLevel,1991,IT,S,Sinhala,W,English,S,Tamil,A,Science,C,Art,W,Music,C,History,A,Commerce,B,,
118,152,OLevel,1992,English,B,Sinhala,S,Tamil,C,Commerce,B,Music,A,Art,A,,,,,,,,
119,153,OLevel,1990,Music,S,History,B,Tamil,B,Science,C,English,A,Sinhala,B,Geography,C,IT,A,Art,S,Commerce,S
120,154,OLevel,2020,English,A,Tamil,C,Mathematics,C,Science,A,History,B,IT,C,Commerce,B,Art,B,Geography,C,,
121,155,OLevel,2013,Music,S,IT,C,Art,B,Tamil,C,Science,S,Geography,A,Commerce,S,Sinhala,B,,,,
122,157,OLevel,2023,Sinhala,S,Mathematics,C,History,C,Geography,W,Music,A,Tamil,S,English,A,IT,B,Commerce,B,,
123,158,OLevel,1988,Geography,C,Sinhala,S,Music,S,English,S,Commerce,S,Tamil,S,IT,B,Science,S,Art,S,Mathematics,C
124,159,OLevel,2025,Art,W,Geography,W,Science,B,English,C,IT,C,Commerce,C,Sinhala,B,History,B,Tamil,A,,
125,160,OLevel,1985,English,W,Art,S,Science,B,History,C,Mathematics,B,Sinhala,B,Music,S,,,,,,
126,162,OLevel,2019,Commerce,A,Mathematics,B,English,A,IT,S,Art,C,Tamil,A,History,A,,,,,,
127,163,OLevel,1983,Art,S,Commerce,W,IT,W,English,A,Science,B,Tamil,A,,,,,,,,
128,165,OLevel,2018,Geography,A,History,A,Tamil,W,IT,A,Mathematics,B,Sinhala,A,Commerce,C,English,A,,,,
129,166,OLevel,1986,History,C,IT,B,Sinhala,S,Music,S,English,C,Science,C,Commerce,C,Tamil,B,,,,
130,167,OLevel,2020,English,A,Art,S,Commerce,C,Mathematics,W,History,S,Science,B,Tamil,B,,,,,,
131,170,OLevel,2020,Mathematics,A,Music,S,Science,A,Geography,S,Sinhala,S,English,C,History,S,,,,,,
132,171,OLevel,1992,Sinhala,B,IT,B,Art,S,Geography,S,History,A,Music,C,Commerce,S,Tamil,C,Science,B,,
133,172,OLevel,2025,Science,W,Music,S,Tamil,B,Geography,B,English,S,Mathematics,S,Art,A,Commerce,B,,,,
134,174,OLevel,2024,English,A,IT,A,Geography,A,Music,B,Mathematics,C,Science,C,Tamil,B,,,,,,
135,176,OLevel,2024,Commerce,S,Tamil,W,History,C,English,B,Science,B,Sinhala,A,Art,A,Geography,C,Mathematics,C,,
136,177,OLevel,2001,History,S,Geography,S,Sinhala,A,Mathematics,A,Commerce,B,Art,B,IT,W,English,B,Science,C,Music,C
137,178,OLevel,2006,Art,S,English,A,Sinhala,S,History,A,Geography,A,Commerce,B,Science,C,,,,,,
138,179,OLevel,2014,Sinhala,A,Tamil,B,Science,C,Music,C,Mathematics,B,IT,S,Commerce,C,Art,B,,,,
139,180,OLevel,1983,English,A,IT,C,Sinhala,A,Science,B,Commerce,C,Tamil,C,Art,B,Geography,B,Music,C,History,B
140,183,OLevel,1997,Science,A,Sinhala,C,English,C,Art,S,Mathematics,S,Music,B,Tamil,B,Commerce,A,IT,B,Geography,C
141,184,OLevel,2016,Geography,A,Music,A,Sinhala,B,Art,B,Commerce,A,History,C,,,,,,,,
142,185,OLevel,1990,Geography,B,Tamil,A,Science,B,English,A,Commerce,A,Art,A,Sinhala,B,History,W,IT,B,,
143,186,OLevel,2009,Commerce,C,Music,S,English,C,Science,B,Sinhala,S,Tamil,W,History,C,IT,B,,,,
144,187,OLevel,2002,Geography,A,Music,B,English,A,IT,A,Mathematics,W,Tamil,C,Art,A,Commerce,S,Sinhala,A,Science,C
145,188,OLevel,2016,English,A,Music,S,Tamil,C,History,B,Mathematics,S,Sinhala,B,Geography,B,Art,B,Science,B,IT,B
146,189,OLevel,1990,Art,W,Tamil,A,English,C,Geography,B,Sinhala,W,Mathematics,B,Music,C,,,,,,
147,190,OLevel,2016,IT,B,English,C,Science,B,Geography,S,Music,C,Sinhala,B,Mathematics,S,,,,,,
148,191,OLevel,2010,IT,C,Commerce,W,Geography,W,Science,C,Music,A,Tamil,B,History,C,English,B,,,,
149,194,OLevel,2012,Geography,C,Tamil,B,Sinhala,C,Art,C,IT,A,Science,B,Music,C,,,,,,
150,196,OLevel,2019,History,B,Science,B,Mathematics,B,Commerce,C,Geography,B,Art,A,Tamil,B,,,,,,
151,198,OLevel,1992,Music,W,Art,A,Tamil,C,Commerce,B,Mathematics,W,English,C,Sinhala,A,History,S,Science,A,,
152,199,OLevel,2020,Tamil,W,Sinhala,S,Music,B,IT,C,Geography,A,English,A,,,,,,,,
153,200,OLevel,1990,Sinhala,S,Art,B,History,B,Commerce,C,Geography,A,Music,S,English,B,,,,,,
154,201,OLevel,1996,Commerce,C,History,A,IT,B,Mathematics,C,Tamil,S,Art,C,Music,S,,,,,,
155,202,OLevel,1983,Music,B,History,B,Science,A,IT,C,Geography,A,English,S,Sinhala,C,,,,,,
156,206,OLevel,2024,IT,B,Tamil,C,Geography,B,Commerce,B,English,C,Music,B,History,S,Sinhala,B,Science,B,Mathematics,C
157,208,OLevel,2008,Science,B,IT,S,Commerce,C,History,W,Art,A,Music,B,,,,,,,,
158,209,OLevel,2021,Science,A,Art,B,English,C,Commerce,B,Sinhala,A,History,W,Tamil,B,IT,B,Mathematics,B,Geography,A
159,211,OLevel,1987,Mathematics,S,IT,C,Science,W,History,W,Art,B,English,B,Music,S,Sinhala,B,,,,
160,212,OLevel,2013,Science,B,Mathematics,B,Geography,B,Sinhala,B,IT,B,Music,W,Tamil,C,Commerce,B,History,W,,
161,213,OLevel,2002,Geography,S,Mathematics,B,Sinhala,W,IT,B,Commerce,S,English,B,History,B,Music,C,Art,A,Science,B
162,214,OLevel,2007,Art,C,Tamil,A,Commerce,W,IT,C,Music,B,Sinhala,B,Science,A,Mathematics,A,,,,
163,215,OLevel,1983,Commerce,B,Mathematics,B,English,C,History,S,Music,A,Sinhala,B,Science,W,,,,,,
164,217,OLevel,1991,Commerce,W,IT,B,Art,C,Mathematics,A,Sinhala,B,Geography,C,,,,,,,,
165,218,OLevel,1998,IT,S,Music,C,History,A,Commerce,B,Tamil,W,Mathematics,B,Science,C,,,,,,
166,219,OLevel,2021,Music,C,Sinhala,C,Science,S,Geography,W,Tamil,C,IT,C,History,W,,,,,,
167,222,OLevel,2010,Music,S,Sinhala,B,Geography,B,Science,S,Art,A,Tamil,W,Commerce,C,Mathematics,W,,,,
168,223,OLevel,1987,Sinhala,C,Geography,W,History,B,Art,S,Mathematics,S,Tamil,B,English,B,Commerce,S,IT,W,,
169,224,OLevel,1989,Tamil,S,Mathematics,A,Music,W,Commerce,A,Art,C,Sinhala,C,Science,A,English,A,IT,A,,
170,225,OLevel,2008,Science,S,Art,C,English,A,Commerce,W,Sinhala,S,Music,C,History,S,Mathematics,S,IT,S,,
171,226,OLevel,2009,Art,W,Music,B,Geography,A,Tamil,B,IT,A,History,A,Science,C,English,C,Commerce,W,Sinhala,S
172,228,OLevel,2016,Mathematics,B,History,C,Commerce,W,Art,A,English,B,Sinhala,W,Geography,S,IT,W,Tamil,B,Music,B
173,229,OLevel,1993,Tamil,A,Geography,C,IT,S,Commerce,C,History,C,Music,W,Science,S,,,,,,
174,230,OLevel,1990,Art,W,Tamil,B,Geography,B,Sinhala,S,Music,C,Mathematics,S,IT,C,Science,B,Commerce,B,English,W
175,231,OLevel,2020,Commerce,A,English,A,Mathematics,C,Tamil,B,History,A,Sinhala,S,,,,,,,,
176,232,OLevel,1982,Science,S,Tamil,S,History,S,Mathematics,S,Commerce,S,English,S,,,,,,,,
177,233,OLevel,1989,Tamil,W,English,B,IT,B,Mathematics,A,Science,B,Art,B,Sinhala,C,History,B,Geography,S,Commerce,S
178,234,OLevel,2015,Music,A,Art,A,IT,B,Commerce,S,English,W,Geography,C,,,,,,,,
179,235,OLevel,1996,Music,A,Commerce,A,Sinhala,S,Geography,B,English,S,History,C,IT,C,Tamil,S,Mathematics,C,Science,S
180,236,OLevel,2011,Geography,C,History,A,English,A,Art,B,Mathematics,A,Commerce,A,Sinhala,S,IT,A,Music,S,Tamil,B
181,239,OLevel,2004,Music,A,Tamil,W,English,S,Science,B,Mathematics,C,History,S,,,,,,,,
182,240,OLevel,1988,History,B,Art,A,Tamil,C,Mathematics,S,Music,C,Science,A,Sinhala,C,Geography,A,IT,A,,
183,242,OLevel,1989,History,A,Science,S,English,S,Tamil,A,Music,A,Sinhala,A,Geography,B,,,,,,
184,243,OLevel,1990,Art,A,Music,S,Science,B,English,C,IT,S,History,S,Sinhala,S,Tamil,W,Commerce,W,Geography,B
185,244,OLevel,2002,Commerce,A,History,A,Tamil,C,Geography,S,Sinhala,S,Music,C,,,,,,,,
186,245,OLevel,2014,Geography,B,Mathematics,C,History,W,English,C,Art,C,IT,A,Tamil,B,Sinhala,B,,,,
187,246,OLevel,1996,Tamil,C,Music,A,Geography,W,Mathematics,C,Commerce,B,History,C,IT,A,Sinhala,S,Art,B,English,C
188,248,OLevel,1993,Mathematics,B,Science,A,Art,A,Tamil,C,IT,S,Music,B,,,,,,,,
189,251,OLevel,2012,Geography,S,Mathematics,C,IT,C,Music,S,Sinhala,S,Tamil,B,,,,,,,,
190,252,OLevel,2002,Art,C,IT,C,Tamil,C,History,S,Science,W,Sinhala,B,,,,,,,,
191,253,OLevel,2017,Geography,S,Mathematics,B,History,W,Music,S,Commerce,A,English,B,Science,B,Art,B,,,,
192,255,OLevel,1986,History,B,Music,W,English,B,Commerce,S,Sinhala,S,Geography,B,Science,S,Mathematics,C,Tamil,A,,
193,256,OLevel,2012,Tamil,A,IT,W,Commerce,A,Sinhala,B,Geography,C,Mathematics,C,Art,B,Science,B,Music,W,,
194,257,OLevel,2017,Sinhala,B,English,C,Geography,S,Tamil,B,Art,C,History,C,Mathematics,A,Science,A,Music,A,IT,B
195,258,OLevel,2019,IT,C,Geography,S,English,C,Sinhala,C,Science,W,Art,A,Music,W,Mathematics,C,Commerce,S,History,A
196,261,OLevel,2008,Tamil,S,English,S,Mathematics,S,Sinhala,C,IT,A,Music,A,Commerce,B,Geography,B,,,,
197,262,OLevel,1993,Science,B,Tamil,S,History,C,Geography,S,IT,B,Music,C,English,W,,,,,,
198,264,OLevel,2025,Mathematics,B,English,C,Sinhala,S,Music,S,IT,C,Art,C,Geography,C,Tamil,W,,,,
199,265,OLevel,2000,Music,A,Art,A,History,C,Geography,A,Tamil,W,IT,S,Science,S,Commerce,A,Sinhala,B,English,W
200,266,OLevel,1983,IT,C,Tamil,S,Sinhala,S,Geography,C,Commerce,S,History,A,Art,C,,,,,,
201,267,OLevel,2006,English,A,Commerce,A,Music,B,Geography,W,Mathematics,S,Sinhala,A,Science,W,IT,C,,,,
202,268,OLevel,2019,Commerce,B,Mathematics,C,Sinhala,S,IT,W,Music,S,Science,C,,,,,,,,
203,269,OLevel,2010,IT,B,Art,A,Commerce,B,History,S,Tamil,B,Geography,B,English,B,Sinhala,S,Mathematics,C,,
204,270,OLevel,1986,Science,B,English,W,Commerce,S,History,C,IT,W,Music,C,Geography,W,Sinhala,W,Tamil,A,Art,W
205,271,OLevel,1999,IT,S,Commerce,A,Tamil,C,History,C,Music,A,Geography,C,,,,,,,,
206,272,OLevel,2014,Commerce,B,Science,A,Art,A,Tamil,C,Music,A,Mathematics,B,IT,B,English,S,,,,
207,273,OLevel,2020,Geography,A,Commerce,S,Science,S,Sinhala,C,Tamil,B,History,S,Music,A,,,,,,
208,274,OLevel,1999,Commerce,W,Science,S,History,C,Art,A,English,W,Mathematics,B,Geography,A,,,,,,
209,275,OLevel,2004,English,S,Tamil,C,Art,S,History,B,Music,C,Science,A,Geography,B,,,,,,
210,276,OLevel,2021,Science,B,IT,S,Music,W,English,W,Tamil,S,Geography,S,,,,,,,,
211,278,OLevel,2022,Science,B,English,S,Art,C,History,C,Mathematics,C,Geography,B,,,,,,,,
212,279,OLevel,1988,Music,S,Tamil,W,English,C,History,S,Art,B,IT,C,Sinhala,B,Science,B,Commerce,B,Mathematics,B
213,280,OLevel,2024,Music,B,Mathematics,B,IT,S,History,A,Geography,C,English,B,,,,,,,,
214,281,OLevel,2004,Science,B,English,A,Music,W,History,A,Mathematics,S,IT,S,,,,,,,,
215,282,OLevel,1999,Mathematics,B,IT,W,Commerce,W,History,C,Art,A,English,C,Music,C,,,,,,
216,284,OLevel,2002,IT,B,Geography,B,English,B,History,C,Music,A,Sinhala,A,Art,W,,,,,,
217,285,OLevel,2000,Tamil,S,History,B,Music,B,Commerce,B,Science,C,English,B,IT,B,Art,S,,,,
218,286,OLevel,1985,Music,S,Science,S,Art,C,History,B,Tamil,A,Mathematics,W,IT,B,,,,,,
219,287,OLevel,2019,Commerce,A,Art,B,Science,B,Geography,W,Tamil,C,Mathematics,W,Sinhala,A,IT,A,English,B,,
220,288,OLevel,2004,Science,S,Geography,C,IT,C,Music,W,Art,C,Mathematics,W,,,,,,,,
221,289,OLevel,1994,History,C,Commerce,C,Sinhala,B,Music,C,IT,W,Art,S,Tamil,C,Mathematics,C,Geography,W,,
