QualificationID,JobID,QualificationType,FieldOfStudy,MinimumGrade,OtherDetails
130,67,NVQ Level 4,Vocational,Distinction,Training provided
131,67,Certificate in Carpentry,Construction,Merit,Requires visa
132,67,Certificate in Plumbing,Construction,Distinction,Training provided
133,68,Certificate in Plumbing,Construction,Distinction,Training provided
134,68,Certificate in Carpentry,Construction,,Standard contract
135,69,Diploma in IT,Information Technology,Pass,
136,70,O/L,General,Pass,
137,71,NVQ Level 4,Vocational,,Probation period
138,72,Certificate in Carpentry,Construction,Merit,Requires visa
139,72,NVQ Level 4,Vocational,Pass,Standard contract
140,72,Certificate in Welding,Construction,Pass,Standard contract
141,73,O/L,General,,
142,73,Certificate in Domestic Work,Domestic Services,Pass,
143,73,NVQ Level 2,Vocational,Pass,Standard contract
144,74,Certificate in Domestic Work,Domestic Services,Pass,Training provided
145,75,NVQ Level 3,Vocational,Pass,Probation period
146,75,Certificate in Domestic Work,Domestic Services,,Training provided
147,76,NVQ Level 4,Vocational,,Standard contract
148,76,A/L,General,,
149,76,Certificate in Cooking,Hospitality,Distinction,Probation period
150,77,O/L,General,Pass,Probation period
151,77,Certificate in Electrical Work,Construction,Distinction,Training provided
152,78,Certificate in Cooking,Hospitality,Merit,Requires visa
153,78,NVQ Level 3,Vocational,Pass,Probation period
154,79,NVQ Level 4,Vocational,Pass,Training provided
155,80,NVQ Level 2,Vocational,Distinction,
156,80,NVQ Level 3,Vocational,,Training provided
157,80,O/L,General,Pass,
158,81,NVQ Level 3,Vocational,Merit,Standard contract
159,82,NVQ Level 4,Vocational,Pass,Standard contract
160,82,Certificate in Sewing,Textile,,Requires visa
161,83,A/L,General,Pass,Probation period
162,83,NVQ Level 3,Vocational,Distinction,Requires visa
163,83,O/L,General,Merit,Standard contract
164,84,Certificate in Carpentry,Construction,Pass,Probation period
165,85,Certificate in Caregiving,Healthcare,Merit,Training provided
166,86,NVQ Level 3,Vocational,Distinction,
167,87,Certificate in Caregiving,Healthcare,Merit,
168,88,O/L,General,,Probation period
169,89,NVQ Level 3,Vocational,Distinction,Standard contract
170,89,NVQ Level 4,Vocational,,Requires visa
171,90,NVQ Level 2,Vocational,,Probation period
172,91,Certificate in Sewing,Textile,Pass,Standard contract
173,92,NVQ Level 4,Vocational,,Requires visa
174,92,O/L,General,,Training provided
175,92,A/L,General,Pass,
176,93,A/L,General,Merit,Requires visa
177,93,O/L,General,Pass,Probation period
178,93,Certificate in Cooking,Hospitality,Merit,Training provided
179,94,NVQ Level 4,Vocational,Merit,
180,94,O/L,General,Distinction,Probation period
181,95,O/L,General,Distinction,Training provided
182,96,Certificate in Carpentry,Construction,Pass,Training provided
183,97,NVQ Level 3,Vocational,Pass,Requires visa
184,97,Certificate in Domestic Work,Domestic Services,Distinction,
185,97,O/L,General,Merit,Probation period
186,98,Certificate in Carpentry,Construction,Merit,Standard contract
187,99,NVQ Level 3,Vocational,Pass,
188,99,NVQ Level 4,Vocational,Distinction,Standard contract
189,99,O/L,General,Pass,
190,100,O/L,General,Distinction,Standard contract
191,101,NVQ Level 3,Vocational,Distinction,Requires visa
192,101,Certificate in Domestic Work,Domestic Services,Distinction,Probation period
193,102,NVQ Level 3,Vocational,,Training provided
194,102,NVQ Level 4,Vocational,Merit,
195,102,Certificate in Plumbing,Construction,Pass,
196,103,Certificate in Masonry,Construction,Merit,Requires visa
197,103,Certificate in Electrical Work,Construction,,Standard contract
198,104,NVQ Level 4,Vocational,Distinction,Requires visa
199,105,O/L,General,Distinction,Probation period
200,105,Certificate in Welding,Construction,Distinction,
201,106,Certificate in Caregiving,Healthcare,Distinction,Standard contract
202,106,O/L,General,Distinction,Standard contract
203,106,NVQ Level 3,Vocational,Merit,Training provided
204,107,O/L,General,,
205,107,Certificate in Domestic Work,Domestic Services,Pass,Standard contract
206,108,O/L,General,,Requires visa
207,108,Certificate in Driving,Transportation,,Standard contract
208,109,NVQ Level 4,Vocational,Merit,Standard contract
209,109,Certificate in Plumbing,Construction,Pass,Training provided
210,109,Certificate in Welding,Construction,Distinction,
211,110,Certificate in Carpentry,Construction,,Training provided
212,110,Certificate in Masonry,Construction,Pass,Training provided
213,110,O/L,General,Distinction,
214,111,NVQ Level 3,Vocational,,Requires visa
215,111,NVQ Level 4,Vocational,Distinction,Requires visa
216,111,O/L,General,Distinction,Training provided
217,112,O/L,General,Pass,
218,112,NVQ Level 4,Vocational,,Standard contract
219,112,Certificate in Nursing,Healthcare,Distinction,Standard contract
220,113,Diploma in Nursing,Healthcare,,
221,113,NVQ Level 4,Vocational,,Standard contract
222,114,NVQ Level 5,Vocational,Distinction,Probation period
223,115,Certificate in Caregiving,Healthcare,Distinction,
224,116,Certificate in Sewing,Textile,Merit,Training provided
225,117,A/L,General,Pass,Standard contract
226,117,Certificate in Cooking,Hospitality,Distinction,Training provided
227,118,Certificate in Caregiving,Healthcare,Pass,
228,119,Certificate in Welding,Construction,Merit,Probation period
229,120,Diploma in Hospitality,Hospitality,,Requires visa
230,120,A/L,General,Pass,Probation period
231,121,NVQ Level 4,Vocational,,
232,122,O/L,General,Merit,Standard contract
233,122,Certificate in Caregiving,Healthcare,,
234,123,NVQ Level 4,Vocational,Merit,Training provided
235,124,Certificate in Hairdressing,General,Pass,Probation period
236,125,NVQ Level 3,Vocational,Distinction,
237,126,NVQ Level 2,Vocational,Distinction,Probation period
238,126,O/L,General,Pass,Requires visa
239,127,NVQ Level 4,Vocational,Distinction,Probation period
240,127,O/L,General,Distinction,Probation period
241,127,Certificate in Sewing,Textile,Distinction,
242,128,Certificate in Hairdressing,General,Distinction,Training provided
243,128,O/L,General,,Standard contract
244,128,Certificate in Beauty Therapy,General,,Requires visa
245,129,O/L,General,Pass,Standard contract
246,130,NVQ Level 3,Vocational,Pass,Standard contract
247,130,Certificate in Sewing,Textile,Merit,Training provided
248,131,O/L,General,,Standard contract
249,131,Certificate in Electrical Work,Construction,Pass,Probation period
250,132,Bachelor's Degree,General,Distinction,Probation period
251,133,Certificate in Welding,Construction,Merit,
252,134,NVQ Level 2,Vocational,Pass,Requires visa
253,134,Certificate in Caregiving,Healthcare,,Training provided
254,134,Certificate in Domestic Work,Domestic Services,,Probation period
255,135,NVQ Level 3,Vocational,Distinction,Training provided
256,136,NVQ Level 3,Vocational,Merit,Training provided
257,137,NVQ Level 3,Vocational,Pass,Probation period
258,138,NVQ Level 2,Vocational,Merit,Standard contract
259,139,Certificate in Cooking,Hospitality,Pass,Requires visa
260,139,O/L,General,Merit,Standard contract
261,139,Certificate in Hospitality,Hospitality,Distinction,
262,140,O/L,General,Merit,Standard contract
263,140,NVQ Level 3,Vocational,Pass,Probation period
264,141,O/L,General,Distinction,Probation period
265,141,Certificate in Driving,Transportation,Distinction,Training provided
266,141,Certificate in Heavy Vehicle Operation,Transportation,Pass,Probation period
267,142,NVQ Level 4,Vocational,Distinction,Requires visa
268,142,Certificate in Carpentry,Construction,Pass,Requires visa
269,142,Certificate in Electrical Work,Construction,Merit,
270,143,NVQ Level 4,Vocational,Pass,Standard contract
271,143,Certificate in Welding,Construction,,Training provided
272,143,O/L,General,Pass,Probation period
273,144,NVQ Level 3,Vocational,Merit,Probation period
274,144,Certificate in Plumbing,Construction,Merit,
275,145,NVQ Level 4,Vocational,Merit,Probation period
276,145,Certificate in Hospitality,Hospitality,,Probation period
277,146,O/L,General,Pass,Standard contract
278,146,Certificate in Heavy Vehicle Operation,Transportation,Pass,Probation period
279,146,Certificate in Driving,Transportation,Pass,Requires visa
280,147,O/L,General,Pass,
281,148,A/L,General,,Standard contract
282,148,NVQ Level 3,Vocational,Merit,
283,149,Certificate in Heavy Vehicle Operation,Transportation,,Training provided
284,150,O/L,General,Merit,Training provided
285,150,NVQ Level 2,Vocational,Distinction,Requires visa
286,150,Certificate in Domestic Work,Domestic Services,Merit,Probation period
287,151,O/L,General,Merit,
288,151,A/L,General,,Standard contract
289,151,Diploma in Nursing,Healthcare,Pass,Probation period
290,152,Certificate in Masonry,Construction,Pass,Probation period
291,152,NVQ Level 4,Vocational,Distinction,Requires visa
292,152,Certificate in Plumbing,Construction,Distinction,
293,153,Certificate in Heavy Vehicle Operation,Transportation,Pass,Requires visa
294,153,O/L,General,Pass,Standard contract
295,153,Certificate in Driving,Transportation,Pass,Training provided
296,154,NVQ Level 3,Vocational,Distinction,Standard contract
297,154,NVQ Level 2,Vocational,Distinction,
298,155,NVQ Level 3,Vocational,Distinction,
299,155,O/L,General,Pass,Training provided
300,155,Certificate in Welding,Construction,,Probation period
301,156,NVQ Level 2,Vocational,Distinction,Standard contract
302,156,O/L,General,Merit,Training provided
303,156,NVQ Level 3,Vocational,Merit,Training provided
304,157,NVQ Level 4,Vocational,,Requires visa
305,157,NVQ Level 3,Vocational,,Probation period
306,157,Certificate in Nursing,Healthcare,,Probation period
307,158,O/L,General,Pass,Requires visa
308,159,Certificate in Heavy Vehicle Operation,Transportation,Merit,Requires visa
309,159,NVQ Level 3,Vocational,Distinction,Training provided
310,160,NVQ Level 3,Vocational,Merit,Requires visa
311,160,Certificate in Electrical Work,Construction,Merit,Probation period
312,160,Certificate in Masonry,Construction,,Requires visa
313,161,NVQ Level 3,Vocational,,Probation period
314,162,O/L,General,Merit,Standard contract
315,163,Certificate in Domestic Work,Domestic Services,,Training provided
316,163,Certificate in Caregiving,Healthcare,Distinction,Standard contract
317,163,NVQ Level 2,Vocational,,Requires visa
318,164,Certificate in Carpentry,Construction,,Standard contract
319,164,Certificate in Welding,Construction,Distinction,Probation period
320,164,Certificate in Electrical Work,Construction,,Training provided
321,165,NVQ Level 3,Vocational,,
322,165,O/L,General,Pass,
323,166,Diploma in Nursing,Healthcare,Pass,
324,166,NVQ Level 1,Vocational,,
325,166,NVQ Level 5,Vocational,Pass,Standard contract
326,167,O/L,General,Distinction,
327,167,Certificate in Beauty Therapy,General,,
328,168,NVQ Level 2,Vocational,,Standard contract
329,169,A/L,General,Distinction,Standard contract
330,170,NVQ Level 4,Vocational,Merit,Training provided
331,170,NVQ Level 3,Vocational,Merit,Probation period
332,170,Diploma in Nursing,Healthcare,,Standard contract
333,171,NVQ Level 3,Vocational,Merit,Probation period
334,171,Certificate in Caregiving,Healthcare,Distinction,Probation period
335,171,NVQ Level 2,Vocational,Distinction,Training provided
336,172,Certificate in Carpentry,Construction,,Standard contract
337,173,Certificate in Caregiving,Healthcare,,Requires visa
338,173,NVQ Level 2,Vocational,,Training provided
339,174,O/L,General,Distinction,Probation period
340,174,NVQ Level 3,Vocational,Distinction,Standard contract
341,175,NVQ Level 3,Vocational,Distinction,Requires visa
342,175,O/L,General,Distinction,Standard contract
343,176,NVQ Level 3,Vocational,,Training provided
344,176,Certificate in Caregiving,Healthcare,,Requires visa
345,176,NVQ Level 2,Vocational,Pass,Requires visa
346,177,NVQ Level 3,Vocational,,
347,178,NVQ Level 4,Vocational,Distinction,
348,179,A/L,General,Pass,Training provided
349,179,NVQ Level 3,Vocational,Pass,Probation period
350,180,NVQ Level 4,Vocational,Distinction,Requires visa
351,180,NVQ Level 3,Vocational,,
352,181,Certificate in Sewing,Textile,Merit,Probation period
353,181,NVQ Level 3,Vocational,Distinction,
354,181,O/L,General,Pass,Requires visa
355,182,O/L,General,,Requires visa
356,182,NVQ Level 3,Vocational,Distinction,Requires visa
357,183,Bachelor's Degree,General,Pass,Requires visa
358,183,Diploma in Hospitality,Hospitality,Distinction,Training provided
359,183,Certificate in Domestic Work,Domestic Services,Merit,Standard contract
360,184,O/L,General,Distinction,Probation period
361,185,Certificate in Cooking,Hospitality,Pass,Training provided
362,186,NVQ Level 3,Vocational,Pass,Requires visa
363,187,Certificate in Domestic Work,Domestic Services,Distinction,Training provided
364,188,NVQ Level 2,Vocational,Distinction,Requires visa
365,188,NVQ Level 3,Vocational,Distinction,Requires visa
366,188,O/L,General,Distinction,Probation period
367,189,O/L,General,,Requires visa
368,189,NVQ Level 2,Vocational,,Standard contract
369,190,Certificate in Hairdressing,General,,Probation period
370,190,O/L,General,,
371,191,O/L,General,Merit,Standard contract
372,192,O/L,General,Pass,Probation period
373,192,NVQ Level 3,Vocational,,Probation period
374,193,O/L,General,Pass,Training provided
375,193,NVQ Level 3,Vocational,,Standard contract
376,193,Diploma in Hospitality,Hospitality,Merit,Standard contract
377,194,Certificate in Caregiving,Healthcare,Distinction,Probation period
378,194,NVQ Level 3,Vocational,Merit,Requires visa
379,194,NVQ Level 2,Vocational,Distinction,
380,195,Certificate in Sewing,Textile,Distinction,Standard contract
381,195,NVQ Level 3,Vocational,Merit,
382,195,O/L,General,Merit,Training provided
383,196,Certificate in Electrical Work,Construction,,Probation period
384,196,NVQ Level 3,Vocational,Merit,
385,197,Certificate in Nursing,Healthcare,Pass,
386,197,NVQ Level 3,Vocational,Distinction,Requires visa
387,197,O/L,General,Distinction,Requires visa
388,198,O/L,General,Merit,Standard contract
389,199,NVQ Level 2,Vocational,,
390,199,NVQ Level 3,Vocational,,Standard contract
391,199,Certificate in Caregiving,Healthcare,Pass,Requires visa
392,200,Certificate in Hospitality,Hospitality,Pass,Probation period
393,200,A/L,General,Pass,
394,201,NVQ Level 3,Vocational,,Probation period
395,201,Certificate in Caregiving,Healthcare,Merit,Requires visa
396,202,O/L,General,Distinction,Training provided
397,203,Certificate in Plumbing,Construction,Pass,Probation period
398,203,Certificate in Welding,Construction,Merit,
399,203,NVQ Level 3,Vocational,,Requires visa
400,204,O/L,General,Distinction,Training provided
401,204,Certificate in Welding,Construction,,
402,204,Certificate in Plumbing,Construction,,
403,205,NVQ Level 3,Vocational,Merit,Training provided
404,206,Certificate in Carpentry,Construction,Merit,Requires visa
405,206,Certificate in Masonry,Construction,,Training provided
406,207,O/L,General,Distinction,Standard contract
407,208,O/L,General,Merit,Probation period
408,208,Certificate in Heavy Vehicle Operation,Transportation,,Training provided
409,209,NVQ Level 3,Vocational,Merit,Training provided
410,209,Certificate in Domestic Work,Domestic Services,Pass,Training provided
411,209,Certificate in Caregiving,Healthcare,Distinction,Standard contract
412,210,O/L,General,Distinction,Standard contract
413,211,Certificate in Caregiving,Healthcare,Distinction,Training provided
414,211,Certificate in Domestic Work,Domestic Services,Distinction,Probation period
415,211,NVQ Level 3,Vocational,Pass,Training provided
416,212,Certificate in Plumbing,Construction,Distinction,
417,213,NVQ Level 3,Vocational,Pass,Requires visa
418,214,O/L,General,Distinction,Probation period
419,214,Certificate in Nursing,Healthcare,,Requires visa
420,214,NVQ Level 3,Vocational,Distinction,Standard contract
421,215,Certificate in Masonry,Construction,Pass,Requires visa
422,215,Certificate in Carpentry,Construction,Merit,Training provided
423,216,Certificate in Welding,Construction,Pass,Probation period
424,216,NVQ Level 4,Vocational,Merit,Probation period
425,216,Certificate in Masonry,Construction,Pass,
426,217,Certificate in Cooking,Hospitality,Pass,Probation period
427,217,NVQ Level 3,Vocational,Pass,Training provided
428,217,A/L,General,Pass,Standard contract
429,218,Certificate in Sewing,Textile,Pass,
430,219,O/L,General,Distinction,
431,219,Certificate in Carpentry,Construction,Merit,Standard contract
432,219,Certificate in Electrical Work,Construction,Merit,
433,220,Certificate in Driving,Transportation,Pass,Probation period
434,220,O/L,General,Distinction,Standard contract
435,220,Certificate in Heavy Vehicle Operation,Transportation,,
436,221,O/L,General,Pass,Training provided
437,221,Certificate in Cooking,Hospitality,Merit,Requires visa
438,221,Diploma in Hospitality,Hospitality,Merit,Training provided
439,222,Certificate in Hospitality,Hospitality,Pass,Training provided
440,222,Certificate in Masonry,Construction,Merit,
441,223,NVQ Level 2,Vocational,,
442,223,NVQ Level 3,Vocational,,
443,224,Certificate in Sewing,Textile,Pass,Training provided
444,224,O/L,General,,Probation period
445,225,O/L,General,Pass,Standard contract
446,225,A/L,General,,Training provided
447,226,NVQ Level 3,Vocational,Distinction,Standard contract
448,226,O/L,General,Pass,Standard contract
449,226,Certificate in Beauty Therapy,General,Pass,Training provided
450,227,NVQ Level 4,Vocational,,Requires visa
451,228,Certificate in Hospitality,Hospitality,Pass,Requires visa
452,229,O/L,General,Merit,
453,229,NVQ Level 3,Vocational,,Probation period
454,230,NVQ Level 3,Vocational,Distinction,Standard contract
455,230,O/L,General,Distinction,Probation period
456,231,Certificate in Sewing,Textile,,Standard contract
457,232,Certificate in Cooking,Hospitality,Distinction,Probation period
458,232,Diploma in Hospitality,Hospitality,Distinction,
459,233,O/L,General,Pass,Standard contract
460,234,Certificate in Masonry,Construction,Merit,Training provided
461,234,NVQ Level 3,Vocational,,Requires visa
462,235,NVQ Level 3,Vocational,,Standard contract
463,235,O/L,General,Pass,Requires visa
464,236,NVQ Level 4,Vocational,,Standard contract
465,236,O/L,General,Pass,Requires visa
466,236,NVQ Level 3,Vocational,Distinction,Requires visa
467,237,O/L,General,Merit,Standard contract
468,238,NVQ Level 2,Vocational,Merit,Training provided
469,238,O/L,General,Merit,Standard contract
470,239,Certificate in Caregiving,Healthcare,Distinction,Requires visa
471,240,NVQ Level 3,Vocational,Merit,
472,240,NVQ Level 2,Vocational,Distinction,Training provided
473,240,Certificate in Domestic Work,Domestic Services,Pass,Training provided
474,241,O/L,General,Pass,Training provided
475,241,Certificate in Domestic Work,Domestic Services,Distinction,Standard contract
476,241,NVQ Level 3,Vocational,Merit,
477,242,Certificate in Electrical Work,Construction,Distinction,Training provided
478,242,Certificate in Carpentry,Construction,Pass,Probation period
479,242,O/L,General,Pass,Requires visa
480,243,O/L,General,Pass,Probation period
481,243,NVQ Level 3,Vocational,Pass,Requires visa
482,244,NVQ Level 3,Vocational,Distinction,Probation period
483,244,A/L,General,Merit,Requires visa
484,244,O/L,General,Merit,Standard contract
485,245,Certificate in Carpentry,Construction,Distinction,Standard contract
486,245,O/L,General,Distinction,Training provided
487,246,O/L,General,Merit,Probation period
488,246,NVQ Level 3,Vocational,Distinction,Requires visa
489,247,O/L,General,,
490,247,NVQ Level 3,Vocational,,Standard contract
491,248,NVQ Level 3,Vocational,,Standard contract
492,248,NVQ Level 4,Vocational,Merit,
493,249,O/L,General,Merit,
494,249,NVQ Level 3,Vocational,Distinction,Standard contract
495,250,O/L,General,,Training provided
496,250,NVQ Level 2,Vocational,Distinction,
497,251,NVQ Level 3,Vocational,Merit,Training provided
498,251,Certificate in Domestic Work,Domestic Services,Pass,Standard contract
499,252,A/L,General,,Training provided
500,252,NVQ Level 3,Vocational,Distinction,Probation period
501,252,O/L,General,Pass,Requires visa
502,253,O/L,General,,
503,253,NVQ Level 3,Vocational,Distinction,Training provided
504,254,Certificate in Domestic Work,Domestic Services,Pass,Probation period
505,254,NVQ Level 2,Vocational,Merit,Requires visa
506,254,O/L,General,Distinction,
507,255,NVQ Level 3,Vocational,Merit,Standard contract
508,255,Certificate in Caregiving,Healthcare,Distinction,Training provided
509,256,A/L,General,Merit,Training provided
510,256,Certificate in Masonry,Construction,Merit,Probation period
511,256,Certificate in Caregiving,Healthcare,,Training provided
512,257,O/L,General,Distinction,Standard contract
513,257,NVQ Level 4,Vocational,,Training provided
514,258,NVQ Level 4,Vocational,Pass,Probation period
515,258,O/L,General,Distinction,Training provided
516,258,Certificate in Sewing,Textile,Pass,Standard contract
517,259,Certificate in Cooking,Hospitality,Merit,Standard contract
518,260,NVQ Level 3,Vocational,Pass,Probation period
519,260,O/L,General,Merit,Probation period
520,260,Certificate in Caregiving,Healthcare,Distinction,Requires visa
521,261,NVQ Level 3,Vocational,,Requires visa
522,262,NVQ Level 4,Vocational,Distinction,Training provided
523,262,NVQ Level 3,Vocational,Pass,Training provided
524,263,Certificate in Heavy Vehicle Operation,Transportation,Merit,Requires visa
525,264,O/L,General,Merit,Training provided
526,265,A/L,General,,Probation period
527,266,Certificate in Welding,Construction,,Standard contract
528,266,NVQ Level 3,Vocational,Merit,Standard contract
529,267,Certificate in Caregiving,Healthcare,,
530,267,NVQ Level 4,Vocational,Pass,Standard contract
531,268,O/L,General,,
532,269,Certificate in Domestic Work,Domestic Services,Pass,Probation period
533,269,NVQ Level 2,Vocational,Merit,Training provided
534,269,Certificate in Caregiving,Healthcare,Pass,
535,270,Certificate in Cooking,Hospitality,Distinction,Training provided
536,270,NVQ Level 4,Vocational,Distinction,Training provided
537,271,Certificate in Plumbing,Construction,Distinction,
538,272,Certificate in Nursing,Healthcare,,Probation period
539,273,O/L,General,,Requires visa
540,273,Certificate in Electrical Work,Construction,Merit,Standard contract
541,273,NVQ Level 3,Vocational,Merit,Probation period
542,274,NVQ Level 3,Vocational,Merit,
543,274,O/L,General,Distinction,Requires visa
544,274,NVQ Level 2,Vocational,,Requires visa
545,275,O/L,General,Merit,Probation period
546,275,Bachelor's Degree,General,Distinction,Standard contract
547,275,Certificate in IT,Information Technology,Merit,Training provided
548,276,NVQ Level 3,Vocational,Pass,Training provided
549,276,O/L,General,Pass,Standard contract
550,277,O/L,General,,Requires visa
551,277,Certificate in Sewing,Textile,Distinction,Standard contract
552,278,O/L,General,,Training provided
553,278,Certificate in Beauty Therapy,General,Pass,
554,278,NVQ Level 3,Vocational,Distinction,Standard contract
555,279,NVQ Level 3,Vocational,Pass,Probation period
556,279,Certificate in Domestic Work,Domestic Services,Distinction,
557,280,A/L,General,Merit,Training provided
558,280,NVQ Level 4,Vocational,,Probation period
559,281,NVQ Level 3,Vocational,Merit,Standard contract
560,281,Certificate in Welding,Construction,Pass,Probation period
