ALevelID,PersonalID,ExamName,SubjectStream,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4
22,51,ALevel,Technology,2014,Technology Subject 3,W,Technology Subject 4,S,Technology Subject 2,C,Technology Subject 1,C
23,53,ALevel,Science,2016,Science Subject 1,B,Science Subject 2,A,Science Subject 4,B,Science Subject 3,S
24,54,ALevel,Technology,1994,Technology Subject 3,A,Technology Subject 1,B,Technology Subject 4,C,,
25,55,ALevel,Arts,2021,Arts Subject 3,W,Arts Subject 4,C,Arts Subject 2,S,Arts Subject 1,W
26,58,ALevel,Commerce,2020,Commerce Subject 1,C,Commerce Subject 3,B,Commerce Subject 2,A,Commerce Subject 4,B
27,59,ALevel,Commerce,2000,Commerce Subject 1,S,Commerce Subject 3,C,Commerce Subject 2,A,,
28,62,ALevel,Arts,2017,Arts Subject 2,B,Arts Subject 3,A,Arts Subject 1,S,,
29,63,ALevel,Arts,2009,Arts Subject 1,B,Arts Subject 3,S,Arts Subject 4,B,,
30,66,ALevel,Science,2020,Science Subject 2,B,Science Subject 3,S,Science Subject 4,S,,
31,67,ALevel,Commerce,2002,Commerce Subject 3,B,Commerce Subject 2,C,Commerce Subject 1,C,Commerce Subject 4,S
32,69,ALevel,Arts,2000,Arts Subject 2,C,Arts Subject 1,A,Arts Subject 3,B,,
33,73,ALevel,Science,2024,Science Subject 4,A,Science Subject 3,A,Science Subject 1,S,Science Subject 2,B
34,77,ALevel,Commerce,1998,Commerce Subject 2,A,Commerce Subject 3,C,Commerce Subject 1,W,Commerce Subject 4,A
35,81,ALevel,Science,1981,Science Subject 2,C,Science Subject 1,S,Science Subject 4,A,Science Subject 3,B
36,90,ALevel,Technology,1997,Technology Subject 3,B,Technology Subject 2,A,Technology Subject 4,C,Technology Subject 1,A
37,91,ALevel,Arts,2018,Arts Subject 1,B,Arts Subject 3,A,Arts Subject 4,A,Arts Subject 2,S
38,92,ALevel,Arts,2023,Arts Subject 2,B,Arts Subject 4,W,Arts Subject 3,W,,
39,96,ALevel,Commerce,1998,Commerce Subject 2,S,Commerce Subject 1,A,Commerce Subject 3,A,,
40,98,ALevel,Technology,1993,Technology Subject 3,A,Technology Subject 2,C,Technology Subject 4,C,,
41,100,ALevel,Commerce,2008,Commerce Subject 3,S,Commerce Subject 1,B,Commerce Subject 2,B,,
42,103,ALevel,Arts,2001,Arts Subject 3,B,Arts Subject 4,C,Arts Subject 2,C,Arts Subject 1,S
43,104,ALevel,Technology,1982,Technology Subject 4,C,Technology Subject 3,S,Technology Subject 2,A,Technology Subject 1,C
44,109,ALevel,Technology,2008,Technology Subject 2,B,Technology Subject 4,B,Technology Subject 1,S,,
45,114,ALevel,Science,2000,Science Subject 4,B,Science Subject 3,B,Science Subject 1,B,,
46,118,ALevel,Commerce,2008,Commerce Subject 2,A,Commerce Subject 3,C,Commerce Subject 4,B,,
47,119,ALevel,Science,2005,Science Subject 2,C,Science Subject 4,B,Science Subject 3,S,,
48,121,ALevel,Arts,1990,Arts Subject 3,B,Arts Subject 1,W,Arts Subject 4,A,,
49,123,ALevel,Commerce,1997,Commerce Subject 3,C,Commerce Subject 1,B,Commerce Subject 2,C,Commerce Subject 4,B
50,125,ALevel,Commerce,1987,Commerce Subject 1,B,Commerce Subject 4,B,Commerce Subject 2,A,Commerce Subject 3,C
51,126,ALevel,Science,1982,Science Subject 1,A,Science Subject 2,A,Science Subject 4,S,Science Subject 3,B
52,129,ALevel,Commerce,1985,Commerce Subject 4,S,Commerce Subject 1,C,Commerce Subject 2,A,,
53,131,ALevel,Arts,2019,Arts Subject 3,B,Arts Subject 4,W,Arts Subject 1,W,Arts Subject 2,S
54,134,ALevel,Commerce,1988,Commerce Subject 3,B,Commerce Subject 2,C,Commerce Subject 1,A,,
55,137,ALevel,Technology,2025,Technology Subject 3,C,Technology Subject 2,A,Technology Subject 4,A,Technology Subject 1,S
56,141,ALevel,Technology,1984,Technology Subject 3,B,Technology Subject 1,B,Technology Subject 2,C,Technology Subject 4,B
57,142,ALevel,Arts,1995,Arts Subject 2,C,Arts Subject 3,W,Arts Subject 4,C,,
58,143,ALevel,Science,2013,Science Subject 2,B,Science Subject 1,C,Science Subject 3,C,,
59,148,ALevel,Science,2022,Science Subject 4,B,Science Subject 3,C,Science Subject 2,B,,
60,155,ALevel,Technology,1995,Technology Subject 4,B,Technology Subject 1,S,Technology Subject 2,B,,
61,159,ALevel,Science,1990,Science Subject 2,S,Science Subject 4,B,Science Subject 3,S,,
62,160,ALevel,Technology,2007,Technology Subject 2,C,Technology Subject 1,A,Technology Subject 3,A,,
63,167,ALevel,Technology,2004,Technology Subject 3,C,Technology Subject 1,C,Technology Subject 4,B,Technology Subject 2,C
64,171,ALevel,Technology,2024,Technology Subject 2,S,Technology Subject 3,B,Technology Subject 1,C,,
65,172,ALevel,Technology,2005,Technology Subject 4,W,Technology Subject 3,A,Technology Subject 1,C,,
66,174,ALevel,Commerce,2025,Commerce Subject 1,S,Commerce Subject 4,B,Commerce Subject 3,C,Commerce Subject 2,A
67,176,ALevel,Commerce,2008,Commerce Subject 2,C,Commerce Subject 1,C,Commerce Subject 3,C,Commerce Subject 4,C
68,178,ALevel,Arts,2013,Arts Subject 2,A,Arts Subject 3,C,Arts Subject 1,S,Arts Subject 4,B
69,180,ALevel,Commerce,1995,Commerce Subject 1,B,Commerce Subject 3,W,Commerce Subject 4,S,Commerce Subject 2,B
70,189,ALevel,Science,2008,Science Subject 3,S,Science Subject 1,W,Science Subject 4,A,,
71,191,ALevel,Commerce,1996,Commerce Subject 1,B,Commerce Subject 2,S,Commerce Subject 3,A,Commerce Subject 4,S
72,193,ALevel,Technology,2012,Technology Subject 1,S,Technology Subject 3,W,Technology Subject 2,S,,
73,194,ALevel,Arts,2001,Arts Subject 2,B,Arts Subject 3,S,Arts Subject 1,A,,
74,198,ALevel,Science,2025,Science Subject 4,S,Science Subject 1,C,Science Subject 3,A,,
75,199,ALevel,Arts,1999,Arts Subject 1,B,Arts Subject 2,S,Arts Subject 3,S,Arts Subject 4,S
76,201,ALevel,Commerce,1985,Commerce Subject 1,A,Commerce Subject 4,B,Commerce Subject 3,S,,
77,202,ALevel,Arts,2021,Arts Subject 1,S,Arts Subject 2,S,Arts Subject 3,S,,
78,203,ALevel,Technology,2008,Technology Subject 2,C,Technology Subject 3,S,Technology Subject 1,S,Technology Subject 4,S
79,206,ALevel,Technology,1981,Technology Subject 3,B,Technology Subject 2,S,Technology Subject 4,W,Technology Subject 1,C
80,208,ALevel,Technology,1993,Technology Subject 4,B,Technology Subject 3,S,Technology Subject 2,B,,
81,209,ALevel,Arts,2013,Arts Subject 1,W,Arts Subject 4,W,Arts Subject 3,C,,
82,213,ALevel,Technology,2000,Technology Subject 1,C,Technology Subject 3,A,Technology Subject 2,S,,
83,217,ALevel,Technology,1984,Technology Subject 4,S,Technology Subject 3,A,Technology Subject 1,C,Technology Subject 2,B
84,219,ALevel,Commerce,2001,Commerce Subject 4,B,Commerce Subject 3,C,Commerce Subject 2,S,,
85,224,ALevel,Arts,2013,Arts Subject 1,B,Arts Subject 4,B,Arts Subject 3,C,Arts Subject 2,B
86,225,ALevel,Arts,1986,Arts Subject 1,W,Arts Subject 4,A,Arts Subject 2,A,Arts Subject 3,C
87,230,ALevel,Science,1986,Science Subject 4,S,Science Subject 1,A,Science Subject 3,S,,
88,232,ALevel,Arts,1981,Arts Subject 4,C,Arts Subject 2,B,Arts Subject 3,C,Arts Subject 1,A
89,233,ALevel,Science,2005,Science Subject 3,S,Science Subject 1,C,Science Subject 4,B,Science Subject 2,S
90,235,ALevel,Commerce,1999,Commerce Subject 2,B,Commerce Subject 4,C,Commerce Subject 3,B,,
91,237,ALevel,Arts,2002,Arts Subject 4,B,Arts Subject 2,A,Arts Subject 1,W,Arts Subject 3,W
92,240,ALevel,Technology,2003,Technology Subject 4,B,Technology Subject 3,C,Technology Subject 1,A,Technology Subject 2,A
93,245,ALevel,Science,2018,Science Subject 4,B,Science Subject 2,B,Science Subject 3,W,Science Subject 1,A
94,246,ALevel,Arts,2024,Arts Subject 1,C,Arts Subject 4,C,Arts Subject 3,S,Arts Subject 2,S
95,247,ALevel,Arts,2022,Arts Subject 2,B,Arts Subject 1,B,Arts Subject 4,A,,
96,248,ALevel,Commerce,1982,Commerce Subject 2,B,Commerce Subject 3,B,Commerce Subject 4,A,Commerce Subject 1,C
97,249,ALevel,Science,2019,Science Subject 3,A,Science Subject 4,A,Science Subject 2,C,,
98,253,ALevel,Arts,2006,Arts Subject 3,A,Arts Subject 1,W,Arts Subject 4,A,Arts Subject 2,A
99,255,ALevel,Commerce,2023,Commerce Subject 4,C,Commerce Subject 2,C,Commerce Subject 1,B,,
100,256,ALevel,Arts,2015,Arts Subject 3,B,Arts Subject 1,C,Arts Subject 2,S,,
101,259,ALevel,Commerce,2007,Commerce Subject 1,S,Commerce Subject 2,A,Commerce Subject 4,C,Commerce Subject 3,S
102,263,ALevel,Commerce,1992,Commerce Subject 4,C,Commerce Subject 1,B,Commerce Subject 3,C,,
103,264,ALevel,Commerce,2019,Commerce Subject 4,B,Commerce Subject 3,W,Commerce Subject 1,A,Commerce Subject 2,A
104,265,ALevel,Science,1991,Science Subject 4,C,Science Subject 2,C,Science Subject 3,S,,
105,273,ALevel,Commerce,1983,Commerce Subject 3,S,Commerce Subject 4,B,Commerce Subject 1,S,,
106,275,ALevel,Commerce,2021,Commerce Subject 3,C,Commerce Subject 2,A,Commerce Subject 4,C,Commerce Subject 1,S
107,281,ALevel,Commerce,1998,Commerce Subject 3,C,Commerce Subject 2,W,Commerce Subject 1,A,,
108,284,ALevel,Arts,2005,Arts Subject 1,C,Arts Subject 2,C,Arts Subject 4,C,Arts Subject 3,A
109,287,ALevel,Technology,2024,Technology Subject 2,S,Technology Subject 3,C,Technology Subject 4,A,,
110,289,ALevel,Science,2003,Science Subject 2,A,Science Subject 3,W,Science Subject 4,C,,
111,294,ALevel,Commerce,1983,Commerce Subject 4,C,Commerce Subject 1,C,Commerce Subject 3,S,,
112,300,ALevel,Technology,2006,Technology Subject 1,C,Technology Subject 3,B,Technology Subject 4,C,Technology Subject 2,S
113,303,ALevel,Commerce,1989,Commerce Subject 3,C,Commerce Subject 4,C,Commerce Subject 1,A,,
114,304,ALevel,Science,2013,Science Subject 1,A,Science Subject 3,S,Science Subject 2,S,Science Subject 4,W
115,308,ALevel,Science,2003,Science Subject 1,B,Science Subject 3,S,Science Subject 2,C,,
116,309,ALevel,Arts,1993,Arts Subject 2,S,Arts Subject 1,C,Arts Subject 3,B,,
117,311,ALevel,Commerce,2007,Commerce Subject 2,B,Commerce Subject 3,C,Commerce Subject 1,B,Commerce Subject 4,S
118,316,ALevel,Science,2006,Science Subject 3,B,Science Subject 2,A,Science Subject 1,C,,
119,318,ALevel,Arts,1980,Arts Subject 2,C,Arts Subject 3,C,Arts Subject 4,A,,
120,321,ALevel,Science,1993,Science Subject 4,A,Science Subject 3,S,Science Subject 1,A,,
121,327,ALevel,Technology,2024,Technology Subject 3,B,Technology Subject 1,B,Technology Subject 4,C,Technology Subject 2,A
122,328,ALevel,Commerce,1989,Commerce Subject 3,C,Commerce Subject 1,B,Commerce Subject 2,B,,
123,330,ALevel,Science,2018,Science Subject 3,W,Science Subject 2,C,Science Subject 1,C,Science Subject 4,A
124,331,ALevel,Commerce,2024,Commerce Subject 1,C,Commerce Subject 4,C,Commerce Subject 3,B,,
125,332,ALevel,Science,1998,Science Subject 4,A,Science Subject 2,S,Science Subject 3,A,,
126,338,ALevel,Commerce,2001,Commerce Subject 1,S,Commerce Subject 3,B,Commerce Subject 4,C,Commerce Subject 2,B
127,340,ALevel,Arts,2003,Arts Subject 1,C,Arts Subject 3,C,Arts Subject 2,B,Arts Subject 4,W
128,341,ALevel,Science,1983,Science Subject 1,S,Science Subject 3,S,Science Subject 4,A,,
129,346,ALevel,Commerce,1988,Commerce Subject 4,A,Commerce Subject 3,B,Commerce Subject 1,C,Commerce Subject 2,A
130,347,ALevel,Arts,2020,Arts Subject 3,W,Arts Subject 4,B,Arts Subject 1,C,Arts Subject 2,A
131,351,ALevel,Technology,2004,Technology Subject 1,C,Technology Subject 3,B,Technology Subject 4,B,,
132,352,ALevel,Technology,2014,Technology Subject 4,C,Technology Subject 2,S,Technology Subject 3,C,,
133,355,ALevel,Science,2010,Science Subject 2,S,Science Subject 3,B,Science Subject 1,C,Science Subject 4,A
134,357,ALevel,Arts,2000,Arts Subject 4,B,Arts Subject 1,S,Arts Subject 2,C,Arts Subject 3,S
135,358,ALevel,Arts,2013,Arts Subject 2,C,Arts Subject 1,W,Arts Subject 4,W,,
136,359,ALevel,Science,2013,Science Subject 3,C,Science Subject 4,A,Science Subject 2,B,,
137,360,ALevel,Technology,2001,Technology Subject 4,W,Technology Subject 1,A,Technology Subject 3,S,,
138,362,ALevel,Technology,2024,Technology Subject 1,B,Technology Subject 4,B,Technology Subject 3,C,,
139,363,ALevel,Arts,1983,Arts Subject 1,B,Arts Subject 3,S,Arts Subject 2,A,,
140,364,ALevel,Arts,1981,Arts Subject 2,C,Arts Subject 4,A,Arts Subject 1,S,,
141,365,ALevel,Arts,1993,Arts Subject 2,S,Arts Subject 1,B,Arts Subject 4,B,Arts Subject 3,B
142,368,ALevel,Technology,2021,Technology Subject 3,C,Technology Subject 1,B,Technology Subject 4,B,,
143,371,ALevel,Arts,2015,Arts Subject 4,C,Arts Subject 2,B,Arts Subject 1,S,Arts Subject 3,C
144,372,ALevel,Commerce,2011,Commerce Subject 3,B,Commerce Subject 2,C,Commerce Subject 1,C,Commerce Subject 4,S
145,373,ALevel,Science,1989,Science Subject 2,C,Science Subject 4,B,Science Subject 3,C,Science Subject 1,B
146,375,ALevel,Commerce,2009,Commerce Subject 3,B,Commerce Subject 2,B,Commerce Subject 4,A,Commerce Subject 1,W
147,377,ALevel,Arts,1987,Arts Subject 1,A,Arts Subject 2,C,Arts Subject 3,B,,
148,378,ALevel,Science,2017,Science Subject 3,S,Science Subject 1,W,Science Subject 4,B,Science Subject 2,C
149,379,ALevel,Science,2006,Science Subject 3,B,Science Subject 1,S,Science Subject 2,B,,
150,381,ALevel,Commerce,2019,Commerce Subject 4,A,Commerce Subject 2,C,Commerce Subject 1,A,Commerce Subject 3,B
151,383,ALevel,Technology,1993,Technology Subject 4,A,Technology Subject 3,B,Technology Subject 2,B,,
152,386,ALevel,Arts,1990,Arts Subject 3,A,Arts Subject 2,B,Arts Subject 4,A,,
153,388,ALevel,Arts,2014,Arts Subject 3,S,Arts Subject 1,A,Arts Subject 4,C,Arts Subject 2,S
154,392,ALevel,Technology,1991,Technology Subject 3,B,Technology Subject 1,W,Technology Subject 4,A,Technology Subject 2,B
155,393,ALevel,Technology,2013,Technology Subject 2,B,Technology Subject 3,S,Technology Subject 4,S,,
156,396,ALevel,Technology,2023,Technology Subject 1,W,Technology Subject 2,S,Technology Subject 3,S,,
157,401,ALevel,Commerce,2017,Commerce Subject 4,W,Commerce Subject 1,B,Commerce Subject 3,W,,
158,404,ALevel,Technology,1991,Technology Subject 2,S,Technology Subject 1,B,Technology Subject 3,S,Technology Subject 4,A
159,405,ALevel,Science,2021,Science Subject 2,C,Science Subject 4,A,Science Subject 1,C,,
160,407,ALevel,Commerce,2015,Commerce Subject 1,S,Commerce Subject 2,A,Commerce Subject 3,B,Commerce Subject 4,B
161,410,ALevel,Arts,1993,Arts Subject 4,A,Arts Subject 2,S,Arts Subject 1,A,,
162,411,ALevel,Arts,2010,Arts Subject 1,A,Arts Subject 2,W,Arts Subject 3,B,Arts Subject 4,A
163,412,ALevel,Technology,2012,Technology Subject 1,W,Technology Subject 4,S,Technology Subject 3,A,Technology Subject 2,C
164,413,ALevel,Commerce,2001,Commerce Subject 2,C,Commerce Subject 1,C,Commerce Subject 3,C,Commerce Subject 4,B
165,414,ALevel,Arts,2010,Arts Subject 3,A,Arts Subject 4,C,Arts Subject 1,W,,
166,420,ALevel,Commerce,2018,Commerce Subject 4,C,Commerce Subject 3,A,Commerce Subject 1,B,Commerce Subject 2,A
167,421,ALevel,Technology,2007,Technology Subject 1,S,Technology Subject 2,B,Technology Subject 3,S,Technology Subject 4,B
168,422,ALevel,Commerce,2018,Commerce Subject 4,C,Commerce Subject 1,A,Commerce Subject 2,B,Commerce Subject 3,C
169,426,ALevel,Technology,2006,Technology Subject 2,S,Technology Subject 4,S,Technology Subject 3,A,Technology Subject 1,B
170,429,ALevel,Arts,1983,Arts Subject 1,S,Arts Subject 4,W,Arts Subject 2,B,,
171,432,ALevel,Science,1980,Science Subject 1,S,Science Subject 4,A,Science Subject 3,B,,
172,438,ALevel,Science,1982,Science Subject 1,B,Science Subject 4,B,Science Subject 3,B,Science Subject 2,B
173,442,ALevel,Science,1983,Science Subject 2,B,Science Subject 4,S,Science Subject 3,A,Science Subject 1,C
174,443,ALevel,Arts,2001,Arts Subject 4,S,Arts Subject 2,S,Arts Subject 1,B,Arts Subject 3,S
175,444,ALevel,Commerce,1990,Commerce Subject 3,S,Commerce Subject 1,B,Commerce Subject 2,C,Commerce Subject 4,B
176,447,ALevel,Science,2019,Science Subject 3,B,Science Subject 2,S,Science Subject 4,C,Science Subject 1,B
177,448,ALevel,Technology,1999,Technology Subject 4,W,Technology Subject 3,A,Technology Subject 2,B,Technology Subject 1,W
178,451,ALevel,Science,2015,Science Subject 4,A,Science Subject 3,B,Science Subject 2,C,Science Subject 1,C
179,458,ALevel,Science,2010,Science Subject 3,C,Science Subject 1,C,Science Subject 4,C,,
180,465,ALevel,Science,1991,Science Subject 4,C,Science Subject 1,C,Science Subject 3,W,Science Subject 2,B
181,469,ALevel,Technology,2000,Technology Subject 3,C,Technology Subject 1,S,Technology Subject 4,B,,
182,473,ALevel,Technology,2013,Technology Subject 1,B,Technology Subject 4,C,Technology Subject 2,S,,
183,474,ALevel,Arts,2025,Arts Subject 1,C,Arts Subject 4,W,Arts Subject 3,B,Arts Subject 2,B
184,478,ALevel,Science,1994,Science Subject 2,B,Science Subject 4,B,Science Subject 3,S,Science Subject 1,S
185,479,ALevel,Commerce,1987,Commerce Subject 1,C,Commerce Subject 4,S,Commerce Subject 3,S,,
186,482,ALevel,Commerce,1996,Commerce Subject 4,C,Commerce Subject 1,S,Commerce Subject 3,C,Commerce Subject 2,A
187,485,ALevel,Arts,2025,Arts Subject 1,C,Arts Subject 4,W,Arts Subject 3,S,Arts Subject 2,A
188,487,ALevel,Science,1980,Science Subject 1,C,Science Subject 3,S,Science Subject 4,B,,
189,490,ALevel,Commerce,2013,Commerce Subject 3,C,Commerce Subject 1,B,Commerce Subject 2,W,,
190,491,ALevel,Technology,1982,Technology Subject 1,A,Technology Subject 2,B,Technology Subject 3,W,,
191,493,ALevel,Technology,1996,Technology Subject 2,A,Technology Subject 3,A,Technology Subject 1,A,,
192,494,ALevel,Technology,2015,Technology Subject 4,B,Technology Subject 2,A,Technology Subject 3,S,,
193,496,ALevel,Science,1999,Science Subject 2,C,Science Subject 1,S,Science Subject 4,B,,
194,501,ALevel,Commerce,1993,Commerce Subject 2,A,Commerce Subject 4,W,Commerce Subject 3,C,Commerce Subject 1,B
195,503,ALevel,Science,1986,Science Subject 3,A,Science Subject 2,S,Science Subject 4,C,Science Subject 1,B
196,504,ALevel,Commerce,1997,Commerce Subject 3,W,Commerce Subject 4,B,Commerce Subject 1,B,,
197,505,ALevel,Commerce,2012,Commerce Subject 3,A,Commerce Subject 4,S,Commerce Subject 1,W,,
198,506,ALevel,Arts,1985,Arts Subject 2,A,Arts Subject 1,A,Arts Subject 3,C,Arts Subject 4,A
199,508,ALevel,Science,2004,Science Subject 3,B,Science Subject 2,A,Science Subject 1,S,,
200,512,ALevel,Technology,1996,Technology Subject 3,C,Technology Subject 2,A,Technology Subject 4,C,Technology Subject 1,C
201,513,ALevel,Commerce,1989,Commerce Subject 1,A,Commerce Subject 2,A,Commerce Subject 3,C,,
202,518,ALevel,Technology,1985,Technology Subject 3,C,Technology Subject 1,C,Technology Subject 2,B,Technology Subject 4,W
203,519,ALevel,Science,1984,Science Subject 2,S,Science Subject 1,B,Science Subject 3,S,Science Subject 4,S
204,521,ALevel,Commerce,1980,Commerce Subject 2,A,Commerce Subject 4,W,Commerce Subject 1,S,,
205,524,ALevel,Science,1982,Science Subject 2,C,Science Subject 4,A,Science Subject 3,C,Science Subject 1,C
206,526,ALevel,Arts,1990,Arts Subject 4,A,Arts Subject 3,W,Arts Subject 1,S,,
207,528,ALevel,Arts,1990,Arts Subject 1,B,Arts Subject 4,B,Arts Subject 3,B,Arts Subject 2,W
208,532,ALevel,Science,2006,Science Subject 3,W,Science Subject 4,C,Science Subject 2,C,Science Subject 1,B
209,533,ALevel,Commerce,2014,Commerce Subject 1,C,Commerce Subject 2,B,Commerce Subject 4,S,,
210,538,ALevel,Science,1983,Science Subject 4,A,Science Subject 1,C,Science Subject 3,A,Science Subject 2,C
211,539,ALevel,Technology,1993,Technology Subject 1,B,Technology Subject 3,W,Technology Subject 2,C,Technology Subject 4,C
212,540,ALevel,Technology,2018,Technology Subject 2,S,Technology Subject 1,C,Technology Subject 4,C,,
213,543,ALevel,Technology,2024,Technology Subject 4,S,Technology Subject 2,S,Technology Subject 3,C,Technology Subject 1,W
214,544,ALevel,Science,1992,Science Subject 1,C,Science Subject 3,B,Science Subject 2,B,,
215,545,ALevel,Commerce,2021,Commerce Subject 3,C,Commerce Subject 4,C,Commerce Subject 1,B,,
216,553,ALevel,Science,1981,Science Subject 3,C,Science Subject 2,B,Science Subject 4,A,,
217,560,ALevel,Technology,2024,Technology Subject 2,C,Technology Subject 4,C,Technology Subject 3,S,Technology Subject 1,B
218,570,ALevel,Science,2021,Science Subject 4,C,Science Subject 1,S,Science Subject 2,B,Science Subject 3,C
219,571,ALevel,Arts,2019,Arts Subject 2,S,Arts Subject 4,C,Arts Subject 3,W,,
220,578,ALevel,Arts,1989,Arts Subject 1,B,Arts Subject 3,A,Arts Subject 2,C,Arts Subject 4,S
221,580,ALevel,Technology,2009,Technology Subject 2,S,Technology Subject 3,S,Technology Subject 1,A,Technology Subject 4,B
222,583,ALevel,Technology,2003,Technology Subject 2,S,Technology Subject 4,S,Technology Subject 1,W,Technology Subject 3,B
223,585,ALevel,Technology,2003,Technology Subject 2,S,Technology Subject 1,B,Technology Subject 4,C,Technology Subject 3,W
224,587,ALevel,Arts,2021,Arts Subject 1,W,Arts Subject 4,A,Arts Subject 3,B,,
225,590,ALevel,Arts,2003,Arts Subject 4,S,Arts Subject 2,C,Arts Subject 3,A,Arts Subject 1,A
226,593,ALevel,Arts,1996,Arts Subject 1,W,Arts Subject 4,A,Arts Subject 2,C,Arts Subject 3,W
227,596,ALevel,Science,2009,Science Subject 1,B,Science Subject 4,A,Science Subject 2,C,,
228,608,ALevel,Commerce,1990,Commerce Subject 4,S,Commerce Subject 3,C,Commerce Subject 2,B,,
229,610,ALevel,Science,2012,Science Subject 2,B,Science Subject 1,S,Science Subject 3,S,Science Subject 4,C
230,611,ALevel,Technology,1982,Technology Subject 3,S,Technology Subject 2,A,Technology Subject 4,B,Technology Subject 1,C
231,614,ALevel,Arts,1998,Arts Subject 1,S,Arts Subject 2,C,Arts Subject 3,W,Arts Subject 4,B
232,616,ALevel,Arts,2005,Arts Subject 2,A,Arts Subject 1,A,Arts Subject 3,S,Arts Subject 4,C
233,618,ALevel,Arts,1998,Arts Subject 3,A,Arts Subject 2,B,Arts Subject 4,W,Arts Subject 1,B
234,619,ALevel,Technology,1991,Technology Subject 1,A,Technology Subject 3,C,Technology Subject 4,C,,
235,622,ALevel,Commerce,1996,Commerce Subject 3,S,Commerce Subject 4,B,Commerce Subject 2,C,Commerce Subject 1,B
236,623,ALevel,Science,2003,Science Subject 3,C,Science Subject 2,S,Science Subject 4,B,Science Subject 1,S
237,624,ALevel,Commerce,2021,Commerce Subject 4,S,Commerce Subject 2,S,Commerce Subject 3,S,Commerce Subject 1,B
238,626,ALevel,Commerce,1982,Commerce Subject 3,B,Commerce Subject 2,S,Commerce Subject 1,C,,
239,630,ALevel,Arts,1999,Arts Subject 4,B,Arts Subject 3,C,Arts Subject 2,S,,
240,631,ALevel,Science,1980,Science Subject 1,C,Science Subject 4,S,Science Subject 3,B,Science Subject 2,B
241,632,ALevel,Science,2023,Science Subject 3,A,Science Subject 1,C,Science Subject 4,C,,
242,633,ALevel,Science,2004,Science Subject 3,B,Science Subject 4,B,Science Subject 2,C,Science Subject 1,S
243,634,ALevel,Technology,1992,Technology Subject 1,C,Technology Subject 2,B,Technology Subject 3,B,Technology Subject 4,B
244,636,ALevel,Commerce,1983,Commerce Subject 1,B,Commerce Subject 4,W,Commerce Subject 2,C,Commerce Subject 3,B
245,637,ALevel,Science,2005,Science Subject 2,B,Science Subject 4,A,Science Subject 3,S,,
246,639,ALevel,Science,1991,Science Subject 3,S,Science Subject 2,B,Science Subject 1,S,Science Subject 4,A
247,641,ALevel,Technology,1992,Technology Subject 1,S,Technology Subject 4,B,Technology Subject 3,B,,
248,645,ALevel,Commerce,1996,Commerce Subject 1,S,Commerce Subject 3,S,Commerce Subject 4,B,Commerce Subject 2,B
