VocationalID,PersonalID,NVQLevel,CourseName,Institution,CompletionDate
366,701,,Certificate in Driving,Apparel Enterprises,2017-06-29
367,705,,Certificate in Nursing,NAITA,2018-11-18
368,707,,Certificate in Caregiving,Gem Co,2021-05-01
369,707,,Certificate in Electrical Work,VTA,2018-02-25
370,709,,Certificate in Plumbing,SLBFE Training Center,2016-09-10
371,709,,Certificate in Plumbing,Construction Inc,2023-04-08
372,710,,Certificate in Accounting,NAITA,2020-07-01
373,710,NVQ Level 3,,Tech Corp,2025-07-29
374,714,,O/L,Tech Solutions,2021-02-21
375,715,,Certificate in Sewing,VTA,2019-01-16
376,715,,Certificate in Cooking,Ceylon Enterprises,2023-10-09
377,718,,Certificate in Accounting,NAITA,2024-06-28
378,721,NVQ Level 3,,TVEC,2022-06-18
379,721,NVQ Level 4,,SLBFE Training Center,2024-04-18
380,725,,Certificate in Caregiving,Hotel Solutions,2021-08-06
381,726,,Certificate in Welding,NAITA,2016-03-19
382,726,,Certificate in Welding,SLBFE Training Center,2017-01-17
383,729,,Diploma in IT,Gem Inc,2024-05-11
384,729,,Diploma in IT,Tea Ltd,2016-08-03
385,730,NVQ Level 1,,VTA,2018-07-18
386,730,,Certificate in Hospitality,Tech Inc,2023-04-11
387,732,,Certificate in Driving,Apparel Plantations,2017-10-27
388,732,,Certificate in Masonry,SLBFE Training Center,2024-11-28
389,733,,Diploma in Business,Construction Ltd,2016-12-19
390,740,NVQ Level 1,,VTA,2025-08-27
391,740,,Certificate in Plumbing,SLBFE Training Center,2017-02-04
392,741,,Bachelor's Degree,NAITA,2016-08-26
393,742,,Certificate in Electrical Work,TVEC,2017-12-07
394,742,,Certificate in Caregiving,NAITA,2024-11-06
395,754,,Certificate in Welding,Hotel Solutions,2017-07-03
396,754,,Certificate in Caregiving,VTA,2023-07-06
397,757,,Certificate in Driving,SLBFE Training Center,2024-05-23
398,757,,O/L,SLBFE Training Center,2025-04-17
399,761,,Diploma in Business,TVEC,2021-09-10
400,761,NVQ Level 1,,Gem Group,2017-07-31
401,763,,Certificate in Heavy Vehicle Operation,VTA,2015-10-14
402,763,,Master's Degree,VTA,2024-02-18
403,766,,Certificate in Masonry,TVEC,2020-09-02
404,767,,Certificate in Electrical Work,Island Inc,2018-09-11
405,770,,O/L,Hotel Inc,2021-07-25
406,770,,Certificate in Welding,VTA,2018-05-30
407,771,,Certificate in Welding,Tech Inc,2023-07-01
408,771,,Diploma in Hospitality,NAITA,2022-11-10
409,772,,Certificate in Heavy Vehicle Operation,VTA,2025-05-09
410,773,,O/L,Apparel Solutions,2018-04-22
411,774,,Certificate in Electrical Work,TVEC,2023-01-09
412,775,,Diploma in Business,SLBFE Training Center,2017-02-08
413,775,NVQ Level 2,,Sri Group,2024-02-05
414,778,NVQ Level 2,,VTA,2021-07-11
415,781,,O/L,NAITA,2025-07-15
416,783,,O/L,NAITA,2024-07-22
417,788,,Diploma in IT,VTA,2023-02-18
418,788,,Master's Degree,VTA,2018-06-15
419,792,,Certificate in Driving,SLBFE Training Center,2021-11-30
420,796,,Certificate in Carpentry,VTA,2021-08-08
421,797,,Bachelor's Degree,SLBFE Training Center,2025-01-18
422,797,,Certificate in Electrical Work,Island Group,2016-04-18
423,801,NVQ Level 2,,NAITA,2018-03-17
424,801,,Certificate in Hospitality,SLBFE Training Center,2022-07-22
425,802,,Certificate in Welding,NAITA,2022-10-23
426,803,,Certificate in Hospitality,SLBFE Training Center,2016-12-28
427,807,,Certificate in Hospitality,SLBFE Training Center,2019-05-11
428,807,,Certificate in Carpentry,NAITA,2016-12-23
429,808,,Master's Degree,SLBFE Training Center,2017-03-22
430,811,,Certificate in Nursing,TVEC,2022-02-25
431,811,,Diploma in Hospitality,TVEC,2016-03-10
432,812,,Diploma in Nursing,TVEC,2017-11-02
433,813,,Diploma in Nursing,Apparel Plantations,2017-10-18
434,813,,A/L,TVEC,2025-05-31
435,814,,Diploma in IT,SLBFE Training Center,2024-05-16
436,814,,Certificate in Plumbing,NAITA,2018-02-19
437,818,,Bachelor's Degree,NAITA,2022-02-07
438,818,NVQ Level 3,,SLBFE Training Center,2019-05-02
439,819,NVQ Level 3,,TVEC,2016-07-18
440,819,,Diploma in IT,NAITA,2016-12-22
441,822,,Certificate in Domestic Work,TVEC,2020-07-13
442,822,,Diploma in Business,VTA,2024-11-08
443,826,,Certificate in Carpentry,SLBFE Training Center,2020-11-26
444,831,,Diploma in Nursing,VTA,2017-07-24
445,836,,Certificate in Driving,TVEC,2016-11-26
446,836,,Certificate in Driving,SLBFE Training Center,2018-06-29
447,845,,Certificate in Hospitality,SLBFE Training Center,2025-05-10
448,845,,Diploma in Hospitality,NAITA,2018-02-08
449,846,NVQ Level 4,,VTA,2019-12-26
450,846,,O/L,Sri Pvt,2019-06-12
451,847,NVQ Level 2,,SLBFE Training Center,2018-07-24
452,847,NVQ Level 2,,SLBFE Training Center,2018-06-09
453,850,,O/L,VTA,2017-06-17
454,850,,Certificate in Driving,VTA,2016-06-16
455,851,,Bachelor's Degree,NAITA,2017-09-29
456,854,,Certificate in Domestic Work,NAITA,2025-04-17
457,855,,Certificate in Plumbing,TVEC,2022-01-21
458,861,NVQ Level 1,,TVEC,2018-07-02
459,861,,O/L,VTA,2017-04-06
460,864,,Certificate in Welding,VTA,2024-11-08
461,864,,Certificate in Heavy Vehicle Operation,TVEC,2024-07-21
462,867,NVQ Level 1,,VTA,2024-09-24
463,875,,Certificate in Heavy Vehicle Operation,TVEC,2025-03-24
464,878,,O/L,VTA,2019-11-24
465,878,,O/L,VTA,2021-07-16
466,879,,Diploma in Nursing,NAITA,2023-12-30
467,884,,Master's Degree,VTA,2018-10-13
468,884,,Certificate in IT,Construction Co,2017-02-10
469,886,,O/L,TVEC,2023-07-05
470,889,NVQ Level 4,,NAITA,2020-05-28
471,889,NVQ Level 4,,Gem Inc,2025-02-16
472,892,,Certificate in Caregiving,Tea Inc,2025-06-17
473,892,,O/L,NAITA,2018-03-30
474,893,,O/L,VTA,2025-02-04
475,896,,O/L,VTA,2021-07-09
476,896,,O/L,TVEC,2018-09-12
477,897,,Certificate in Driving,SLBFE Training Center,2017-12-02
478,897,,Certificate in Caregiving,VTA,2025-08-12
479,898,,Certificate in Hospitality,Construction Ltd,2022-01-22
480,898,,O/L,SLBFE Training Center,2025-03-18
481,900,,Certificate in Sewing,TVEC,2023-03-31
482,901,,Certificate in Hospitality,NAITA,2023-05-09
483,903,,Certificate in Welding,VTA,2022-12-18
484,904,,Certificate in IT,TVEC,2016-04-22
485,906,,Certificate in Nursing,Ceylon Enterprises,2017-05-18
486,907,,Bachelor's Degree,NAITA,2016-09-11
487,907,,Certificate in Driving,SLBFE Training Center,2017-08-13
488,909,NVQ Level 2,,SLBFE Training Center,2017-11-28
489,909,,Certificate in Cooking,SLBFE Training Center,2021-03-28
490,910,NVQ Level 2,,SLBFE Training Center,2025-03-25
491,912,,Certificate in Domestic Work,NAITA,2019-03-28
492,912,,A/L,SLBFE Training Center,2025-02-19
493,914,NVQ Level 3,,TVEC,2023-09-06
494,914,,O/L,NAITA,2017-01-26
495,915,,Certificate in Masonry,NAITA,2016-09-08
496,919,NVQ Level 5,,Tech Inc,2019-12-28
497,920,NVQ Level 5,,Island Group,2021-07-14
498,920,,Certificate in Cooking,Tech Solutions,2016-09-14
499,921,,A/L,VTA,2018-02-09
