EmploymentID,PersonalID,EmploymentSector,Employer,Country,Occupation,StartDate,EndDate,DurationMonths
94,81,Beauty & Personal Care,Ceylon Solutions,United Arab Emirates,Factory Worker,2012-01-27,2013-11-08,22
95,81,Security Services,Construction Corp,Kuwait,Factory Worker,2022-01-08,2023-04-25,16
96,81,Security Services,Ceylon Enterprises,Qatar,Factory Worker,2023-07-21,2023-10-07,3
97,83,Driving & Transportation,Ceylon Co,Cyprus,Factory Worker,2017-09-21,2018-04-12,7
98,85,Construction,Gem Pvt,Kuwait,Administrative Assistant,2016-07-28,2017-03-12,8
99,87,Domestic Services,Gem Pvt,Kuwait,Housemaid,2014-12-25,2022-09-18,95
100,88,Engineering & Technical,Tech Pvt,Cyprus,Agricultural Worker,2014-10-30,2015-07-27,9
101,88,Retail & Sales,Ceylon Inc,United Arab Emirates,Agricultural Worker,2018-10-06,2019-11-06,14
102,89,Healthcare & Nursing,Hotel Enterprises,Kuwait,Caregiver,2011-10-05,2012-05-04,8
103,89,Healthcare & Nursing,Tech Pvt,Kuwait,Caregiver,2015-03-03,2015-10-01,8
104,90,Engineering & Technical,Ceylon Enterprises,United Arab Emirates,Cleaner,2012-05-22,2012-07-18,2
105,90,Education & Training,Ceylon Corp,Qatar,Cleaner,2013-11-24,2014-11-10,12
106,90,Security Services,Hotel Plantations,Qatar,Cleaner,2015-11-02,2018-10-04,36
107,92,Retail & Sales,Lanka Co,South Korea,Technician,2022-11-12,2023-06-07,7
108,95,Education & Training,Sri Enterprises,Qatar,Cleaner,2013-12-26,2014-02-20,2
109,97,Driving & Transportation,Lanka Inc,Kuwait,Domestic Worker,2013-01-14,2017-11-06,59
110,97,Textile & Sewing,Lanka Inc,Qatar,Domestic Worker,2021-12-31,2023-07-24,19
111,97,Hospitality & Tourism,Island Corp,Qatar,Domestic Worker,2023-11-24,2024-02-21,3
112,98,Healthcare & Nursing,Island Group,Oman,Beautician,2013-12-22,2014-05-03,5
113,98,Beauty & Personal Care,Apparel Co,Saudi Arabia,Beautician,2015-10-27,2016-07-06,9
114,98,Logistics & Warehousing,Lanka Corp,Saudi Arabia,Beautician,2018-06-21,2025-01-26,81
115,99,Agriculture & Fishery,Island Pvt,Maldives,General Labourer,2013-02-25,2018-01-28,60
117,101,Agriculture & Fishery,Tech Solutions,Saudi Arabia,Mason,2019-07-24,2023-01-06,43
118,104,Driving & Transportation,Construction Solutions,United Arab Emirates,Room Attendant,2016-12-03,2018-01-25,14
119,104,Textile & Sewing,Construction Co,Saudi Arabia,Room Attendant,2018-03-27,2018-05-08,2
120,105,Beauty & Personal Care,Sri Solutions,Saudi Arabia,Sewing Machine Operator,2019-04-20,2021-08-05,28
121,105,Facility Management,Gem Inc,Qatar,Sewing Machine Operator,2022-08-12,2024-06-07,23
122,107,Driving & Transportation,Lanka Solutions,Qatar,Delivery Driver,2011-01-24,2015-01-15,49
123,107,Construction,Hotel Group,Kuwait,Delivery Driver,2022-12-01,2023-01-30,2
124,107,Domestic Services,Lanka Plantations,Qatar,Delivery Driver,2024-06-20,2025-01-04,7
125,108,Healthcare & Nursing,Construction Ltd,United Arab Emirates,Machine Operator,2015-07-24,2017-11-07,28
126,112,Manufacturing,Tech Solutions,United Arab Emirates,House Driver,2010-11-14,2012-06-28,20
127,114,IT & Professional Services,Ceylon Plantations,Qatar,Machine Operator,2016-07-21,2017-03-21,9
128,115,Healthcare & Nursing,Lanka Ltd,Kuwait,Cleaner,2012-11-06,2014-03-02,17
129,115,Retail & Sales,Tea Pvt,Saudi Arabia,Cleaner,2015-12-25,2016-07-15,7
130,115,Garment & Apparel,Hotel Enterprises,Romania,Cleaner,2016-10-16,2018-01-24,16
131,115,Textile & Sewing,Construction Plantations,Oman,Cleaner,2018-08-03,2023-11-25,65
132,117,Hospitality & Tourism,Gem Enterprises,Japan,Forklift Operator,2010-11-25,2013-07-19,33
133,117,IT & Professional Services,Tech Solutions,Qatar,Forklift Operator,2014-12-11,2016-01-05,13
134,117,Manufacturing,Gem Plantations,Kuwait,Forklift Operator,2020-10-06,2021-04-26,7
135,118,Cleaning Services,Construction Inc,Kuwait,Janitor,2016-09-29,2017-07-09,10
136,118,Hospitality & Tourism,Gem Inc,Qatar,Janitor,2023-01-01,2023-02-25,2
137,118,Facility Management,Island Plantations,Kuwait,Janitor,2023-03-27,2024-05-04,14
138,123,Logistics & Warehousing,Apparel Inc,Saudi Arabia,Heavy Vehicle Operator,2012-03-12,2016-02-13,48
139,123,Security Services,Gem Inc,Kuwait,Heavy Vehicle Operator,2019-03-27,2020-02-09,11
140,124,Textile & Sewing,Gem Plantations,Kuwait,Logistics Coordinator,2020-03-15,2020-07-23,5
141,125,Healthcare & Nursing,Hotel Plantations,Cyprus,Nursing Assistant,2016-05-23,2016-09-04,4
142,125,Beauty & Personal Care,Ceylon Pvt,Saudi Arabia,Nursing Assistant,2017-01-20,2020-02-20,38
143,126,Cleaning Services,Construction Ltd,Maldives,House Driver,2019-06-16,2022-02-03,33
144,127,Security Services,Construction Inc,Saudi Arabia,Construction Supervisor,2024-08-20,2025-06-11,10
145,128,IT & Professional Services,Gem Inc,Maldives,Hotel Housekeeper,2022-06-25,2023-04-16,10
147,129,Domestic Services,Hotel Co,Jordan,Receptionist,2013-02-18,2014-12-09,22
148,129,Agriculture & Fishery,Tea Plantations,Saudi Arabia,Receptionist,2015-05-09,2016-07-01,14
149,129,Textile & Sewing,Tech Ltd,Oman,Receptionist,2017-03-12,2019-03-02,24
150,129,Education & Training,Apparel Corp,Israel,Receptionist,2022-11-06,2023-03-17,5
151,130,Agriculture & Fishery,Tech Corp,Kuwait,Salesperson,2011-06-25,2012-12-25,19
152,130,Healthcare & Nursing,Construction Ltd,United Kingdom,Salesperson,2013-01-10,2023-11-13,132
154,133,Healthcare & Nursing,Hotel Corp,Saudi Arabia,Quality Control Inspector,2018-11-01,2021-04-18,30
155,134,Domestic Services,Lanka Co,United Arab Emirates,House Driver,2020-03-06,2020-05-30,3
156,134,Healthcare & Nursing,Sri Pvt,Qatar,House Driver,2021-05-20,2023-08-04,27
157,136,Retail & Sales,Construction Group,Saudi Arabia,Nursing Assistant,2019-10-04,2021-01-28,17
158,136,Construction,Island Corp,United Arab Emirates,Nursing Assistant,2022-04-04,2023-02-09,11
159,137,Construction,Tech Inc,Qatar,Construction Supervisor,2010-11-25,2014-04-30,42
160,137,Hospitality & Tourism,Apparel Plantations,Kuwait,Construction Supervisor,2022-02-22,2022-05-20,3
161,137,Garment & Apparel,Lanka Group,United Arab Emirates,Construction Supervisor,2022-06-06,2024-10-19,29
162,139,Hospitality & Tourism,Tech Plantations,Saudi Arabia,Gardener,2011-10-06,2011-11-16,2
163,139,Facility Management,Tech Ltd,Qatar,Gardener,2023-12-11,2024-08-13,9
164,140,IT & Professional Services,Ceylon Group,South Korea,Gardener,2010-11-04,2024-04-25,165
165,142,Cleaning Services,Tech Plantations,Qatar,Hairdresser,2014-09-08,2014-12-17,4
166,142,Domestic Services,Island Co,Saudi Arabia,Hairdresser,2016-05-20,2017-01-28,9
167,142,Logistics & Warehousing,Apparel Plantations,United Arab Emirates,Hairdresser,2018-10-17,2022-03-01,42
168,143,Healthcare & Nursing,Hotel Solutions,Saudi Arabia,Construction Supervisor,2016-06-27,2020-06-01,48
169,144,Manufacturing,Lanka Plantations,South Korea,Welder,2017-05-01,2018-02-05,10
171,146,Garment & Apparel,Tea Solutions,Saudi Arabia,Construction Helper,2019-02-10,2019-05-11,3
173,153,Beauty & Personal Care,Gem Enterprises,Maldives,Delivery Driver,2011-01-18,2014-01-25,37
174,153,Cleaning Services,Lanka Pvt,United Arab Emirates,Delivery Driver,2019-10-05,2022-01-25,29
175,154,Garment & Apparel,Tech Ltd,Kuwait,Barista,2014-07-05,2022-01-24,92
176,155,Hospitality & Tourism,Lanka Inc,Qatar,Machine Operator,2018-07-02,2020-01-23,19
177,155,Cleaning Services,Island Co,United Arab Emirates,Machine Operator,2022-11-15,2023-11-30,13
178,155,Security Services,Apparel Solutions,Romania,Machine Operator,2024-02-17,2025-03-26,14
179,156,Facility Management,Tech Corp,Kuwait,General Labourer,2017-05-29,2024-01-17,81
180,158,Hospitality & Tourism,Gem Group,Kuwait,House Driver,2014-11-07,2024-11-22,123
181,159,Manufacturing,Hotel Ltd,Saudi Arabia,Cook,2010-12-09,2011-12-28,13
182,159,Agriculture & Fishery,Tech Group,Kuwait,Cook,2014-08-12,2017-05-13,34
183,159,Healthcare & Nursing,Island Ltd,Saudi Arabia,Cook,2023-07-08,2023-10-11,4
184,160,Cleaning Services,Lanka Co,Saudi Arabia,Housemaid,2013-05-17,2014-05-20,13
185,162,Beauty & Personal Care,Tea Corp,Romania,Construction Helper,2011-12-28,2016-03-23,52
186,163,Security Services,Lanka Group,Saudi Arabia,Carpenter,2017-08-31,2017-12-13,4
187,163,Facility Management,Construction Group,United Arab Emirates,Carpenter,2018-12-30,2019-09-27,10
188,164,Logistics & Warehousing,Tea Plantations,Qatar,Electrician,2011-04-14,2012-01-19,10
189,164,Construction,Tech Solutions,United Arab Emirates,Electrician,2012-05-22,2016-02-26,46
190,164,Construction,Gem Solutions,Saudi Arabia,Electrician,2017-07-24,2017-08-03,1
192,167,Textile & Sewing,Gem Pvt,Saudi Arabia,Bar Bender,2016-12-08,2019-12-24,38
193,167,Textile & Sewing,Ceylon Co,United Arab Emirates,Bar Bender,2020-09-19,2021-10-19,14
195,169,Driving & Transportation,Construction Ltd,Qatar,Driver,2018-07-12,2021-05-14,35
196,169,Logistics & Warehousing,Sri Co,Saudi Arabia,Driver,2022-03-14,2023-01-14,11
197,171,Hospitality & Tourism,Ceylon Inc,Maldives,Shuttering Carpenter,2015-07-19,2022-12-16,91
198,172,Domestic Services,Ceylon Inc,Israel,Warehouse Worker,2015-12-05,2023-10-12,96
199,174,Domestic Services,Tech Solutions,Kuwait,Barista,2012-03-24,2014-03-17,25
200,174,Retail & Sales,Construction Group,Qatar,Barista,2015-12-09,2017-01-09,14
201,174,Manufacturing,Construction Plantations,Saudi Arabia,Barista,2019-12-19,2021-12-08,24
202,175,Driving & Transportation,Tech Corp,Jordan,Quality Control Inspector,2015-04-19,2017-07-08,28
203,175,Healthcare & Nursing,Island Pvt,Qatar,Quality Control Inspector,2018-02-02,2020-10-23,34
204,175,IT & Professional Services,Gem Corp,United Arab Emirates,Quality Control Inspector,2022-01-11,2025-05-11,41
205,177,Logistics & Warehousing,Lanka Pvt,Qatar,Construction Supervisor,2016-05-11,2024-03-04,96
207,181,Logistics & Warehousing,Tech Co,United Arab Emirates,Driver,2017-04-06,2018-10-04,19
208,181,Driving & Transportation,Island Pvt,Qatar,Driver,2022-04-11,2025-07-10,40
209,184,Construction,Gem Pvt,Saudi Arabia,Domestic Worker,2020-04-27,2022-10-08,30
210,187,IT & Professional Services,Tea Group,United Arab Emirates,Domestic Worker,2014-03-26,2014-08-25,6
211,187,IT & Professional Services,Hotel Group,Qatar,Domestic Worker,2014-12-03,2015-03-07,4
212,187,Domestic Services,Gem Inc,Canada,Domestic Worker,2015-09-21,2018-05-06,32
213,187,Construction,Ceylon Inc,Qatar,Domestic Worker,2019-04-04,2022-01-19,35
214,188,Garment & Apparel,Island Co,United Arab Emirates,Gardener,2014-06-22,2021-03-13,82
215,189,Domestic Services,Tech Pvt,Saudi Arabia,Nurse,2023-01-31,2023-12-10,11
216,191,Healthcare & Nursing,Ceylon Inc,Qatar,Caregiver,2020-07-30,2022-06-18,23
217,192,Cleaning Services,Hotel Inc,Saudi Arabia,Waiter,2017-09-22,2018-03-31,7
218,192,Construction,Ceylon Pvt,United Arab Emirates,Waiter,2019-12-31,2021-03-07,15
219,192,Domestic Services,Hotel Solutions,Saudi Arabia,Waiter,2022-04-19,2023-08-26,17
220,193,Healthcare & Nursing,Ceylon Co,Saudi Arabia,Electrician,2017-07-12,2018-04-11,10
221,193,Textile & Sewing,Tech Plantations,Saudi Arabia,Electrician,2020-03-25,2023-01-04,34
222,194,Cleaning Services,Sri Plantations,Seychelles,Hairdresser,2014-12-11,2015-01-23,2
223,194,Driving & Transportation,Gem Group,Kuwait,Hairdresser,2015-03-02,2017-02-14,24
224,194,Security Services,Construction Inc,Saudi Arabia,Hairdresser,2024-01-03,2025-03-25,15
225,196,Driving & Transportation,Ceylon Solutions,Qatar,Agricultural Worker,2014-08-16,2015-08-11,12
226,196,Engineering & Technical,Tea Co,Qatar,Agricultural Worker,2020-02-23,2020-08-12,6
227,197,Beauty & Personal Care,Construction Inc,Saudi Arabia,Laundry Worker,2016-12-14,2022-01-31,63
228,198,Agriculture & Fishery,Lanka Group,Kuwait,Nursing Assistant,2016-03-27,2016-06-02,3
229,198,Construction,Lanka Pvt,Lebanon,Nursing Assistant,2017-07-20,2018-05-10,10
230,198,Hospitality & Tourism,Tech Plantations,Saudi Arabia,Nursing Assistant,2021-01-22,2021-05-31,5
231,199,Domestic Services,Lanka Co,Kuwait,Caregiver,2014-10-09,2015-03-06,5
232,199,Domestic Services,Lanka Pvt,Kuwait,Caregiver,2016-07-24,2022-03-02,69
233,200,Security Services,Hotel Enterprises,Kuwait,Cleaner,2017-09-18,2019-03-17,19
234,200,Textile & Sewing,Tech Corp,Qatar,Cleaner,2021-09-08,2025-05-05,45
235,201,Textile & Sewing,Tech Enterprises,Saudi Arabia,Shuttering Carpenter,2015-11-29,2025-02-24,113
236,203,Driving & Transportation,Tech Co,United Arab Emirates,Delivery Driver,2019-11-21,2022-01-17,27
237,204,Beauty & Personal Care,Lanka Corp,Turkey,General Labourer,2018-06-22,2020-09-13,28
238,207,Construction,Island Plantations,Israel,House Driver,2013-07-03,2014-01-17,7
239,207,Garment & Apparel,Gem Plantations,Saudi Arabia,House Driver,2015-03-03,2015-11-10,9
240,207,Garment & Apparel,Lanka Pvt,United Kingdom,House Driver,2016-07-16,2019-05-04,35
241,207,Engineering & Technical,Tech Corp,Seychelles,House Driver,2022-03-20,2025-05-25,39
242,209,Manufacturing,Apparel Co,Saudi Arabia,Packing Worker,2018-11-21,2021-01-29,27
243,209,Driving & Transportation,Tea Ltd,Qatar,Packing Worker,2021-03-26,2025-05-07,51
244,213,Textile & Sewing,Island Co,Saudi Arabia,Nurse,2013-11-25,2017-10-17,48
245,215,Logistics & Warehousing,Gem Co,Saudi Arabia,Tailor,2011-03-03,2016-01-26,60
246,215,Hospitality & Tourism,Apparel Corp,Kuwait,Tailor,2016-12-24,2017-11-07,11
247,215,Construction,Sri Corp,Qatar,Tailor,2017-12-12,2018-03-14,4
248,215,Domestic Services,Tea Corp,United Arab Emirates,Tailor,2020-06-19,2021-09-03,15
249,216,Healthcare & Nursing,Ceylon Corp,Saudi Arabia,Room Attendant,2017-10-18,2020-09-06,36
250,216,Manufacturing,Gem Ltd,Romania,Room Attendant,2021-09-03,2021-12-29,4
251,216,Healthcare & Nursing,Hotel Group,Kuwait,Room Attendant,2022-11-13,2022-12-08,1
253,217,Security Services,Tea Group,Malaysia,Sewing Machine Operator,2017-07-19,2020-01-14,31
254,217,Garment & Apparel,Tea Co,Saudi Arabia,Sewing Machine Operator,2021-01-11,2022-05-30,17
255,219,Engineering & Technical,Tech Plantations,Kuwait,Fishery Worker,2013-02-09,2014-04-26,15
256,219,Garment & Apparel,Sri Solutions,Qatar,Fishery Worker,2015-05-18,2017-05-02,24
257,219,Garment & Apparel,Sri Corp,Saudi Arabia,Fishery Worker,2018-04-15,2020-10-21,31
258,220,Retail & Sales,Hotel Co,Qatar,Fishery Worker,2015-03-05,2019-06-17,53
259,220,Hospitality & Tourism,Construction Corp,United Arab Emirates,Fishery Worker,2019-09-25,2022-06-15,34
260,220,Engineering & Technical,Tech Inc,Kuwait,Fishery Worker,2022-11-26,2023-03-06,4
262,222,Driving & Transportation,Construction Pvt,Saudi Arabia,Driver,2016-11-15,2021-06-14,56
263,222,Driving & Transportation,Tech Group,Saudi Arabia,Driver,2023-11-05,2024-03-04,4
264,223,Textile & Sewing,Island Corp,Saudi Arabia,Construction Supervisor,2022-09-12,2024-07-23,23
265,226,Manufacturing,Tea Co,Saudi Arabia,Welder,2013-05-23,2014-05-27,13
266,226,Construction,Sri Co,Saudi Arabia,Welder,2021-11-06,2024-12-20,38
267,228,Manufacturing,Hotel Pvt,Qatar,Nurse,2011-09-30,2014-06-25,34
268,228,Engineering & Technical,Tea Enterprises,Qatar,Nurse,2014-06-25,2021-10-23,90
269,228,Facility Management,Island Solutions,United Arab Emirates,Nurse,2024-07-21,2024-10-30,4
270,229,Healthcare & Nursing,Island Enterprises,United Arab Emirates,Caregiver,2019-09-17,2022-10-04,38
271,231,Hospitality & Tourism,Hotel Solutions,Kuwait,Beautician,2016-12-05,2017-02-03,2
272,231,Construction,Construction Plantations,Romania,Beautician,2017-12-28,2019-01-26,14
273,232,Garment & Apparel,Tech Enterprises,Saudi Arabia,Nurse,2018-11-21,2022-05-06,43
274,233,Engineering & Technical,Sri Corp,Romania,House Driver,2011-03-01,2011-05-13,3
275,233,Education & Training,Apparel Ltd,Saudi Arabia,House Driver,2011-08-05,2012-03-21,8
276,233,Driving & Transportation,Construction Ltd,Saudi Arabia,House Driver,2013-03-12,2014-07-20,17
277,235,Logistics & Warehousing,Tech Group,Qatar,Security Guard,2015-01-01,2015-04-15,4
278,235,Logistics & Warehousing,Sri Solutions,Maldives,Security Guard,2016-04-02,2017-08-02,17
279,235,Facility Management,Construction Co,Kuwait,Security Guard,2017-09-27,2023-03-30,67
280,237,Engineering & Technical,Sri Inc,Singapore,Plumber,2013-07-04,2017-06-14,49
281,237,Education & Training,Sri Corp,United Arab Emirates,Plumber,2019-04-23,2020-10-25,19
282,239,Cleaning Services,Ceylon Ltd,Hong Kong,Agricultural Worker,2020-03-05,2021-02-28,12
283,240,Agriculture & Fishery,Gem Solutions,Kuwait,Cleaner,2012-01-26,2016-03-27,51
284,240,Logistics & Warehousing,Tea Plantations,Jordan,Cleaner,2023-11-28,2025-01-02,14
285,241,Hospitality & Tourism,Hotel Group,Maldives,Engineer,2014-03-16,2014-04-25,2
286,241,Agriculture & Fishery,Tech Pvt,Saudi Arabia,Engineer,2019-05-08,2019-10-16,6
287,242,Retail & Sales,Sri Plantations,Qatar,Domestic Worker,2015-09-29,2021-11-04,75
288,242,Construction,Apparel Corp,Kuwait,Domestic Worker,2022-05-21,2023-02-04,9
289,242,Driving & Transportation,Sri Corp,Russia,Domestic Worker,2023-03-04,2025-02-05,24
290,243,Logistics & Warehousing,Sri Enterprises,Kuwait,Barista,2013-10-04,2014-01-23,4
291,243,Healthcare & Nursing,Tech Co,Kuwait,Barista,2014-05-14,2021-10-11,91
292,243,Beauty & Personal Care,Tea Co,Kuwait,Barista,2023-03-30,2025-03-13,24
293,244,Domestic Services,Sri Group,Japan,Quality Control Inspector,2017-04-02,2017-04-07,1
294,244,Facility Management,Lanka Inc,Canada,Quality Control Inspector,2018-11-23,2021-05-16,31
