HigherEduID,PersonalID,QualificationType,CourseName,University,Year,Result
122,742,BSc,Computer Science Advanced,Eastern University,1992,Pass
123,756,MSc,Nursing Tech,University of Sri Jayewardenepura,2014,First Class
124,759,Higher Diploma,Hospitality Global,University of Kelaniya,1988,
125,759,Higher Diploma,Engineering Global,University of Ruhuna,2000,Merit
126,760,Diploma,Nursing Global,University of Colombo,1989,Pass
127,774,BA,Hospitality Advanced,University of Sri Jayewardenepura,1988,Pass
128,777,Higher Diploma,Nursing Global,Eastern University,1984,Merit
129,777,BSc,Hospitality Elite,University of Moratuwa,2012,First Class
130,782,BSc,Nursing International,University of Peradeniya,2001,First Class
131,805,BA,Hospitality Advanced,Open University of Sri Lanka,1985,Second Upper
132,818,BSc,Engineering Tech,University of Sri Jayewardenepura,1993,Second Upper
133,826,MSc,Engineering Premier,Open University of Sri Lanka,1984,Pass
134,828,Higher Diploma,Accounting Elite,Open University of Sri Lanka,2001,Second Lower
135,830,BA,Nursing Tech,University of Colombo,2018,Pass
136,834,MSc,Computer Science Elite,Open University of Sri Lanka,2000,Second Lower
137,837,Diploma,Engineering International,University of Ruhuna,1986,
138,842,Higher Diploma,Nursing Tech,University of Ruhuna,2002,First Class
139,849,Higher Diploma,Computer Science National,University of Jaffna,2002,
140,867,Diploma,Hospitality National,Open University of Sri Lanka,2014,First Class
141,877,MSc,Accounting Global,University of Kelaniya,1982,First Class
142,883,Diploma,Nursing Elite,Eastern University,2005,First Class
143,907,BSc,Computer Science Advanced,University of Moratuwa,1981,Pass
144,907,BSc,Nursing Global,Open University of Sri Lanka,2008,Merit
145,909,MSc,Accounting Advanced,University of Moratuwa,2014,
146,920,BA,Business Premier,Open University of Sri Lanka,1998,Merit
147,940,Diploma,Accounting Elite,University of Peradeniya,2017,Pass
148,945,MSc,Business Global,University of Jaffna,1993,First Class
149,947,BSc,Nursing Tech,University of Moratuwa,2021,Pass
150,950,Diploma,Accounting National,University of Jaffna,1985,Second Lower
151,956,Higher Diploma,Business Tech,Eastern University,2013,Pass
152,967,Diploma,Hospitality Elite,University of Peradeniya,2015,Second Upper
153,981,MSc,Accounting Tech,University of Moratuwa,1986,Pass
154,987,Diploma,Nursing Global,University of Sri Jayewardenepura,2013,First Class
155,989,BSc,Nursing Premier,University of Moratuwa,1985,Second Lower
156,991,Higher Diploma,Engineering International,University of Sri Jayewardenepura,2007,
157,994,Diploma,Accounting National,University of Jaffna,2017,
158,1000,Higher Diploma,Hospitality Advanced,University of Jaffna,2011,
159,1004,MSc,Engineering National,University of Moratuwa,2007,First Class
160,1011,BA,Accounting National,University of Colombo,1986,Second Upper
161,1014,MSc,Accounting Premier,University of Ruhuna,1980,Second Lower
162,1014,BSc,Hospitality Tech,Sabaragamuwa University of Sri Lanka,2014,Second Upper
163,1018,Diploma,Nursing Global,University of Colombo,2007,Second Upper
164,1021,Diploma,Accounting Advanced,University of Peradeniya,2014,First Class
165,1028,MSc,Business International,University of Peradeniya,1985,Pass
166,1031,MSc,Nursing Premier,University of Colombo,1995,Pass
167,1053,BSc,Nursing Elite,University of Peradeniya,1999,
168,1062,Higher Diploma,Accounting Global,University of Sri Jayewardenepura,2023,First Class
169,1067,Higher Diploma,Computer Science Global,University of Ruhuna,1985,Pass
170,1068,Higher Diploma,Engineering Premier,University of Moratuwa,1981,Pass
171,1074,BSc,Accounting Elite,Open University of Sri Lanka,2005,Second Upper
172,1078,BSc,Nursing Advanced,University of Peradeniya,2000,Pass
173,1085,MSc,Hospitality Advanced,University of Sri Jayewardenepura,2012,Merit
174,1086,BSc,Engineering International,University of Kelaniya,2013,Merit
175,1106,Diploma,Business International,Eastern University,1992,
176,1121,Diploma,Business Tech,University of Sri Jayewardenepura,2010,Pass
177,1121,BA,Engineering Elite,University of Colombo,2021,
178,1122,BSc,Business Elite,University of Ruhuna,2009,Merit
179,1128,Diploma,Engineering Global,University of Colombo,2019,Second Lower
180,1130,Diploma,Accounting Elite,Sabaragamuwa University of Sri Lanka,2013,
181,1151,BSc,Computer Science Global,University of Moratuwa,2012,Second Lower
182,1173,MSc,Nursing Advanced,Sabaragamuwa University of Sri Lanka,2014,Second Lower
183,1176,Higher Diploma,Business Tech,University of Peradeniya,1999,Second Upper
184,1190,Diploma,Hospitality International,University of Jaffna,2008,Second Lower
185,1192,Higher Diploma,Hospitality Tech,University of Ruhuna,1985,Pass
186,1192,Higher Diploma,Hospitality Global,Sabaragamuwa University of Sri Lanka,1995,Pass
187,1192,Higher Diploma,Nursing Global,University of Colombo,1994,Merit
188,1200,Higher Diploma,Computer Science International,Open University of Sri Lanka,2016,
189,1204,MSc,Nursing Tech,Eastern University,1992,Second Upper
190,1228,BA,Engineering Elite,University of Ruhuna,1990,Second Lower
191,1231,Higher Diploma,Computer Science Tech,Open University of Sri Lanka,1999,First Class
192,1235,BA,Business International,University of Sri Jayewardenepura,1982,Second Lower
193,1239,BSc,Business National,University of Ruhuna,1983,Pass
194,1252,Diploma,Accounting Global,University of Jaffna,1994,First Class
195,1255,BA,Engineering Elite,University of Peradeniya,1998,Pass
196,1261,Diploma,Accounting International,Sabaragamuwa University of Sri Lanka,1996,Pass
197,1272,BSc,Nursing Advanced,Sabaragamuwa University of Sri Lanka,2021,Second Lower
198,1273,Diploma,Nursing National,Sabaragamuwa University of Sri Lanka,2006,Merit
199,1274,MSc,Hospitality Global,University of Moratuwa,1984,Second Upper
200,1278,Diploma,Hospitality Tech,University of Kelaniya,2019,Merit
201,1284,BSc,Accounting Global,University of Ruhuna,1998,
202,1292,BSc,Nursing Premier,University of Kelaniya,2015,Second Lower
203,1292,BA,Accounting National,Sabaragamuwa University of Sri Lanka,2000,First Class
204,1292,BA,Computer Science Advanced,Sabaragamuwa University of Sri Lanka,1988,First Class
205,1300,Diploma,Computer Science International,University of Moratuwa,2023,Merit
206,1306,MSc,Engineering Premier,Sabaragamuwa University of Sri Lanka,1982,Second Lower
207,1311,BA,Business Advanced,University of Kelaniya,2016,Second Lower
208,1317,Diploma,Nursing International,University of Sri Jayewardenepura,2002,Second Lower
209,1323,Higher Diploma,Engineering Global,University of Moratuwa,2015,Merit
210,1324,Higher Diploma,Business Elite,Open University of Sri Lanka,1980,Pass
211,1324,Diploma,Accounting Elite,University of Colombo,2010,Pass
212,1325,BA,Nursing Elite,University of Moratuwa,1984,First Class
213,1325,MSc,Hospitality Elite,Sabaragamuwa University of Sri Lanka,1999,Pass
214,1325,Higher Diploma,Business Tech,Open University of Sri Lanka,1988,Second Upper
215,1348,Higher Diploma,Nursing Premier,University of Moratuwa,1981,
216,1351,BSc,Computer Science Premier,University of Ruhuna,1993,Second Lower
217,1365,BA,Nursing Elite,University of Peradeniya,1981,
218,1366,BSc,Hospitality International,University of Peradeniya,1994,First Class
219,1375,Higher Diploma,Hospitality Tech,University of Kelaniya,1981,Merit
220,1382,MSc,Business National,University of Moratuwa,1986,Pass
221,1389,MSc,Hospitality National,University of Sri Jayewardenepura,2001,Merit
222,1407,Higher Diploma,Engineering Global,University of Jaffna,1982,Merit
223,1413,Diploma,Computer Science National,University of Colombo,2025,First Class
224,1434,Diploma,Accounting Elite,University of Colombo,1983,Pass
225,1439,BA,Business Global,Sabaragamuwa University of Sri Lanka,2023,First Class
226,1466,MSc,Accounting Global,Eastern University,2011,Second Upper
227,1469,Higher Diploma,Computer Science Global,University of Jaffna,2020,Second Upper
228,1478,Diploma,Nursing Tech,University of Kelaniya,1997,Merit
229,1486,BSc,Accounting Global,Eastern University,1985,Second Lower
230,1554,BA,Hospitality National,University of Kelaniya,2011,Second Upper
231,1558,Diploma,Business Advanced,University of Peradeniya,1989,Pass
232,1569,MSc,Business Advanced,University of Moratuwa,2015,Second Upper
233,1573,BA,Accounting Global,University of Peradeniya,2025,First Class
234,1573,BSc,Nursing Elite,University of Colombo,1999,
235,1579,Diploma,Nursing International,University of Moratuwa,1996,Merit
236,1583,BSc,Nursing Global,University of Ruhuna,2018,Pass
237,1590,BA,Computer Science Tech,University of Jaffna,2013,
238,1590,Diploma,Business Elite,University of Peradeniya,1986,Second Lower
239,1597,BA,Business National,University of Peradeniya,1988,First Class
240,1598,BSc,Computer Science Elite,University of Kelaniya,2011,Pass
241,1598,BA,Computer Science Global,University of Kelaniya,2012,Second Lower
242,1611,BA,Business Advanced,University of Colombo,1994,Pass
243,1619,BSc,Hospitality Tech,University of Peradeniya,2020,Second Upper
244,1621,Diploma,Hospitality Elite,University of Peradeniya,2021,Second Lower
245,1623,BA,Accounting Advanced,University of Jaffna,1990,Second Upper
246,1624,Higher Diploma,Business Premier,University of Colombo,2001,
247,1625,BSc,Computer Science International,University of Sri Jayewardenepura,2021,Merit
248,1629,Diploma,Engineering National,Sabaragamuwa University of Sri Lanka,1982,Second Lower
249,1632,MSc,Accounting Elite,University of Moratuwa,1994,Pass
250,1635,MSc,Engineering International,University of Colombo,2015,First Class
251,1636,Diploma,Computer Science Elite,University of Moratuwa,1981,Pass
252,1636,MSc,Accounting Tech,University of Colombo,1985,Second Upper
253,1636,BA,Engineering Global,University of Peradeniya,1991,Second Upper
254,1639,BSc,Nursing Elite,University of Jaffna,1983,Second Upper
255,1644,Diploma,Computer Science Premier,University of Peradeniya,2006,First Class
256,1661,BA,Business Tech,Sabaragamuwa University of Sri Lanka,1991,Merit
257,1666,BA,Business Elite,University of Sri Jayewardenepura,2014,
258,1668,BA,Engineering Advanced,University of Jaffna,2018,Second Upper
259,1671,BA,Hospitality Premier,Eastern University,1999,
260,1684,MSc,Nursing Advanced,Eastern University,2007,Second Upper
261,1687,Diploma,Engineering International,University of Colombo,2023,First Class
262,1689,Higher Diploma,Computer Science National,University of Jaffna,1983,Pass
263,1689,Diploma,Hospitality International,Sabaragamuwa University of Sri Lanka,1992,Merit
264,1692,Diploma,Hospitality Tech,University of Kelaniya,2024,Second Upper
265,1696,Higher Diploma,Computer Science Premier,University of Kelaniya,1990,Pass
266,1699,Higher Diploma,Business National,University of Jaffna,2009,
267,1723,BSc,Accounting Advanced,University of Ruhuna,1980,Second Lower
268,1728,Diploma,Computer Science Elite,University of Sri Jayewardenepura,2008,
269,1728,BA,Hospitality Advanced,University of Peradeniya,1993,
270,1728,BA,Computer Science National,University of Ruhuna,1980,Second Upper
271,1731,BA,Hospitality Elite,University of Moratuwa,1998,Pass
272,1750,Higher Diploma,Computer Science International,University of Kelaniya,2016,Second Upper
273,1751,Higher Diploma,Nursing Tech,Sabaragamuwa University of Sri Lanka,2008,Second Lower
274,1758,BSc,Business Global,University of Moratuwa,2017,Second Lower
275,1758,Higher Diploma,Computer Science Elite,University of Peradeniya,1982,Second Upper
276,1763,Higher Diploma,Hospitality Elite,University of Jaffna,2000,First Class
277,1767,BSc,Nursing Global,University of Sri Jayewardenepura,2015,Merit
278,1780,Diploma,Engineering Advanced,Sabaragamuwa University of Sri Lanka,2014,Pass
279,1802,BA,Computer Science Premier,University of Jaffna,2020,Second Upper
280,1806,Higher Diploma,Accounting International,University of Kelaniya,2018,Second Lower
281,1815,MSc,Computer Science Tech,Sabaragamuwa University of Sri Lanka,2021,Second Lower
282,1815,Higher Diploma,Business Global,Eastern University,2003,Pass
283,1830,Higher Diploma,Engineering Tech,Open University of Sri Lanka,2025,Second Upper
284,1830,Diploma,Computer Science Premier,Eastern University,1997,Second Upper
285,1840,BA,Nursing National,University of Ruhuna,2014,Merit
286,1840,MSc,Computer Science Advanced,University of Kelaniya,2004,Second Upper
287,1851,BSc,Computer Science Premier,University of Peradeniya,2004,Second Lower
288,1853,BA,Accounting Advanced,University of Colombo,2010,Second Lower
289,1866,MSc,Computer Science Elite,University of Ruhuna,2011,Second Upper
290,1868,MSc,Nursing National,University of Colombo,1998,
291,1873,MSc,Accounting Elite,University of Ruhuna,1980,Pass
292,1874,Diploma,Nursing International,University of Ruhuna,2015,Pass
293,1874,BSc,Accounting Premier,Eastern University,2012,Second Lower
294,1874,Diploma,Computer Science Advanced,University of Peradeniya,2021,Second Upper
295,1878,BSc,Accounting Premier,Sabaragamuwa University of Sri Lanka,1989,Second Upper
296,1878,BSc,Engineering National,Open University of Sri Lanka,2006,Pass
297,1881,Diploma,Hospitality Global,University of Jaffna,1996,First Class
298,1886,BSc,Hospitality Tech,University of Ruhuna,1983,Merit
299,1892,BSc,Accounting Tech,University of Moratuwa,2005,
300,1895,BSc,Business Global,University of Moratuwa,2018,Pass
301,1897,Diploma,Hospitality National,University of Colombo,2021,Merit
302,1899,Higher Diploma,Business National,University of Kelaniya,1983,Merit
303,1903,Diploma,Engineering Advanced,University of Colombo,2018,
304,1903,BA,Nursing Advanced,University of Ruhuna,2011,First Class
305,1905,BA,Hospitality Advanced,University of Peradeniya,1983,Pass
306,1906,Diploma,Hospitality Advanced,University of Kelaniya,1989,First Class
307,1913,MSc,Business National,University of Ruhuna,2020,Merit
308,1913,MSc,Engineering Premier,Eastern University,2008,Merit
309,1919,Diploma,Accounting International,University of Kelaniya,1993,First Class
310,1923,BSc,Hospitality Elite,University of Moratuwa,2008,Second Upper
311,1927,MSc,Business National,University of Peradeniya,2007,Second Upper
312,1930,BSc,Nursing International,University of Moratuwa,2017,
313,1944,BA,Accounting National,University of Kelaniya,2009,Second Upper
314,1944,BA,Hospitality Advanced,University of Moratuwa,2020,First Class
315,1947,Higher Diploma,Accounting Tech,University of Peradeniya,2002,Pass
316,1950,BA,Computer Science National,Eastern University,1984,First Class
317,1952,BSc,Computer Science National,University of Peradeniya,2012,
318,1959,Diploma,Nursing Advanced,University of Ruhuna,2002,Second Lower
319,1964,BSc,Nursing International,University of Ruhuna,2009,Merit
320,1973,BA,Computer Science Elite,University of Sri Jayewardenepura,1995,
321,1974,MSc,Hospitality National,Sabaragamuwa University of Sri Lanka,1999,
322,1978,BSc,Nursing Advanced,University of Moratuwa,2004,
323,1981,Higher Diploma,Computer Science Tech,Open University of Sri Lanka,1999,Second Lower
324,2002,MSc,Engineering Advanced,University of Moratuwa,1992,
325,2013,BSc,Computer Science International,Sabaragamuwa University of Sri Lanka,2023,Merit
326,2017,BSc,Accounting Advanced,University of Jaffna,1993,Second Lower
327,2020,BA,Computer Science Global,University of Moratuwa,1985,Second Lower
328,2024,BSc,Accounting Elite,University of Jaffna,2000,Pass
329,2024,Higher Diploma,Engineering International,University of Jaffna,2010,
330,2024,MSc,Computer Science Advanced,University of Ruhuna,2003,Second Upper
331,2026,Higher Diploma,Engineering Elite,Eastern University,2011,Pass
332,2035,Diploma,Business Premier,University of Sri Jayewardenepura,1986,Pass
333,2039,BA,Nursing Global,Sabaragamuwa University of Sri Lanka,2023,Pass
334,2041,BSc,Hospitality International,University of Colombo,1980,
335,2063,Higher Diploma,Engineering Global,University of Ruhuna,2009,Second Upper
336,2064,Higher Diploma,Business Tech,University of Ruhuna,1984,
337,2064,Diploma,Accounting Global,University of Kelaniya,1986,Merit
338,2070,BSc,Computer Science International,Open University of Sri Lanka,2007,First Class
339,2096,Higher Diploma,Nursing Advanced,Sabaragamuwa University of Sri Lanka,1989,Second Lower
340,2107,Diploma,Accounting International,University of Sri Jayewardenepura,2006,Second Upper
341,2112,Higher Diploma,Accounting Tech,University of Colombo,2009,First Class
342,2116,Diploma,Hospitality Premier,Open University of Sri Lanka,2002,Merit
343,2116,Higher Diploma,Nursing International,University of Moratuwa,2008,
344,2125,MSc,Computer Science Tech,University of Ruhuna,2000,Second Lower
345,2141,BSc,Business Advanced,University of Ruhuna,2000,Second Lower
346,2147,Diploma,Computer Science Elite,University of Sri Jayewardenepura,2020,Merit
347,2147,Higher Diploma,Business Premier,University of Colombo,2021,Second Upper
348,2156,Higher Diploma,Nursing Premier,University of Colombo,1994,Second Upper
349,2157,Diploma,Hospitality Premier,University of Colombo,2013,Second Upper
350,2160,Higher Diploma,Hospitality National,Sabaragamuwa University of Sri Lanka,1989,
351,2160,Higher Diploma,Nursing International,University of Jaffna,2021,Pass
352,2168,Higher Diploma,Business International,Open University of Sri Lanka,2020,First Class
353,2168,Diploma,Accounting Advanced,University of Colombo,1991,First Class
354,2168,BA,Engineering Elite,Open University of Sri Lanka,2012,
355,2171,BSc,Hospitality Elite,University of Peradeniya,2000,Merit
356,2182,MSc,Nursing International,University of Jaffna,1980,
357,2189,MSc,Accounting National,University of Moratuwa,1980,Second Lower
358,2194,Higher Diploma,Accounting National,University of Kelaniya,2016,
359,2203,Diploma,Nursing Advanced,University of Sri Jayewardenepura,2000,Merit
360,2204,Diploma,Accounting Premier,University of Jaffna,2017,Second Upper
361,2204,Diploma,Engineering Advanced,University of Sri Jayewardenepura,1980,
362,2220,Diploma,Business International,University of Ruhuna,1999,
363,2225,MSc,Accounting Elite,University of Colombo,1992,First Class
364,2228,Higher Diploma,Business Global,University of Sri Jayewardenepura,2011,First Class
365,2229,Higher Diploma,Business Elite,University of Kelaniya,1993,Pass
366,2243,BA,Engineering Advanced,University of Colombo,1998,
367,2243,BA,Hospitality National,University of Ruhuna,1990,Merit
368,2247,Diploma,Hospitality Tech,University of Sri Jayewardenepura,1989,First Class
369,2249,BSc,Accounting International,Eastern University,2008,Second Upper
370,2252,Higher Diploma,Computer Science Elite,Sabaragamuwa University of Sri Lanka,1997,Second Upper
371,2259,Higher Diploma,Engineering International,Open University of Sri Lanka,1985,
372,2259,BA,Hospitality Premier,University of Kelaniya,2015,Merit
373,2270,MSc,Business National,University of Peradeniya,2013,Merit
374,2272,Higher Diploma,Engineering Advanced,University of Peradeniya,1988,First Class
375,2278,BSc,Nursing Advanced,University of Colombo,2008,Second Lower
376,2288,BA,Business Premier,University of Sri Jayewardenepura,2017,Merit
377,2300,Higher Diploma,Engineering Global,University of Peradeniya,2005,
378,2311,MSc,Nursing Advanced,Sabaragamuwa University of Sri Lanka,1994,Second Lower
379,2311,BA,Accounting National,University of Sri Jayewardenepura,1989,Pass
380,2320,Diploma,Engineering Premier,University of Moratuwa,1991,Merit
381,2335,Higher Diploma,Computer Science Elite,Sabaragamuwa University of Sri Lanka,2003,First Class
382,2356,Diploma,Computer Science Tech,University of Jaffna,2002,First Class
383,2356,MSc,Computer Science Global,Eastern University,1985,Pass
384,2359,BA,Business Tech,Open University of Sri Lanka,2007,First Class
385,2388,BA,Hospitality Premier,University of Peradeniya,2013,Merit
386,2390,Higher Diploma,Business International,University of Moratuwa,2021,Pass
387,2393,Diploma,Hospitality Premier,University of Moratuwa,2017,Second Lower
388,2394,MSc,Hospitality Global,University of Colombo,2001,Merit
389,2406,MSc,Engineering Global,Eastern University,2018,First Class
390,2406,MSc,Accounting Advanced,University of Moratuwa,1999,Second Lower
391,2407,BA,Business International,Sabaragamuwa University of Sri Lanka,1993,Pass
392,2428,MSc,Engineering International,University of Peradeniya,2023,Second Lower
393,2428,Diploma,Nursing International,Open University of Sri Lanka,1996,First Class
394,2458,BA,Computer Science National,University of Moratuwa,2018,Pass
395,2458,BSc,Hospitality Tech,Eastern University,1987,Second Lower
396,2468,MSc,Engineering International,University of Ruhuna,1998,Second Lower
397,2485,Higher Diploma,Hospitality Elite,Sabaragamuwa University of Sri Lanka,1988,First Class
398,2487,Higher Diploma,Engineering National,University of Moratuwa,1998,
399,2493,MSc,Accounting Premier,University of Peradeniya,2009,
400,2494,MSc,Engineering Tech,University of Moratuwa,1989,Merit
401,2502,MSc,Accounting Advanced,University of Kelaniya,1986,Pass
402,2506,BA,Engineering Premier,University of Colombo,2008,Pass
403,2509,Higher Diploma,Accounting Advanced,University of Colombo,1986,Merit
404,2510,Diploma,Nursing National,Eastern University,2004,Merit
