ContractID,ApplicationID,JobID,EmployerID,PersonalID,ContractNumber,ContractStartDate,ContractEndDate,RenewalEligible,ContractStatus,SignedDate,Remarks,CreatedDate
39,490,3586,88,174,C0000039,2025-02-20,2026-05-23,0,Terminated,2025-02-20,Probation period,2025-02-20
40,503,1985,7,179,C0000040,2025-09-14,2027-02-17,0,Active,2025-09-14,,2025-09-14
41,505,1906,65,181,C0000041,2026-05-20,2027-03-20,0,Active,2026-05-20,Probation period,2026-05-20
42,506,3762,34,181,C0000042,2024-11-21,2027-07-29,0,Expired,2024-11-21,Probation period,2024-11-21
43,507,4886,13,181,C0000043,2024-10-21,2026-04-15,1,Terminated,2024-10-21,Training provided,2024-10-21
44,521,1630,51,185,C0000044,2024-07-26,2025-06-08,0,Expired,2024-07-26,Standard contract,2024-07-26
45,523,3053,41,186,C0000045,2025-07-11,2026-02-04,0,Expired,2025-07-11,,2025-07-11
46,529,4405,39,186,C0000046,2024-06-13,2026-03-20,0,Expired,2024-06-13,Probation period,2024-06-13
47,532,974,5,188,C0000047,2026-03-18,2026-12-24,1,Completed,2026-03-18,Probation period,2026-03-18
48,533,1158,21,188,C0000048,2024-06-28,2024-09-11,1,Active,2024-06-28,Standard contract,2024-06-28
49,573,4611,53,200,C0000049,2025-09-03,2025-09-16,1,Active,2025-09-03,,2025-09-03
50,576,2328,17,200,C0000050,2026-02-21,2026-08-31,0,Terminated,2026-02-21,,2026-02-21
51,599,2458,12,210,C0000051,2025-05-05,2026-08-30,0,Completed,2025-05-05,Training provided,2025-05-05
52,605,1069,57,211,C0000052,2026-01-08,2026-05-19,1,Terminated,2026-01-08,Training provided,2026-01-08
53,614,1249,34,213,C0000053,2026-08-22,2027-04-24,0,Terminated,2026-08-22,,2026-08-22
54,637,2014,71,222,C0000054,2024-08-17,2025-04-07,1,Completed,2024-08-17,Standard contract,2024-08-17
55,644,4720,55,225,C0000055,2026-02-19,2026-07-20,1,Completed,2026-02-19,,2026-02-19
56,647,4625,37,226,C0000056,2025-12-23,2026-12-27,1,Active,2025-12-23,Training provided,2025-12-23
57,652,2683,73,228,C0000057,2026-03-06,2027-06-11,1,Terminated,2026-03-06,Requires visa,2026-03-06
58,660,2331,35,231,C0000058,2025-09-05,2026-10-06,1,Completed,2025-09-05,Probation period,2025-09-05
59,670,861,9,234,C0000059,2026-04-24,2026-12-23,0,Active,2026-04-24,Training provided,2026-04-24
60,688,3108,65,241,C0000060,2025-04-03,2027-05-27,1,Completed,2025-04-03,,2025-04-03
61,704,4135,86,246,C0000061,2026-07-05,2027-08-17,0,Terminated,2026-07-05,Probation period,2026-07-05
62,714,1666,16,249,C0000062,2026-03-27,2026-10-19,0,Expired,2026-03-27,Probation period,2026-03-27
63,717,1175,84,250,C0000063,2026-01-25,2027-03-24,0,Active,2026-01-25,,2026-01-25
64,725,4552,2,255,C0000064,2025-09-07,2027-04-29,0,Expired,2025-09-07,Standard contract,2025-09-07
65,732,1353,28,256,C0000065,2025-02-19,2025-06-16,0,Expired,2025-02-19,Standard contract,2025-02-19
66,752,4575,26,263,C0000066,2024-07-30,2026-11-01,0,Active,2024-07-30,Requires visa,2024-07-30
67,761,993,85,266,C0000067,2025-07-05,2026-10-02,1,Terminated,2025-07-05,Standard contract,2025-07-05
68,770,3803,18,273,C0000068,2024-11-15,2025-07-28,1,Active,2024-11-15,,2024-11-15
69,777,4799,8,275,C0000069,2026-04-17,2026-05-28,0,Expired,2026-04-17,,2026-04-17
70,779,1050,55,276,C0000070,2025-09-22,2025-11-07,0,Active,2025-09-22,Requires visa,2025-09-22
71,782,3169,61,276,C0000071,2024-12-18,2025-04-22,1,Active,2024-12-18,,2024-12-18
72,786,2194,73,277,C0000072,2024-08-03,2026-02-07,1,Expired,2024-08-03,Standard contract,2024-08-03
73,791,4191,15,278,C0000073,2025-11-19,2026-02-18,0,Active,2025-11-19,Standard contract,2025-11-19
74,801,4540,20,281,C0000074,2025-06-11,2025-09-17,0,Active,2025-06-11,,2025-06-11
75,822,3259,22,290,C0000075,2025-11-30,2027-02-26,1,Active,2025-11-30,Training provided,2025-11-30
76,834,4024,41,294,C0000076,2025-09-29,2027-03-29,1,Expired,2025-09-29,,2025-09-29
77,852,2428,52,299,C0000077,2024-10-03,2026-12-03,1,Terminated,2024-10-03,Standard contract,2024-10-03
78,856,3798,90,300,C0000078,2025-12-12,2027-01-23,1,Completed,2025-12-12,Requires visa,2025-12-12
79,858,4571,21,301,C0000079,2025-10-05,2027-01-13,1,Expired,2025-10-05,Probation period,2025-10-05
80,869,2838,28,307,C0000080,2026-08-14,2026-10-03,0,Terminated,2026-08-14,Standard contract,2026-08-14
81,886,4483,36,312,C0000081,2026-01-29,2027-07-26,1,Active,2026-01-29,Standard contract,2026-01-29
82,897,3772,3,314,C0000082,2025-09-30,2026-06-05,0,Active,2025-09-30,,2025-09-30
83,914,746,11,320,C0000083,2025-10-27,2027-02-19,0,Active,2025-10-27,Training provided,2025-10-27
84,916,4412,69,322,C0000084,2025-07-19,2025-08-29,0,Active,2025-07-19,,2025-07-19
85,917,3981,6,322,C0000085,2026-01-27,2026-07-31,0,Expired,2026-01-27,Standard contract,2026-01-27
86,930,3302,84,325,C0000086,2025-09-28,2026-09-03,1,Completed,2025-09-28,,2025-09-28
87,934,2751,50,326,C0000087,2025-11-22,2027-02-10,0,Terminated,2025-11-22,,2025-11-22
88,936,3841,59,327,C0000088,2025-10-22,2027-07-20,0,Expired,2025-10-22,Training provided,2025-10-22
89,953,1598,71,333,C0000089,2026-01-26,2026-06-07,0,Terminated,2026-01-26,Probation period,2026-01-26
90,976,2708,27,342,C0000090,2024-06-16,2025-01-05,0,Completed,2024-06-16,Training provided,2024-06-16
91,982,3950,38,344,C0000091,2024-10-16,2026-12-18,0,Expired,2024-10-16,Standard contract,2024-10-16
92,996,4637,7,350,C0000092,2026-03-06,2026-04-07,0,Completed,2026-03-06,Requires visa,2026-03-06
93,1013,1873,70,355,C0000093,2026-06-26,2027-02-12,1,Active,2026-06-26,Probation period,2026-06-26
94,1043,968,85,365,C0000094,2025-07-01,2025-08-05,0,Expired,2025-07-01,Requires visa,2025-07-01
95,1049,1563,65,366,C0000095,2026-03-03,2027-01-30,0,Expired,2026-03-03,Standard contract,2026-03-03
96,1052,2039,25,367,C0000096,2025-11-26,2027-05-08,0,Completed,2025-11-26,,2025-11-26
97,1056,2319,72,371,C0000097,2024-10-13,2025-07-10,1,Completed,2024-10-13,Training provided,2024-10-13
98,1106,3510,30,390,C0000098,2025-10-24,2027-01-05,1,Expired,2025-10-24,Requires visa,2025-10-24
99,1110,623,9,392,C0000099,2026-05-13,2027-01-25,0,Active,2026-05-13,Training provided,2026-05-13
100,1175,173,88,414,C0000100,2025-12-30,2026-05-20,1,Terminated,2025-12-30,,2025-12-30
101,1177,4067,23,414,C0000101,2025-11-27,2026-03-21,0,Completed,2025-11-27,Training provided,2025-11-27
102,1183,3065,82,419,C0000102,2026-04-11,2027-03-19,1,Expired,2026-04-11,Training provided,2026-04-11
103,1196,2993,89,423,C0000103,2026-03-29,2026-10-31,1,Completed,2026-03-29,Training provided,2026-03-29
104,1202,1497,87,425,C0000104,2026-04-20,2026-07-21,1,Expired,2026-04-20,,2026-04-20
105,1205,4935,66,427,C0000105,2026-06-10,2026-06-18,1,Expired,2026-06-10,Training provided,2026-06-10
106,1211,294,27,428,C0000106,2026-08-07,2027-03-01,0,Expired,2026-08-07,,2026-08-07
107,1228,2695,68,432,C0000107,2026-03-25,2027-07-09,1,Terminated,2026-03-25,Probation period,2026-03-25
108,1233,1133,9,434,C0000108,2024-03-15,2025-11-25,1,Active,2024-03-15,Training provided,2024-03-15
109,1235,804,33,435,C0000109,2025-06-06,2027-03-31,0,Expired,2025-06-06,Probation period,2025-06-06
110,1245,1977,5,437,C0000110,2025-05-22,2026-06-15,1,Terminated,2025-05-22,Probation period,2025-05-22
111,1249,2296,76,438,C0000111,2026-06-03,2027-01-28,0,Terminated,2026-06-03,Probation period,2026-06-03
112,1285,409,15,451,C0000112,2026-05-15,2026-10-09,1,Completed,2026-05-15,Standard contract,2026-05-15
113,1286,3786,13,453,C0000113,2025-12-25,2026-02-18,0,Completed,2025-12-25,Requires visa,2025-12-25
114,1289,1283,3,454,C0000114,2024-11-20,2027-06-14,0,Active,2024-11-20,Requires visa,2024-11-20
115,1305,3128,61,459,C0000115,2025-05-17,2027-06-18,1,Completed,2025-05-17,Training provided,2025-05-17
116,1314,3647,30,461,C0000116,2024-11-10,2024-12-18,0,Expired,2024-11-10,Training provided,2024-11-10
117,1315,2084,82,461,C0000117,2026-08-28,2027-01-25,0,Expired,2026-08-28,Requires visa,2026-08-28
118,1326,2991,11,464,C0000118,2025-07-28,2027-02-11,1,Active,2025-07-28,,2025-07-28
119,1330,2408,24,465,C0000119,2024-09-02,2027-01-01,0,Terminated,2024-09-02,,2024-09-02
120,1336,2494,59,467,C0000120,2026-08-21,2027-01-07,1,Terminated,2026-08-21,Standard contract,2026-08-21
121,1354,2890,78,472,C0000121,2025-07-29,2026-10-26,1,Expired,2025-07-29,Requires visa,2025-07-29
122,1358,668,16,474,C0000122,2025-11-17,2025-12-27,0,Completed,2025-11-17,Standard contract,2025-11-17
123,1368,4701,70,477,C0000123,2026-03-04,2026-07-03,0,Completed,2026-03-04,Training provided,2026-03-04
124,1372,3889,33,478,C0000124,2026-02-17,2026-12-19,0,Expired,2026-02-17,Training provided,2026-02-17
125,1375,2726,19,479,C0000125,2026-06-18,2026-12-31,1,Active,2026-06-18,Training provided,2026-06-18
126,1377,1465,78,480,C0000126,2025-04-21,2026-12-20,1,Completed,2025-04-21,Standard contract,2025-04-21
127,1384,4046,40,482,C0000127,2026-03-19,2026-10-13,0,Active,2026-03-19,Training provided,2026-03-19
128,1389,4024,41,484,C0000128,2026-08-28,2027-04-10,0,Expired,2026-08-28,Training provided,2026-08-28
129,1397,3132,72,489,C0000129,2026-07-18,2027-05-09,1,Expired,2026-07-18,Probation period,2026-07-18
130,1402,1628,36,491,C0000130,2024-11-17,2027-08-09,1,Completed,2024-11-17,Training provided,2024-11-17
131,1410,3818,74,493,C0000131,2025-09-14,2027-03-01,0,Active,2025-09-14,,2025-09-14
132,1418,3387,11,495,C0000132,2025-03-10,2027-07-28,1,Active,2025-03-10,Requires visa,2025-03-10
133,1422,1288,50,498,C0000133,2025-12-13,2026-07-17,1,Expired,2025-12-13,Training provided,2025-12-13
134,1426,4216,9,500,C0000134,2025-04-01,2026-12-13,1,Terminated,2025-04-01,Training provided,2025-04-01
135,1435,2708,27,503,C0000135,2023-10-17,2024-03-08,1,Expired,2023-10-17,Requires visa,2023-10-17
136,1445,2656,33,506,C0000136,2025-07-11,2027-05-17,1,Terminated,2025-07-11,Training provided,2025-07-11
137,1452,1243,57,508,C0000137,2025-04-28,2027-02-09,1,Active,2025-04-28,Probation period,2025-04-28
138,1459,3438,39,509,C0000138,2025-08-11,2026-01-01,1,Expired,2025-08-11,Requires visa,2025-08-11
139,1471,1637,24,513,C0000139,2026-03-11,2027-08-13,1,Expired,2026-03-11,Training provided,2026-03-11
140,1473,3259,22,513,C0000140,2026-02-28,2026-08-18,0,Active,2026-02-28,Probation period,2026-02-28
141,1479,1360,33,514,C0000141,2025-12-27,2027-05-11,0,Completed,2025-12-27,Requires visa,2025-12-27
142,1498,1890,55,522,C0000142,2024-12-11,2027-06-13,0,Expired,2024-12-11,Standard contract,2024-12-11
143,1501,3597,9,524,C0000143,2026-01-20,2027-01-20,0,Terminated,2026-01-20,Training provided,2026-01-20
144,1503,820,51,524,C0000144,2025-07-25,2025-10-28,0,Active,2025-07-25,Training provided,2025-07-25
145,1516,3481,14,532,C0000145,2024-03-30,2026-08-20,1,Active,2024-03-30,Training provided,2024-03-30
146,1551,308,60,541,C0000146,2025-08-02,2025-11-15,1,Active,2025-08-02,Requires visa,2025-08-02
147,1594,522,1,563,C0000147,2026-08-09,2027-06-04,1,Terminated,2026-08-09,Requires visa,2026-08-09
148,1602,2657,22,566,C0000148,2025-05-14,2026-07-27,0,Completed,2025-05-14,Training provided,2025-05-14
149,1606,3694,48,567,C0000149,2025-07-25,2026-07-13,1,Active,2025-07-25,Standard contract,2025-07-25
150,1624,722,64,572,C0000150,2026-08-09,2027-06-16,0,Terminated,2026-08-09,Requires visa,2026-08-09
151,1631,2256,90,575,C0000151,2023-10-08,2026-03-29,0,Expired,2023-10-08,Requires visa,2023-10-08
152,1642,2973,80,576,C0000152,2026-01-19,2026-11-14,1,Active,2026-01-19,Training provided,2026-01-19
153,1656,3565,23,579,C0000153,2025-05-01,2025-09-12,1,Completed,2025-05-01,,2025-05-01
154,1661,2159,54,581,C0000154,2025-08-09,2026-05-28,1,Terminated,2025-08-09,,2025-08-09
155,1679,3226,52,586,C0000155,2025-12-07,2026-02-06,0,Completed,2025-12-07,Probation period,2025-12-07
156,1706,1485,15,595,C0000156,2026-02-11,2026-11-19,1,Completed,2026-02-11,Training provided,2026-02-11
157,1720,929,61,598,C0000157,2026-01-19,2027-02-17,1,Expired,2026-01-19,Standard contract,2026-01-19
158,1721,727,61,598,C0000158,2025-06-26,2026-01-04,0,Expired,2025-06-26,,2025-06-26
159,1723,296,88,599,C0000159,2025-09-30,2026-05-17,0,Completed,2025-09-30,Training provided,2025-09-30
160,1729,2426,72,602,C0000160,2024-10-28,2027-05-15,1,Terminated,2024-10-28,Probation period,2024-10-28
161,1733,584,15,602,C0000161,2025-02-04,2026-04-11,0,Terminated,2025-02-04,Probation period,2025-02-04
162,1738,2090,37,604,C0000162,2026-07-07,2026-07-13,0,Active,2026-07-07,Requires visa,2026-07-07
163,1754,2524,14,609,C0000163,2025-09-24,2025-09-30,0,Completed,2025-09-24,Standard contract,2025-09-24
164,1778,46,15,619,C0000164,2026-08-13,2027-02-09,1,Completed,2026-08-13,Standard contract,2026-08-13
165,1779,2064,85,619,C0000165,2025-10-11,2026-11-17,0,Active,2025-10-11,Probation period,2025-10-11
166,1783,4150,28,620,C0000166,2026-02-13,2026-08-05,1,Completed,2026-02-13,,2026-02-13
167,1786,84,68,621,C0000167,2025-08-03,2027-07-20,0,Terminated,2025-08-03,,2025-08-03
168,1792,2803,35,625,C0000168,2026-04-27,2027-02-26,0,Completed,2026-04-27,Requires visa,2026-04-27
169,1815,3572,8,636,C0000169,2024-09-10,2027-06-14,0,Terminated,2024-09-10,Requires visa,2024-09-10
170,1827,3624,32,639,C0000170,2024-11-13,2026-05-27,0,Terminated,2024-11-13,Probation period,2024-11-13
171,1832,4533,35,640,C0000171,2026-04-11,2026-09-23,0,Terminated,2026-04-11,Training provided,2026-04-11
172,1842,294,27,645,C0000172,2026-01-22,2026-08-22,0,Terminated,2026-01-22,Requires visa,2026-01-22
173,1852,155,1,648,C0000173,2024-03-07,2027-01-16,1,Completed,2024-03-07,Probation period,2024-03-07
174,1872,1585,3,656,C0000174,2025-10-10,2026-11-01,1,Active,2025-10-10,Probation period,2025-10-10
175,1878,3038,47,659,C0000175,2025-06-21,2027-07-28,0,Terminated,2025-06-21,Standard contract,2025-06-21
176,1883,2733,25,660,C0000176,2024-06-19,2026-10-21,0,Active,2024-06-19,Probation period,2024-06-19
177,1884,417,40,660,C0000177,2025-12-21,2026-03-31,1,Completed,2025-12-21,Requires visa,2025-12-21
178,1918,958,41,670,C0000178,2026-03-16,2026-06-18,1,Completed,2026-03-16,,2026-03-16
179,1924,1242,8,674,C0000179,2025-05-05,2026-08-19,0,Active,2025-05-05,Probation period,2025-05-05
180,1934,3387,11,675,C0000180,2026-08-24,2026-09-29,1,Terminated,2026-08-24,,2026-08-24
181,1937,1596,58,676,C0000181,2026-06-10,2027-08-23,1,Completed,2026-06-10,,2026-06-10
182,1943,761,49,678,C0000182,2025-02-20,2025-09-12,0,Active,2025-02-20,Standard contract,2025-02-20
183,1980,3023,34,691,C0000183,2024-06-18,2024-10-25,0,Expired,2024-06-18,Requires visa,2024-06-18
184,1996,1788,12,696,C0000184,2025-07-06,2026-10-13,0,Active,2025-07-06,,2025-07-06
185,1997,1849,46,696,C0000185,2026-04-06,2027-07-31,1,Completed,2026-04-06,,2026-04-06
186,2002,1577,89,697,C0000186,2024-08-07,2027-07-05,0,Expired,2024-08-07,Training provided,2024-08-07
187,2012,2108,81,699,C0000187,2025-09-27,2027-06-22,0,Expired,2025-09-27,Standard contract,2025-09-27
188,2013,1443,16,699,C0000188,2025-04-03,2026-11-10,1,Terminated,2025-04-03,,2025-04-03
189,2023,1682,9,704,C0000189,2025-09-27,2026-03-29,1,Expired,2025-09-27,,2025-09-27
190,2042,1215,43,708,C0000190,2026-01-30,2026-10-24,1,Terminated,2026-01-30,Training provided,2026-01-30
191,2055,1528,84,713,C0000191,2025-12-29,2026-02-20,1,Expired,2025-12-29,Probation period,2025-12-29
192,2061,4348,64,716,C0000192,2025-11-29,2027-04-26,0,Active,2025-11-29,,2025-11-29
193,2063,285,55,716,C0000193,2024-08-25,2027-05-12,0,Active,2024-08-25,Standard contract,2024-08-25
194,2075,1994,13,720,C0000194,2025-03-28,2025-09-10,0,Active,2025-03-28,Standard contract,2025-03-28
195,2081,1161,57,721,C0000195,2026-02-26,2026-05-07,1,Completed,2026-02-26,,2026-02-26
196,2099,3501,37,725,C0000196,2026-02-05,2027-01-24,0,Active,2026-02-05,Requires visa,2026-02-05
197,2103,4165,48,727,C0000197,2026-01-28,2027-03-06,1,Completed,2026-01-28,,2026-01-28
198,2115,3064,77,731,C0000198,2025-03-09,2027-03-11,1,Completed,2025-03-09,Requires visa,2025-03-09
199,2131,2706,87,734,C0000199,2024-04-05,2026-12-22,1,Completed,2024-04-05,Training provided,2024-04-05
200,2138,3678,61,736,C0000200,2025-06-23,2027-05-27,0,Active,2025-06-23,Requires visa,2025-06-23
201,2161,2771,23,746,C0000201,2025-10-06,2026-06-23,0,Completed,2025-10-06,Training provided,2025-10-06
202,2167,82,77,748,C0000202,2024-06-22,2026-04-21,0,Terminated,2024-06-22,Training provided,2024-06-22
203,2169,601,75,748,C0000203,2026-03-12,2026-04-01,0,Completed,2026-03-12,,2026-03-12
204,2177,3931,53,751,C0000204,2024-08-11,2025-01-30,0,Terminated,2024-08-11,Probation period,2024-08-11
205,2187,1966,44,758,C0000205,2026-02-22,2026-12-09,1,Completed,2026-02-22,Standard contract,2026-02-22
206,2189,374,80,759,C0000206,2025-10-08,2026-10-24,1,Completed,2025-10-08,Probation period,2025-10-08
207,2192,202,63,760,C0000207,2026-05-16,2026-10-08,0,Expired,2026-05-16,Training provided,2026-05-16
208,2213,4875,50,765,C0000208,2026-03-12,2026-09-30,0,Active,2026-03-12,Probation period,2026-03-12
209,2228,4653,35,770,C0000209,2025-10-29,2026-02-16,1,Completed,2025-10-29,,2025-10-29
210,2262,744,26,782,C0000210,2024-12-16,2025-02-02,0,Active,2024-12-16,,2024-12-16
211,2263,3306,2,782,C0000211,2026-06-05,2026-12-10,0,Terminated,2026-06-05,Requires visa,2026-06-05
212,2268,1308,14,786,C0000212,2025-12-19,2026-11-11,1,Expired,2025-12-19,,2025-12-19
213,2269,3000,53,786,C0000213,2025-01-19,2025-11-01,0,Completed,2025-01-19,Training provided,2025-01-19
214,2270,3781,27,787,C0000214,2026-03-12,2027-08-15,1,Completed,2026-03-12,Requires visa,2026-03-12
215,2271,3231,33,787,C0000215,2026-01-26,2026-06-09,1,Completed,2026-01-26,Requires visa,2026-01-26
216,2302,3447,29,801,C0000216,2024-09-21,2025-01-20,0,Active,2024-09-21,Training provided,2024-09-21
217,2306,1950,43,802,C0000217,2025-12-12,2025-12-14,1,Active,2025-12-12,Probation period,2025-12-12
218,2324,295,15,806,C0000218,2025-07-27,2026-01-01,1,Active,2025-07-27,Standard contract,2025-07-27
219,2328,2176,39,807,C0000219,2026-01-12,2027-04-19,0,Completed,2026-01-12,Training provided,2026-01-12
220,2331,3675,38,808,C0000220,2024-04-02,2025-12-06,1,Expired,2024-04-02,Probation period,2024-04-02
221,2343,929,61,812,C0000221,2026-02-04,2026-07-19,1,Completed,2026-02-04,Requires visa,2026-02-04
222,2367,4373,55,823,C0000222,2025-01-04,2026-03-26,0,Expired,2025-01-04,Standard contract,2025-01-04
223,2396,1931,21,834,C0000223,2026-08-08,2026-11-03,1,Expired,2026-08-08,Standard contract,2026-08-08
224,2402,1869,59,838,C0000224,2025-06-29,2025-11-09,0,Terminated,2025-06-29,Requires visa,2025-06-29
225,2418,2496,52,845,C0000225,2025-10-06,2027-05-17,0,Terminated,2025-10-06,Requires visa,2025-10-06
226,2421,1020,42,846,C0000226,2025-05-12,2026-07-02,1,Completed,2025-05-12,Training provided,2025-05-12
227,2422,2965,17,847,C0000227,2026-05-17,2027-01-02,1,Active,2026-05-17,Standard contract,2026-05-17
228,2433,4380,4,849,C0000228,2026-03-04,2027-02-09,0,Active,2026-03-04,Probation period,2026-03-04
229,2457,1943,70,854,C0000229,2024-04-09,2027-05-16,1,Expired,2024-04-09,Training provided,2024-04-09
230,2463,2726,19,857,C0000230,2024-11-16,2025-05-04,0,Active,2024-11-16,Requires visa,2024-11-16
231,2468,270,20,858,C0000231,2026-07-03,2026-09-14,1,Expired,2026-07-03,Requires visa,2026-07-03
232,2470,4232,4,859,C0000232,2026-04-20,2027-01-11,0,Expired,2026-04-20,Standard contract,2026-04-20
233,2471,924,22,860,C0000233,2025-03-20,2026-03-15,0,Terminated,2025-03-20,,2025-03-20
234,2477,2828,68,861,C0000234,2025-07-16,2025-07-23,1,Terminated,2025-07-16,Probation period,2025-07-16
235,2481,4421,3,863,C0000235,2025-09-01,2025-09-20,1,Active,2025-09-01,Standard contract,2025-09-01
236,2484,4639,43,864,C0000236,2025-12-20,2027-06-01,1,Expired,2025-12-20,Standard contract,2025-12-20
237,2486,1696,32,866,C0000237,2026-06-04,2027-02-19,0,Completed,2026-06-04,Standard contract,2026-06-04
238,2495,1012,37,869,C0000238,2024-11-08,2027-01-08,0,Completed,2024-11-08,Training provided,2024-11-08
239,2497,3159,58,869,C0000239,2026-01-27,2027-02-09,1,Active,2026-01-27,Standard contract,2026-01-27
240,2498,3129,12,869,C0000240,2026-05-18,2027-02-28,0,Expired,2026-05-18,Training provided,2026-05-18
241,2507,1603,26,872,C0000241,2024-07-01,2026-10-06,1,Terminated,2024-07-01,Standard contract,2024-07-01
242,2513,4765,8,875,C0000242,2024-07-15,2026-03-22,0,Completed,2024-07-15,Requires visa,2024-07-15
243,2514,2490,79,875,C0000243,2024-09-26,2026-08-28,1,Completed,2024-09-26,Training provided,2024-09-26
244,2519,4488,7,878,C0000244,2025-12-02,2026-06-13,1,Completed,2025-12-02,Probation period,2025-12-02
245,2550,3214,4,890,C0000245,2025-08-03,2027-07-08,0,Expired,2025-08-03,Standard contract,2025-08-03
246,2553,3618,52,891,C0000246,2026-07-08,2026-07-15,0,Expired,2026-07-08,Requires visa,2026-07-08
247,2568,2197,10,896,C0000247,2024-11-26,2027-07-21,1,Expired,2024-11-26,,2024-11-26
248,2570,151,33,897,C0000248,2026-02-08,2027-03-10,0,Expired,2026-02-08,Requires visa,2026-02-08
249,2580,2758,63,900,C0000249,2026-07-14,2027-07-29,0,Active,2026-07-14,Requires visa,2026-07-14
250,2588,3181,35,901,C0000250,2024-11-18,2026-02-21,1,Terminated,2024-11-18,Training provided,2024-11-18
251,2599,2035,22,906,C0000251,2025-01-20,2026-06-30,1,Active,2025-01-20,,2025-01-20
